algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
BEST_SCORE,LIN,KL,FIXED,0.0,MACE,0.0546182006510802
BEST_SCORE,LIN,KL,FIXED,0.0,MAP,0.06568425663646144
BEST_SCORE,LIN,KL,FIXED,0.0,MRR,0.14619111035950338
BEST_SCORE,LIN,KL,FIXED,0.0,MRMC,0.5629704633291414
BEST_SCORE,LIN,KL,FIXED,0.1,MACE,0.09781445036335537
BEST_SCORE,LIN,KL,FIXED,0.1,MAP,0.05591557566106249
BEST_SCORE,LIN,KL,FIXED,0.1,MRR,0.14458537089492993
BEST_SCORE,LIN,KL,FIXED,0.1,MRMC,0.35219988937552404
BEST_SCORE,LIN,KL,FIXED,0.2,MACE,0.10090349380158495
BEST_SCORE,LIN,KL,FIXED,0.2,MAP,0.05361207410852276
BEST_SCORE,LIN,KL,FIXED,0.2,MRR,0.14103754750395767
BEST_SCORE,LIN,KL,FIXED,0.2,MRMC,0.3060471803509768
BEST_SCORE,LIN,KL,FIXED,0.3,MACE,0.10315013153135377
BEST_SCORE,LIN,KL,FIXED,0.3,MAP,0.053031233998975934
BEST_SCORE,LIN,KL,FIXED,0.3,MRR,0.13522127801500397
BEST_SCORE,LIN,KL,FIXED,0.3,MRMC,0.29077381460928
BEST_SCORE,LIN,KL,FIXED,0.4,MACE,0.103134568083917
BEST_SCORE,LIN,KL,FIXED,0.4,MAP,0.04749469177036505
BEST_SCORE,LIN,KL,FIXED,0.4,MRR,0.12344663819952366
BEST_SCORE,LIN,KL,FIXED,0.4,MRMC,0.28564545289089827
BEST_SCORE,LIN,KL,FIXED,0.5,MACE,0.1020776100753017
BEST_SCORE,LIN,KL,FIXED,0.5,MAP,0.04315772723215754
BEST_SCORE,LIN,KL,FIXED,0.5,MRR,0.11407268046806372
BEST_SCORE,LIN,KL,FIXED,0.5,MRMC,0.28342444394489186
BEST_SCORE,LIN,KL,FIXED,0.6,MACE,0.10241483016013943
BEST_SCORE,LIN,KL,FIXED,0.6,MAP,0.03749830888259418
BEST_SCORE,LIN,KL,FIXED,0.6,MRR,0.10238106981966112
BEST_SCORE,LIN,KL,FIXED,0.6,MRMC,0.2816216084010852
BEST_SCORE,LIN,KL,FIXED,0.7,MACE,0.10295547992502713
BEST_SCORE,LIN,KL,FIXED,0.7,MAP,0.03427393518322787
BEST_SCORE,LIN,KL,FIXED,0.7,MRR,0.09488883251830871
BEST_SCORE,LIN,KL,FIXED,0.7,MRMC,0.2802942536029258
BEST_SCORE,LIN,KL,FIXED,0.8,MACE,0.10365012002236033
BEST_SCORE,LIN,KL,FIXED,0.8,MAP,0.032049681271344485
BEST_SCORE,LIN,KL,FIXED,0.8,MRR,0.08928630147925798
BEST_SCORE,LIN,KL,FIXED,0.8,MRMC,0.2794491847402359
BEST_SCORE,LIN,KL,FIXED,0.9,MACE,0.10398820163756535
BEST_SCORE,LIN,KL,FIXED,0.9,MAP,0.030604151693231302
BEST_SCORE,LIN,KL,FIXED,0.9,MRR,0.08550759358690699
BEST_SCORE,LIN,KL,FIXED,0.9,MRMC,0.2791710746839548
BEST_SCORE,LIN,KL,FIXED,1.0,MACE,0.10449417809345302
BEST_SCORE,LIN,KL,FIXED,1.0,MAP,0.026940204907059003
BEST_SCORE,LIN,KL,FIXED,1.0,MRR,0.07679223213404923
BEST_SCORE,LIN,KL,FIXED,1.0,MRMC,0.27909003692188095
BEST_SCORE,LIN,KL,FIXED,CGR,MACE,0.10396140376837328
BEST_SCORE,LIN,KL,FIXED,CGR,MAP,0.03008077434386993
BEST_SCORE,LIN,KL,FIXED,CGR,MRR,0.08468012044513967
BEST_SCORE,LIN,KL,FIXED,CGR,MRMC,0.2796265511603885
BEST_SCORE,LIN,KL,FIXED,VAR,MACE,0.10426334056755779
BEST_SCORE,LIN,KL,FIXED,VAR,MAP,0.029335801894991003
BEST_SCORE,LIN,KL,FIXED,VAR,MRR,0.08217527022646881
BEST_SCORE,LIN,KL,FIXED,VAR,MRMC,0.2791295244091254
BEST_SCORE,LIN,HE,FIXED,0.0,MACE,0.0546182006510802
BEST_SCORE,LIN,HE,FIXED,0.0,MAP,0.06568425663646144
BEST_SCORE,LIN,HE,FIXED,0.0,MRR,0.14619111035950338
BEST_SCORE,LIN,HE,FIXED,0.0,MRMC,0.7762537624119806
BEST_SCORE,LIN,HE,FIXED,0.1,MACE,0.05317130150274571
BEST_SCORE,LIN,HE,FIXED,0.1,MAP,0.06623039360757621
BEST_SCORE,LIN,HE,FIXED,0.1,MRR,0.14602352532213436
BEST_SCORE,LIN,HE,FIXED,0.1,MRMC,0.7627248333086635
BEST_SCORE,LIN,HE,FIXED,0.2,MACE,0.052673091973299134
BEST_SCORE,LIN,HE,FIXED,0.2,MAP,0.06769578207133697
BEST_SCORE,LIN,HE,FIXED,0.2,MRR,0.14694436223734833
