algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
BEST_SCORE,LIN,KL,FIXED,0.0,MACE,0.047966530750934426
BEST_SCORE,LIN,KL,FIXED,0.0,MAP,0.06211118783773415
BEST_SCORE,LIN,KL,FIXED,0.0,MRR,0.13529287648109783
BEST_SCORE,LIN,KL,FIXED,0.0,MRMC,0.582301483047111
BEST_SCORE,LIN,KL,FIXED,0.1,MACE,0.09738257757609636
BEST_SCORE,LIN,KL,FIXED,0.1,MAP,0.05453463345813153
BEST_SCORE,LIN,KL,FIXED,0.1,MRR,0.1387522293781542
BEST_SCORE,LIN,KL,FIXED,0.1,MRMC,0.34859526547135095
BEST_SCORE,LIN,KL,FIXED,0.2,MACE,0.1011317993489198
BEST_SCORE,LIN,KL,FIXED,0.2,MAP,0.05452175826103023
BEST_SCORE,LIN,KL,FIXED,0.2,MRR,0.14034904350086355
BEST_SCORE,LIN,KL,FIXED,0.2,MRMC,0.3029005203494802
BEST_SCORE,LIN,KL,FIXED,0.3,MACE,0.1030734273782513
BEST_SCORE,LIN,KL,FIXED,0.3,MAP,0.05204447482192378
BEST_SCORE,LIN,KL,FIXED,0.3,MRR,0.13129667210016424
BEST_SCORE,LIN,KL,FIXED,0.3,MRMC,0.28998156347115117
BEST_SCORE,LIN,KL,FIXED,0.4,MACE,0.10231185042692885
BEST_SCORE,LIN,KL,FIXED,0.4,MAP,0.0467299191551929
BEST_SCORE,LIN,KL,FIXED,0.4,MRR,0.11977554331061285
BEST_SCORE,LIN,KL,FIXED,0.4,MRMC,0.2856298145306367
BEST_SCORE,LIN,KL,FIXED,0.5,MACE,0.10176945293917772
BEST_SCORE,LIN,KL,FIXED,0.5,MAP,0.041677819429373146
BEST_SCORE,LIN,KL,FIXED,0.5,MRR,0.10947843903600045
BEST_SCORE,LIN,KL,FIXED,0.5,MRMC,0.2833431634937119
BEST_SCORE,LIN,KL,FIXED,0.6,MACE,0.10216455175210726
BEST_SCORE,LIN,KL,FIXED,0.6,MAP,0.036526534884776966
BEST_SCORE,LIN,KL,FIXED,0.6,MRR,0.09964075498997073
BEST_SCORE,LIN,KL,FIXED,0.6,MRMC,0.28162284177779856
BEST_SCORE,LIN,KL,FIXED,0.7,MACE,0.10275605373055802
