algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
CO_CLUSTERING,LIN,KL,FIXED,0.0,MACE,0.04632501890763211
CO_CLUSTERING,LIN,KL,FIXED,0.0,MAP,0.0117246344132997
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRR,0.03178220286832303
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRMC,0.6810570663006453
CO_CLUSTERING,LIN,KL,FIXED,0.1,MACE,0.0921722797671895
CO_CLUSTERING,LIN,KL,FIXED,0.1,MAP,0.11310408123000605
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRR,0.284074606462887
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRMC,0.307657544279927
CO_CLUSTERING,LIN,KL,FIXED,0.2,MACE,0.10066225378974711
CO_CLUSTERING,LIN,KL,FIXED,0.2,MAP,0.12023446638199523
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRR,0.29800271988049437
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRMC,0.2742528352664481
CO_CLUSTERING,LIN,KL,FIXED,0.3,MACE,0.10183189306500937
CO_CLUSTERING,LIN,KL,FIXED,0.3,MAP,0.11962006228949111
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRR,0.29715234619052316
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRMC,0.2715265507783457
CO_CLUSTERING,LIN,KL,FIXED,0.4,MACE,0.10335529084870605
CO_CLUSTERING,LIN,KL,FIXED,0.4,MAP,0.11872623627728689
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRR,0.2963346204615811
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRMC,0.27023178164490924
CO_CLUSTERING,LIN,KL,FIXED,0.5,MACE,0.10408483936733419
CO_CLUSTERING,LIN,KL,FIXED,0.5,MAP,0.1181575158424818
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRR,0.29662645565279483
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRMC,0.26952814366332817
CO_CLUSTERING,LIN,KL,FIXED,0.6,MACE,0.10451934004143237
CO_CLUSTERING,LIN,KL,FIXED,0.6,MAP,0.11804779285690799
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRR,0.2962769580555908
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRMC,0.26898857848645
CO_CLUSTERING,LIN,KL,FIXED,0.7,MACE,0.10491518693893657
CO_CLUSTERING,LIN,KL,FIXED,0.7,MAP,0.1184852520469567
CO_CLUSTERING,LIN,KL,FIXED,0.7,MRR,0.29613215612771693
CO_CLUSTERING,LIN,KL,FIXED,0.7,MRMC,0.26865753503206347
CO_CLUSTERING,LIN,KL,FIXED,0.8,MACE,0.10522457992173884
CO_CLUSTERING,LIN,KL,FIXED,0.8,MAP,0.11902633915359574
CO_CLUSTERING,LIN,KL,FIXED,0.8,MRR,0.2975724244516787
CO_CLUSTERING,LIN,KL,FIXED,0.8,MRMC,0.26843376679343195
CO_CLUSTERING,LIN,KL,FIXED,0.9,MACE,0.10550697445003453
CO_CLUSTERING,LIN,KL,FIXED,0.9,MAP,0.11953185407535806
CO_CLUSTERING,LIN,KL,FIXED,0.9,MRR,0.29835386161962074
CO_CLUSTERING,LIN,KL,FIXED,0.9,MRMC,0.2683195288665392
CO_CLUSTERING,LIN,KL,FIXED,1.0,MACE,0.1056907303278419
CO_CLUSTERING,LIN,KL,FIXED,1.0,MAP,0.11934958919939684
CO_CLUSTERING,LIN,KL,FIXED,1.0,MRR,0.2979811111580866
CO_CLUSTERING,LIN,KL,FIXED,1.0,MRMC,0.2682567122422131
CO_CLUSTERING,LIN,KL,FIXED,CGR,MACE,0.10523852060109827
CO_CLUSTERING,LIN,KL,FIXED,CGR,MAP,0.11899061429839766
CO_CLUSTERING,LIN,KL,FIXED,CGR,MRR,0.2970695519008629
CO_CLUSTERING,LIN,KL,FIXED,CGR,MRMC,0.26849765841749285
CO_CLUSTERING,LIN,KL,FIXED,VAR,MACE,0.10565672782874619
CO_CLUSTERING,LIN,KL,FIXED,VAR,MAP,0.11948431488606097
CO_CLUSTERING,LIN,KL,FIXED,VAR,MRR,0.2982680139235333
CO_CLUSTERING,LIN,KL,FIXED,VAR,MRMC,0.26828729641035004
CO_CLUSTERING,LIN,HE,FIXED,0.0,MACE,0.04632501890763211
CO_CLUSTERING,LIN,HE,FIXED,0.0,MAP,0.0117246344132997
CO_CLUSTERING,LIN,HE,FIXED,0.0,MRR,0.03178220286832303
CO_CLUSTERING,LIN,HE,FIXED,0.0,MRMC,0.851118460431172
CO_CLUSTERING,LIN,HE,FIXED,0.1,MACE,0.047362285028443654
CO_CLUSTERING,LIN,HE,FIXED,0.1,MAP,0.015543118796300211
CO_CLUSTERING,LIN,HE,FIXED,0.1,MRR,0.04546980181043513
CO_CLUSTERING,LIN,HE,FIXED,0.1,MRMC,0.8071561750058954
CO_CLUSTERING,LIN,HE,FIXED,0.2,MACE,0.047878491335372066
CO_CLUSTERING,LIN,HE,FIXED,0.2,MAP,0.017500728119994174
CO_CLUSTERING,LIN,HE,FIXED,0.2,MRR,0.050955833650417844
CO_CLUSTERING,LIN,HE,FIXED,0.2,MRMC,0.7979787146961065
CO_CLUSTERING,LIN,HE,FIXED,0.3,MACE,0.04935457400282792
CO_CLUSTERING,LIN,HE,FIXED,0.3,MAP,0.02079753801491002
CO_CLUSTERING,LIN,HE,FIXED,0.3,MRR,0.05935763375094538
CO_CLUSTERING,LIN,HE,FIXED,0.3,MRMC,0.7790844900519904
CO_CLUSTERING,LIN,HE,FIXED,0.4,MACE,0.0511793989017132
CO_CLUSTERING,LIN,HE,FIXED,0.4,MAP,0.026620759875421018
CO_CLUSTERING,LIN,HE,FIXED,0.4,MRR,0.07504850218670876
CO_CLUSTERING,LIN,HE,FIXED,0.4,MRMC,0.7518480685260742
CO_CLUSTERING,LIN,HE,FIXED,0.5,MACE,0.05381197428562034
