algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
CO_CLUSTERING,LIN,KL,FIXED,0.0,MACE,0.08447625694649963
CO_CLUSTERING,LIN,KL,FIXED,0.0,MAP,0.0136950132392571
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRR,0.037864705909985585
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRMC,0.6932829962218602
CO_CLUSTERING,LIN,KL,FIXED,0.1,MACE,0.10750875998816217
CO_CLUSTERING,LIN,KL,FIXED,0.1,MAP,0.11186914665902531
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRR,0.287574005959623
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRMC,0.302020426202434
CO_CLUSTERING,LIN,KL,FIXED,0.2,MACE,0.11007871932305197
CO_CLUSTERING,LIN,KL,FIXED,0.2,MAP,0.11658515637355532
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRR,0.29173701245320066
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRMC,0.27360636577355807
CO_CLUSTERING,LIN,KL,FIXED,0.3,MACE,0.11009523418061447
CO_CLUSTERING,LIN,KL,FIXED,0.3,MAP,0.11551784990080344
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRR,0.29029188999594446
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRMC,0.2706703504588101
CO_CLUSTERING,LIN,KL,FIXED,0.4,MACE,0.1098700492146482
CO_CLUSTERING,LIN,KL,FIXED,0.4,MAP,0.11476561582510088
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRR,0.2891836991940573
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRMC,0.2694323728644169
CO_CLUSTERING,LIN,KL,FIXED,0.5,MACE,0.1096658577488409
CO_CLUSTERING,LIN,KL,FIXED,0.5,MAP,0.11449840361648589
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRR,0.28867276251857493
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRMC,0.268873635410545
CO_CLUSTERING,LIN,KL,FIXED,0.6,MACE,0.1096254896802692
CO_CLUSTERING,LIN,KL,FIXED,0.6,MAP,0.11458494028633122
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRR,0.2886786344540118
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRMC,0.26846525322937626
CO_CLUSTERING,LIN,KL,FIXED,0.7,MACE,0.10969566768603467
CO_CLUSTERING,LIN,KL,FIXED,0.7,MAP,0.11463447201905326
CO_CLUSTERING,LIN,KL,FIXED,0.7,MRR,0.288314222140798
CO_CLUSTERING,LIN,KL,FIXED,0.7,MRMC,0.26826219218910446
CO_CLUSTERING,LIN,KL,FIXED,0.8,MACE,0.1097603674109149
CO_CLUSTERING,LIN,KL,FIXED,0.8,MAP,0.11476177949394878
CO_CLUSTERING,LIN,KL,FIXED,0.8,MRR,0.28840656811210225
CO_CLUSTERING,LIN,KL,FIXED,0.8,MRMC,0.2681101407741833
CO_CLUSTERING,LIN,KL,FIXED,0.9,MACE,0.10975643571953131
