algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
ITEM_KNN,LIN,KL,FIXED,0.0,MACE,0.06811526092532307
ITEM_KNN,LIN,KL,FIXED,0.0,MAP,0.0013003401025005051
ITEM_KNN,LIN,KL,FIXED,0.0,MRR,0.0037607397699140816
ITEM_KNN,LIN,KL,FIXED,0.0,MRMC,0.6722526586099614
ITEM_KNN,LIN,KL,FIXED,0.1,MACE,0.09795323895958699
ITEM_KNN,LIN,KL,FIXED,0.1,MAP,0.005447006957069105
ITEM_KNN,LIN,KL,FIXED,0.1,MRR,0.015315769200054492
ITEM_KNN,LIN,KL,FIXED,0.1,MRMC,0.31225336300915973
ITEM_KNN,LIN,KL,FIXED,0.2,MACE,0.10093977836966884
ITEM_KNN,LIN,KL,FIXED,0.2,MAP,0.007215751349370763
ITEM_KNN,LIN,KL,FIXED,0.2,MRR,0.02075658713717311
ITEM_KNN,LIN,KL,FIXED,0.2,MRMC,0.2932300179067386
ITEM_KNN,LIN,KL,FIXED,0.3,MACE,0.10181840452467857
ITEM_KNN,LIN,KL,FIXED,0.3,MAP,0.007579083226464109
ITEM_KNN,LIN,KL,FIXED,0.3,MRR,0.02200272927559107
ITEM_KNN,LIN,KL,FIXED,0.3,MRMC,0.29044723902731856
ITEM_KNN,LIN,KL,FIXED,0.4,MACE,0.1025341258097399
ITEM_KNN,LIN,KL,FIXED,0.4,MAP,0.00788822888334578
ITEM_KNN,LIN,KL,FIXED,0.4,MRR,0.02297230325493125
ITEM_KNN,LIN,KL,FIXED,0.4,MRMC,0.28956057281314007
ITEM_KNN,LIN,KL,FIXED,0.5,MACE,0.10293049554437539
ITEM_KNN,LIN,KL,FIXED,0.5,MAP,0.008190351705444928
ITEM_KNN,LIN,KL,FIXED,0.5,MRR,0.023701832513611142
ITEM_KNN,LIN,KL,FIXED,0.5,MRMC,0.2891078417778405
ITEM_KNN,LIN,KL,FIXED,0.6,MACE,0.1033566998783335
ITEM_KNN,LIN,KL,FIXED,0.6,MAP,0.008234461684446887
ITEM_KNN,LIN,KL,FIXED,0.6,MRR,0.0239941374596598
ITEM_KNN,LIN,KL,FIXED,0.6,MRMC,0.2888268892327849
ITEM_KNN,LIN,KL,FIXED,0.7,MACE,0.1036738844497057
ITEM_KNN,LIN,KL,FIXED,0.7,MAP,0.00827780831184205
ITEM_KNN,LIN,KL,FIXED,0.7,MRR,0.024083273439591876
ITEM_KNN,LIN,KL,FIXED,0.7,MRMC,0.288746024356
ITEM_KNN,LIN,KL,FIXED,0.8,MACE,0.1037897060274243
ITEM_KNN,LIN,KL,FIXED,0.8,MAP,0.008264361579691558
ITEM_KNN,LIN,KL,FIXED,0.8,MRR,0.02394633990520347
ITEM_KNN,LIN,KL,FIXED,0.8,MRMC,0.2886559874204658
ITEM_KNN,LIN,KL,FIXED,0.9,MACE,0.1038410394265233
ITEM_KNN,LIN,KL,FIXED,0.9,MAP,0.008322270606970222
ITEM_KNN,LIN,KL,FIXED,0.9,MRR,0.02414974374873753
ITEM_KNN,LIN,KL,FIXED,0.9,MRMC,0.2886066958186614
ITEM_KNN,LIN,KL,FIXED,1.0,MACE,0.10391609286113578
ITEM_KNN,LIN,KL,FIXED,1.0,MAP,0.00836541758856053
ITEM_KNN,LIN,KL,FIXED,1.0,MRR,0.024266008070388062
ITEM_KNN,LIN,KL,FIXED,1.0,MRMC,0.2886279953915429
ITEM_KNN,LIN,KL,FIXED,CGR,MACE,0.10376413962053205
ITEM_KNN,LIN,KL,FIXED,CGR,MAP,0.008343350855188678
ITEM_KNN,LIN,KL,FIXED,CGR,MRR,0.02418708925811619
ITEM_KNN,LIN,KL,FIXED,CGR,MRMC,0.2886568502030227
ITEM_KNN,LIN,KL,FIXED,VAR,MACE,0.10390387031008516
ITEM_KNN,LIN,KL,FIXED,VAR,MAP,0.008360485162793538
