algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
ITEM_KNN,LIN,KL,FIXED,0.0,MACE,0.06714393530849584
ITEM_KNN,LIN,KL,FIXED,0.0,MAP,0.0012923777580480748
ITEM_KNN,LIN,KL,FIXED,0.0,MRR,0.003667689166357411
ITEM_KNN,LIN,KL,FIXED,0.0,MRMC,0.6688700740948327
ITEM_KNN,LIN,KL,FIXED,0.1,MACE,0.09893546742954852
ITEM_KNN,LIN,KL,FIXED,0.1,MAP,0.005765680807853048
ITEM_KNN,LIN,KL,FIXED,0.1,MRR,0.016754784844456343
ITEM_KNN,LIN,KL,FIXED,0.1,MRMC,0.31455124500378767
ITEM_KNN,LIN,KL,FIXED,0.2,MACE,0.10194282934902939
ITEM_KNN,LIN,KL,FIXED,0.2,MAP,0.007776458549616287
ITEM_KNN,LIN,KL,FIXED,0.2,MRR,0.02261748176959778
ITEM_KNN,LIN,KL,FIXED,0.2,MRMC,0.2947068398006214
ITEM_KNN,LIN,KL,FIXED,0.3,MACE,0.10284084706191839
ITEM_KNN,LIN,KL,FIXED,0.3,MAP,0.008207760036703511
ITEM_KNN,LIN,KL,FIXED,0.3,MRR,0.02396759631148504
ITEM_KNN,LIN,KL,FIXED,0.3,MRMC,0.29180644330549826
ITEM_KNN,LIN,KL,FIXED,0.4,MACE,0.10350963686385407
ITEM_KNN,LIN,KL,FIXED,0.4,MAP,0.008500753956510097
ITEM_KNN,LIN,KL,FIXED,0.4,MRR,0.0248600913516569
ITEM_KNN,LIN,KL,FIXED,0.4,MRMC,0.29102923933756
ITEM_KNN,LIN,KL,FIXED,0.5,MACE,0.10395594138086
ITEM_KNN,LIN,KL,FIXED,0.5,MAP,0.008680298169052239
ITEM_KNN,LIN,KL,FIXED,0.5,MRR,0.025322760717848017
ITEM_KNN,LIN,KL,FIXED,0.5,MRMC,0.2905613043447309
ITEM_KNN,LIN,KL,FIXED,0.6,MACE,0.10444421042824416
ITEM_KNN,LIN,KL,FIXED,0.6,MAP,0.008859223871061694
ITEM_KNN,LIN,KL,FIXED,0.6,MRR,0.02592745262913952
ITEM_KNN,LIN,KL,FIXED,0.6,MRMC,0.2902615640648826
ITEM_KNN,LIN,KL,FIXED,0.7,MACE,0.10472792520250347
ITEM_KNN,LIN,KL,FIXED,0.7,MAP,0.008974489963687951
ITEM_KNN,LIN,KL,FIXED,0.7,MRR,0.026299381019712482
ITEM_KNN,LIN,KL,FIXED,0.7,MRMC,0.29013311786544377
ITEM_KNN,LIN,KL,FIXED,0.8,MACE,0.1048807098308726
ITEM_KNN,LIN,KL,FIXED,0.8,MAP,0.00903302533074655
ITEM_KNN,LIN,KL,FIXED,0.8,MRR,0.026414431808039384
ITEM_KNN,LIN,KL,FIXED,0.8,MRMC,0.2900516865593669
ITEM_KNN,LIN,KL,FIXED,0.9,MACE,0.10492927285083248
ITEM_KNN,LIN,KL,FIXED,0.9,MAP,0.009089540752014858
ITEM_KNN,LIN,KL,FIXED,0.9,MRR,0.026626800139673768
ITEM_KNN,LIN,KL,FIXED,0.9,MRMC,0.29002526051255645
