algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
NMF,LIN,KL,FIXED,0.0,MACE,0.0476204021571142
NMF,LIN,KL,FIXED,0.0,MAP,0.042042599717207585
NMF,LIN,KL,FIXED,0.0,MRR,0.11828062684085176
NMF,LIN,KL,FIXED,0.0,MRMC,0.5871058223582187
NMF,LIN,KL,FIXED,0.1,MACE,0.10425900660945052
NMF,LIN,KL,FIXED,0.1,MAP,0.03617758142025677
NMF,LIN,KL,FIXED,0.1,MRR,0.09668494012974627
NMF,LIN,KL,FIXED,0.1,MRMC,0.2862217808425433
NMF,LIN,KL,FIXED,0.2,MACE,0.10426074611160437
NMF,LIN,KL,FIXED,0.2,MAP,0.03617758142025677
NMF,LIN,KL,FIXED,0.2,MRR,0.09668494012974627
NMF,LIN,KL,FIXED,0.2,MRMC,0.2862066084976873
NMF,LIN,KL,FIXED,0.3,MACE,0.10430154549340699
NMF,LIN,KL,FIXED,0.3,MAP,0.03618350033117716
NMF,LIN,KL,FIXED,0.3,MRR,0.09669480498128026
NMF,LIN,KL,FIXED,0.3,MRMC,0.28605243345824716
NMF,LIN,KL,FIXED,0.4,MACE,0.10448332840090757
NMF,LIN,KL,FIXED,0.4,MAP,0.03617725259187231
NMF,LIN,KL,FIXED,0.4,MRR,0.09666192214283365
NMF,LIN,KL,FIXED,0.4,MRMC,0.28524926142316154
NMF,LIN,KL,FIXED,0.5,MACE,0.10453561869060538
NMF,LIN,KL,FIXED,0.5,MAP,0.036253810886098546
NMF,LIN,KL,FIXED,0.5,MRR,0.09684442189621235
NMF,LIN,KL,FIXED,0.5,MRMC,0.28484262808114336
NMF,LIN,KL,FIXED,0.6,MACE,0.10454007924764065
NMF,LIN,KL,FIXED,0.6,MAP,0.03628817345227526
NMF,LIN,KL,FIXED,0.6,MRR,0.09695129112116387
NMF,LIN,KL,FIXED,0.6,MRMC,0.2847040482670132
NMF,LIN,KL,FIXED,0.7,MACE,0.10454308145079085
NMF,LIN,KL,FIXED,0.7,MAP,0.036332318662889836
NMF,LIN,KL,FIXED,0.7,MRR,0.09704418513977556
NMF,LIN,KL,FIXED,0.7,MRMC,0.2845323232654415
NMF,LIN,KL,FIXED,0.8,MACE,0.10453985071191346
NMF,LIN,KL,FIXED,0.8,MAP,0.03634711594019081
NMF,LIN,KL,FIXED,0.8,MRR,0.09709350939744547
NMF,LIN,KL,FIXED,0.8,MRMC,0.28448371592442706
NMF,LIN,KL,FIXED,0.9,MACE,0.10452852915063629
NMF,LIN,KL,FIXED,0.9,MAP,0.03634711594019081
NMF,LIN,KL,FIXED,0.9,MRR,0.09709350939744547
NMF,LIN,KL,FIXED,0.9,MRMC,0.28448152945531713
NMF,LIN,KL,FIXED,1.0,MACE,0.10450094373746341
NMF,LIN,KL,FIXED,1.0,MAP,0.03635040422403548
NMF,LIN,KL,FIXED,1.0,MRR,0.09709679768129013
NMF,LIN,KL,FIXED,1.0,MRMC,0.28446986138445723
NMF,LIN,KL,FIXED,CGR,MACE,0.10451612245569038
NMF,LIN,KL,FIXED,CGR,MAP,0.03634711594019081
NMF,LIN,KL,FIXED,CGR,MRR,0.09709350939744547
NMF,LIN,KL,FIXED,CGR,MRMC,0.2844792405265387
NMF,LIN,KL,FIXED,VAR,MACE,0.1045146756107987
NMF,LIN,KL,FIXED,VAR,MAP,0.03634711594019081
NMF,LIN,KL,FIXED,VAR,MRR,0.09709350939744547
NMF,LIN,KL,FIXED,VAR,MRMC,0.2844717620095565
NMF,LIN,HE,FIXED,0.0,MACE,0.0476204021571142
NMF,LIN,HE,FIXED,0.0,MAP,0.042042599717207585
NMF,LIN,HE,FIXED,0.0,MRR,0.11828062684085176
NMF,LIN,HE,FIXED,0.0,MRMC,0.7854390641773008
NMF,LIN,HE,FIXED,0.1,MACE,0.08804568905987965
NMF,LIN,HE,FIXED,0.1,MAP,0.04688327062106287
NMF,LIN,HE,FIXED,0.1,MRR,0.11811433362927888
NMF,LIN,HE,FIXED,0.1,MRMC,0.5016940913601039
NMF,LIN,HE,FIXED,0.2,MACE,0.08804568905987965
NMF,LIN,HE,FIXED,0.2,MAP,0.04688327062106287
NMF,LIN,HE,FIXED,0.2,MRR,0.11811433362927888
NMF,LIN,HE,FIXED,0.2,MRMC,0.5016940913601039
NMF,LIN,HE,FIXED,0.3,MACE,0.08804568905987965
NMF,LIN,HE,FIXED,0.3,MAP,0.04688327062106287
NMF,LIN,HE,FIXED,0.3,MRR,0.11811433362927888
NMF,LIN,HE,FIXED,0.3,MRMC,0.5016940913601039
NMF,LIN,HE,FIXED,0.4,MACE,0.08804568905987965
NMF,LIN,HE,FIXED,0.4,MAP,0.04688327062106287
NMF,LIN,HE,FIXED,0.4,MRR,0.11811433362927888
NMF,LIN,HE,FIXED,0.4,MRMC,0.5016940913601039
NMF,LIN,HE,FIXED,0.5,MACE,0.08804563809148006
NMF,LIN,HE,FIXED,0.5,MAP,0.046869095768918206
NMF,LIN,HE,FIXED,0.5,MRR,0.11807205569413323
NMF,LIN,HE,FIXED,0.5,MRMC,0.501693966573437
NMF,LIN,HE,FIXED,0.6,MACE,0.08804568905987965
NMF,LIN,HE,FIXED,0.6,MAP,0.04688327062106287
NMF,LIN,HE,FIXED,0.6,MRR,0.11811433362927888
NMF,LIN,HE,FIXED,0.6,MRMC,0.5016940913601039
NMF,LIN,HE,FIXED,0.7,MACE,0.0880480122324159
NMF,LIN,HE,FIXED,0.7,MAP,0.04687534350822306
NMF,LIN,HE,FIXED,0.7,MRR,0.11810493853257985
NMF,LIN,HE,FIXED,0.7,MRMC,0.5016923061496723
NMF,LIN,HE,FIXED,0.8,MACE,0.08804891486633126
NMF,LIN,HE,FIXED,0.8,MAP,0.0468740281946852
NMF,LIN,HE,FIXED,0.8,MRR,0.1180791020166575
NMF,LIN,HE,FIXED,0.8,MRMC,0.5016897733103943
NMF,LIN,HE,FIXED,0.9,MACE,0.08804923547400612
NMF,LIN,HE,FIXED,0.9,MAP,0.0468740281946852
NMF,LIN,HE,FIXED,0.9,MRR,0.1180791020166575
NMF,LIN,HE,FIXED,0.9,MRMC,0.5016761363422071
NMF,LIN,HE,FIXED,1.0,MACE,0.0882560372891388
NMF,LIN,HE,FIXED,1.0,MAP,0.04709563503807364
NMF,LIN,HE,FIXED,1.0,MRR,0.11864339501214316
NMF,LIN,HE,FIXED,1.0,MRMC,0.5000227235503014
NMF,LIN,HE,FIXED,CGR,MACE,0.08822615500970044
NMF,LIN,HE,FIXED,CGR,MAP,0.04706669814024061
NMF,LIN,HE,FIXED,CGR,MRR,0.11855343696124991
NMF,LIN,HE,FIXED,CGR,MRMC,0.5007719647623965
NMF,LIN,HE,FIXED,VAR,MACE,0.08827039886883037
NMF,LIN,HE,FIXED,VAR,MAP,0.046999534942713396
