algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
NMF,LIN,KL,FIXED,0.0,MACE,0.05106800773842798
NMF,LIN,KL,FIXED,0.0,MAP,0.030869285236701627
NMF,LIN,KL,FIXED,0.0,MRR,0.08796488112853902
NMF,LIN,KL,FIXED,0.0,MRMC,0.5810439052783246
NMF,LIN,KL,FIXED,0.1,MACE,0.10021898819506099
NMF,LIN,KL,FIXED,0.1,MAP,0.02537784730149335
NMF,LIN,KL,FIXED,0.1,MRR,0.06871632445026941
NMF,LIN,KL,FIXED,0.1,MRMC,0.2892745606941593
NMF,LIN,KL,FIXED,0.2,MACE,0.10022294400052612
NMF,LIN,KL,FIXED,0.2,MAP,0.02537784730149335
NMF,LIN,KL,FIXED,0.2,MRR,0.06871632445026941
NMF,LIN,KL,FIXED,0.2,MRMC,0.289235225218511
NMF,LIN,KL,FIXED,0.3,MACE,0.10024192616706674
NMF,LIN,KL,FIXED,0.3,MAP,0.025369011995972635
NMF,LIN,KL,FIXED,0.3,MRR,0.0686949506052791
NMF,LIN,KL,FIXED,0.3,MRMC,0.28916256428819725
NMF,LIN,KL,FIXED,0.4,MACE,0.10031055539114136
NMF,LIN,KL,FIXED,0.4,MAP,0.025378610653100153
NMF,LIN,KL,FIXED,0.4,MRR,0.06871370165244091
NMF,LIN,KL,FIXED,0.4,MRMC,0.2888277818032315
NMF,LIN,KL,FIXED,0.5,MACE,0.10035918088849431
NMF,LIN,KL,FIXED,0.5,MAP,0.02542665482884483
NMF,LIN,KL,FIXED,0.5,MRR,0.06885674199968371
NMF,LIN,KL,FIXED,0.5,MRMC,0.28857079586778284
NMF,LIN,KL,FIXED,0.6,MACE,0.10039731785647737
NMF,LIN,KL,FIXED,0.6,MAP,0.02547108580698401
NMF,LIN,KL,FIXED,0.6,MRR,0.06900416672538602
NMF,LIN,KL,FIXED,0.6,MRMC,0.28837210166941984
NMF,LIN,KL,FIXED,0.7,MACE,0.10041480001753751
