algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
POPULARITY,LIN,KL,FIXED,0.0,MACE,0.0514877264805498
POPULARITY,LIN,KL,FIXED,0.0,MAP,0.3253147005078049
POPULARITY,LIN,KL,FIXED,0.0,MRR,0.5477882767983389
POPULARITY,LIN,KL,FIXED,0.0,MRMC,0.574947871582933
POPULARITY,LIN,KL,FIXED,0.1,MACE,0.05150029594554602
POPULARITY,LIN,KL,FIXED,0.1,MAP,0.32533282130056324
POPULARITY,LIN,KL,FIXED,0.1,MRR,0.5477882767983389
POPULARITY,LIN,KL,FIXED,0.1,MRMC,0.5748563406538056
POPULARITY,LIN,KL,FIXED,0.2,MACE,0.05150029594554602
POPULARITY,LIN,KL,FIXED,0.2,MAP,0.32533282130056324
POPULARITY,LIN,KL,FIXED,0.2,MRR,0.5477882767983389
POPULARITY,LIN,KL,FIXED,0.2,MRMC,0.5748563406538056
POPULARITY,LIN,KL,FIXED,0.3,MACE,0.05156139883594752
POPULARITY,LIN,KL,FIXED,0.3,MAP,0.32542710109593803
POPULARITY,LIN,KL,FIXED,0.3,MRR,0.5478376010560088
POPULARITY,LIN,KL,FIXED,0.3,MRMC,0.5745699387258332
POPULARITY,LIN,KL,FIXED,0.4,MACE,0.05170564433921936
POPULARITY,LIN,KL,FIXED,0.4,MAP,0.32558419885661677
POPULARITY,LIN,KL,FIXED,0.4,MRR,0.5480222147061449
POPULARITY,LIN,KL,FIXED,0.4,MRMC,0.5737794906314413
POPULARITY,LIN,KL,FIXED,0.5,MACE,0.05186334714412548
POPULARITY,LIN,KL,FIXED,0.5,MAP,0.3255410988505099
POPULARITY,LIN,KL,FIXED,0.5,MRR,0.5481007812022906
POPULARITY,LIN,KL,FIXED,0.5,MRMC,0.5728662370939305
POPULARITY,LIN,KL,FIXED,0.6,MACE,0.05222574890664562
POPULARITY,LIN,KL,FIXED,0.6,MAP,0.3252702382126768
POPULARITY,LIN,KL,FIXED,0.6,MRR,0.5478046007788535
POPULARITY,LIN,KL,FIXED,0.6,MRMC,0.5718027863362487
POPULARITY,LIN,KL,FIXED,0.7,MACE,0.05278448094439512
POPULARITY,LIN,KL,FIXED,0.7,MAP,0.3252780243990661
POPULARITY,LIN,KL,FIXED,0.7,MRR,0.5479330787262128
POPULARITY,LIN,KL,FIXED,0.7,MRMC,0.5696691317006817
POPULARITY,LIN,KL,FIXED,0.8,MACE,0.05375863503337608
POPULARITY,LIN,KL,FIXED,0.8,MAP,0.32510188982370103
POPULARITY,LIN,KL,FIXED,0.8,MRR,0.5477604438243681
POPULARITY,LIN,KL,FIXED,0.8,MRMC,0.5660369986548475
POPULARITY,LIN,KL,FIXED,0.9,MACE,0.05661021998618921
POPULARITY,LIN,KL,FIXED,0.9,MAP,0.3255707168928536
POPULARITY,LIN,KL,FIXED,0.9,MRR,0.5469764230048337
POPULARITY,LIN,KL,FIXED,0.9,MRMC,0.550528696426434
POPULARITY,LIN,KL,FIXED,1.0,MACE,0.1126512298181579
POPULARITY,LIN,KL,FIXED,1.0,MAP,0.21693678744063472
POPULARITY,LIN,KL,FIXED,1.0,MRR,0.4511772056163888
POPULARITY,LIN,KL,FIXED,1.0,MRMC,0.2605701870804482
POPULARITY,LIN,KL,FIXED,CGR,MACE,0.069651524119562
POPULARITY,LIN,KL,FIXED,CGR,MAP,0.2952639669856302
POPULARITY,LIN,KL,FIXED,CGR,MRR,0.5166110007187249
POPULARITY,LIN,KL,FIXED,CGR,MRMC,0.5052444451698818
POPULARITY,LIN,KL,FIXED,VAR,MACE,0.06758900562296537
POPULARITY,LIN,KL,FIXED,VAR,MAP,0.3284745768683324
POPULARITY,LIN,KL,FIXED,VAR,MRR,0.559322402138324
POPULARITY,LIN,KL,FIXED,VAR,MRMC,0.4904979724056456
POPULARITY,LIN,HE,FIXED,0.0,MACE,0.0514877264805498
POPULARITY,LIN,HE,FIXED,0.0,MAP,0.3253147005078049
POPULARITY,LIN,HE,FIXED,0.0,MRR,0.5477882767983389
POPULARITY,LIN,HE,FIXED,0.0,MRMC,0.7548089060993162
POPULARITY,LIN,HE,FIXED,0.1,MACE,0.0514982769392654
POPULARITY,LIN,HE,FIXED,0.1,MAP,0.32532986184510304
POPULARITY,LIN,HE,FIXED,0.1,MRR,0.5477882767983389
POPULARITY,LIN,HE,FIXED,0.1,MRMC,0.7547379102708495
POPULARITY,LIN,HE,FIXED,0.2,MACE,0.0514982769392654
