algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SLOPE,LIN,KL,FIXED,0.0,MACE,0.061534573016342776
SLOPE,LIN,KL,FIXED,0.0,MAP,0.006636156090136558
SLOPE,LIN,KL,FIXED,0.0,MRR,0.017903766024511807
SLOPE,LIN,KL,FIXED,0.0,MRMC,0.6832119056296453
SLOPE,LIN,KL,FIXED,0.1,MACE,0.09509667225674921
SLOPE,LIN,KL,FIXED,0.1,MAP,0.11062619493886142
SLOPE,LIN,KL,FIXED,0.1,MRR,0.2735266139601742
SLOPE,LIN,KL,FIXED,0.1,MRMC,0.30395374482021903
SLOPE,LIN,KL,FIXED,0.2,MACE,0.10213882969977969
SLOPE,LIN,KL,FIXED,0.2,MAP,0.12992386448512522
SLOPE,LIN,KL,FIXED,0.2,MRR,0.32064255415098863
SLOPE,LIN,KL,FIXED,0.2,MRMC,0.2731371260862389
SLOPE,LIN,KL,FIXED,0.3,MACE,0.10245123968300944
SLOPE,LIN,KL,FIXED,0.3,MAP,0.13030448334014474
SLOPE,LIN,KL,FIXED,0.3,MRR,0.32242867947218345
SLOPE,LIN,KL,FIXED,0.3,MRMC,0.270227095270967
SLOPE,LIN,KL,FIXED,0.4,MACE,0.10252561408700797
SLOPE,LIN,KL,FIXED,0.4,MAP,0.13057831517730897
SLOPE,LIN,KL,FIXED,0.4,MRR,0.3241331848908055
SLOPE,LIN,KL,FIXED,0.4,MRMC,0.2690120901817972
SLOPE,LIN,KL,FIXED,0.5,MACE,0.1027584969254546
SLOPE,LIN,KL,FIXED,0.5,MAP,0.13060702894159537
SLOPE,LIN,KL,FIXED,0.5,MRR,0.3239993047628442
SLOPE,LIN,KL,FIXED,0.5,MRMC,0.26830273533188786
SLOPE,LIN,KL,FIXED,0.6,MACE,0.10297606458189472
SLOPE,LIN,KL,FIXED,0.6,MAP,0.13078945823174887
SLOPE,LIN,KL,FIXED,0.6,MRR,0.3243138056248444
SLOPE,LIN,KL,FIXED,0.6,MRMC,0.26783709406010503
SLOPE,LIN,KL,FIXED,0.7,MACE,0.10331290815823221
SLOPE,LIN,KL,FIXED,0.7,MAP,0.13086932829756148
SLOPE,LIN,KL,FIXED,0.7,MRR,0.32385837831235875
SLOPE,LIN,KL,FIXED,0.7,MRMC,0.2675797841300735
SLOPE,LIN,KL,FIXED,0.8,MACE,0.10361493538522246
SLOPE,LIN,KL,FIXED,0.8,MAP,0.13140346303264325
SLOPE,LIN,KL,FIXED,0.8,MRR,0.3241633666389511
SLOPE,LIN,KL,FIXED,0.8,MRMC,0.2674965515149125
SLOPE,LIN,KL,FIXED,0.9,MACE,0.10376808720528756
SLOPE,LIN,KL,FIXED,0.9,MAP,0.13151006214856467
SLOPE,LIN,KL,FIXED,0.9,MRR,0.3241578470196405
SLOPE,LIN,KL,FIXED,0.9,MRMC,0.2674638149429561
SLOPE,LIN,KL,FIXED,1.0,MACE,0.1039410755976456
SLOPE,LIN,KL,FIXED,1.0,MAP,0.13174378866669487
SLOPE,LIN,KL,FIXED,1.0,MRR,0.3248977108846893
SLOPE,LIN,KL,FIXED,1.0,MRMC,0.2674526828740897
SLOPE,LIN,KL,FIXED,CGR,MACE,0.10364577619940153
SLOPE,LIN,KL,FIXED,CGR,MAP,0.13152188822653457
SLOPE,LIN,KL,FIXED,CGR,MRR,0.3245394053843299
SLOPE,LIN,KL,FIXED,CGR,MRMC,0.2675170590063975
SLOPE,LIN,KL,FIXED,VAR,MACE,0.10385970208148367
SLOPE,LIN,KL,FIXED,VAR,MAP,0.13152815945358118
SLOPE,LIN,KL,FIXED,VAR,MRR,0.32438614786942693
SLOPE,LIN,KL,FIXED,VAR,MRMC,0.26745764690430673
SLOPE,LIN,HE,FIXED,0.0,MACE,0.061534573016342776
SLOPE,LIN,HE,FIXED,0.0,MAP,0.006636156090136558
SLOPE,LIN,HE,FIXED,0.0,MRR,0.017903766024511807
SLOPE,LIN,HE,FIXED,0.0,MRMC,0.8781615364775286
SLOPE,LIN,HE,FIXED,0.1,MACE,0.056286177698858963
SLOPE,LIN,HE,FIXED,0.1,MAP,0.010567968827069153
SLOPE,LIN,HE,FIXED,0.1,MRR,0.03048791085932252
SLOPE,LIN,HE,FIXED,0.1,MRMC,0.825031461314438
SLOPE,LIN,HE,FIXED,0.2,MACE,0.054299376870211434
SLOPE,LIN,HE,FIXED,0.2,MAP,0.013045091766607009
SLOPE,LIN,HE,FIXED,0.2,MRR,0.0389140207725588
SLOPE,LIN,HE,FIXED,0.2,MRMC,0.8042872419848561
SLOPE,LIN,HE,FIXED,0.3,MACE,0.05326753148531781
SLOPE,LIN,HE,FIXED,0.3,MAP,0.019534238081145447
SLOPE,LIN,HE,FIXED,0.3,MRR,0.05790644362707104
SLOPE,LIN,HE,FIXED,0.3,MRMC,0.77118970580734
SLOPE,LIN,HE,FIXED,0.4,MACE,0.05474492453388577
SLOPE,LIN,HE,FIXED,0.4,MAP,0.029403740187995887
SLOPE,LIN,HE,FIXED,0.4,MRR,0.07938257773268131
