algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SLOPE,LIN,KL,FIXED,0.0,MACE,0.07782300154549342
SLOPE,LIN,KL,FIXED,0.0,MAP,0.008193569526064348
SLOPE,LIN,KL,FIXED,0.0,MRR,0.02297179435386006
SLOPE,LIN,KL,FIXED,0.0,MRMC,0.7041093059297253
SLOPE,LIN,KL,FIXED,0.1,MACE,0.10537126807185997
SLOPE,LIN,KL,FIXED,0.1,MAP,0.11958669012309142
SLOPE,LIN,KL,FIXED,0.1,MRR,0.2985930842693198
SLOPE,LIN,KL,FIXED,0.1,MRMC,0.29787377674842874
SLOPE,LIN,KL,FIXED,0.2,MACE,0.11100196748983371
SLOPE,LIN,KL,FIXED,0.2,MAP,0.13399708908587274
SLOPE,LIN,KL,FIXED,0.2,MRR,0.3369679830762992
SLOPE,LIN,KL,FIXED,0.2,MRMC,0.2709387646595245
SLOPE,LIN,KL,FIXED,0.3,MACE,0.11112286891804501
SLOPE,LIN,KL,FIXED,0.3,MAP,0.13491826265871842
SLOPE,LIN,KL,FIXED,0.3,MRR,0.3403008153378086
SLOPE,LIN,KL,FIXED,0.3,MRMC,0.26855582659850574
SLOPE,LIN,KL,FIXED,0.4,MACE,0.1108304747185777
SLOPE,LIN,KL,FIXED,0.4,MAP,0.13542969649140116
SLOPE,LIN,KL,FIXED,0.4,MRR,0.3424846272730262
SLOPE,LIN,KL,FIXED,0.4,MRMC,0.2674317653830691
SLOPE,LIN,KL,FIXED,0.5,MACE,0.110704600857146
SLOPE,LIN,KL,FIXED,0.5,MAP,0.13586495957759645
SLOPE,LIN,KL,FIXED,0.5,MRR,0.3431965015791592
SLOPE,LIN,KL,FIXED,0.5,MRMC,0.2668147244581555
SLOPE,LIN,KL,FIXED,0.6,MACE,0.11069169379500839
SLOPE,LIN,KL,FIXED,0.6,MAP,0.13608817141667098
SLOPE,LIN,KL,FIXED,0.6,MRR,0.3434631265942305
SLOPE,LIN,KL,FIXED,0.6,MRMC,0.26645209299919986
SLOPE,LIN,KL,FIXED,0.7,MACE,0.1107702180132189
SLOPE,LIN,KL,FIXED,0.7,MAP,0.13617367071125577
