algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVD,LIN,KL,FIXED,0.0,MACE,0.07139884910065437
SVD,LIN,KL,FIXED,0.0,MAP,0.07104579170131109
SVD,LIN,KL,FIXED,0.0,MRR,0.1657821183124527
SVD,LIN,KL,FIXED,0.0,MRMC,0.6458866438637123
SVD,LIN,KL,FIXED,0.1,MACE,0.11069294498701128
SVD,LIN,KL,FIXED,0.1,MAP,0.13542734771722637
SVD,LIN,KL,FIXED,0.1,MRR,0.32517780220502923
SVD,LIN,KL,FIXED,0.1,MRMC,0.2754512991504046
SVD,LIN,KL,FIXED,0.2,MACE,0.11189140278188814
SVD,LIN,KL,FIXED,0.2,MAP,0.13301589650361476
SVD,LIN,KL,FIXED,0.2,MRR,0.32341187634173724
SVD,LIN,KL,FIXED,0.2,MRMC,0.2677687211961269
SVD,LIN,KL,FIXED,0.3,MACE,0.11188339252244255
SVD,LIN,KL,FIXED,0.3,MAP,0.13278835900543506
SVD,LIN,KL,FIXED,0.3,MRR,0.32499988256129125
SVD,LIN,KL,FIXED,0.3,MRMC,0.26542020949419476
SVD,LIN,KL,FIXED,0.4,MACE,0.11233795830456085
SVD,LIN,KL,FIXED,0.4,MAP,0.1320649952789639
SVD,LIN,KL,FIXED,0.4,MRR,0.32415643775513553
SVD,LIN,KL,FIXED,0.4,MRMC,0.2642607036820916
SVD,LIN,KL,FIXED,0.5,MACE,0.11295623951859524
SVD,LIN,KL,FIXED,0.5,MAP,0.1312613621950704
SVD,LIN,KL,FIXED,0.5,MRR,0.3231165179892614
SVD,LIN,KL,FIXED,0.5,MRMC,0.26377244127398447
SVD,LIN,KL,FIXED,0.6,MACE,0.113367082634573
SVD,LIN,KL,FIXED,0.6,MAP,0.13096949177224407
SVD,LIN,KL,FIXED,0.6,MRR,0.3227408315600089
SVD,LIN,KL,FIXED,0.6,MRMC,0.2635995686245907
SVD,LIN,KL,FIXED,0.7,MACE,0.11359623491499787
SVD,LIN,KL,FIXED,0.7,MAP,0.13056618375869633
SVD,LIN,KL,FIXED,0.7,MRR,0.3219164118246687
SVD,LIN,KL,FIXED,0.7,MRMC,0.26349166773751925
SVD,LIN,KL,FIXED,0.8,MACE,0.11376475452961099
SVD,LIN,KL,FIXED,0.8,MAP,0.1304432136867769
SVD,LIN,KL,FIXED,0.8,MRR,0.3216164733625521
SVD,LIN,KL,FIXED,0.8,MRMC,0.2634312837807688
SVD,LIN,KL,FIXED,0.9,MACE,0.11387212850613265
SVD,LIN,KL,FIXED,0.9,MAP,0.13035789446487878
SVD,LIN,KL,FIXED,0.9,MRR,0.32120884360452284
SVD,LIN,KL,FIXED,0.9,MRMC,0.26341901731687856
SVD,LIN,KL,FIXED,1.0,MACE,0.11393791884515472
SVD,LIN,KL,FIXED,1.0,MAP,0.13061959488343033
SVD,LIN,KL,FIXED,1.0,MRR,0.32157548725320256
SVD,LIN,KL,FIXED,1.0,MRMC,0.2633742452148107
SVD,LIN,KL,FIXED,CGR,MACE,0.11382603005491433
SVD,LIN,KL,FIXED,CGR,MAP,0.1304232138746788
SVD,LIN,KL,FIXED,CGR,MRR,0.32106920897983343
SVD,LIN,KL,FIXED,CGR,MRMC,0.26345521414789064
SVD,LIN,KL,FIXED,VAR,MACE,0.11389069251257768
SVD,LIN,KL,FIXED,VAR,MAP,0.13040226280903994
SVD,LIN,KL,FIXED,VAR,MRR,0.3213675033000277
SVD,LIN,KL,FIXED,VAR,MRMC,0.2634052139409139
SVD,LIN,HE,FIXED,0.0,MACE,0.07139884910065437
SVD,LIN,HE,FIXED,0.0,MAP,0.07104579170131109
SVD,LIN,HE,FIXED,0.0,MRR,0.1657821183124527
SVD,LIN,HE,FIXED,0.0,MRMC,0.8661486377507215
SVD,LIN,HE,FIXED,0.1,MACE,0.06862211042057151
SVD,LIN,HE,FIXED,0.1,MAP,0.07969037284441251
SVD,LIN,HE,FIXED,0.1,MRR,0.1874862009517233
SVD,LIN,HE,FIXED,0.1,MRMC,0.815646179590725
SVD,LIN,HE,FIXED,0.2,MACE,0.06625325211272237
SVD,LIN,HE,FIXED,0.2,MAP,0.08969578676888533
SVD,LIN,HE,FIXED,0.2,MRR,0.20937278334437256
SVD,LIN,HE,FIXED,0.2,MRMC,0.7622588370784423
SVD,LIN,HE,FIXED,0.3,MACE,0.06564080924665416
SVD,LIN,HE,FIXED,0.3,MAP,0.10151835332140156
SVD,LIN,HE,FIXED,0.3,MRR,0.2340964500627123
SVD,LIN,HE,FIXED,0.3,MRMC,0.6908578913449506
SVD,LIN,HE,FIXED,0.4,MACE,0.06807040873368188
SVD,LIN,HE,FIXED,0.4,MAP,0.11601327292286157
SVD,LIN,HE,FIXED,0.4,MRR,0.2616474536939172
SVD,LIN,HE,FIXED,0.4,MRMC,0.6044741165813321
SVD,LIN,HE,FIXED,0.5,MACE,0.07491861990727039
SVD,LIN,HE,FIXED,0.5,MAP,0.12801701217134775
SVD,LIN,HE,FIXED,0.5,MRR,0.28698274120736383
SVD,LIN,HE,FIXED,0.5,MRMC,0.5378209170351056
SVD,LIN,HE,FIXED,0.6,MACE,0.08155334089638618
SVD,LIN,HE,FIXED,0.6,MAP,0.13697867782804155
SVD,LIN,HE,FIXED,0.6,MRR,0.3115880297072957
SVD,LIN,HE,FIXED,0.6,MRMC,0.4985473858067651
SVD,LIN,HE,FIXED,0.7,MACE,0.08649742034132386
SVD,LIN,HE,FIXED,0.7,MAP,0.13979941468547563
SVD,LIN,HE,FIXED,0.7,MRR,0.3226042503417466
SVD,LIN,HE,FIXED,0.7,MRMC,0.47981440847010826
SVD,LIN,HE,FIXED,0.8,MACE,0.08937115846239846
SVD,LIN,HE,FIXED,0.8,MAP,0.14055481569169048
SVD,LIN,HE,FIXED,0.8,MRR,0.32923366545000166
SVD,LIN,HE,FIXED,0.8,MRMC,0.47050253954011023
SVD,LIN,HE,FIXED,0.9,MACE,0.08939484890335733
SVD,LIN,HE,FIXED,0.9,MAP,0.1411214692052218
SVD,LIN,HE,FIXED,0.9,MRR,0.32881875449203063
SVD,LIN,HE,FIXED,0.9,MRMC,0.46617482956827205
SVD,LIN,HE,FIXED,1.0,MACE,0.08838493965999145
SVD,LIN,HE,FIXED,1.0,MAP,0.14064762750320609
SVD,LIN,HE,FIXED,1.0,MRR,0.33148860609647823
SVD,LIN,HE,FIXED,1.0,MRMC,0.46434322495998986
SVD,LIN,HE,FIXED,CGR,MACE,0.08948077833678603
SVD,LIN,HE,FIXED,CGR,MAP,0.14094488836276348
SVD,LIN,HE,FIXED,CGR,MRR,0.3319259478478182
SVD,LIN,HE,FIXED,CGR,MRMC,0.46871979262607
SVD,LIN,HE,FIXED,VAR,MACE,0.08855062477393048
