algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVD,LIN,KL,FIXED,0.0,MACE,0.06482920160468252
SVD,LIN,KL,FIXED,0.0,MAP,0.05972696674605524
SVD,LIN,KL,FIXED,0.0,MRR,0.13598169365408194
SVD,LIN,KL,FIXED,0.0,MRMC,0.6553521180222207
SVD,LIN,KL,FIXED,0.1,MACE,0.10655234399833392
SVD,LIN,KL,FIXED,0.1,MAP,0.127403939050876
SVD,LIN,KL,FIXED,0.1,MRR,0.3060504422741771
SVD,LIN,KL,FIXED,0.1,MRMC,0.27878283487344624
SVD,LIN,KL,FIXED,0.2,MACE,0.10885915019784509
SVD,LIN,KL,FIXED,0.2,MAP,0.12607546846300915
SVD,LIN,KL,FIXED,0.2,MRR,0.3056253141485459
SVD,LIN,KL,FIXED,0.2,MRMC,0.2706891423294459
SVD,LIN,KL,FIXED,0.3,MACE,0.10945098045663303
SVD,LIN,KL,FIXED,0.3,MAP,0.12540145248194967
SVD,LIN,KL,FIXED,0.3,MRR,0.3061482295723195
SVD,LIN,KL,FIXED,0.3,MRMC,0.2684282103020034
SVD,LIN,KL,FIXED,0.4,MACE,0.11005561364857014
SVD,LIN,KL,FIXED,0.4,MAP,0.12539895495207717
SVD,LIN,KL,FIXED,0.4,MRR,0.3062170486556399
SVD,LIN,KL,FIXED,0.4,MRMC,0.26740885029008216
SVD,LIN,KL,FIXED,0.5,MACE,0.11066492935670207
SVD,LIN,KL,FIXED,0.5,MAP,0.12490252195712388
SVD,LIN,KL,FIXED,0.5,MRR,0.30531492364135154
SVD,LIN,KL,FIXED,0.5,MRMC,0.26693620162749365
SVD,LIN,KL,FIXED,0.6,MACE,0.1111274549779137
SVD,LIN,KL,FIXED,0.6,MAP,0.1249665651996223
SVD,LIN,KL,FIXED,0.6,MRR,0.3055917658240831
SVD,LIN,KL,FIXED,0.6,MRMC,0.266702076757372
SVD,LIN,KL,FIXED,0.7,MACE,0.11145345653436806
SVD,LIN,KL,FIXED,0.7,MAP,0.12474299321517433
SVD,LIN,KL,FIXED,0.7,MRR,0.30535829767111217
SVD,LIN,KL,FIXED,0.7,MRMC,0.266581733302536
SVD,LIN,KL,FIXED,0.8,MACE,0.1116368868720748
SVD,LIN,KL,FIXED,0.8,MAP,0.12473950528552484
SVD,LIN,KL,FIXED,0.8,MRR,0.3052896351727367
SVD,LIN,KL,FIXED,0.8,MRMC,0.26653830537662887
SVD,LIN,KL,FIXED,0.9,MACE,0.1117802604320805
SVD,LIN,KL,FIXED,0.9,MAP,0.12474827404244392
SVD,LIN,KL,FIXED,0.9,MRR,0.30529989148663317
SVD,LIN,KL,FIXED,0.9,MRMC,0.26652930807604597
SVD,LIN,KL,FIXED,1.0,MACE,0.11187888976576459
SVD,LIN,KL,FIXED,1.0,MAP,0.12480240545792487
SVD,LIN,KL,FIXED,1.0,MRR,0.305441835739261
SVD,LIN,KL,FIXED,1.0,MRMC,0.2665016809918989
SVD,LIN,KL,FIXED,CGR,MACE,0.11169217772078084
SVD,LIN,KL,FIXED,CGR,MAP,0.12477316321944913
SVD,LIN,KL,FIXED,CGR,MRR,0.3053041192801477
SVD,LIN,KL,FIXED,CGR,MRMC,0.26654756971621935
