algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVDpp,LIN,KL,FIXED,0.0,MACE,0.0705021127223702
SVDpp,LIN,KL,FIXED,0.0,MAP,0.07553031797704779
SVDpp,LIN,KL,FIXED,0.0,MRR,0.1738553249059316
SVDpp,LIN,KL,FIXED,0.0,MRMC,0.6473367530805676
SVDpp,LIN,KL,FIXED,0.1,MACE,0.11074455131366939
SVDpp,LIN,KL,FIXED,0.1,MAP,0.13632430934295392
SVDpp,LIN,KL,FIXED,0.1,MRR,0.32553939598923315
SVDpp,LIN,KL,FIXED,0.1,MRMC,0.27551574000409407
SVDpp,LIN,KL,FIXED,0.2,MACE,0.11208276774851206
SVDpp,LIN,KL,FIXED,0.2,MAP,0.13574990487464594
SVDpp,LIN,KL,FIXED,0.2,MRR,0.32762405050803983
SVDpp,LIN,KL,FIXED,0.2,MRMC,0.26772125529921287
SVDpp,LIN,KL,FIXED,0.3,MACE,0.11207569300582026
SVDpp,LIN,KL,FIXED,0.3,MAP,0.1343383033394871
SVDpp,LIN,KL,FIXED,0.3,MRR,0.32641102608548594
SVDpp,LIN,KL,FIXED,0.3,MRMC,0.2652462048866897
SVDpp,LIN,KL,FIXED,0.4,MACE,0.1124589605734767
SVDpp,LIN,KL,FIXED,0.4,MAP,0.13421343076048609
SVDpp,LIN,KL,FIXED,0.4,MRR,0.32735769951662225
SVDpp,LIN,KL,FIXED,0.4,MRMC,0.26417644344979485
SVDpp,LIN,KL,FIXED,0.5,MACE,0.11311563250139751
SVDpp,LIN,KL,FIXED,0.5,MAP,0.13357559764558877
SVDpp,LIN,KL,FIXED,0.5,MRR,0.3268415563917192
SVDpp,LIN,KL,FIXED,0.5,MRMC,0.26372444858524197
SVDpp,LIN,KL,FIXED,0.6,MACE,0.11357227154647989
SVDpp,LIN,KL,FIXED,0.6,MAP,0.13339511783800034
SVDpp,LIN,KL,FIXED,0.6,MRR,0.32659810594850547
SVDpp,LIN,KL,FIXED,0.6,MRMC,0.2634941290693383
SVDpp,LIN,KL,FIXED,0.7,MACE,0.11385644503633553
SVDpp,LIN,KL,FIXED,0.7,MAP,0.13299904404891086
SVDpp,LIN,KL,FIXED,0.7,MRR,0.32580809575482556
SVDpp,LIN,KL,FIXED,0.7,MRMC,0.26343286034800484
SVDpp,LIN,KL,FIXED,0.8,MACE,0.11409388050376508
SVDpp,LIN,KL,FIXED,0.8,MAP,0.13283279781282148
SVDpp,LIN,KL,FIXED,0.8,MRR,0.32537803520342734
SVDpp,LIN,KL,FIXED,0.8,MRMC,0.2634036849647798
SVDpp,LIN,KL,FIXED,0.9,MACE,0.11414845615073493
SVDpp,LIN,KL,FIXED,0.9,MAP,0.13269127242492143
SVDpp,LIN,KL,FIXED,0.9,MRR,0.3248773939880776
SVDpp,LIN,KL,FIXED,0.9,MRMC,0.26341135216702904
SVDpp,LIN,KL,FIXED,1.0,MACE,0.11422013251783893
SVDpp,LIN,KL,FIXED,1.0,MAP,0.13274300417612048
SVDpp,LIN,KL,FIXED,1.0,MRR,0.3251109795797573
SVDpp,LIN,KL,FIXED,1.0,MRMC,0.2633787503089161
SVDpp,LIN,KL,FIXED,CGR,MACE,0.11413662983788761
SVDpp,LIN,KL,FIXED,CGR,MAP,0.13272503605368358
SVDpp,LIN,KL,FIXED,CGR,MRR,0.3248044645499514
SVDpp,LIN,KL,FIXED,CGR,MRMC,0.26340359039090505
SVDpp,LIN,KL,FIXED,VAR,MACE,0.11419394791358391
SVDpp,LIN,KL,FIXED,VAR,MAP,0.1326402100743622
SVDpp,LIN,KL,FIXED,VAR,MRR,0.3249880212517088
SVDpp,LIN,KL,FIXED,VAR,MRMC,0.26340187331861775
SVDpp,LIN,HE,FIXED,0.0,MACE,0.0705021127223702
SVDpp,LIN,HE,FIXED,0.0,MAP,0.07553031797704779
SVDpp,LIN,HE,FIXED,0.0,MRR,0.1738553249059316
SVDpp,LIN,HE,FIXED,0.0,MRMC,0.8657960643099908
SVDpp,LIN,HE,FIXED,0.1,MACE,0.06804530761895367
SVDpp,LIN,HE,FIXED,0.1,MAP,0.08447422690098037
SVDpp,LIN,HE,FIXED,0.1,MRR,0.19621729919155192
SVDpp,LIN,HE,FIXED,0.1,MRMC,0.8166568992058837
SVDpp,LIN,HE,FIXED,0.2,MACE,0.06604065469731348
SVDpp,LIN,HE,FIXED,0.2,MAP,0.09399796596156466
SVDpp,LIN,HE,FIXED,0.2,MRR,0.21654394321603557
SVDpp,LIN,HE,FIXED,0.2,MRMC,0.7649515193123764
SVDpp,LIN,HE,FIXED,0.3,MACE,0.06527444181381736
SVDpp,LIN,HE,FIXED,0.3,MAP,0.10557896109020701
SVDpp,LIN,HE,FIXED,0.3,MRR,0.24031753078068557
SVDpp,LIN,HE,FIXED,0.3,MRMC,0.6943639516890602
SVDpp,LIN,HE,FIXED,0.4,MACE,0.0678396402617474
SVDpp,LIN,HE,FIXED,0.4,MAP,0.12009285878699907
SVDpp,LIN,HE,FIXED,0.4,MRR,0.26826535980871585
SVDpp,LIN,HE,FIXED,0.4,MRMC,0.6069282965320861
SVDpp,LIN,HE,FIXED,0.5,MACE,0.07487083456643977
SVDpp,LIN,HE,FIXED,0.5,MAP,0.13140220643845976
SVDpp,LIN,HE,FIXED,0.5,MRR,0.292710579348638
SVDpp,LIN,HE,FIXED,0.5,MRMC,0.5392216438563829
SVDpp,LIN,HE,FIXED,0.6,MACE,0.08128942981158133
SVDpp,LIN,HE,FIXED,0.6,MAP,0.1389378960620452
SVDpp,LIN,HE,FIXED,0.6,MRR,0.315412773573472
SVDpp,LIN,HE,FIXED,0.6,MRMC,0.49939445801677085
SVDpp,LIN,HE,FIXED,0.7,MACE,0.08650232317253624
SVDpp,LIN,HE,FIXED,0.7,MAP,0.14227458814244845
SVDpp,LIN,HE,FIXED,0.7,MRR,0.32843907514668097
SVDpp,LIN,HE,FIXED,0.7,MRMC,0.479818663049502
SVDpp,LIN,HE,FIXED,0.8,MACE,0.08940585150110159
SVDpp,LIN,HE,FIXED,0.8,MAP,0.142685541415935
SVDpp,LIN,HE,FIXED,0.8,MRR,0.3325858359522166
SVDpp,LIN,HE,FIXED,0.8,MRMC,0.4704081686059172
SVDpp,LIN,HE,FIXED,0.9,MACE,0.08939924040643187
SVDpp,LIN,HE,FIXED,0.9,MAP,0.14365459866495675
SVDpp,LIN,HE,FIXED,0.9,MRR,0.33358018949910034
SVDpp,LIN,HE,FIXED,0.9,MRMC,0.46588571854528815
SVDpp,LIN,HE,FIXED,1.0,MACE,0.08841737364769325
SVDpp,LIN,HE,FIXED,1.0,MAP,0.1428421576779079
SVDpp,LIN,HE,FIXED,1.0,MRR,0.33492932538508147
SVDpp,LIN,HE,FIXED,1.0,MRMC,0.4641814456514326
SVDpp,LIN,HE,FIXED,CGR,MACE,0.08952298345993227
SVDpp,LIN,HE,FIXED,CGR,MAP,0.1432752716357333
SVDpp,LIN,HE,FIXED,CGR,MRR,0.3372259567731601
SVDpp,LIN,HE,FIXED,CGR,MRMC,0.468681188576478
SVDpp,LIN,HE,FIXED,VAR,MACE,0.08861023313932458
SVDpp,LIN,HE,FIXED,VAR,MAP,0.14414497573716278
SVDpp,LIN,HE,FIXED,VAR,MRR,0.33622314763924704
SVDpp,LIN,HE,FIXED,VAR,MRMC,0.4645132254638412
SVDpp,LIN,CHI,FIXED,0.0,MACE,0.0705021127223702
SVDpp,LIN,CHI,FIXED,0.0,MAP,0.07553031797704779
SVDpp,LIN,CHI,FIXED,0.0,MRR,0.1738553249059316
SVDpp,LIN,CHI,FIXED,0.0,MRMC,0.6516795481624224
SVDpp,LIN,CHI,FIXED,0.1,MACE,0.10096377462102529
SVDpp,LIN,CHI,FIXED,0.1,MAP,0.14232505155559314
SVDpp,LIN,CHI,FIXED,0.1,MRR,0.3338459532969743
SVDpp,LIN,CHI,FIXED,0.1,MRMC,0.22981059646241905
SVDpp,LIN,CHI,FIXED,0.2,MACE,0.09675243333004505
SVDpp,LIN,CHI,FIXED,0.2,MAP,0.143084081417908
SVDpp,LIN,CHI,FIXED,0.2,MRR,0.3352226872795088
SVDpp,LIN,CHI,FIXED,0.2,MRMC,0.22966970132358788
SVDpp,LIN,CHI,FIXED,0.3,MACE,0.0951685031731939
SVDpp,LIN,CHI,FIXED,0.3,MAP,0.14279650925182147
SVDpp,LIN,CHI,FIXED,0.3,MRR,0.33517465484763503
SVDpp,LIN,CHI,FIXED,0.3,MRMC,0.22963531144040367
SVDpp,LIN,CHI,FIXED,0.4,MACE,0.09425388181907864
SVDpp,LIN,CHI,FIXED,0.4,MAP,0.14313207861816918
SVDpp,LIN,CHI,FIXED,0.4,MRR,0.3354399488906739
SVDpp,LIN,CHI,FIXED,0.4,MRMC,0.22961056640008767
SVDpp,LIN,CHI,FIXED,0.5,MACE,0.09364736772878232
SVDpp,LIN,CHI,FIXED,0.5,MAP,0.14299673050634873
SVDpp,LIN,CHI,FIXED,0.5,MRR,0.3349450621720524
SVDpp,LIN,CHI,FIXED,0.5,MRMC,0.22957740299769472
SVDpp,LIN,CHI,FIXED,0.6,MACE,0.09324313735161618
SVDpp,LIN,CHI,FIXED,0.6,MAP,0.1429018400296885
SVDpp,LIN,CHI,FIXED,0.6,MRR,0.3353677240848002
SVDpp,LIN,CHI,FIXED,0.6,MRMC,0.22958452124386564
SVDpp,LIN,CHI,FIXED,0.7,MACE,0.0929776314491467
SVDpp,LIN,CHI,FIXED,0.7,MAP,0.1426950069758593
SVDpp,LIN,CHI,FIXED,0.7,MRR,0.3354441766841885
SVDpp,LIN,CHI,FIXED,0.7,MRMC,0.2295740665129074
SVDpp,LIN,CHI,FIXED,0.8,MACE,0.09277559106902108
SVDpp,LIN,CHI,FIXED,0.8,MAP,0.14262136116160976
SVDpp,LIN,CHI,FIXED,0.8,MRR,0.3354430022971011
SVDpp,LIN,CHI,FIXED,0.8,MRMC,0.2295696357862182
SVDpp,LIN,CHI,FIXED,0.9,MACE,0.09267491532669102
SVDpp,LIN,CHI,FIXED,0.9,MAP,0.14239270799569706
SVDpp,LIN,CHI,FIXED,0.9,MRR,0.3357149903465381
SVDpp,LIN,CHI,FIXED,0.9,MRMC,0.22957496283824688
SVDpp,LIN,CHI,FIXED,1.0,MACE,0.09264428331853605
SVDpp,LIN,CHI,FIXED,1.0,MAP,0.14227383653471254
SVDpp,LIN,CHI,FIXED,1.0,MRR,0.3353013712143632
SVDpp,LIN,CHI,FIXED,1.0,MRMC,0.22957493882209412
SVDpp,LIN,CHI,FIXED,CGR,MACE,0.09282526552892045
SVDpp,LIN,CHI,FIXED,CGR,MAP,0.14245234337199414
SVDpp,LIN,CHI,FIXED,CGR,MRR,0.3359515119059363
