algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVDpp,LIN,KL,FIXED,0.0,MACE,0.06525100457071455
SVDpp,LIN,KL,FIXED,0.0,MAP,0.0639171563860821
SVDpp,LIN,KL,FIXED,0.0,MRR,0.14298017947766395
SVDpp,LIN,KL,FIXED,0.0,MRMC,0.6563436491114073
SVDpp,LIN,KL,FIXED,0.1,MACE,0.10667584974735018
SVDpp,LIN,KL,FIXED,0.1,MAP,0.12888030020465652
SVDpp,LIN,KL,FIXED,0.1,MRR,0.3081122745372524
SVDpp,LIN,KL,FIXED,0.1,MRMC,0.2788597414821112
SVDpp,LIN,KL,FIXED,0.2,MACE,0.10903347856586981
SVDpp,LIN,KL,FIXED,0.2,MAP,0.12793166554708432
SVDpp,LIN,KL,FIXED,0.2,MRR,0.3096658320689099
SVDpp,LIN,KL,FIXED,0.2,MRMC,0.2706074344978178
SVDpp,LIN,KL,FIXED,0.3,MACE,0.1096042254447404
SVDpp,LIN,KL,FIXED,0.3,MAP,0.12698982667612438
SVDpp,LIN,KL,FIXED,0.3,MRR,0.30949664203585486
SVDpp,LIN,KL,FIXED,0.3,MRMC,0.2683105353251753
SVDpp,LIN,KL,FIXED,0.4,MACE,0.11024057523045389
SVDpp,LIN,KL,FIXED,0.4,MAP,0.12686215122660816
SVDpp,LIN,KL,FIXED,0.4,MRR,0.3097251777630588
SVDpp,LIN,KL,FIXED,0.4,MRMC,0.26734062222779115
SVDpp,LIN,KL,FIXED,0.5,MACE,0.11088884668924621
SVDpp,LIN,KL,FIXED,0.5,MAP,0.12653194098000253
SVDpp,LIN,KL,FIXED,0.5,MRR,0.3096084436865733
SVDpp,LIN,KL,FIXED,0.5,MRMC,0.266886527429465
SVDpp,LIN,KL,FIXED,0.6,MACE,0.11136791676257494
SVDpp,LIN,KL,FIXED,0.6,MAP,0.126531060189687
SVDpp,LIN,KL,FIXED,0.6,MRR,0.3094628979802108
SVDpp,LIN,KL,FIXED,0.6,MRMC,0.2666466281462172
SVDpp,LIN,KL,FIXED,0.7,MACE,0.11167440947902622
SVDpp,LIN,KL,FIXED,0.7,MAP,0.12627779969967007
SVDpp,LIN,KL,FIXED,0.7,MRR,0.3089711821067252
SVDpp,LIN,KL,FIXED,0.7,MRMC,0.2665447404789509
SVDpp,LIN,KL,FIXED,0.8,MACE,0.11188334758256334
SVDpp,LIN,KL,FIXED,0.8,MAP,0.12641897668606755
SVDpp,LIN,KL,FIXED,0.8,MRR,0.3093471817058677
