algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
USER_KNN,LIN,KL,FIXED,0.0,MACE,0.077127307553188
USER_KNN,LIN,KL,FIXED,0.0,MAP,0.007823637593539932
USER_KNN,LIN,KL,FIXED,0.0,MRR,0.02172510416813465
USER_KNN,LIN,KL,FIXED,0.0,MRMC,0.670613923899935
USER_KNN,LIN,KL,FIXED,0.1,MACE,0.11047704613462235
USER_KNN,LIN,KL,FIXED,0.1,MAP,0.05874351151134223
USER_KNN,LIN,KL,FIXED,0.1,MRR,0.15846286822907124
USER_KNN,LIN,KL,FIXED,0.1,MRMC,0.2818140366027609
USER_KNN,LIN,KL,FIXED,0.2,MACE,0.11213355036006709
USER_KNN,LIN,KL,FIXED,0.2,MAP,0.06691086871761628
USER_KNN,LIN,KL,FIXED,0.2,MRR,0.17791565082183605
USER_KNN,LIN,KL,FIXED,0.2,MRMC,0.27025975399985336
USER_KNN,LIN,KL,FIXED,0.3,MACE,0.11265068067475584
USER_KNN,LIN,KL,FIXED,0.3,MAP,0.06863222659094219
USER_KNN,LIN,KL,FIXED,0.3,MRR,0.18373779224622666
USER_KNN,LIN,KL,FIXED,0.3,MRMC,0.26821384696693507
USER_KNN,LIN,KL,FIXED,0.4,MACE,0.1131138634046891
USER_KNN,LIN,KL,FIXED,0.4,MAP,0.06895904677348892
USER_KNN,LIN,KL,FIXED,0.4,MRR,0.1841421337204113
USER_KNN,LIN,KL,FIXED,0.4,MRMC,0.26745371950024827
USER_KNN,LIN,KL,FIXED,0.5,MACE,0.11348127980007233
USER_KNN,LIN,KL,FIXED,0.5,MAP,0.06916052462219968
USER_KNN,LIN,KL,FIXED,0.5,MRR,0.18404524678570255
USER_KNN,LIN,KL,FIXED,0.5,MRMC,0.26705407225867756
USER_KNN,LIN,KL,FIXED,0.6,MACE,0.11360532866397029
USER_KNN,LIN,KL,FIXED,0.6,MAP,0.07002056351790001
USER_KNN,LIN,KL,FIXED,0.6,MRR,0.1865553817462666
USER_KNN,LIN,KL,FIXED,0.6,MRMC,0.2668082895506802
USER_KNN,LIN,KL,FIXED,0.7,MACE,0.11360854953799612
USER_KNN,LIN,KL,FIXED,0.7,MAP,0.0701587184148593
USER_KNN,LIN,KL,FIXED,0.7,MRR,0.18691169078857744
USER_KNN,LIN,KL,FIXED,0.7,MRMC,0.26669715984642023
USER_KNN,LIN,KL,FIXED,0.8,MACE,0.11352292262668114
USER_KNN,LIN,KL,FIXED,0.8,MAP,0.07086513573565957
USER_KNN,LIN,KL,FIXED,0.8,MRR,0.1892851270921706
USER_KNN,LIN,KL,FIXED,0.8,MRMC,0.266618914746719
USER_KNN,LIN,KL,FIXED,0.9,MACE,0.11341839301568511
USER_KNN,LIN,KL,FIXED,0.9,MAP,0.07104494614260817
USER_KNN,LIN,KL,FIXED,0.9,MRR,0.18973444759180183
USER_KNN,LIN,KL,FIXED,0.9,MRMC,0.266547778449877
USER_KNN,LIN,KL,FIXED,1.0,MACE,0.11336404919272632
USER_KNN,LIN,KL,FIXED,1.0,MAP,0.0710218576924703
USER_KNN,LIN,KL,FIXED,1.0,MRR,0.19012774982736508
USER_KNN,LIN,KL,FIXED,1.0,MRMC,0.2665532590462454
USER_KNN,LIN,KL,FIXED,CGR,MACE,0.11343613495116898
USER_KNN,LIN,KL,FIXED,CGR,MAP,0.07092062552553821
USER_KNN,LIN,KL,FIXED,CGR,MRR,0.18956016854803479
