algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
USER_KNN,LIN,KL,FIXED,0.0,MACE,0.0737092987186654
USER_KNN,LIN,KL,FIXED,0.0,MAP,0.0068551440503201375
USER_KNN,LIN,KL,FIXED,0.0,MRR,0.019126185543764707
USER_KNN,LIN,KL,FIXED,0.0,MRMC,0.6907608676097352
USER_KNN,LIN,KL,FIXED,0.1,MACE,0.1083085769403615
USER_KNN,LIN,KL,FIXED,0.1,MAP,0.056158035704499155
USER_KNN,LIN,KL,FIXED,0.1,MRR,0.15104105500672535
USER_KNN,LIN,KL,FIXED,0.1,MRMC,0.2857470317714747
USER_KNN,LIN,KL,FIXED,0.2,MACE,0.10997851928578473
USER_KNN,LIN,KL,FIXED,0.2,MAP,0.06404115600401483
USER_KNN,LIN,KL,FIXED,0.2,MRR,0.1709011150413932
USER_KNN,LIN,KL,FIXED,0.2,MRMC,0.27454811931507705
USER_KNN,LIN,KL,FIXED,0.3,MACE,0.11059629794043822
USER_KNN,LIN,KL,FIXED,0.3,MAP,0.06613947647389494
USER_KNN,LIN,KL,FIXED,0.3,MRR,0.17757840599657704
USER_KNN,LIN,KL,FIXED,0.3,MRMC,0.2727186461188125
USER_KNN,LIN,KL,FIXED,0.4,MACE,0.11111797595168416
USER_KNN,LIN,KL,FIXED,0.4,MAP,0.06696874251328232
USER_KNN,LIN,KL,FIXED,0.4,MRR,0.17939158136701785
USER_KNN,LIN,KL,FIXED,0.4,MRMC,0.27192839439809524
USER_KNN,LIN,KL,FIXED,0.5,MACE,0.11151597722315389
USER_KNN,LIN,KL,FIXED,0.5,MAP,0.06755815956319065
USER_KNN,LIN,KL,FIXED,0.5,MRR,0.1805819009725491
USER_KNN,LIN,KL,FIXED,0.5,MRMC,0.2714936334080226
USER_KNN,LIN,KL,FIXED,0.6,MACE,0.11168489581620684
USER_KNN,LIN,KL,FIXED,0.6,MAP,0.06818025980574072
USER_KNN,LIN,KL,FIXED,0.6,MRR,0.18203978510282148
USER_KNN,LIN,KL,FIXED,0.6,MRMC,0.27126873329817486
