algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
BEST_SCORE,LIN,KL,FIXED,0.0,MACE,0.039600491398567826
BEST_SCORE,LIN,KL,FIXED,0.0,MAP,0.038612855387758695
BEST_SCORE,LIN,KL,FIXED,0.0,MRR,0.11589842249705645
BEST_SCORE,LIN,KL,FIXED,0.0,MRMC,0.6023049312224869
BEST_SCORE,LIN,KL,FIXED,0.1,MACE,0.075520817762375
BEST_SCORE,LIN,KL,FIXED,0.1,MAP,0.03994160411668965
BEST_SCORE,LIN,KL,FIXED,0.1,MRR,0.09746120681513383
BEST_SCORE,LIN,KL,FIXED,0.1,MRMC,0.26531612025330326
BEST_SCORE,LIN,KL,FIXED,0.2,MACE,0.08106684938620846
BEST_SCORE,LIN,KL,FIXED,0.2,MAP,0.03401847792038937
BEST_SCORE,LIN,KL,FIXED,0.2,MRR,0.08713202944472778
BEST_SCORE,LIN,KL,FIXED,0.2,MRMC,0.24226573995710132
BEST_SCORE,LIN,KL,FIXED,0.3,MACE,0.08127277017787428
BEST_SCORE,LIN,KL,FIXED,0.3,MAP,0.0306910798498958
BEST_SCORE,LIN,KL,FIXED,0.3,MRR,0.08026260463692286
BEST_SCORE,LIN,KL,FIXED,0.3,MRMC,0.23947398935847306
BEST_SCORE,LIN,KL,FIXED,0.4,MACE,0.08143055250370572
BEST_SCORE,LIN,KL,FIXED,0.4,MAP,0.029130289201658454
BEST_SCORE,LIN,KL,FIXED,0.4,MRR,0.07720453252205285
BEST_SCORE,LIN,KL,FIXED,0.4,MRMC,0.23702564822896793
BEST_SCORE,LIN,KL,FIXED,0.5,MACE,0.08151064949163865
BEST_SCORE,LIN,KL,FIXED,0.5,MAP,0.027919136495501286
BEST_SCORE,LIN,KL,FIXED,0.5,MRR,0.0743939843804109
BEST_SCORE,LIN,KL,FIXED,0.5,MRMC,0.23472629529224984
BEST_SCORE,LIN,KL,FIXED,0.6,MACE,0.08094436516159001
BEST_SCORE,LIN,KL,FIXED,0.6,MAP,0.027028114630752477
BEST_SCORE,LIN,KL,FIXED,0.6,MRR,0.07177242905624501
BEST_SCORE,LIN,KL,FIXED,0.6,MRMC,0.23318888349903108
BEST_SCORE,LIN,KL,FIXED,0.7,MACE,0.08190232422649743
BEST_SCORE,LIN,KL,FIXED,0.7,MAP,0.026124568013606346
BEST_SCORE,LIN,KL,FIXED,0.7,MRR,0.06953952375443102
BEST_SCORE,LIN,KL,FIXED,0.7,MRMC,0.23242759685440187
BEST_SCORE,LIN,KL,FIXED,0.8,MACE,0.08230159554479216
BEST_SCORE,LIN,KL,FIXED,0.8,MAP,0.02505682475538807
BEST_SCORE,LIN,KL,FIXED,0.8,MRR,0.06683706567216335
BEST_SCORE,LIN,KL,FIXED,0.8,MRMC,0.232141565508556
BEST_SCORE,LIN,KL,FIXED,0.9,MACE,0.0823682384418255
BEST_SCORE,LIN,KL,FIXED,0.9,MAP,0.023716428331381482
BEST_SCORE,LIN,KL,FIXED,0.9,MRR,0.06320327896463358
BEST_SCORE,LIN,KL,FIXED,0.9,MRMC,0.23206771955868438
BEST_SCORE,LIN,KL,FIXED,1.0,MACE,0.08228777851573102
BEST_SCORE,LIN,KL,FIXED,1.0,MAP,0.02260514948244272
