algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
BEST_SCORE,LIN,KL,FIXED,0.0,MACE,0.0396004853093662
BEST_SCORE,LIN,KL,FIXED,0.0,MAP,0.03861285538775867
BEST_SCORE,LIN,KL,FIXED,0.0,MRR,0.1158984224970564
BEST_SCORE,LIN,KL,FIXED,0.0,MRMC,0.6023049312558685
BEST_SCORE,LIN,KL,FIXED,0.1,MACE,0.0755208484258544
BEST_SCORE,LIN,KL,FIXED,0.1,MAP,0.03994042322926567
BEST_SCORE,LIN,KL,FIXED,0.1,MRR,0.09745845217632206
BEST_SCORE,LIN,KL,FIXED,0.1,MRMC,0.26531606248410416
BEST_SCORE,LIN,KL,FIXED,0.2,MACE,0.08106679088637893
BEST_SCORE,LIN,KL,FIXED,0.2,MAP,0.0340192698790477
BEST_SCORE,LIN,KL,FIXED,0.2,MRR,0.08713439384304117
BEST_SCORE,LIN,KL,FIXED,0.2,MRMC,0.24226524296751792
BEST_SCORE,LIN,KL,FIXED,0.3,MACE,0.08127302105297947
BEST_SCORE,LIN,KL,FIXED,0.3,MAP,0.0306910798498958
BEST_SCORE,LIN,KL,FIXED,0.3,MRR,0.0802626046369228
BEST_SCORE,LIN,KL,FIXED,0.3,MRMC,0.23947416858946788
BEST_SCORE,LIN,KL,FIXED,0.4,MACE,0.08143053732419604
BEST_SCORE,LIN,KL,FIXED,0.4,MAP,0.0291302892016584
BEST_SCORE,LIN,KL,FIXED,0.4,MRR,0.0772045325220528
BEST_SCORE,LIN,KL,FIXED,0.4,MRMC,0.23702564106734494
BEST_SCORE,LIN,KL,FIXED,0.5,MACE,0.0815106595388212
BEST_SCORE,LIN,KL,FIXED,0.5,MAP,0.027919136495501196
BEST_SCORE,LIN,KL,FIXED,0.5,MRR,0.0743939843804109
BEST_SCORE,LIN,KL,FIXED,0.5,MRMC,0.2347263046531849
BEST_SCORE,LIN,KL,FIXED,0.6,MACE,0.0809443336282246
BEST_SCORE,LIN,KL,FIXED,0.6,MAP,0.027027718815389803
BEST_SCORE,LIN,KL,FIXED,0.6,MRR,0.0717712484967542
BEST_SCORE,LIN,KL,FIXED,0.6,MRMC,0.2331888788214673
BEST_SCORE,LIN,KL,FIXED,0.7,MACE,0.08190213185122162
BEST_SCORE,LIN,KL,FIXED,0.7,MAP,0.0261245680136063
BEST_SCORE,LIN,KL,FIXED,0.7,MRR,0.069539523754431
BEST_SCORE,LIN,KL,FIXED,0.7,MRMC,0.23242756881295704
BEST_SCORE,LIN,KL,FIXED,0.8,MACE,0.08230164330153023
BEST_SCORE,LIN,KL,FIXED,0.8,MAP,0.025056824755387997
BEST_SCORE,LIN,KL,FIXED,0.8,MRR,0.0668370656721633
BEST_SCORE,LIN,KL,FIXED,0.8,MRMC,0.2321416731963284
BEST_SCORE,LIN,KL,FIXED,0.9,MACE,0.0823683034657995
BEST_SCORE,LIN,KL,FIXED,0.9,MAP,0.0237160325160188
BEST_SCORE,LIN,KL,FIXED,0.9,MRR,0.06320313139469717
BEST_SCORE,LIN,KL,FIXED,0.9,MRMC,0.23206780911104605
BEST_SCORE,LIN,KL,FIXED,1.0,MACE,0.0822876905702624
BEST_SCORE,LIN,KL,FIXED,1.0,MAP,0.022608406514904367
BEST_SCORE,LIN,KL,FIXED,1.0,MRR,0.060272339989590064
BEST_SCORE,LIN,KL,FIXED,1.0,MRMC,0.23213691267716774
BEST_SCORE,LIN,KL,FIXED,CGR,MACE,0.08245837182578618
BEST_SCORE,LIN,KL,FIXED,CGR,MAP,0.0241596889042099
BEST_SCORE,LIN,KL,FIXED,CGR,MRR,0.06428199552331836
BEST_SCORE,LIN,KL,FIXED,CGR,MRMC,0.2323779004502908
BEST_SCORE,LIN,KL,FIXED,VAR,MACE,0.08229287746090726
BEST_SCORE,LIN,KL,FIXED,VAR,MAP,0.0227710899082626
BEST_SCORE,LIN,KL,FIXED,VAR,MRR,0.06083546030801581
BEST_SCORE,LIN,KL,FIXED,VAR,MRMC,0.23210945950972553
BEST_SCORE,LIN,HE,FIXED,0.0,MACE,0.0396004853093662
BEST_SCORE,LIN,HE,FIXED,0.0,MAP,0.03861285538775867
BEST_SCORE,LIN,HE,FIXED,0.0,MRR,0.1158984224970564
BEST_SCORE,LIN,HE,FIXED,0.0,MRMC,0.81011528908745
BEST_SCORE,LIN,HE,FIXED,0.1,MACE,0.04042825898418193
BEST_SCORE,LIN,HE,FIXED,0.1,MAP,0.0402635215381273
BEST_SCORE,LIN,HE,FIXED,0.1,MRR,0.11900811949465755
BEST_SCORE,LIN,HE,FIXED,0.1,MRMC,0.7875413784215329
BEST_SCORE,LIN,HE,FIXED,0.2,MACE,0.040664694591745064
BEST_SCORE,LIN,HE,FIXED,0.2,MAP,0.0413396738232183
BEST_SCORE,LIN,HE,FIXED,0.2,MRR,0.1208386901220226
BEST_SCORE,LIN,HE,FIXED,0.2,MRMC,0.7646433726454799
BEST_SCORE,LIN,HE,FIXED,0.3,MACE,0.04219412809592404
BEST_SCORE,LIN,HE,FIXED,0.3,MAP,0.0452611190995636
BEST_SCORE,LIN,HE,FIXED,0.3,MRR,0.12790228253307137
BEST_SCORE,LIN,HE,FIXED,0.3,MRMC,0.7225527062982536
BEST_SCORE,LIN,HE,FIXED,0.4,MACE,0.04443749195355503
BEST_SCORE,LIN,HE,FIXED,0.4,MAP,0.05148607844896521
BEST_SCORE,LIN,HE,FIXED,0.4,MRR,0.1441844016216165
BEST_SCORE,LIN,HE,FIXED,0.4,MRMC,0.6833556110266361
BEST_SCORE,LIN,HE,FIXED,0.5,MACE,0.045249741861347094
BEST_SCORE,LIN,HE,FIXED,0.5,MAP,0.061691477600064194
BEST_SCORE,LIN,HE,FIXED,0.5,MRR,0.1688720009853736
BEST_SCORE,LIN,HE,FIXED,0.5,MRMC,0.618527582547091
BEST_SCORE,LIN,HE,FIXED,0.6,MACE,0.048952239956296904
BEST_SCORE,LIN,HE,FIXED,0.6,MAP,0.05818857903137453
BEST_SCORE,LIN,HE,FIXED,0.6,MRR,0.14007028952827985
BEST_SCORE,LIN,HE,FIXED,0.6,MRMC,0.5325495143458806
BEST_SCORE,LIN,HE,FIXED,0.7,MACE,0.05998228677355819
BEST_SCORE,LIN,HE,FIXED,0.7,MAP,0.047274811228537404
BEST_SCORE,LIN,HE,FIXED,0.7,MRR,0.11197624478192698
BEST_SCORE,LIN,HE,FIXED,0.7,MRMC,0.46303807358927984
BEST_SCORE,LIN,HE,FIXED,0.8,MACE,0.06847704684161808
BEST_SCORE,LIN,HE,FIXED,0.8,MAP,0.0360557507413913
BEST_SCORE,LIN,HE,FIXED,0.8,MRR,0.08945691508786509
BEST_SCORE,LIN,HE,FIXED,0.8,MRMC,0.43902913055581627
BEST_SCORE,LIN,HE,FIXED,0.9,MACE,0.0703073212210415
BEST_SCORE,LIN,HE,FIXED,0.9,MAP,0.03514834467851
BEST_SCORE,LIN,HE,FIXED,0.9,MRR,0.08870633995863315
BEST_SCORE,LIN,HE,FIXED,0.9,MRMC,0.4348484424909516
BEST_SCORE,LIN,HE,FIXED,1.0,MACE,0.06976508682331567
BEST_SCORE,LIN,HE,FIXED,1.0,MAP,0.026717168542182132
BEST_SCORE,LIN,HE,FIXED,1.0,MRR,0.0680531829589123
BEST_SCORE,LIN,HE,FIXED,1.0,MRMC,0.431287882247505
BEST_SCORE,LIN,HE,FIXED,CGR,MACE,0.06905740864457845
BEST_SCORE,LIN,HE,FIXED,CGR,MAP,0.034909178410610066
BEST_SCORE,LIN,HE,FIXED,CGR,MRR,0.08938699481235923
BEST_SCORE,LIN,HE,FIXED,CGR,MRMC,0.44247096120919416
BEST_SCORE,LIN,HE,FIXED,VAR,MACE,0.07007972184962102
BEST_SCORE,LIN,HE,FIXED,VAR,MAP,0.030585635555513534
BEST_SCORE,LIN,HE,FIXED,VAR,MRR,0.0780053404576163
BEST_SCORE,LIN,HE,FIXED,VAR,MRMC,0.43201645320334797
BEST_SCORE,LIN,CHI,FIXED,0.0,MACE,0.0396004853093662
BEST_SCORE,LIN,CHI,FIXED,0.0,MAP,0.03861285538775867
BEST_SCORE,LIN,CHI,FIXED,0.0,MRR,0.1158984224970564
BEST_SCORE,LIN,CHI,FIXED,0.0,MRMC,0.6127808059938942
BEST_SCORE,LIN,CHI,FIXED,0.1,MACE,0.08719500557161942
BEST_SCORE,LIN,CHI,FIXED,0.1,MAP,0.029792348439772534
BEST_SCORE,LIN,CHI,FIXED,0.1,MRR,0.07325703180584674
BEST_SCORE,LIN,CHI,FIXED,0.1,MRMC,0.18957156803796613
BEST_SCORE,LIN,CHI,FIXED,0.2,MACE,0.0831535886709534
BEST_SCORE,LIN,CHI,FIXED,0.2,MAP,0.0300507035544285
BEST_SCORE,LIN,CHI,FIXED,0.2,MRR,0.0736478658632565
BEST_SCORE,LIN,CHI,FIXED,0.2,MRMC,0.18945977582214626
BEST_SCORE,LIN,CHI,FIXED,0.3,MACE,0.07991445883090807
BEST_SCORE,LIN,CHI,FIXED,0.3,MAP,0.0301350525624437
BEST_SCORE,LIN,CHI,FIXED,0.3,MRR,0.07429145770763677
