algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
CO_CLUSTERING,LIN,KL,FIXED,0.0,MACE,0.07205186871072465
CO_CLUSTERING,LIN,KL,FIXED,0.0,MAP,0.0030460594301518046
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRR,0.008093669918714543
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRMC,0.6965993930797546
CO_CLUSTERING,LIN,KL,FIXED,0.1,MACE,0.08166963212958517
CO_CLUSTERING,LIN,KL,FIXED,0.1,MAP,0.0014292861589631223
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRR,0.003928488789407075
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRMC,0.2205335682371042
CO_CLUSTERING,LIN,KL,FIXED,0.2,MACE,0.08354737651099187
CO_CLUSTERING,LIN,KL,FIXED,0.2,MAP,0.0014304790159485716
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRR,0.00393067282446497
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRMC,0.21859926439789049
CO_CLUSTERING,LIN,KL,FIXED,0.3,MACE,0.08569580216966952
CO_CLUSTERING,LIN,KL,FIXED,0.3,MAP,0.0014299871161607576
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRR,0.003931194238240054
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRMC,0.2183254340800388
CO_CLUSTERING,LIN,KL,FIXED,0.4,MACE,0.08659930413474184
CO_CLUSTERING,LIN,KL,FIXED,0.4,MAP,0.0014304106418780655
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRR,0.003935498361383427
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRMC,0.21784962765647342
CO_CLUSTERING,LIN,KL,FIXED,0.5,MACE,0.08699045139251342
CO_CLUSTERING,LIN,KL,FIXED,0.5,MAP,0.0014249687545254783
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRR,0.0039168160074422465
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRMC,0.21760432701767865
CO_CLUSTERING,LIN,KL,FIXED,0.6,MACE,0.08717663208000168
CO_CLUSTERING,LIN,KL,FIXED,0.6,MAP,0.001425893034226781
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRR,0.003918055594907538
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRMC,0.21745085763401575
CO_CLUSTERING,LIN,KL,FIXED,0.7,MACE,0.08722606872011941
CO_CLUSTERING,LIN,KL,FIXED,0.7,MAP,0.0014241684335707047
CO_CLUSTERING,LIN,KL,FIXED,0.7,MRR,0.003913510440868135
CO_CLUSTERING,LIN,KL,FIXED,0.7,MRMC,0.21740725746601552
CO_CLUSTERING,LIN,KL,FIXED,0.8,MACE,0.0872090919173678
CO_CLUSTERING,LIN,KL,FIXED,0.8,MAP,0.0014252978354835257
CO_CLUSTERING,LIN,KL,FIXED,0.8,MRR,0.003919432914313418
CO_CLUSTERING,LIN,KL,FIXED,0.8,MRMC,0.21739898284485648
CO_CLUSTERING,LIN,KL,FIXED,0.9,MACE,0.08711285028132112
CO_CLUSTERING,LIN,KL,FIXED,0.9,MAP,0.001427157216681463
CO_CLUSTERING,LIN,KL,FIXED,0.9,MRR,0.003927696830748694
CO_CLUSTERING,LIN,KL,FIXED,0.9,MRMC,0.21740376713811427
CO_CLUSTERING,LIN,KL,FIXED,1.0,MACE,0.08697843052568947
CO_CLUSTERING,LIN,KL,FIXED,1.0,MAP,0.0014257990813673082
CO_CLUSTERING,LIN,KL,FIXED,1.0,MRR,0.003924597862085466
CO_CLUSTERING,LIN,KL,FIXED,1.0,MRMC,0.2174151029535899
CO_CLUSTERING,LIN,KL,FIXED,CGR,MACE,0.087077022811019
CO_CLUSTERING,LIN,KL,FIXED,CGR,MAP,0.0014263568957266896
CO_CLUSTERING,LIN,KL,FIXED,CGR,MRR,0.003925630851639876
CO_CLUSTERING,LIN,KL,FIXED,CGR,MRMC,0.21739675007008646
CO_CLUSTERING,LIN,KL,FIXED,VAR,MACE,0.08701126732812793
CO_CLUSTERING,LIN,KL,FIXED,VAR,MAP,0.0014257990813673082
CO_CLUSTERING,LIN,KL,FIXED,VAR,MRR,0.003924597862085466
CO_CLUSTERING,LIN,KL,FIXED,VAR,MRMC,0.21741128814050603
CO_CLUSTERING,LIN,HE,FIXED,0.0,MACE,0.07205186871072465
CO_CLUSTERING,LIN,HE,FIXED,0.0,MAP,0.0030460594301518046
CO_CLUSTERING,LIN,HE,FIXED,0.0,MRR,0.008093669918714543
CO_CLUSTERING,LIN,HE,FIXED,0.0,MRMC,0.9234863272623154
CO_CLUSTERING,LIN,HE,FIXED,0.1,MACE,0.05404954722436794
CO_CLUSTERING,LIN,HE,FIXED,0.1,MAP,0.001774107418321024
CO_CLUSTERING,LIN,HE,FIXED,0.1,MRR,0.004837686843215404
CO_CLUSTERING,LIN,HE,FIXED,0.1,MRMC,0.5097309138684885
CO_CLUSTERING,LIN,HE,FIXED,0.2,MACE,0.05518332474320966
CO_CLUSTERING,LIN,HE,FIXED,0.2,MAP,0.0017736907792007459
CO_CLUSTERING,LIN,HE,FIXED,0.2,MRR,0.004834897771418498
CO_CLUSTERING,LIN,HE,FIXED,0.2,MRMC,0.4887236508906762
CO_CLUSTERING,LIN,HE,FIXED,0.3,MACE,0.054984349621077684
CO_CLUSTERING,LIN,HE,FIXED,0.3,MAP,0.0017763071941721287
CO_CLUSTERING,LIN,HE,FIXED,0.3,MRR,0.004838616533814372
CO_CLUSTERING,LIN,HE,FIXED,0.3,MRMC,0.47110117769805926
CO_CLUSTERING,LIN,HE,FIXED,0.4,MACE,0.054291974519301026
CO_CLUSTERING,LIN,HE,FIXED,0.4,MAP,0.0017799959506809467
CO_CLUSTERING,LIN,HE,FIXED,0.4,MRR,0.004843284662800727
CO_CLUSTERING,LIN,HE,FIXED,0.4,MRMC,0.45695226159365854
CO_CLUSTERING,LIN,HE,FIXED,0.5,MACE,0.05401850266967995
CO_CLUSTERING,LIN,HE,FIXED,0.5,MAP,0.0017782044516537281
CO_CLUSTERING,LIN,HE,FIXED,0.5,MRR,0.0048472936460714116
CO_CLUSTERING,LIN,HE,FIXED,0.5,MRMC,0.4422413786299818
CO_CLUSTERING,LIN,HE,FIXED,0.6,MACE,0.05377119629324203
CO_CLUSTERING,LIN,HE,FIXED,0.6,MAP,0.001774486181157641
CO_CLUSTERING,LIN,HE,FIXED,0.6,MRR,0.004838267284965024
CO_CLUSTERING,LIN,HE,FIXED,0.6,MRMC,0.42925630101212287
CO_CLUSTERING,LIN,HE,FIXED,0.7,MACE,0.054346656310674535
CO_CLUSTERING,LIN,HE,FIXED,0.7,MAP,0.0017815090344282629
CO_CLUSTERING,LIN,HE,FIXED,0.7,MRR,0.004860850404223569
CO_CLUSTERING,LIN,HE,FIXED,0.7,MRMC,0.4211502986337456
CO_CLUSTERING,LIN,HE,FIXED,0.8,MACE,0.05482024376813712
CO_CLUSTERING,LIN,HE,FIXED,0.8,MAP,0.0017833718589247147
CO_CLUSTERING,LIN,HE,FIXED,0.8,MRR,0.0048688929657543295
CO_CLUSTERING,LIN,HE,FIXED,0.8,MRMC,0.41914777369393047
CO_CLUSTERING,LIN,HE,FIXED,0.9,MACE,0.055581031506398884
CO_CLUSTERING,LIN,HE,FIXED,0.9,MAP,0.0017897650804669348
CO_CLUSTERING,LIN,HE,FIXED,0.9,MRR,0.004884097588195664
CO_CLUSTERING,LIN,HE,FIXED,0.9,MRMC,0.41702796301214073
CO_CLUSTERING,LIN,HE,FIXED,1.0,MACE,0.056380974224409706
CO_CLUSTERING,LIN,HE,FIXED,1.0,MAP,0.001788554023189336
CO_CLUSTERING,LIN,HE,FIXED,1.0,MRR,0.004889419943899813
CO_CLUSTERING,LIN,HE,FIXED,1.0,MRMC,0.4147527319543612
CO_CLUSTERING,LIN,HE,FIXED,CGR,MACE,0.055977113888077
CO_CLUSTERING,LIN,HE,FIXED,CGR,MAP,0.001792985056477966
CO_CLUSTERING,LIN,HE,FIXED,CGR,MRR,0.004898628307927692
CO_CLUSTERING,LIN,HE,FIXED,CGR,MRMC,0.4183065617465151
CO_CLUSTERING,LIN,HE,FIXED,VAR,MACE,0.056369740104177536
CO_CLUSTERING,LIN,HE,FIXED,VAR,MAP,0.0017850403830049798
CO_CLUSTERING,LIN,HE,FIXED,VAR,MRR,0.0048755090179004295
CO_CLUSTERING,LIN,HE,FIXED,VAR,MRMC,0.41485678317633046
CO_CLUSTERING,LIN,CHI,FIXED,0.0,MACE,0.07205186871072465
CO_CLUSTERING,LIN,CHI,FIXED,0.0,MAP,0.0030460594301518046
CO_CLUSTERING,LIN,CHI,FIXED,0.0,MRR,0.008093669918714543
CO_CLUSTERING,LIN,CHI,FIXED,0.0,MRMC,0.7162515721422922
CO_CLUSTERING,LIN,CHI,FIXED,0.1,MACE,0.06242103671266624
CO_CLUSTERING,LIN,CHI,FIXED,0.1,MAP,0.0017197215020809328
CO_CLUSTERING,LIN,CHI,FIXED,0.1,MRR,0.004754683673019651
CO_CLUSTERING,LIN,CHI,FIXED,0.1,MRMC,0.20132455997974347
CO_CLUSTERING,LIN,CHI,FIXED,0.2,MACE,0.0614198884632247
CO_CLUSTERING,LIN,CHI,FIXED,0.2,MAP,0.0017215808832788703
CO_CLUSTERING,LIN,CHI,FIXED,0.2,MRR,0.004762947589454928
CO_CLUSTERING,LIN,CHI,FIXED,0.2,MRMC,0.20125597028653558
CO_CLUSTERING,LIN,CHI,FIXED,0.3,MACE,0.06095643058832126
CO_CLUSTERING,LIN,CHI,FIXED,0.3,MAP,0.0017215808832788703
CO_CLUSTERING,LIN,CHI,FIXED,0.3,MRR,0.004762947589454928
CO_CLUSTERING,LIN,CHI,FIXED,0.3,MRMC,0.20122462258524526
CO_CLUSTERING,LIN,CHI,FIXED,0.4,MACE,0.06064780840936136
CO_CLUSTERING,LIN,CHI,FIXED,0.4,MAP,0.001721603018769322
CO_CLUSTERING,LIN,CHI,FIXED,0.4,MRR,0.004762996779433709
CO_CLUSTERING,LIN,CHI,FIXED,0.4,MRMC,0.20120912804313337
CO_CLUSTERING,LIN,CHI,FIXED,0.5,MACE,0.06041812524791749
CO_CLUSTERING,LIN,CHI,FIXED,0.5,MAP,0.0017204308215749608
CO_CLUSTERING,LIN,CHI,FIXED,0.5,MRR,0.004759278017037835
CO_CLUSTERING,LIN,CHI,FIXED,0.5,MRMC,0.2012007241309834
CO_CLUSTERING,LIN,CHI,FIXED,0.6,MACE,0.06013532080523601
CO_CLUSTERING,LIN,CHI,FIXED,0.6,MAP,0.0017202537376513477
CO_CLUSTERING,LIN,CHI,FIXED,0.6,MRR,0.004759056662133318
CO_CLUSTERING,LIN,CHI,FIXED,0.6,MRMC,0.2011882907801504
CO_CLUSTERING,LIN,CHI,FIXED,0.7,MACE,0.059863890556170286
CO_CLUSTERING,LIN,CHI,FIXED,0.7,MAP,0.0017178473638893611
CO_CLUSTERING,LIN,CHI,FIXED,0.7,MRR,0.004753478518539506
CO_CLUSTERING,LIN,CHI,FIXED,0.7,MRMC,0.20117768520584545
CO_CLUSTERING,LIN,CHI,FIXED,0.8,MACE,0.05967205167383453
CO_CLUSTERING,LIN,CHI,FIXED,0.8,MAP,0.0017179713226358907
CO_CLUSTERING,LIN,CHI,FIXED,0.8,MRR,0.0047547181060047985
CO_CLUSTERING,LIN,CHI,FIXED,0.8,MRMC,0.20116976069799103
CO_CLUSTERING,LIN,CHI,FIXED,0.9,MACE,0.059523694453433265
CO_CLUSTERING,LIN,CHI,FIXED,0.9,MAP,0.0017195272016647465
CO_CLUSTERING,LIN,CHI,FIXED,0.9,MRR,0.004758953363177877
CO_CLUSTERING,LIN,CHI,FIXED,0.9,MRMC,0.2011663751359006
CO_CLUSTERING,LIN,CHI,FIXED,1.0,MACE,0.059444460348859064
CO_CLUSTERING,LIN,CHI,FIXED,1.0,MAP,0.0017188095198743258
CO_CLUSTERING,LIN,CHI,FIXED,1.0,MRR,0.004755942936476455
CO_CLUSTERING,LIN,CHI,FIXED,1.0,MRMC,0.2011630731360371
CO_CLUSTERING,LIN,CHI,FIXED,CGR,MACE,0.05967361224921189
CO_CLUSTERING,LIN,CHI,FIXED,CGR,MAP,0.0017182881060992423
CO_CLUSTERING,LIN,CHI,FIXED,CGR,MRR,0.004755288709758662
CO_CLUSTERING,LIN,CHI,FIXED,CGR,MRMC,0.20116776236991024
CO_CLUSTERING,LIN,CHI,FIXED,VAR,MACE,0.05945411406031441
CO_CLUSTERING,LIN,CHI,FIXED,VAR,MAP,0.001718933478620855
CO_CLUSTERING,LIN,CHI,FIXED,VAR,MRR,0.004757182523941747
CO_CLUSTERING,LIN,CHI,FIXED,VAR,MRMC,0.20116469891366068
CO_CLUSTERING,LOG,KL,FIXED,0.0,MACE,0.07219496818827116
CO_CLUSTERING,LOG,KL,FIXED,0.0,MAP,0.0002630188165442033
CO_CLUSTERING,LOG,KL,FIXED,0.0,MRR,0.0008866788815221977
CO_CLUSTERING,LOG,KL,FIXED,0.0,MRMC,0.5983714085329196
CO_CLUSTERING,LOG,KL,FIXED,0.1,MACE,0.07528713608321676
CO_CLUSTERING,LOG,KL,FIXED,0.1,MAP,0.001236483085730656
CO_CLUSTERING,LOG,KL,FIXED,0.1,MRR,0.0035932738410053957
CO_CLUSTERING,LOG,KL,FIXED,0.1,MRMC,0.2934416169589141
CO_CLUSTERING,LOG,KL,FIXED,0.2,MACE,0.07656701581713607
CO_CLUSTERING,LOG,KL,FIXED,0.2,MAP,0.0014693007310024367
CO_CLUSTERING,LOG,KL,FIXED,0.2,MRR,0.004105503847049861
CO_CLUSTERING,LOG,KL,FIXED,0.2,MRMC,0.24765854544739796
CO_CLUSTERING,LOG,KL,FIXED,0.3,MACE,0.078191788254974
CO_CLUSTERING,LOG,KL,FIXED,0.3,MAP,0.001523781583901576
CO_CLUSTERING,LOG,KL,FIXED,0.3,MRR,0.004185319506620577
CO_CLUSTERING,LOG,KL,FIXED,0.3,MRMC,0.23180592290511912
CO_CLUSTERING,LOG,KL,FIXED,0.4,MACE,0.07928808730349275
CO_CLUSTERING,LOG,KL,FIXED,0.4,MAP,0.0015613243595071244
CO_CLUSTERING,LOG,KL,FIXED,0.4,MRR,0.0042498321637923974
CO_CLUSTERING,LOG,KL,FIXED,0.4,MRMC,0.22613276028863916
CO_CLUSTERING,LOG,KL,FIXED,0.5,MACE,0.08021192046023927
CO_CLUSTERING,LOG,KL,FIXED,0.5,MAP,0.0015191611691946383
CO_CLUSTERING,LOG,KL,FIXED,0.5,MRR,0.00415882578404891
CO_CLUSTERING,LOG,KL,FIXED,0.5,MRMC,0.2233232459276256
CO_CLUSTERING,LOG,KL,FIXED,0.6,MACE,0.0812535501785006
CO_CLUSTERING,LOG,KL,FIXED,0.6,MAP,0.0015111707490413858
CO_CLUSTERING,LOG,KL,FIXED,0.6,MRR,0.004154256035020116
CO_CLUSTERING,LOG,KL,FIXED,0.6,MRMC,0.22148606588036007
CO_CLUSTERING,LOG,KL,FIXED,0.7,MACE,0.08262388228355498
CO_CLUSTERING,LOG,KL,FIXED,0.7,MAP,0.0014887184751263985
CO_CLUSTERING,LOG,KL,FIXED,0.7,MRR,0.004095365792423012
CO_CLUSTERING,LOG,KL,FIXED,0.7,MRMC,0.22000905563886172
CO_CLUSTERING,LOG,KL,FIXED,0.8,MACE,0.08386124397169042
CO_CLUSTERING,LOG,KL,FIXED,0.8,MAP,0.0014957954373736799
CO_CLUSTERING,LOG,KL,FIXED,0.8,MRR,0.0041163994273499425
CO_CLUSTERING,LOG,KL,FIXED,0.8,MRMC,0.21888174758655118
CO_CLUSTERING,LOG,KL,FIXED,0.9,MACE,0.0844920270386647
CO_CLUSTERING,LOG,KL,FIXED,0.9,MAP,0.001542178144066036
CO_CLUSTERING,LOG,KL,FIXED,0.9,MRR,0.004235911399797259
CO_CLUSTERING,LOG,KL,FIXED,0.9,MRMC,0.2183324960778006
CO_CLUSTERING,LOG,KL,FIXED,1.0,MACE,0.08426298963704879
CO_CLUSTERING,LOG,KL,FIXED,1.0,MAP,0.0015578540065040957
CO_CLUSTERING,LOG,KL,FIXED,1.0,MRR,0.004262975726122791
CO_CLUSTERING,LOG,KL,FIXED,1.0,MRMC,0.2183204721402017
CO_CLUSTERING,LOG,KL,FIXED,CGR,MACE,0.08365791346113696
CO_CLUSTERING,LOG,KL,FIXED,CGR,MAP,0.0015136105719889437
CO_CLUSTERING,LOG,KL,FIXED,CGR,MRR,0.004150837331494809
CO_CLUSTERING,LOG,KL,FIXED,CGR,MRMC,0.21930697169096205
CO_CLUSTERING,LOG,KL,FIXED,VAR,MACE,0.08441638160504393
CO_CLUSTERING,LOG,KL,FIXED,VAR,MAP,0.0015557516268109783
CO_CLUSTERING,LOG,KL,FIXED,VAR,MRR,0.004257313959565051
CO_CLUSTERING,LOG,KL,FIXED,VAR,MRMC,0.21827595985076
CO_CLUSTERING,LOG,HE,FIXED,0.0,MACE,0.07219496818827116
CO_CLUSTERING,LOG,HE,FIXED,0.0,MAP,0.0002630188165442033
CO_CLUSTERING,LOG,HE,FIXED,0.0,MRR,0.0008866788815221977
CO_CLUSTERING,LOG,HE,FIXED,0.0,MRMC,0.8498488144631337
CO_CLUSTERING,LOG,HE,FIXED,0.1,MACE,0.060484950233825344
CO_CLUSTERING,LOG,HE,FIXED,0.1,MAP,0.00042089257774377775
CO_CLUSTERING,LOG,HE,FIXED,0.1,MRR,0.0013530195563614842
CO_CLUSTERING,LOG,HE,FIXED,0.1,MRMC,0.721225056085648
CO_CLUSTERING,LOG,HE,FIXED,0.2,MACE,0.058977315745109504
CO_CLUSTERING,LOG,HE,FIXED,0.2,MAP,0.000554001152226063
CO_CLUSTERING,LOG,HE,FIXED,0.2,MRR,0.001698933325148121
CO_CLUSTERING,LOG,HE,FIXED,0.2,MRMC,0.6875389531106548
CO_CLUSTERING,LOG,HE,FIXED,0.3,MACE,0.058057999123154964
CO_CLUSTERING,LOG,HE,FIXED,0.3,MAP,0.0006726134399614666
CO_CLUSTERING,LOG,HE,FIXED,0.3,MRR,0.0020584776370550866
CO_CLUSTERING,LOG,HE,FIXED,0.3,MRMC,0.6612068569470498
CO_CLUSTERING,LOG,HE,FIXED,0.4,MACE,0.05741301090576004
CO_CLUSTERING,LOG,HE,FIXED,0.4,MAP,0.0007396825003305567
CO_CLUSTERING,LOG,HE,FIXED,0.4,MRR,0.0021962292536345496
CO_CLUSTERING,LOG,HE,FIXED,0.4,MRMC,0.6363010216659679
CO_CLUSTERING,LOG,HE,FIXED,0.5,MACE,0.05709602144616798
CO_CLUSTERING,LOG,HE,FIXED,0.5,MAP,0.0008263768865340662
CO_CLUSTERING,LOG,HE,FIXED,0.5,MRR,0.002391051083596205
CO_CLUSTERING,LOG,HE,FIXED,0.5,MRMC,0.607371562280044
CO_CLUSTERING,LOG,HE,FIXED,0.6,MACE,0.056778338600492716
CO_CLUSTERING,LOG,HE,FIXED,0.6,MAP,0.0010082809361679353
CO_CLUSTERING,LOG,HE,FIXED,0.6,MRR,0.002866747692399715
CO_CLUSTERING,LOG,HE,FIXED,0.6,MRMC,0.5740630555070599
CO_CLUSTERING,LOG,HE,FIXED,0.7,MACE,0.056137446175807425
CO_CLUSTERING,LOG,HE,FIXED,0.7,MAP,0.0012847281250196762
CO_CLUSTERING,LOG,HE,FIXED,0.7,MRR,0.0036149666216479977
CO_CLUSTERING,LOG,HE,FIXED,0.7,MRMC,0.5314392140111736
CO_CLUSTERING,LOG,HE,FIXED,0.8,MACE,0.05626140563999249
CO_CLUSTERING,LOG,HE,FIXED,0.8,MAP,0.0014815313273266468
CO_CLUSTERING,LOG,HE,FIXED,0.8,MRR,0.004133055154165328
CO_CLUSTERING,LOG,HE,FIXED,0.8,MRMC,0.4815831231189341
CO_CLUSTERING,LOG,HE,FIXED,0.9,MACE,0.05671153044687781
CO_CLUSTERING,LOG,HE,FIXED,0.9,MAP,0.0016482622361056018
CO_CLUSTERING,LOG,HE,FIXED,0.9,MRR,0.004446380562009281
CO_CLUSTERING,LOG,HE,FIXED,0.9,MRMC,0.4369591959892509
CO_CLUSTERING,LOG,HE,FIXED,1.0,MACE,0.05554721595179439
CO_CLUSTERING,LOG,HE,FIXED,1.0,MAP,0.0016603295217002575
CO_CLUSTERING,LOG,HE,FIXED,1.0,MRR,0.0044289673095206615
CO_CLUSTERING,LOG,HE,FIXED,1.0,MRMC,0.42498406601124455
CO_CLUSTERING,LOG,HE,FIXED,CGR,MACE,0.05776106136088435
CO_CLUSTERING,LOG,HE,FIXED,CGR,MAP,0.0014289452724101672
CO_CLUSTERING,LOG,HE,FIXED,CGR,MRR,0.003938567816059387
CO_CLUSTERING,LOG,HE,FIXED,CGR,MRMC,0.4728997201924629
CO_CLUSTERING,LOG,HE,FIXED,VAR,MACE,0.055811981330507944
CO_CLUSTERING,LOG,HE,FIXED,VAR,MAP,0.0016727706511336518
CO_CLUSTERING,LOG,HE,FIXED,VAR,MRR,0.0044762831501105
CO_CLUSTERING,LOG,HE,FIXED,VAR,MRMC,0.42475755228935047
CO_CLUSTERING,LOG,CHI,FIXED,0.0,MACE,0.07219496818827116
CO_CLUSTERING,LOG,CHI,FIXED,0.0,MAP,0.0002630188165442033
CO_CLUSTERING,LOG,CHI,FIXED,0.0,MRR,0.0008866788815221977
CO_CLUSTERING,LOG,CHI,FIXED,0.0,MRMC,0.6165230233867074
CO_CLUSTERING,LOG,CHI,FIXED,0.1,MACE,0.07252245930238628
CO_CLUSTERING,LOG,CHI,FIXED,0.1,MAP,0.0014913703068825043
CO_CLUSTERING,LOG,CHI,FIXED,0.1,MRR,0.004106408942659438
CO_CLUSTERING,LOG,CHI,FIXED,0.1,MRMC,0.20272457366778543
CO_CLUSTERING,LOG,CHI,FIXED,0.2,MACE,0.06950568344328692
CO_CLUSTERING,LOG,CHI,FIXED,0.2,MAP,0.001522185860989907
CO_CLUSTERING,LOG,CHI,FIXED,0.2,MRR,0.004174158300435075
CO_CLUSTERING,LOG,CHI,FIXED,0.2,MRMC,0.2023486459312417
CO_CLUSTERING,LOG,CHI,FIXED,0.3,MACE,0.06724510734827449
CO_CLUSTERING,LOG,CHI,FIXED,0.3,MAP,0.0015487922286129842
CO_CLUSTERING,LOG,CHI,FIXED,0.3,MRR,0.004225556909263771
CO_CLUSTERING,LOG,CHI,FIXED,0.3,MRMC,0.20227461457921472
CO_CLUSTERING,LOG,CHI,FIXED,0.4,MACE,0.06610081682289819
CO_CLUSTERING,LOG,CHI,FIXED,0.4,MAP,0.001568996028597873
CO_CLUSTERING,LOG,CHI,FIXED,0.4,MRR,0.004288534839097611
CO_CLUSTERING,LOG,CHI,FIXED,0.4,MRMC,0.20224198896798498
