algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
CO_CLUSTERING,LIN,KL,FIXED,0.0,MACE,0.0729578088138583
CO_CLUSTERING,LIN,KL,FIXED,0.0,MAP,0.0022891586336151667
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRR,0.005880798055592233
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRMC,0.6923472120431041
CO_CLUSTERING,LIN,KL,FIXED,0.1,MACE,0.08098734124581579
CO_CLUSTERING,LIN,KL,FIXED,0.1,MAP,0.0013121034959776665
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRR,0.0035754145993757667
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRMC,0.22158266208486946
CO_CLUSTERING,LIN,KL,FIXED,0.2,MACE,0.08249040106961167
CO_CLUSTERING,LIN,KL,FIXED,0.2,MAP,0.0013118073723054
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRR,0.0035739880899911002
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRMC,0.2191873801764479
CO_CLUSTERING,LIN,KL,FIXED,0.3,MACE,0.08393192566215714
CO_CLUSTERING,LIN,KL,FIXED,0.3,MAP,0.0013112972722254333
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRR,0.003574148777255133
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRMC,0.21843296321170794
CO_CLUSTERING,LIN,KL,FIXED,0.4,MACE,0.08471141881876444
CO_CLUSTERING,LIN,KL,FIXED,0.4,MAP,0.0013126167114229335
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRR,0.0035792973283676004
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRMC,0.21790652604120256
CO_CLUSTERING,LIN,KL,FIXED,0.5,MACE,0.08518750008698855
CO_CLUSTERING,LIN,KL,FIXED,0.5,MAP,0.0013103487254679002
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRR,0.0035718073342651327
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRMC,0.21762495390435063
CO_CLUSTERING,LIN,KL,FIXED,0.6,MACE,0.08540389958993573
CO_CLUSTERING,LIN,KL,FIXED,0.6,MAP,0.0013098799449701333
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRR,0.0035700168190375
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRMC,0.21748617207518608
