algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
ITEM_KNN,LIN,KL,FIXED,0.0,MACE,0.07083698955093008
ITEM_KNN,LIN,KL,FIXED,0.0,MAP,0.0010542238844499854
ITEM_KNN,LIN,KL,FIXED,0.0,MRR,0.0030619827181831345
ITEM_KNN,LIN,KL,FIXED,0.0,MRMC,0.6370838948705756
ITEM_KNN,LIN,KL,FIXED,0.1,MACE,0.08980860580335706
ITEM_KNN,LIN,KL,FIXED,0.1,MAP,0.0009645195634448411
ITEM_KNN,LIN,KL,FIXED,0.1,MRR,0.002694415520736921
ITEM_KNN,LIN,KL,FIXED,0.1,MRMC,0.2441443054494401
ITEM_KNN,LIN,KL,FIXED,0.2,MACE,0.09038801260203762
ITEM_KNN,LIN,KL,FIXED,0.2,MAP,0.000967507362756024
ITEM_KNN,LIN,KL,FIXED,0.2,MRR,0.0026992164626659866
ITEM_KNN,LIN,KL,FIXED,0.2,MRMC,0.24024890931056855
ITEM_KNN,LIN,KL,FIXED,0.3,MACE,0.09058706601390427
ITEM_KNN,LIN,KL,FIXED,0.3,MAP,0.0009736925106879987
ITEM_KNN,LIN,KL,FIXED,0.3,MRR,0.0027198614967605442
ITEM_KNN,LIN,KL,FIXED,0.3,MRMC,0.23938975732702744
ITEM_KNN,LIN,KL,FIXED,0.4,MACE,0.09068127211685002
ITEM_KNN,LIN,KL,FIXED,0.4,MAP,0.0009815993078773227
ITEM_KNN,LIN,KL,FIXED,0.4,MRR,0.00274382193542497
ITEM_KNN,LIN,KL,FIXED,0.4,MRMC,0.23918333267712077
ITEM_KNN,LIN,KL,FIXED,0.5,MACE,0.0907549343410092
ITEM_KNN,LIN,KL,FIXED,0.5,MAP,0.0009828507009375217
ITEM_KNN,LIN,KL,FIXED,0.5,MRR,0.002746079755451037
ITEM_KNN,LIN,KL,FIXED,0.5,MRMC,0.23905187990503257
ITEM_KNN,LIN,KL,FIXED,0.6,MACE,0.09082976151641996
ITEM_KNN,LIN,KL,FIXED,0.6,MAP,0.0009834444239814133
ITEM_KNN,LIN,KL,FIXED,0.6,MRR,0.0027478505946871676
ITEM_KNN,LIN,KL,FIXED,0.6,MRMC,0.23895132009356387
ITEM_KNN,LIN,KL,FIXED,0.7,MACE,0.09089988556650454
ITEM_KNN,LIN,KL,FIXED,0.7,MAP,0.0009864553425826235
ITEM_KNN,LIN,KL,FIXED,0.7,MRR,0.0027561145111224448
ITEM_KNN,LIN,KL,FIXED,0.7,MRMC,0.2388809507786185
ITEM_KNN,LIN,KL,FIXED,0.8,MACE,0.09095151125284454
ITEM_KNN,LIN,KL,FIXED,0.8,MAP,0.0009854843324014783
ITEM_KNN,LIN,KL,FIXED,0.8,MRR,0.0027540485320136253
ITEM_KNN,LIN,KL,FIXED,0.8,MRMC,0.23883997000883042
ITEM_KNN,LIN,KL,FIXED,0.9,MACE,0.090973633061233
ITEM_KNN,LIN,KL,FIXED,0.9,MAP,0.0009898533863168435
ITEM_KNN,LIN,KL,FIXED,0.9,MRR,0.00276467356743041
ITEM_KNN,LIN,KL,FIXED,0.9,MRMC,0.23881443339463823
ITEM_KNN,LIN,KL,FIXED,1.0,MACE,0.09098038705139982
ITEM_KNN,LIN,KL,FIXED,1.0,MAP,0.000990500234537819
ITEM_KNN,LIN,KL,FIXED,1.0,MRR,0.002765426174105766
ITEM_KNN,LIN,KL,FIXED,1.0,MRMC,0.2388147816888066
ITEM_KNN,LIN,KL,FIXED,CGR,MACE,0.09095787568634
ITEM_KNN,LIN,KL,FIXED,CGR,MAP,0.0009904471093607349
ITEM_KNN,LIN,KL,FIXED,CGR,MRR,0.002766444406666541
ITEM_KNN,LIN,KL,FIXED,CGR,MRMC,0.23884216670103675
ITEM_KNN,LIN,KL,FIXED,VAR,MACE,0.090979545241028
ITEM_KNN,LIN,KL,FIXED,VAR,MAP,0.000990624193284348
ITEM_KNN,LIN,KL,FIXED,VAR,MRR,0.0027666657615710573
ITEM_KNN,LIN,KL,FIXED,VAR,MRMC,0.2388137842440296
ITEM_KNN,LIN,HE,FIXED,0.0,MACE,0.07083698955093008
ITEM_KNN,LIN,HE,FIXED,0.0,MAP,0.0010542238844499854
ITEM_KNN,LIN,HE,FIXED,0.0,MRR,0.0030619827181831345
ITEM_KNN,LIN,HE,FIXED,0.0,MRMC,0.8686621536881967
ITEM_KNN,LIN,HE,FIXED,0.1,MACE,0.062254609438610414
ITEM_KNN,LIN,HE,FIXED,0.1,MAP,0.0011028521136737122
ITEM_KNN,LIN,HE,FIXED,0.1,MRR,0.003067005015016717
ITEM_KNN,LIN,HE,FIXED,0.1,MRMC,0.478584572589115
ITEM_KNN,LIN,HE,FIXED,0.2,MACE,0.06225301859120232
ITEM_KNN,LIN,HE,FIXED,0.2,MAP,0.0011027247116286683
ITEM_KNN,LIN,HE,FIXED,0.2,MRR,0.0030664885202395117
ITEM_KNN,LIN,HE,FIXED,0.2,MRMC,0.47842717179170585
ITEM_KNN,LIN,HE,FIXED,0.3,MACE,0.06225172674533915
ITEM_KNN,LIN,HE,FIXED,0.3,MAP,0.0011014590534746227
ITEM_KNN,LIN,HE,FIXED,0.3,MRR,0.0030599954430403655
ITEM_KNN,LIN,HE,FIXED,0.3,MRMC,0.47819319156405965
ITEM_KNN,LIN,HE,FIXED,0.4,MACE,0.06225779987578028
ITEM_KNN,LIN,HE,FIXED,0.4,MAP,0.0010991230213822933
ITEM_KNN,LIN,HE,FIXED,0.4,MRR,0.0030544369754380665
ITEM_KNN,LIN,HE,FIXED,0.4,MRMC,0.47774511186398144
ITEM_KNN,LIN,HE,FIXED,0.5,MACE,0.062289703399340285
ITEM_KNN,LIN,HE,FIXED,0.5,MAP,0.001099894320249586
ITEM_KNN,LIN,HE,FIXED,0.5,MRR,0.003056158624695416
ITEM_KNN,LIN,HE,FIXED,0.5,MRMC,0.4767951264141497
ITEM_KNN,LIN,HE,FIXED,0.6,MACE,0.06240799918839643
ITEM_KNN,LIN,HE,FIXED,0.6,MAP,0.0010994762054299442
ITEM_KNN,LIN,HE,FIXED,0.6,MRR,0.0030573637791755605
ITEM_KNN,LIN,HE,FIXED,0.6,MRMC,0.4747609128373292
ITEM_KNN,LIN,HE,FIXED,0.7,MACE,0.06272835817292635
ITEM_KNN,LIN,HE,FIXED,0.7,MAP,0.0011062777037960498
ITEM_KNN,LIN,HE,FIXED,0.7,MRR,0.0030796271635720263
ITEM_KNN,LIN,HE,FIXED,0.7,MRMC,0.47129828114231365
ITEM_KNN,LIN,HE,FIXED,0.8,MACE,0.06319806533017391
ITEM_KNN,LIN,HE,FIXED,0.8,MAP,0.0011113157414228418
ITEM_KNN,LIN,HE,FIXED,0.8,MRR,0.003091860711294964
ITEM_KNN,LIN,HE,FIXED,0.8,MRMC,0.4672955260540978
ITEM_KNN,LIN,HE,FIXED,0.9,MACE,0.06364836968151735
ITEM_KNN,LIN,HE,FIXED,0.9,MAP,0.0011148146246135636
ITEM_KNN,LIN,HE,FIXED,0.9,MRR,0.0031006066895222983
ITEM_KNN,LIN,HE,FIXED,0.9,MRMC,0.465058459768934
ITEM_KNN,LIN,HE,FIXED,1.0,MACE,0.0635595324276081
ITEM_KNN,LIN,HE,FIXED,1.0,MAP,0.0011400235049394607
ITEM_KNN,LIN,HE,FIXED,1.0,MRR,0.003177618520302475
ITEM_KNN,LIN,HE,FIXED,1.0,MRMC,0.4643633188946158
ITEM_KNN,LIN,HE,FIXED,CGR,MACE,0.06355600932430741
ITEM_KNN,LIN,HE,FIXED,CGR,MAP,0.0011361030636305822
ITEM_KNN,LIN,HE,FIXED,CGR,MRR,0.003164647122897817
ITEM_KNN,LIN,HE,FIXED,CGR,MRMC,0.46622701283733287
ITEM_KNN,LIN,HE,FIXED,VAR,MACE,0.0636211996857972
ITEM_KNN,LIN,HE,FIXED,VAR,MAP,0.001132884071419127
ITEM_KNN,LIN,HE,FIXED,VAR,MRR,0.0031545041492730902
ITEM_KNN,LIN,HE,FIXED,VAR,MRMC,0.46448031197212825
ITEM_KNN,LIN,CHI,FIXED,0.0,MACE,0.07083698955093008
ITEM_KNN,LIN,CHI,FIXED,0.0,MAP,0.0010542238844499854
ITEM_KNN,LIN,CHI,FIXED,0.0,MRR,0.0030619827181831345
ITEM_KNN,LIN,CHI,FIXED,0.0,MRMC,0.6611064560908417
ITEM_KNN,LIN,CHI,FIXED,0.1,MACE,0.0707233316457546
ITEM_KNN,LIN,CHI,FIXED,0.1,MAP,0.0011116202273914984
ITEM_KNN,LIN,CHI,FIXED,0.1,MRR,0.0031137207378654224
ITEM_KNN,LIN,CHI,FIXED,0.1,MRMC,0.21978955561224162
ITEM_KNN,LIN,CHI,FIXED,0.2,MACE,0.07066222839986219
ITEM_KNN,LIN,CHI,FIXED,0.2,MAP,0.0011168156729503911
ITEM_KNN,LIN,CHI,FIXED,0.2,MRR,0.003126706892263715
ITEM_KNN,LIN,CHI,FIXED,0.2,MRMC,0.21977219996011257
ITEM_KNN,LIN,CHI,FIXED,0.3,MACE,0.07057711225704086
ITEM_KNN,LIN,CHI,FIXED,0.3,MAP,0.001113636524621749
ITEM_KNN,LIN,CHI,FIXED,0.3,MRR,0.0031198399712258303
ITEM_KNN,LIN,CHI,FIXED,0.3,MRMC,0.21976328472215345
ITEM_KNN,LIN,CHI,FIXED,0.4,MACE,0.07048631221424248
ITEM_KNN,LIN,CHI,FIXED,0.4,MAP,0.0011179849187460253
ITEM_KNN,LIN,CHI,FIXED,0.4,MRR,0.003135246272580168
ITEM_KNN,LIN,CHI,FIXED,0.4,MRMC,0.21975938889263447
ITEM_KNN,LIN,CHI,FIXED,0.5,MACE,0.07040994018664272
ITEM_KNN,LIN,CHI,FIXED,0.5,MAP,0.0011222123055225
ITEM_KNN,LIN,CHI,FIXED,0.5,MRR,0.003145625358103046
ITEM_KNN,LIN,CHI,FIXED,0.5,MRMC,0.219756543240208
ITEM_KNN,LIN,CHI,FIXED,0.6,MACE,0.07035095474331406
ITEM_KNN,LIN,CHI,FIXED,0.6,MAP,0.0011214429742543587
ITEM_KNN,LIN,CHI,FIXED,0.6,MRR,0.0031424919564546692
ITEM_KNN,LIN,CHI,FIXED,0.6,MRMC,0.21975460349706374
ITEM_KNN,LIN,CHI,FIXED,0.7,MACE,0.0702963869287459
ITEM_KNN,LIN,CHI,FIXED,0.7,MAP,0.0011226269770436273
ITEM_KNN,LIN,CHI,FIXED,0.7,MRR,0.0031450744303406935
ITEM_KNN,LIN,CHI,FIXED,0.7,MRMC,0.21975371596771406
ITEM_KNN,LIN,CHI,FIXED,0.8,MACE,0.07024446354568989
ITEM_KNN,LIN,CHI,FIXED,0.8,MAP,0.0011220883467759708
ITEM_KNN,LIN,CHI,FIXED,0.8,MRR,0.0031443857706377532
ITEM_KNN,LIN,CHI,FIXED,0.8,MRMC,0.21975083794941652
ITEM_KNN,LIN,CHI,FIXED,0.9,MACE,0.0701935634747072
ITEM_KNN,LIN,CHI,FIXED,0.9,MAP,0.00112498022562853
ITEM_KNN,LIN,CHI,FIXED,0.9,MRR,0.0031553502169081303
ITEM_KNN,LIN,CHI,FIXED,0.9,MRMC,0.2197498173783827
ITEM_KNN,LIN,CHI,FIXED,1.0,MACE,0.0701661377325205
ITEM_KNN,LIN,CHI,FIXED,1.0,MAP,0.0011272301752579916
ITEM_KNN,LIN,CHI,FIXED,1.0,MRR,0.003165576813496786
ITEM_KNN,LIN,CHI,FIXED,1.0,MRMC,0.2197492700859353
ITEM_KNN,LIN,CHI,FIXED,CGR,MACE,0.07022805799703544
ITEM_KNN,LIN,CHI,FIXED,CGR,MAP,0.0011256118249560831
ITEM_KNN,LIN,CHI,FIXED,CGR,MRR,0.003158345886615918
ITEM_KNN,LIN,CHI,FIXED,CGR,MRMC,0.21975033658411994
ITEM_KNN,LIN,CHI,FIXED,VAR,MACE,0.07016980097444622
ITEM_KNN,LIN,CHI,FIXED,VAR,MAP,0.0011265828351372281
ITEM_KNN,LIN,CHI,FIXED,VAR,MRR,0.003161582587219735
ITEM_KNN,LIN,CHI,FIXED,VAR,MRMC,0.2197491202057478
ITEM_KNN,LOG,KL,FIXED,0.0,MACE,0.06050201863556651
ITEM_KNN,LOG,KL,FIXED,0.0,MAP,8.711692812124189e-05
ITEM_KNN,LOG,KL,FIXED,0.0,MRR,0.00025097219074063576
ITEM_KNN,LOG,KL,FIXED,0.0,MRMC,0.6074195709186874
ITEM_KNN,LOG,KL,FIXED,0.1,MACE,0.07775713297772394
ITEM_KNN,LOG,KL,FIXED,0.1,MAP,0.0005417577665073698
ITEM_KNN,LOG,KL,FIXED,0.1,MRR,0.001642945291299119
ITEM_KNN,LOG,KL,FIXED,0.1,MRMC,0.32165347470324324
ITEM_KNN,LOG,KL,FIXED,0.2,MACE,0.08189974046952964
ITEM_KNN,LOG,KL,FIXED,0.2,MAP,0.000684252280840936
ITEM_KNN,LOG,KL,FIXED,0.2,MRR,0.0019823167929078284
ITEM_KNN,LOG,KL,FIXED,0.2,MRMC,0.27967590776707024
ITEM_KNN,LOG,KL,FIXED,0.3,MACE,0.08346718427054843
ITEM_KNN,LOG,KL,FIXED,0.3,MAP,0.0008067195872134388
ITEM_KNN,LOG,KL,FIXED,0.3,MRR,0.0023018352190803597
ITEM_KNN,LOG,KL,FIXED,0.3,MRMC,0.2625547653841783
ITEM_KNN,LOG,KL,FIXED,0.4,MACE,0.084370104347168
ITEM_KNN,LOG,KL,FIXED,0.4,MAP,0.0008384795889134445
ITEM_KNN,LOG,KL,FIXED,0.4,MRR,0.0023648229869099565
ITEM_KNN,LOG,KL,FIXED,0.4,MRMC,0.253678954397891
ITEM_KNN,LOG,KL,FIXED,0.5,MACE,0.0852113059510637
ITEM_KNN,LOG,KL,FIXED,0.5,MAP,0.0008613908053304622
ITEM_KNN,LOG,KL,FIXED,0.5,MRR,0.0024171119343545963
ITEM_KNN,LOG,KL,FIXED,0.5,MRMC,0.2484597108518306
ITEM_KNN,LOG,KL,FIXED,0.6,MACE,0.08621314425927472
ITEM_KNN,LOG,KL,FIXED,0.6,MAP,0.0008808262578467854
ITEM_KNN,LOG,KL,FIXED,0.6,MRR,0.002469907538580684
ITEM_KNN,LOG,KL,FIXED,0.6,MRMC,0.2453569909485645
ITEM_KNN,LOG,KL,FIXED,0.7,MACE,0.08720703381072675
ITEM_KNN,LOG,KL,FIXED,0.7,MAP,0.0008745776548421828
ITEM_KNN,LOG,KL,FIXED,0.7,MRR,0.002458766008386695
ITEM_KNN,LOG,KL,FIXED,0.7,MRMC,0.2435872034411418
ITEM_KNN,LOG,KL,FIXED,0.8,MACE,0.08792677835132258
ITEM_KNN,LOG,KL,FIXED,0.8,MAP,0.000876254541218841
ITEM_KNN,LOG,KL,FIXED,0.8,MRR,0.00245226801218967
ITEM_KNN,LOG,KL,FIXED,0.8,MRMC,0.24266558652126982
ITEM_KNN,LOG,KL,FIXED,0.9,MACE,0.0880892414246644
ITEM_KNN,LOG,KL,FIXED,0.9,MAP,0.0008598767377835705
ITEM_KNN,LOG,KL,FIXED,0.9,MRR,0.0024169791214118863
ITEM_KNN,LOG,KL,FIXED,0.9,MRMC,0.24243203958657922
ITEM_KNN,LOG,KL,FIXED,1.0,MACE,0.08773251705411388
ITEM_KNN,LOG,KL,FIXED,1.0,MAP,0.0008488867127242276
ITEM_KNN,LOG,KL,FIXED,1.0,MRR,0.0023788814828456834
ITEM_KNN,LOG,KL,FIXED,1.0,MRMC,0.24284632125617145
ITEM_KNN,LOG,KL,FIXED,CGR,MACE,0.08759152787636486
ITEM_KNN,LOG,KL,FIXED,CGR,MAP,0.0008541608622491705
ITEM_KNN,LOG,KL,FIXED,CGR,MRR,0.0024073378855707294
ITEM_KNN,LOG,KL,FIXED,CGR,MRMC,0.24331014075123952
ITEM_KNN,LOG,KL,FIXED,VAR,MACE,0.08788647792751414
ITEM_KNN,LOG,KL,FIXED,VAR,MAP,0.0008504681705420498
ITEM_KNN,LOG,KL,FIXED,VAR,MRR,0.002388217740818395
ITEM_KNN,LOG,KL,FIXED,VAR,MRMC,0.2426807037214943
ITEM_KNN,LOG,HE,FIXED,0.0,MACE,0.06050201863556651
ITEM_KNN,LOG,HE,FIXED,0.0,MAP,8.711692812124189e-05
ITEM_KNN,LOG,HE,FIXED,0.0,MRR,0.00025097219074063576
ITEM_KNN,LOG,HE,FIXED,0.0,MRMC,0.8307128709572161
ITEM_KNN,LOG,HE,FIXED,0.1,MACE,0.05749152513622414
ITEM_KNN,LOG,HE,FIXED,0.1,MAP,9.766916236943013e-05
ITEM_KNN,LOG,HE,FIXED,0.1,MRR,0.0002859708606436095
ITEM_KNN,LOG,HE,FIXED,0.1,MRMC,0.7963155998834297
ITEM_KNN,LOG,HE,FIXED,0.2,MACE,0.055972906793461244
ITEM_KNN,LOG,HE,FIXED,0.2,MAP,0.00012700360621572442
ITEM_KNN,LOG,HE,FIXED,0.2,MRR,0.000378561157703859
ITEM_KNN,LOG,HE,FIXED,0.2,MRMC,0.7582383675636793
ITEM_KNN,LOG,HE,FIXED,0.3,MACE,0.05566906674721811
ITEM_KNN,LOG,HE,FIXED,0.3,MAP,0.0001552775141194915
ITEM_KNN,LOG,HE,FIXED,0.3,MRR,0.00047725101213300325
ITEM_KNN,LOG,HE,FIXED,0.3,MRMC,0.7199730782769364
ITEM_KNN,LOG,HE,FIXED,0.4,MACE,0.05597855722457672
ITEM_KNN,LOG,HE,FIXED,0.4,MAP,0.0002188245720078326
ITEM_KNN,LOG,HE,FIXED,0.4,MRR,0.0006685114876308847
ITEM_KNN,LOG,HE,FIXED,0.4,MRMC,0.6833964542122067
ITEM_KNN,LOG,HE,FIXED,0.5,MACE,0.05701650621620493
ITEM_KNN,LOG,HE,FIXED,0.5,MAP,0.00028047388051478684
ITEM_KNN,LOG,HE,FIXED,0.5,MRR,0.0008353737336531863
ITEM_KNN,LOG,HE,FIXED,0.5,MRMC,0.6479329299238372
ITEM_KNN,LOG,HE,FIXED,0.6,MACE,0.05869683350644063
ITEM_KNN,LOG,HE,FIXED,0.6,MAP,0.00033341557897785583
ITEM_KNN,LOG,HE,FIXED,0.6,MRR,0.0009616886801659709
ITEM_KNN,LOG,HE,FIXED,0.6,MRMC,0.6126897363986024
ITEM_KNN,LOG,HE,FIXED,0.7,MACE,0.06086404759232969
ITEM_KNN,LOG,HE,FIXED,0.7,MAP,0.000436929986525881
ITEM_KNN,LOG,HE,FIXED,0.7,MRR,0.0012758699936407196
ITEM_KNN,LOG,HE,FIXED,0.7,MRMC,0.5772625684240512
ITEM_KNN,LOG,HE,FIXED,0.8,MACE,0.0628712084281509
ITEM_KNN,LOG,HE,FIXED,0.8,MAP,0.00055385554988887
ITEM_KNN,LOG,HE,FIXED,0.8,MRR,0.0016091419378805336
ITEM_KNN,LOG,HE,FIXED,0.8,MRMC,0.5411329766150604
ITEM_KNN,LOG,HE,FIXED,0.9,MACE,0.06367380034029939
ITEM_KNN,LOG,HE,FIXED,0.9,MAP,0.0006844293647645491
ITEM_KNN,LOG,HE,FIXED,0.9,MRR,0.0018932042273474242
ITEM_KNN,LOG,HE,FIXED,0.9,MRMC,0.5040774973473633
ITEM_KNN,LOG,HE,FIXED,1.0,MACE,0.06250508661454311
ITEM_KNN,LOG,HE,FIXED,1.0,MAP,0.0006603971087311032
ITEM_KNN,LOG,HE,FIXED,1.0,MRR,0.001812119466324147
ITEM_KNN,LOG,HE,FIXED,1.0,MRMC,0.48796800158763043
ITEM_KNN,LOG,HE,FIXED,CGR,MACE,0.06356757004321592
ITEM_KNN,LOG,HE,FIXED,CGR,MAP,0.0006048803148788272
ITEM_KNN,LOG,HE,FIXED,CGR,MRR,0.0017161694937131268
ITEM_KNN,LOG,HE,FIXED,CGR,MRMC,0.5331495021716388
ITEM_KNN,LOG,HE,FIXED,VAR,MACE,0.0627869892899643
ITEM_KNN,LOG,HE,FIXED,VAR,MAP,0.0006965699434275892
ITEM_KNN,LOG,HE,FIXED,VAR,MRR,0.0019038735337451125
ITEM_KNN,LOG,HE,FIXED,VAR,MRMC,0.48439317847477226
ITEM_KNN,LOG,CHI,FIXED,0.0,MACE,0.06050201863556651
ITEM_KNN,LOG,CHI,FIXED,0.0,MAP,8.711692812124189e-05
ITEM_KNN,LOG,CHI,FIXED,0.0,MRR,0.00025097219074063576
ITEM_KNN,LOG,CHI,FIXED,0.0,MRMC,0.6265093322749316
ITEM_KNN,LOG,CHI,FIXED,0.1,MACE,0.08201960583728261
ITEM_KNN,LOG,CHI,FIXED,0.1,MAP,0.00091848462990247
ITEM_KNN,LOG,CHI,FIXED,0.1,MRR,0.0025293634659337753
ITEM_KNN,LOG,CHI,FIXED,0.1,MRMC,0.22263521214183643
ITEM_KNN,LOG,CHI,FIXED,0.2,MACE,0.0793240606536671
ITEM_KNN,LOG,CHI,FIXED,0.2,MAP,0.0009216696810285664
ITEM_KNN,LOG,CHI,FIXED,0.2,MRR,0.002563324227284461
ITEM_KNN,LOG,CHI,FIXED,0.2,MRMC,0.2219655708354574
ITEM_KNN,LOG,CHI,FIXED,0.3,MACE,0.07777167196862148
ITEM_KNN,LOG,CHI,FIXED,0.3,MAP,0.0009261292445048889
ITEM_KNN,LOG,CHI,FIXED,0.3,MRR,0.002574755978353261
ITEM_KNN,LOG,CHI,FIXED,0.3,MRMC,0.22200313465077656
ITEM_KNN,LOG,CHI,FIXED,0.4,MACE,0.07691082094615755
ITEM_KNN,LOG,CHI,FIXED,0.4,MAP,0.0009346622301241004
ITEM_KNN,LOG,CHI,FIXED,0.4,MRR,0.0026025876683477833
ITEM_KNN,LOG,CHI,FIXED,0.4,MRMC,0.2220662496250353
ITEM_KNN,LOG,CHI,FIXED,0.5,MACE,0.07656489129470342
ITEM_KNN,LOG,CHI,FIXED,0.5,MAP,0.0009325106604522014
ITEM_KNN,LOG,CHI,FIXED,0.5,MRR,0.002603512439948874
ITEM_KNN,LOG,CHI,FIXED,0.5,MRMC,0.22211061765099854
ITEM_KNN,LOG,CHI,FIXED,0.6,MACE,0.07654237888578048
ITEM_KNN,LOG,CHI,FIXED,0.6,MAP,0.0009307103072288019
ITEM_KNN,LOG,CHI,FIXED,0.6,MRR,0.0026006545021816743
ITEM_KNN,LOG,CHI,FIXED,0.6,MRMC,0.22214529529969054
ITEM_KNN,LOG,CHI,FIXED,0.7,MACE,0.0767879946606401
ITEM_KNN,LOG,CHI,FIXED,0.7,MAP,0.0009274003135566008
ITEM_KNN,LOG,CHI,FIXED,0.7,MRR,0.002587210880980714
ITEM_KNN,LOG,CHI,FIXED,0.7,MRMC,0.2221873485635259
ITEM_KNN,LOG,CHI,FIXED,0.8,MACE,0.07701272912795676
ITEM_KNN,LOG,CHI,FIXED,0.8,MAP,0.0009262896038357164
ITEM_KNN,LOG,CHI,FIXED,0.8,MRR,0.002587102663027395
ITEM_KNN,LOG,CHI,FIXED,0.8,MRMC,0.22221926398462102
ITEM_KNN,LOG,CHI,FIXED,0.9,MACE,0.07706997008027308
ITEM_KNN,LOG,CHI,FIXED,0.9,MAP,0.0009298504663997028
ITEM_KNN,LOG,CHI,FIXED,0.9,MRR,0.002594800894706686
ITEM_KNN,LOG,CHI,FIXED,0.9,MRMC,0.22224456337673695
ITEM_KNN,LOG,CHI,FIXED,1.0,MACE,0.07710159593624084
ITEM_KNN,LOG,CHI,FIXED,1.0,MAP,0.0009302912086095841
ITEM_KNN,LOG,CHI,FIXED,1.0,MRR,0.002601205429944026
ITEM_KNN,LOG,CHI,FIXED,1.0,MRMC,0.22226551292044675
ITEM_KNN,LOG,CHI,FIXED,CGR,MACE,0.0771283321415896
ITEM_KNN,LOG,CHI,FIXED,CGR,MAP,0.0009263220692217122
ITEM_KNN,LOG,CHI,FIXED,CGR,MRR,0.002583123193743979
ITEM_KNN,LOG,CHI,FIXED,CGR,MRMC,0.22223891586185374
ITEM_KNN,LOG,CHI,FIXED,VAR,MACE,0.07705201746122048
ITEM_KNN,LOG,CHI,FIXED,VAR,MAP,0.0009326970904717831
ITEM_KNN,LOG,CHI,FIXED,VAR,MRR,0.0026049881393123155
ITEM_KNN,LOG,CHI,FIXED,VAR,MRMC,0.22225860308128878
