algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
ITEM_KNN,LIN,KL,FIXED,0.0,MACE,0.07083584512898661
ITEM_KNN,LIN,KL,FIXED,0.0,MAP,0.0010516378032987667
ITEM_KNN,LIN,KL,FIXED,0.0,MRR,0.0030511805988427
ITEM_KNN,LIN,KL,FIXED,0.0,MRMC,0.6370913270994748
ITEM_KNN,LIN,KL,FIXED,0.1,MACE,0.08981644747715672
ITEM_KNN,LIN,KL,FIXED,0.1,MAP,0.0009593441218106001
ITEM_KNN,LIN,KL,FIXED,0.1,MRR,0.0026847119775893
ITEM_KNN,LIN,KL,FIXED,0.1,MRMC,0.24412952710886615
ITEM_KNN,LIN,KL,FIXED,0.2,MACE,0.09039557452051879
ITEM_KNN,LIN,KL,FIXED,0.2,MAP,0.0009618980655089333
ITEM_KNN,LIN,KL,FIXED,0.2,MRR,0.0026884110639936337
ITEM_KNN,LIN,KL,FIXED,0.2,MRMC,0.24023743769137282
ITEM_KNN,LIN,KL,FIXED,0.3,MACE,0.0905959209308475
ITEM_KNN,LIN,KL,FIXED,0.3,MAP,0.0009693467400291667
ITEM_KNN,LIN,KL,FIXED,0.3,MRR,0.0027098824897317
ITEM_KNN,LIN,KL,FIXED,0.3,MRMC,0.23937747819533092
ITEM_KNN,LIN,KL,FIXED,0.4,MACE,0.0906900439814331
ITEM_KNN,LIN,KL,FIXED,0.4,MAP,0.0009772535372185667
ITEM_KNN,LIN,KL,FIXED,0.4,MRR,0.0027338429283961
ITEM_KNN,LIN,KL,FIXED,0.4,MRMC,0.2391714198418262
ITEM_KNN,LIN,KL,FIXED,0.5,MACE,0.09076370089928804
ITEM_KNN,LIN,KL,FIXED,0.5,MAP,0.0009780838640603667
ITEM_KNN,LIN,KL,FIXED,0.5,MRR,0.002735480954689534
ITEM_KNN,LIN,KL,FIXED,0.5,MRMC,0.2390394373643139
ITEM_KNN,LIN,KL,FIXED,0.6,MACE,0.09083787172400952
ITEM_KNN,LIN,KL,FIXED,0.6,MAP,0.0009785152601742666
ITEM_KNN,LIN,KL,FIXED,0.6,MRR,0.0027370632323403337
ITEM_KNN,LIN,KL,FIXED,0.6,MRMC,0.2389381682334213
ITEM_KNN,LIN,KL,FIXED,0.7,MACE,0.0909089070231111
ITEM_KNN,LIN,KL,FIXED,0.7,MAP,0.0009815261787755002
ITEM_KNN,LIN,KL,FIXED,0.7,MRR,0.0027453271487756334
ITEM_KNN,LIN,KL,FIXED,0.7,MRMC,0.23886803195831785
ITEM_KNN,LIN,KL,FIXED,0.8,MACE,0.09096170438057156
