algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
NMF,LIN,KL,FIXED,0.0,MACE,0.048537870440927784
NMF,LIN,KL,FIXED,0.0,MAP,0.024724943903748197
NMF,LIN,KL,FIXED,0.0,MRR,0.06507981270817198
NMF,LIN,KL,FIXED,0.0,MRMC,0.631778801290314
NMF,LIN,KL,FIXED,0.1,MACE,0.08818735438109354
NMF,LIN,KL,FIXED,0.1,MAP,0.02832895050622391
NMF,LIN,KL,FIXED,0.1,MRR,0.08015672320759587
NMF,LIN,KL,FIXED,0.1,MRMC,0.236131536334992
NMF,LIN,KL,FIXED,0.2,MACE,0.08819445330278293
NMF,LIN,KL,FIXED,0.2,MAP,0.028325319793890052
NMF,LIN,KL,FIXED,0.2,MRR,0.08014570465234884
NMF,LIN,KL,FIXED,0.2,MRMC,0.2360987436387361
NMF,LIN,KL,FIXED,0.3,MACE,0.08819574188657384
NMF,LIN,KL,FIXED,0.3,MAP,0.028327117195714725
NMF,LIN,KL,FIXED,0.3,MRR,0.08015013175043917
NMF,LIN,KL,FIXED,0.3,MRMC,0.2360743643599449
NMF,LIN,KL,FIXED,0.4,MACE,0.08820664705943758
NMF,LIN,KL,FIXED,0.4,MAP,0.028330902364581956
NMF,LIN,KL,FIXED,0.4,MRR,0.08016016650611058
NMF,LIN,KL,FIXED,0.4,MRMC,0.23603322735742335
NMF,LIN,KL,FIXED,0.5,MACE,0.0882088013972108
NMF,LIN,KL,FIXED,0.5,MAP,0.028337664019065244
NMF,LIN,KL,FIXED,0.5,MRR,0.08017457916989353
NMF,LIN,KL,FIXED,0.5,MRMC,0.23602036997526962
NMF,LIN,KL,FIXED,0.6,MACE,0.08821107943276478
NMF,LIN,KL,FIXED,0.6,MAP,0.028337801751005833
NMF,LIN,KL,FIXED,0.6,MRR,0.08017471690183411
NMF,LIN,KL,FIXED,0.6,MRMC,0.23601881212384582
NMF,LIN,KL,FIXED,0.7,MACE,0.08821286274243721
NMF,LIN,KL,FIXED,0.7,MAP,0.028337250823243478
NMF,LIN,KL,FIXED,0.7,MRR,0.0801735461803391
NMF,LIN,KL,FIXED,0.7,MRMC,0.23601866883490474
NMF,LIN,KL,FIXED,0.8,MACE,0.08821203854725568
NMF,LIN,KL,FIXED,0.8,MAP,0.028335422923631965
NMF,LIN,KL,FIXED,0.8,MRR,0.08016991595990505
NMF,LIN,KL,FIXED,0.8,MRMC,0.2360189396709164
NMF,LIN,KL,FIXED,0.9,MACE,0.08821218631912983
NMF,LIN,KL,FIXED,0.9,MAP,0.028340225833160183
NMF,LIN,KL,FIXED,0.9,MRR,0.08018033439741096
