algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
NMF,LIN,KL,FIXED,0.0,MACE,0.05464664376256976
NMF,LIN,KL,FIXED,0.0,MAP,0.029556678431597802
NMF,LIN,KL,FIXED,0.0,MRR,0.08233714772104793
NMF,LIN,KL,FIXED,0.0,MRMC,0.5759240696003486
NMF,LIN,KL,FIXED,0.1,MACE,0.0822825484787434
NMF,LIN,KL,FIXED,0.1,MAP,0.020389772373701067
NMF,LIN,KL,FIXED,0.1,MRR,0.054796460721998626
NMF,LIN,KL,FIXED,0.1,MRMC,0.2466127224127509
NMF,LIN,KL,FIXED,0.2,MACE,0.08228532906915241
NMF,LIN,KL,FIXED,0.2,MAP,0.020389760240172968
NMF,LIN,KL,FIXED,0.2,MRR,0.054795662204676465
NMF,LIN,KL,FIXED,0.2,MRMC,0.2465888985929643
NMF,LIN,KL,FIXED,0.3,MACE,0.08229093835466289
NMF,LIN,KL,FIXED,0.3,MAP,0.0203886336256923
NMF,LIN,KL,FIXED,0.3,MRR,0.05479384873412537
NMF,LIN,KL,FIXED,0.3,MRMC,0.24656107052747003
NMF,LIN,KL,FIXED,0.4,MACE,0.08229883796286626
NMF,LIN,KL,FIXED,0.4,MAP,0.020380633039610067
NMF,LIN,KL,FIXED,0.4,MRR,0.05476346244456614
NMF,LIN,KL,FIXED,0.4,MRMC,0.24652598653041072
NMF,LIN,KL,FIXED,0.5,MACE,0.08230510981875054
NMF,LIN,KL,FIXED,0.5,MAP,0.0203796674403266
NMF,LIN,KL,FIXED,0.5,MRR,0.05475850573437093
NMF,LIN,KL,FIXED,0.5,MRMC,0.246510944278275
NMF,LIN,KL,FIXED,0.6,MACE,0.08230742726013761
NMF,LIN,KL,FIXED,0.6,MAP,0.0203739961637063
NMF,LIN,KL,FIXED,0.6,MRR,0.0547421435077623
NMF,LIN,KL,FIXED,0.6,MRMC,0.2465041038220045
NMF,LIN,KL,FIXED,0.7,MACE,0.082308201937062
NMF,LIN,KL,FIXED,0.7,MAP,0.0203609003156553
NMF,LIN,KL,FIXED,0.7,MRR,0.05470625449924337
NMF,LIN,KL,FIXED,0.7,MRMC,0.24650148430956276
NMF,LIN,KL,FIXED,0.8,MACE,0.08230703626815443
NMF,LIN,KL,FIXED,0.8,MAP,0.0203490092941513
NMF,LIN,KL,FIXED,0.8,MRR,0.05467470076752103
NMF,LIN,KL,FIXED,0.8,MRMC,0.24649998198555015
NMF,LIN,KL,FIXED,0.9,MACE,0.08230533557589924
NMF,LIN,KL,FIXED,0.9,MAP,0.020343281449055402
NMF,LIN,KL,FIXED,0.9,MRR,0.05465729735302816
NMF,LIN,KL,FIXED,0.9,MRMC,0.2464983860613524
NMF,LIN,KL,FIXED,1.0,MACE,0.0822985133431804
NMF,LIN,KL,FIXED,1.0,MAP,0.020333266533342102
NMF,LIN,KL,FIXED,1.0,MRR,0.05463049537325613
NMF,LIN,KL,FIXED,1.0,MRMC,0.2464982459907835
NMF,LIN,KL,FIXED,CGR,MACE,0.08230667970190743
NMF,LIN,KL,FIXED,CGR,MAP,0.020354952427387666
NMF,LIN,KL,FIXED,CGR,MRR,0.05469241079954829
NMF,LIN,KL,FIXED,CGR,MRMC,0.2465004401946788
NMF,LIN,KL,FIXED,VAR,MACE,0.08230045516781832
NMF,LIN,KL,FIXED,VAR,MAP,0.0203349106263996
NMF,LIN,KL,FIXED,VAR,MRR,0.054634824091388895
NMF,LIN,KL,FIXED,VAR,MRMC,0.24649786225508152
NMF,LIN,HE,FIXED,0.0,MACE,0.05464664376256976
NMF,LIN,HE,FIXED,0.0,MAP,0.029556678431597802
NMF,LIN,HE,FIXED,0.0,MRR,0.08233714772104793
NMF,LIN,HE,FIXED,0.0,MRMC,0.8054304570216289
NMF,LIN,HE,FIXED,0.1,MACE,0.061016422163475866
NMF,LIN,HE,FIXED,0.1,MAP,0.0236404001362103
NMF,LIN,HE,FIXED,0.1,MRR,0.061747906540089666
NMF,LIN,HE,FIXED,0.1,MRMC,0.4606962891486794
NMF,LIN,HE,FIXED,0.2,MACE,0.06101642362053484
NMF,LIN,HE,FIXED,0.2,MAP,0.0236404001362103
NMF,LIN,HE,FIXED,0.2,MRR,0.061747906540089666
NMF,LIN,HE,FIXED,0.2,MRMC,0.4606961627706472
NMF,LIN,HE,FIXED,0.3,MACE,0.06101639021691469
NMF,LIN,HE,FIXED,0.3,MAP,0.0236404001362103
NMF,LIN,HE,FIXED,0.3,MRR,0.061747906540089666
NMF,LIN,HE,FIXED,0.3,MRMC,0.4606957416878255
NMF,LIN,HE,FIXED,0.4,MACE,0.06101653074698841
