algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
POPULARITY,LIN,KL,FIXED,0.0,MACE,0.040391444497797455
POPULARITY,LIN,KL,FIXED,0.0,MAP,0.3092803811082148
POPULARITY,LIN,KL,FIXED,0.0,MRR,0.5117048538309942
POPULARITY,LIN,KL,FIXED,0.0,MRMC,0.502889321399989
POPULARITY,LIN,KL,FIXED,0.1,MACE,0.0403917671819871
POPULARITY,LIN,KL,FIXED,0.1,MAP,0.3092802404248755
POPULARITY,LIN,KL,FIXED,0.1,MRR,0.5117048538309942
POPULARITY,LIN,KL,FIXED,0.1,MRMC,0.5028886272314839
POPULARITY,LIN,KL,FIXED,0.2,MACE,0.0403917671819871
POPULARITY,LIN,KL,FIXED,0.2,MAP,0.3092802404248755
POPULARITY,LIN,KL,FIXED,0.2,MRR,0.5117048538309942
POPULARITY,LIN,KL,FIXED,0.2,MRMC,0.5028886272314839
POPULARITY,LIN,KL,FIXED,0.3,MACE,0.0403917671819871
POPULARITY,LIN,KL,FIXED,0.3,MAP,0.3092802404248755
POPULARITY,LIN,KL,FIXED,0.3,MRR,0.5117048538309942
POPULARITY,LIN,KL,FIXED,0.3,MRMC,0.5028886272314839
POPULARITY,LIN,KL,FIXED,0.4,MACE,0.0403917671819871
POPULARITY,LIN,KL,FIXED,0.4,MAP,0.3092802404248755
POPULARITY,LIN,KL,FIXED,0.4,MRR,0.5117048538309942
POPULARITY,LIN,KL,FIXED,0.4,MRMC,0.5028886272314839
POPULARITY,LIN,KL,FIXED,0.5,MACE,0.04039363484884862
POPULARITY,LIN,KL,FIXED,0.5,MAP,0.3092826369606417
POPULARITY,LIN,KL,FIXED,0.5,MRR,0.511707126408014
POPULARITY,LIN,KL,FIXED,0.5,MRMC,0.5028687278863299
POPULARITY,LIN,KL,FIXED,0.6,MACE,0.04042138451481242
POPULARITY,LIN,KL,FIXED,0.6,MAP,0.30942401191105817
POPULARITY,LIN,KL,FIXED,0.6,MRR,0.5118945107131838
POPULARITY,LIN,KL,FIXED,0.6,MRMC,0.5018396699227278
POPULARITY,LIN,KL,FIXED,0.7,MACE,0.040486246320382474
POPULARITY,LIN,KL,FIXED,0.7,MAP,0.3092871265300052
POPULARITY,LIN,KL,FIXED,0.7,MRR,0.511769971524905
POPULARITY,LIN,KL,FIXED,0.7,MRMC,0.5009032539491641
POPULARITY,LIN,KL,FIXED,0.8,MACE,0.04048955810664106
POPULARITY,LIN,KL,FIXED,0.8,MAP,0.309272686319834
POPULARITY,LIN,KL,FIXED,0.8,MRR,0.5117589628076538
POPULARITY,LIN,KL,FIXED,0.8,MRMC,0.5007927200695621
POPULARITY,LIN,KL,FIXED,0.9,MACE,0.04049906717781165
