algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SLOPE,LIN,KL,FIXED,0.0,MACE,0.07119270600638844
SLOPE,LIN,KL,FIXED,0.0,MAP,0.0028582211014777452
SLOPE,LIN,KL,FIXED,0.0,MRR,0.007513705311888076
SLOPE,LIN,KL,FIXED,0.0,MRMC,0.6515180898905211
SLOPE,LIN,KL,FIXED,0.1,MACE,0.09598214733084198
SLOPE,LIN,KL,FIXED,0.1,MAP,0.0014014721773609616
SLOPE,LIN,KL,FIXED,0.1,MRR,0.0038213136636381373
SLOPE,LIN,KL,FIXED,0.1,MRMC,0.21508029807500473
SLOPE,LIN,KL,FIXED,0.2,MACE,0.0972816957947974
SLOPE,LIN,KL,FIXED,0.2,MAP,0.0014003432673479282
SLOPE,LIN,KL,FIXED,0.2,MRR,0.0038186426477903068
SLOPE,LIN,KL,FIXED,0.2,MRMC,0.21104089015619232
SLOPE,LIN,KL,FIXED,0.3,MACE,0.09782636491628217
SLOPE,LIN,KL,FIXED,0.3,MAP,0.0014013762569023377
SLOPE,LIN,KL,FIXED,0.3,MRR,0.003821741616453536
SLOPE,LIN,KL,FIXED,0.3,MRMC,0.21024742511266717
SLOPE,LIN,KL,FIXED,0.4,MACE,0.09817243418442972
SLOPE,LIN,KL,FIXED,0.4,MAP,0.0014009596177820592
SLOPE,LIN,KL,FIXED,0.4,MRR,0.0038201921321219215
SLOPE,LIN,KL,FIXED,0.4,MRMC,0.20983181722138433
SLOPE,LIN,KL,FIXED,0.5,MACE,0.0984037470119418
SLOPE,LIN,KL,FIXED,0.5,MAP,0.0014007530198711772
SLOPE,LIN,KL,FIXED,0.5,MRR,0.003819896992249234
SLOPE,LIN,KL,FIXED,0.5,MRMC,0.20960221879734864
SLOPE,LIN,KL,FIXED,0.6,MACE,0.09854476019854276
SLOPE,LIN,KL,FIXED,0.6,MAP,0.0014007530198711772
SLOPE,LIN,KL,FIXED,0.6,MRR,0.003819896992249234
SLOPE,LIN,KL,FIXED,0.6,MRMC,0.20948872827604637
SLOPE,LIN,KL,FIXED,0.7,MACE,0.09861290410551368
SLOPE,LIN,KL,FIXED,0.7,MAP,0.0014007530198711772
SLOPE,LIN,KL,FIXED,0.7,MRR,0.003819896992249234
SLOPE,LIN,KL,FIXED,0.7,MRMC,0.20941915517528797
SLOPE,LIN,KL,FIXED,0.8,MACE,0.09865177169669512
SLOPE,LIN,KL,FIXED,0.8,MAP,0.001400575935947564
SLOPE,LIN,KL,FIXED,0.8,MRR,0.003819675637344717
SLOPE,LIN,KL,FIXED,0.8,MRMC,0.20939499181168866
SLOPE,LIN,KL,FIXED,0.9,MACE,0.0986822146600138
SLOPE,LIN,KL,FIXED,0.9,MAP,0.0014006998946940932
SLOPE,LIN,KL,FIXED,0.9,MRR,0.003820915224810009
SLOPE,LIN,KL,FIXED,0.9,MRMC,0.20938607574928042
SLOPE,LIN,KL,FIXED,1.0,MACE,0.0987141305794484
SLOPE,LIN,KL,FIXED,1.0,MAP,0.0014006998946940932
SLOPE,LIN,KL,FIXED,1.0,MRR,0.003820915224810009
SLOPE,LIN,KL,FIXED,1.0,MRMC,0.20937852800034407
SLOPE,LIN,KL,FIXED,CGR,MACE,0.09863350441815069
SLOPE,LIN,KL,FIXED,CGR,MAP,0.0014006998946940932
SLOPE,LIN,KL,FIXED,CGR,MRR,0.003820915224810009
SLOPE,LIN,KL,FIXED,CGR,MRMC,0.20940811550719743
SLOPE,LIN,KL,FIXED,VAR,MACE,0.09870727142007138
SLOPE,LIN,KL,FIXED,VAR,MAP,0.0014006998946940932
SLOPE,LIN,KL,FIXED,VAR,MRR,0.003820915224810009
SLOPE,LIN,KL,FIXED,VAR,MRMC,0.2093798198226115
SLOPE,LIN,HE,FIXED,0.0,MACE,0.07119270600638844
SLOPE,LIN,HE,FIXED,0.0,MAP,0.0028582211014777452
SLOPE,LIN,HE,FIXED,0.0,MRR,0.007513705311888076
SLOPE,LIN,HE,FIXED,0.0,MRMC,0.8885471089196468
SLOPE,LIN,HE,FIXED,0.1,MACE,0.06308188799609596
SLOPE,LIN,HE,FIXED,0.1,MAP,0.0015820623626615793
SLOPE,LIN,HE,FIXED,0.1,MRR,0.004291456723837227
SLOPE,LIN,HE,FIXED,0.1,MRMC,0.4712520253970793
SLOPE,LIN,HE,FIXED,0.2,MACE,0.06356552596348566
SLOPE,LIN,HE,FIXED,0.2,MAP,0.0015817475467973783
SLOPE,LIN,HE,FIXED,0.2,MRR,0.004291097636992123
SLOPE,LIN,HE,FIXED,0.2,MRMC,0.46455613113232663
SLOPE,LIN,HE,FIXED,0.3,MACE,0.06419374980427567
SLOPE,LIN,HE,FIXED,0.3,MAP,0.0015824667042871625
SLOPE,LIN,HE,FIXED,0.3,MRR,0.004290458167267966
SLOPE,LIN,HE,FIXED,0.3,MRMC,0.4565246287032849
SLOPE,LIN,HE,FIXED,0.4,MACE,0.06499014638875551
SLOPE,LIN,HE,FIXED,0.4,MAP,0.0015803972818798284
SLOPE,LIN,HE,FIXED,0.4,MRR,0.004280939906373762
SLOPE,LIN,HE,FIXED,0.4,MRMC,0.447154141888486
SLOPE,LIN,HE,FIXED,0.5,MACE,0.06602155290298335
SLOPE,LIN,HE,FIXED,0.5,MAP,0.0015804125307732507
SLOPE,LIN,HE,FIXED,0.5,MRR,0.004282828801558968
