algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SLOPE,LIN,KL,FIXED,0.0,MACE,0.07119270818110324
SLOPE,LIN,KL,FIXED,0.0,MAP,0.0028582211014777
SLOPE,LIN,KL,FIXED,0.0,MRR,0.007513705311888
SLOPE,LIN,KL,FIXED,0.0,MRMC,0.6515180963529309
SLOPE,LIN,KL,FIXED,0.1,MACE,0.0959818633348295
SLOPE,LIN,KL,FIXED,0.1,MAP,0.0014014721773609
SLOPE,LIN,KL,FIXED,0.1,MRR,0.0038213136636381004
SLOPE,LIN,KL,FIXED,0.1,MRMC,0.21507975227527684
SLOPE,LIN,KL,FIXED,0.2,MACE,0.09728247603899176
SLOPE,LIN,KL,FIXED,0.2,MAP,0.0014003432673479
SLOPE,LIN,KL,FIXED,0.2,MRR,0.0038186426477903
SLOPE,LIN,KL,FIXED,0.2,MRMC,0.2110402433977395
SLOPE,LIN,KL,FIXED,0.3,MACE,0.09782606676287603
SLOPE,LIN,KL,FIXED,0.3,MAP,0.0014013762569023
SLOPE,LIN,KL,FIXED,0.3,MRR,0.0038217416164535
SLOPE,LIN,KL,FIXED,0.3,MRMC,0.21024680263212825
SLOPE,LIN,KL,FIXED,0.4,MACE,0.09817230966025729
SLOPE,LIN,KL,FIXED,0.4,MAP,0.001400959617782
SLOPE,LIN,KL,FIXED,0.4,MRR,0.0038201921321219
SLOPE,LIN,KL,FIXED,0.4,MRMC,0.20983083647332926
SLOPE,LIN,KL,FIXED,0.5,MACE,0.09840316303576273
SLOPE,LIN,KL,FIXED,0.5,MAP,0.0014007530198711
SLOPE,LIN,KL,FIXED,0.5,MRR,0.0038198969922492005
SLOPE,LIN,KL,FIXED,0.5,MRMC,0.20960166324729243
SLOPE,LIN,KL,FIXED,0.6,MACE,0.09854316724166119
SLOPE,LIN,KL,FIXED,0.6,MAP,0.0014007530198711
SLOPE,LIN,KL,FIXED,0.6,MRR,0.0038198969922492005
SLOPE,LIN,KL,FIXED,0.6,MRMC,0.20948858488983382
SLOPE,LIN,KL,FIXED,0.7,MACE,0.0986117023363396
SLOPE,LIN,KL,FIXED,0.7,MAP,0.0014007530198711
SLOPE,LIN,KL,FIXED,0.7,MRR,0.0038198969922492005
SLOPE,LIN,KL,FIXED,0.7,MRMC,0.20941912217893746
SLOPE,LIN,KL,FIXED,0.8,MACE,0.09865075325598303
SLOPE,LIN,KL,FIXED,0.8,MAP,0.0014005759359475
SLOPE,LIN,KL,FIXED,0.8,MRR,0.0038196756373447
SLOPE,LIN,KL,FIXED,0.8,MRMC,0.20939479372741585
SLOPE,LIN,KL,FIXED,0.9,MACE,0.0986810168270736
SLOPE,LIN,KL,FIXED,0.9,MAP,0.0014006998946940001
SLOPE,LIN,KL,FIXED,0.9,MRR,0.00382091522481
SLOPE,LIN,KL,FIXED,0.9,MRMC,0.20938547661411175
SLOPE,LIN,KL,FIXED,1.0,MACE,0.09871372110238903
SLOPE,LIN,KL,FIXED,1.0,MAP,0.0014006998946940001
SLOPE,LIN,KL,FIXED,1.0,MRR,0.00382091522481
SLOPE,LIN,KL,FIXED,1.0,MRMC,0.20937891569543077
SLOPE,LIN,KL,FIXED,CGR,MACE,0.09863304292191204
SLOPE,LIN,KL,FIXED,CGR,MAP,0.0014006998946940001
SLOPE,LIN,KL,FIXED,CGR,MRR,0.00382091522481
SLOPE,LIN,KL,FIXED,CGR,MRMC,0.2094085703835442
SLOPE,LIN,KL,FIXED,VAR,MACE,0.09870594264755
SLOPE,LIN,KL,FIXED,VAR,MAP,0.0014006998946940001
SLOPE,LIN,KL,FIXED,VAR,MRR,0.00382091522481
SLOPE,LIN,KL,FIXED,VAR,MRMC,0.20937955635388983
SLOPE,LIN,HE,FIXED,0.0,MACE,0.07119270818110324
SLOPE,LIN,HE,FIXED,0.0,MAP,0.0028582211014777
SLOPE,LIN,HE,FIXED,0.0,MRR,0.007513705311888
SLOPE,LIN,HE,FIXED,0.0,MRMC,0.8885471112917745
SLOPE,LIN,HE,FIXED,0.1,MACE,0.0630819100911988
SLOPE,LIN,HE,FIXED,0.1,MAP,0.0015820623626615
SLOPE,LIN,HE,FIXED,0.1,MRR,0.0042914567238372
SLOPE,LIN,HE,FIXED,0.1,MRMC,0.47125213481319567
SLOPE,LIN,HE,FIXED,0.2,MACE,0.06356560758053396
SLOPE,LIN,HE,FIXED,0.2,MAP,0.0015817475467973
SLOPE,LIN,HE,FIXED,0.2,MRR,0.0042910976369921
SLOPE,LIN,HE,FIXED,0.2,MRMC,0.46455671901335666
SLOPE,LIN,HE,FIXED,0.3,MACE,0.0641938069557819
SLOPE,LIN,HE,FIXED,0.3,MAP,0.0015824667042871
SLOPE,LIN,HE,FIXED,0.3,MRR,0.0042904581672679
SLOPE,LIN,HE,FIXED,0.3,MRMC,0.4565247066428184
SLOPE,LIN,HE,FIXED,0.4,MACE,0.06499018973082248
SLOPE,LIN,HE,FIXED,0.4,MAP,0.0015803972818798
SLOPE,LIN,HE,FIXED,0.4,MRR,0.0042809399063737
SLOPE,LIN,HE,FIXED,0.4,MRMC,0.44715479027213156
SLOPE,LIN,HE,FIXED,0.5,MACE,0.06602171872499076
SLOPE,LIN,HE,FIXED,0.5,MAP,0.0015804125307732001
SLOPE,LIN,HE,FIXED,0.5,MRR,0.0042828288015589
SLOPE,LIN,HE,FIXED,0.5,MRMC,0.4368657052294392
SLOPE,LIN,HE,FIXED,0.6,MACE,0.06725879076285514
SLOPE,LIN,HE,FIXED,0.6,MAP,0.0015783863955472
SLOPE,LIN,HE,FIXED,0.6,MRR,0.0042762668583895
SLOPE,LIN,HE,FIXED,0.6,MRMC,0.42672358240443825
SLOPE,LIN,HE,FIXED,0.7,MACE,0.06863792596139788
SLOPE,LIN,HE,FIXED,0.7,MAP,0.001579161137713
SLOPE,LIN,HE,FIXED,0.7,MRR,0.0042777671527423
SLOPE,LIN,HE,FIXED,0.7,MRMC,0.4185390362883969
SLOPE,LIN,HE,FIXED,0.8,MACE,0.0698171705480977
SLOPE,LIN,HE,FIXED,0.8,MAP,0.0015798753762049
SLOPE,LIN,HE,FIXED,0.8,MRR,0.0042784902454304
SLOPE,LIN,HE,FIXED,0.8,MRMC,0.41374166210286717
SLOPE,LIN,HE,FIXED,0.9,MACE,0.07027084501155204
SLOPE,LIN,HE,FIXED,0.9,MAP,0.0015814661801187002
SLOPE,LIN,HE,FIXED,0.9,MRR,0.004282622203648
SLOPE,LIN,HE,FIXED,0.9,MRMC,0.41157138443902613
SLOPE,LIN,HE,FIXED,1.0,MACE,0.07005510444720482
SLOPE,LIN,HE,FIXED,1.0,MAP,0.0015817286906388
SLOPE,LIN,HE,FIXED,1.0,MRR,0.004283835556458
SLOPE,LIN,HE,FIXED,1.0,MRMC,0.4108145328791008
SLOPE,LIN,HE,FIXED,CGR,MACE,0.0700880348493705
SLOPE,LIN,HE,FIXED,CGR,MAP,0.0015806804521909669
SLOPE,LIN,HE,FIXED,CGR,MRR,0.0042813563815274
SLOPE,LIN,HE,FIXED,CGR,MRMC,0.4126120614491635
SLOPE,LIN,HE,FIXED,VAR,MACE,0.07009610963085516
SLOPE,LIN,HE,FIXED,VAR,MAP,0.0015811762871770667
SLOPE,LIN,HE,FIXED,VAR,MRR,0.0042824779130436
SLOPE,LIN,HE,FIXED,VAR,MRMC,0.4108448112203828
SLOPE,LIN,CHI,FIXED,0.0,MACE,0.07119270818110324
SLOPE,LIN,CHI,FIXED,0.0,MAP,0.0028582211014777
SLOPE,LIN,CHI,FIXED,0.0,MRR,0.007513705311888
SLOPE,LIN,CHI,FIXED,0.0,MRMC,0.6713166777927735
SLOPE,LIN,CHI,FIXED,0.1,MACE,0.07874453881257083
SLOPE,LIN,CHI,FIXED,0.1,MAP,0.0015009964577967667
SLOPE,LIN,CHI,FIXED,0.1,MRR,0.004107358309249833
SLOPE,LIN,CHI,FIXED,0.1,MRMC,0.18088202284386432
SLOPE,LIN,CHI,FIXED,0.2,MACE,0.0775170172307007
SLOPE,LIN,CHI,FIXED,0.2,MAP,0.0015017320119461667
SLOPE,LIN,CHI,FIXED,0.2,MRR,0.004108138790246533
SLOPE,LIN,CHI,FIXED,0.2,MRMC,0.1808495476662221
SLOPE,LIN,CHI,FIXED,0.3,MACE,0.07670244668469063
SLOPE,LIN,CHI,FIXED,0.3,MAP,0.0015005127563387666
SLOPE,LIN,CHI,FIXED,0.3,MRR,0.0041050398215833
SLOPE,LIN,CHI,FIXED,0.3,MRMC,0.18082321356789463
SLOPE,LIN,CHI,FIXED,0.4,MACE,0.07637690311471353
SLOPE,LIN,CHI,FIXED,0.4,MAP,0.0014996750510001
SLOPE,LIN,CHI,FIXED,0.4,MRR,0.0041050398215833
SLOPE,LIN,CHI,FIXED,0.4,MRMC,0.18081262263992992
SLOPE,LIN,CHI,FIXED,0.5,MACE,0.0762431480824234
SLOPE,LIN,CHI,FIXED,0.5,MAP,0.0014996750510001
SLOPE,LIN,CHI,FIXED,0.5,MRR,0.0041050398215833
SLOPE,LIN,CHI,FIXED,0.5,MRMC,0.18081033315789144
SLOPE,LIN,CHI,FIXED,0.6,MACE,0.07613874756866877
SLOPE,LIN,CHI,FIXED,0.6,MAP,0.0014992202076629666
SLOPE,LIN,CHI,FIXED,0.6,MRR,0.0041032689823471665
SLOPE,LIN,CHI,FIXED,0.6,MRMC,0.1808060512039852
SLOPE,LIN,CHI,FIXED,0.7,MACE,0.0760619928999909
SLOPE,LIN,CHI,FIXED,0.7,MAP,0.0015005988388016
SLOPE,LIN,CHI,FIXED,0.7,MRR,0.004105636659992533
SLOPE,LIN,CHI,FIXED,0.7,MRMC,0.18080485299717766
SLOPE,LIN,CHI,FIXED,0.8,MACE,0.07600044261971363
SLOPE,LIN,CHI,FIXED,0.8,MAP,0.0014998127829407
SLOPE,LIN,CHI,FIXED,0.8,MRR,0.004105177553523899
SLOPE,LIN,CHI,FIXED,0.8,MRMC,0.18080261808125345
SLOPE,LIN,CHI,FIXED,0.9,MACE,0.07596162654752703
SLOPE,LIN,CHI,FIXED,0.9,MAP,0.0014993430186433
SLOPE,LIN,CHI,FIXED,0.9,MRR,0.004104646301753067
SLOPE,LIN,CHI,FIXED,0.9,MRMC,0.1808009191844885
SLOPE,LIN,CHI,FIXED,1.0,MACE,0.07594816564976996
SLOPE,LIN,CHI,FIXED,1.0,MAP,0.0014994807505839
SLOPE,LIN,CHI,FIXED,1.0,MRR,0.004104784033693632
SLOPE,LIN,CHI,FIXED,1.0,MRMC,0.1807992464943612
SLOPE,LIN,CHI,FIXED,CGR,MACE,0.07600695260687412
SLOPE,LIN,CHI,FIXED,CGR,MAP,0.0014994807505839
