algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVD,LIN,KL,FIXED,0.0,MACE,0.0653645202013612
SVD,LIN,KL,FIXED,0.0,MAP,0.01548747318162357
SVD,LIN,KL,FIXED,0.0,MRR,0.03741655903899309
SVD,LIN,KL,FIXED,0.0,MRMC,0.6003061340046865
SVD,LIN,KL,FIXED,0.1,MACE,0.09039935241341154
SVD,LIN,KL,FIXED,0.1,MAP,0.01671738005909094
SVD,LIN,KL,FIXED,0.1,MRR,0.041212598891533336
SVD,LIN,KL,FIXED,0.1,MRMC,0.24893914524818092
SVD,LIN,KL,FIXED,0.2,MACE,0.09110779791853692
SVD,LIN,KL,FIXED,0.2,MAP,0.0171741104877757
SVD,LIN,KL,FIXED,0.2,MRR,0.042715244525352115
SVD,LIN,KL,FIXED,0.2,MRMC,0.2381914267949603
SVD,LIN,KL,FIXED,0.3,MACE,0.08988218445322452
SVD,LIN,KL,FIXED,0.3,MAP,0.01725404764659401
SVD,LIN,KL,FIXED,0.3,MRR,0.043198034329095907
SVD,LIN,KL,FIXED,0.3,MRMC,0.2356678318170253
SVD,LIN,KL,FIXED,0.4,MACE,0.08917942545773398
SVD,LIN,KL,FIXED,0.4,MAP,0.01737341155720519
SVD,LIN,KL,FIXED,0.4,MRR,0.043777728391039085
SVD,LIN,KL,FIXED,0.4,MRMC,0.23421410842850296
SVD,LIN,KL,FIXED,0.5,MACE,0.08906954725046451
SVD,LIN,KL,FIXED,0.5,MAP,0.01744325345667819
SVD,LIN,KL,FIXED,0.5,MRR,0.04418254224041857
SVD,LIN,KL,FIXED,0.5,MRMC,0.2334611943198769
SVD,LIN,KL,FIXED,0.6,MACE,0.08911378153771476
SVD,LIN,KL,FIXED,0.6,MAP,0.017475169390610935
SVD,LIN,KL,FIXED,0.6,MRR,0.04438202728036872
SVD,LIN,KL,FIXED,0.6,MRMC,0.2331111605286075
SVD,LIN,KL,FIXED,0.7,MACE,0.08915299125503665
SVD,LIN,KL,FIXED,0.7,MAP,0.017515842616466132
SVD,LIN,KL,FIXED,0.7,MRR,0.04452016257878267
SVD,LIN,KL,FIXED,0.7,MRMC,0.23294876066097184
SVD,LIN,KL,FIXED,0.8,MACE,0.08915919323733272
SVD,LIN,KL,FIXED,0.8,MAP,0.01754328570562828
SVD,LIN,KL,FIXED,0.8,MRR,0.04467303027584167
SVD,LIN,KL,FIXED,0.8,MRMC,0.2328658974572564
SVD,LIN,KL,FIXED,0.9,MACE,0.08916867373275016
SVD,LIN,KL,FIXED,0.9,MAP,0.017556590119189287
SVD,LIN,KL,FIXED,0.9,MRR,0.04474601344735964
SVD,LIN,KL,FIXED,0.9,MRMC,0.23282706438389336
SVD,LIN,KL,FIXED,1.0,MACE,0.08916989015950227
SVD,LIN,KL,FIXED,1.0,MAP,0.017562750180232085
SVD,LIN,KL,FIXED,1.0,MRR,0.04475527592036418
SVD,LIN,KL,FIXED,1.0,MRMC,0.23281553214435893
SVD,LIN,KL,FIXED,CGR,MACE,0.08919270939894361
SVD,LIN,KL,FIXED,CGR,MAP,0.017557063818684947
SVD,LIN,KL,FIXED,CGR,MRR,0.044690438609332396
SVD,LIN,KL,FIXED,CGR,MRMC,0.23291022199446398
SVD,LIN,KL,FIXED,VAR,MACE,0.08916809458443808
SVD,LIN,KL,FIXED,VAR,MAP,0.017580061117564837
SVD,LIN,KL,FIXED,VAR,MRR,0.04478474563665212
SVD,LIN,KL,FIXED,VAR,MRMC,0.2328186150421712
SVD,LIN,HE,FIXED,0.0,MACE,0.0653645202013612
SVD,LIN,HE,FIXED,0.0,MAP,0.01548747318162357
SVD,LIN,HE,FIXED,0.0,MRR,0.03741655903899309
SVD,LIN,HE,FIXED,0.0,MRMC,0.8521112474718904
SVD,LIN,HE,FIXED,0.1,MACE,0.06187224283126997
SVD,LIN,HE,FIXED,0.1,MAP,0.01461892375868105
SVD,LIN,HE,FIXED,0.1,MRR,0.035161887171568346
SVD,LIN,HE,FIXED,0.1,MRMC,0.7689268810827544
SVD,LIN,HE,FIXED,0.2,MACE,0.058187149588196
SVD,LIN,HE,FIXED,0.2,MAP,0.015379565125170786
SVD,LIN,HE,FIXED,0.2,MRR,0.03695963332609256
SVD,LIN,HE,FIXED,0.2,MRMC,0.7181752381623892
SVD,LIN,HE,FIXED,0.3,MACE,0.055232032766863615
SVD,LIN,HE,FIXED,0.3,MAP,0.01620378503113529
SVD,LIN,HE,FIXED,0.3,MRR,0.0388644709834218
SVD,LIN,HE,FIXED,0.3,MRMC,0.6482443569531023
SVD,LIN,HE,FIXED,0.4,MACE,0.05566951195484248
SVD,LIN,HE,FIXED,0.4,MAP,0.017064860528701757
SVD,LIN,HE,FIXED,0.4,MRR,0.04076882165996108
SVD,LIN,HE,FIXED,0.4,MRMC,0.575467754731416
SVD,LIN,HE,FIXED,0.5,MACE,0.05929569289024825
SVD,LIN,HE,FIXED,0.5,MAP,0.01756124004788349
SVD,LIN,HE,FIXED,0.5,MRR,0.04196632709840515
SVD,LIN,HE,FIXED,0.5,MRMC,0.521249084094112
SVD,LIN,HE,FIXED,0.6,MACE,0.06364884144241005
SVD,LIN,HE,FIXED,0.6,MAP,0.01748708910626924
SVD,LIN,HE,FIXED,0.6,MRR,0.04243108385592767
SVD,LIN,HE,FIXED,0.6,MRMC,0.48453399438502615
SVD,LIN,HE,FIXED,0.7,MACE,0.0678817226090315
SVD,LIN,HE,FIXED,0.7,MAP,0.017411579537441053
SVD,LIN,HE,FIXED,0.7,MRR,0.042698687178494295
SVD,LIN,HE,FIXED,0.7,MRMC,0.4622834685386025
SVD,LIN,HE,FIXED,0.8,MACE,0.07069444514760226
SVD,LIN,HE,FIXED,0.8,MAP,0.01752695709217179
SVD,LIN,HE,FIXED,0.8,MRR,0.04327831729346505
SVD,LIN,HE,FIXED,0.8,MRMC,0.45101670289235746
SVD,LIN,HE,FIXED,0.9,MACE,0.0708473862972087
SVD,LIN,HE,FIXED,0.9,MAP,0.017663758358361193
SVD,LIN,HE,FIXED,0.9,MRR,0.04404734358373787
SVD,LIN,HE,FIXED,0.9,MRMC,0.4464306286254378
SVD,LIN,HE,FIXED,1.0,MACE,0.06955431389486211
SVD,LIN,HE,FIXED,1.0,MAP,0.01816009409846181
SVD,LIN,HE,FIXED,1.0,MRR,0.04625162031790106
SVD,LIN,HE,FIXED,1.0,MRMC,0.4444204737666749
SVD,LIN,HE,FIXED,CGR,MACE,0.07077789469769723
SVD,LIN,HE,FIXED,CGR,MAP,0.01721401290666339
SVD,LIN,HE,FIXED,CGR,MRR,0.0429655772463686
SVD,LIN,HE,FIXED,CGR,MRMC,0.45065479012232396
SVD,LIN,HE,FIXED,VAR,MACE,0.06976369737625003
SVD,LIN,HE,FIXED,VAR,MAP,0.017900558424315118
SVD,LIN,HE,FIXED,VAR,MRR,0.045220721337589635
SVD,LIN,HE,FIXED,VAR,MRMC,0.4446135066312219
SVD,LIN,CHI,FIXED,0.0,MACE,0.0653645202013612
SVD,LIN,CHI,FIXED,0.0,MAP,0.01548747318162357
SVD,LIN,CHI,FIXED,0.0,MRR,0.03741655903899309
SVD,LIN,CHI,FIXED,0.0,MRMC,0.6083657817782632
SVD,LIN,CHI,FIXED,0.1,MACE,0.08456232971982715
SVD,LIN,CHI,FIXED,0.1,MAP,0.01702142528553799
SVD,LIN,CHI,FIXED,0.1,MRR,0.04232564021741183
SVD,LIN,CHI,FIXED,0.1,MRMC,0.2033301917122077
SVD,LIN,CHI,FIXED,0.2,MACE,0.08054611121839704
SVD,LIN,CHI,FIXED,0.2,MAP,0.017103311351315615
SVD,LIN,CHI,FIXED,0.2,MRR,0.04262295920616031
SVD,LIN,CHI,FIXED,0.2,MRMC,0.20315300769445566
SVD,LIN,CHI,FIXED,0.3,MACE,0.07868646533591515
SVD,LIN,CHI,FIXED,0.3,MAP,0.01714426692764902
SVD,LIN,CHI,FIXED,0.3,MRR,0.042781616563721876
SVD,LIN,CHI,FIXED,0.3,MRMC,0.20307597548231426
SVD,LIN,CHI,FIXED,0.4,MACE,0.07766406018392868
SVD,LIN,CHI,FIXED,0.4,MAP,0.01710712505037054
SVD,LIN,CHI,FIXED,0.4,MRR,0.04281480504240569
SVD,LIN,CHI,FIXED,0.4,MRMC,0.20303913536341064
SVD,LIN,CHI,FIXED,0.5,MACE,0.07694821779943213
SVD,LIN,CHI,FIXED,0.5,MAP,0.017121173708310507
SVD,LIN,CHI,FIXED,0.5,MRR,0.04295186799928222
SVD,LIN,CHI,FIXED,0.5,MRMC,0.20301349060505638
SVD,LIN,CHI,FIXED,0.6,MACE,0.07639948054761062
SVD,LIN,CHI,FIXED,0.6,MAP,0.01716462567606707
SVD,LIN,CHI,FIXED,0.6,MRR,0.04319263326942571
SVD,LIN,CHI,FIXED,0.6,MRMC,0.2029953763302349
SVD,LIN,CHI,FIXED,0.7,MACE,0.07598536282072696
SVD,LIN,CHI,FIXED,0.7,MAP,0.017186860530275846
SVD,LIN,CHI,FIXED,0.7,MRR,0.04337182252413063
SVD,LIN,CHI,FIXED,0.7,MRMC,0.20298191611501976
SVD,LIN,CHI,FIXED,0.8,MACE,0.075693657161423
SVD,LIN,CHI,FIXED,0.8,MAP,0.01723699790804858
SVD,LIN,CHI,FIXED,0.8,MRR,0.04365132982156236
SVD,LIN,CHI,FIXED,0.8,MRMC,0.2029711202518614
SVD,LIN,CHI,FIXED,0.9,MACE,0.07551448947264035
SVD,LIN,CHI,FIXED,0.9,MAP,0.01732397612042966
SVD,LIN,CHI,FIXED,0.9,MRR,0.04397653460928204
SVD,LIN,CHI,FIXED,0.9,MRMC,0.20296365263734026
SVD,LIN,CHI,FIXED,1.0,MACE,0.07544505815622456
SVD,LIN,CHI,FIXED,1.0,MAP,0.017376425427205126
SVD,LIN,CHI,FIXED,1.0,MRR,0.04423730544379592
SVD,LIN,CHI,FIXED,1.0,MRMC,0.2029640504210123
SVD,LIN,CHI,FIXED,CGR,MACE,0.07579607814098414
SVD,LIN,CHI,FIXED,CGR,MAP,0.017239702864981773
SVD,LIN,CHI,FIXED,CGR,MRR,0.04374758477204183
SVD,LIN,CHI,FIXED,CGR,MRMC,0.20297375975582962
SVD,LIN,CHI,FIXED,VAR,MACE,0.07545457616547319
SVD,LIN,CHI,FIXED,VAR,MAP,0.017372992950485763
SVD,LIN,CHI,FIXED,VAR,MRR,0.04421661613872046
SVD,LIN,CHI,FIXED,VAR,MRMC,0.20296205804156725
SVD,LOG,KL,FIXED,0.0,MACE,0.05702438790475793
SVD,LOG,KL,FIXED,0.0,MAP,0.01303901050619243
SVD,LOG,KL,FIXED,0.0,MRR,0.033578328941652025
SVD,LOG,KL,FIXED,0.0,MRMC,0.6000433327839595
SVD,LOG,KL,FIXED,0.1,MACE,0.07662234969675775
