algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVD,LIN,KL,FIXED,0.0,MACE,0.06661521728445963
SVD,LIN,KL,FIXED,0.0,MAP,0.016859005550465968
SVD,LIN,KL,FIXED,0.0,MRR,0.040324122936119595
SVD,LIN,KL,FIXED,0.0,MRMC,0.5993493304271591
SVD,LIN,KL,FIXED,0.1,MACE,0.09023195067137794
SVD,LIN,KL,FIXED,0.1,MAP,0.016962933481768968
SVD,LIN,KL,FIXED,0.1,MRR,0.04177135113984327
SVD,LIN,KL,FIXED,0.1,MRMC,0.2484471426948902
SVD,LIN,KL,FIXED,0.2,MACE,0.09086974321401974
SVD,LIN,KL,FIXED,0.2,MAP,0.017284488209096466
SVD,LIN,KL,FIXED,0.2,MRR,0.043250952908268935
SVD,LIN,KL,FIXED,0.2,MRMC,0.2383516591305099
SVD,LIN,KL,FIXED,0.3,MACE,0.08969669923954571
SVD,LIN,KL,FIXED,0.3,MAP,0.017533981421141733
SVD,LIN,KL,FIXED,0.3,MRR,0.044267831104961665
SVD,LIN,KL,FIXED,0.3,MRMC,0.23590675733881664
SVD,LIN,KL,FIXED,0.4,MACE,0.08915499677707255
SVD,LIN,KL,FIXED,0.4,MAP,0.0177177063198235
SVD,LIN,KL,FIXED,0.4,MRR,0.04498384207576983
SVD,LIN,KL,FIXED,0.4,MRMC,0.2345449399530187
SVD,LIN,KL,FIXED,0.5,MACE,0.0891110619263102
SVD,LIN,KL,FIXED,0.5,MAP,0.017821589488245766
SVD,LIN,KL,FIXED,0.5,MRR,0.045496277040059235
SVD,LIN,KL,FIXED,0.5,MRMC,0.23383425847777753
SVD,LIN,KL,FIXED,0.6,MACE,0.08916527587127769
SVD,LIN,KL,FIXED,0.6,MAP,0.01790706740627403
SVD,LIN,KL,FIXED,0.6,MRR,0.04586939450677793
SVD,LIN,KL,FIXED,0.6,MRMC,0.2334951703854741
SVD,LIN,KL,FIXED,0.7,MACE,0.08920647379990533
SVD,LIN,KL,FIXED,0.7,MAP,0.017960500184691936
SVD,LIN,KL,FIXED,0.7,MRR,0.046084694124906296
SVD,LIN,KL,FIXED,0.7,MRMC,0.2333259916683584
SVD,LIN,KL,FIXED,0.8,MACE,0.08921716411094173
SVD,LIN,KL,FIXED,0.8,MAP,0.0180020450569711
SVD,LIN,KL,FIXED,0.8,MRR,0.04626355872575124
SVD,LIN,KL,FIXED,0.8,MRMC,0.23324065038387884
SVD,LIN,KL,FIXED,0.9,MACE,0.08921914244904204
SVD,LIN,KL,FIXED,0.9,MAP,0.018008714890160666
SVD,LIN,KL,FIXED,0.9,MRR,0.046335343301452926
SVD,LIN,KL,FIXED,0.9,MRMC,0.23320252943907407
SVD,LIN,KL,FIXED,1.0,MACE,0.08921541885877916
SVD,LIN,KL,FIXED,1.0,MAP,0.0180379803040701
SVD,LIN,KL,FIXED,1.0,MRR,0.0464344037203889
SVD,LIN,KL,FIXED,1.0,MRMC,0.23319113368924005
SVD,LIN,KL,FIXED,CGR,MACE,0.08924745095148119
SVD,LIN,KL,FIXED,CGR,MAP,0.018002286251833765
SVD,LIN,KL,FIXED,CGR,MRR,0.046299708441157696
SVD,LIN,KL,FIXED,CGR,MRMC,0.23328698455228444
SVD,LIN,KL,FIXED,VAR,MACE,0.08921348210122683
SVD,LIN,KL,FIXED,VAR,MAP,0.018024797553723267
SVD,LIN,KL,FIXED,VAR,MRR,0.046396697961987
SVD,LIN,KL,FIXED,VAR,MRMC,0.2331944082994939
SVD,LIN,HE,FIXED,0.0,MACE,0.06661521728445963
SVD,LIN,HE,FIXED,0.0,MAP,0.016859005550465968
SVD,LIN,HE,FIXED,0.0,MRR,0.040324122936119595
SVD,LIN,HE,FIXED,0.0,MRMC,0.8524587450491614
SVD,LIN,HE,FIXED,0.1,MACE,0.062462582291209934
SVD,LIN,HE,FIXED,0.1,MAP,0.015721224124759365
SVD,LIN,HE,FIXED,0.1,MRR,0.03759635824943483
SVD,LIN,HE,FIXED,0.1,MRMC,0.7662483190427558
SVD,LIN,HE,FIXED,0.2,MACE,0.05810460604605524
SVD,LIN,HE,FIXED,0.2,MAP,0.016423635870067035
SVD,LIN,HE,FIXED,0.2,MRR,0.03924523093317713
SVD,LIN,HE,FIXED,0.2,MRMC,0.7135368077672504
SVD,LIN,HE,FIXED,0.3,MACE,0.054836823054761036
SVD,LIN,HE,FIXED,0.3,MAP,0.0172093560913721
SVD,LIN,HE,FIXED,0.3,MRR,0.04103972890943584
SVD,LIN,HE,FIXED,0.3,MRMC,0.6432691648970478
SVD,LIN,HE,FIXED,0.4,MACE,0.055772361396723626
SVD,LIN,HE,FIXED,0.4,MAP,0.017907200219216733
SVD,LIN,HE,FIXED,0.4,MRR,0.0425993873683282
SVD,LIN,HE,FIXED,0.4,MRMC,0.5742383641687644
SVD,LIN,HE,FIXED,0.5,MACE,0.05958642466874737
SVD,LIN,HE,FIXED,0.5,MAP,0.01820436081623353
SVD,LIN,HE,FIXED,0.5,MRR,0.0434266513141463
SVD,LIN,HE,FIXED,0.5,MRMC,0.5214281143535492
SVD,LIN,HE,FIXED,0.6,MACE,0.06387082722238457
SVD,LIN,HE,FIXED,0.6,MAP,0.017988728673848636
SVD,LIN,HE,FIXED,0.6,MRR,0.04347055173054277
SVD,LIN,HE,FIXED,0.6,MRMC,0.48469351812692646
SVD,LIN,HE,FIXED,0.7,MACE,0.0679391816417531
SVD,LIN,HE,FIXED,0.7,MAP,0.017738363979345934
SVD,LIN,HE,FIXED,0.7,MRR,0.043458336219145376
SVD,LIN,HE,FIXED,0.7,MRMC,0.4626382219568725
SVD,LIN,HE,FIXED,0.8,MACE,0.070524176913923
SVD,LIN,HE,FIXED,0.8,MAP,0.017650504282545065
SVD,LIN,HE,FIXED,0.8,MRR,0.0436087329396036
SVD,LIN,HE,FIXED,0.8,MRMC,0.4521724325320758
SVD,LIN,HE,FIXED,0.9,MACE,0.0706329647626603
SVD,LIN,HE,FIXED,0.9,MAP,0.01791457018977093
SVD,LIN,HE,FIXED,0.9,MRR,0.04486312166951046
SVD,LIN,HE,FIXED,0.9,MRMC,0.44783780629847225
SVD,LIN,HE,FIXED,1.0,MACE,0.06932955337446152
SVD,LIN,HE,FIXED,1.0,MAP,0.0187815478289248
SVD,LIN,HE,FIXED,1.0,MRR,0.04823735253500224
SVD,LIN,HE,FIXED,1.0,MRMC,0.4458972901919079
SVD,LIN,HE,FIXED,CGR,MACE,0.07058496317337866
SVD,LIN,HE,FIXED,CGR,MAP,0.017610409202907167
SVD,LIN,HE,FIXED,CGR,MRR,0.0440512476283871
SVD,LIN,HE,FIXED,CGR,MRMC,0.45180853311010205
SVD,LIN,HE,FIXED,VAR,MACE,0.06953821556817467
SVD,LIN,HE,FIXED,VAR,MAP,0.018480866705126636
SVD,LIN,HE,FIXED,VAR,MRR,0.04701769848877887
SVD,LIN,HE,FIXED,VAR,MRMC,0.4460849906779177
SVD,LIN,CHI,FIXED,0.0,MACE,0.06661521728445963
SVD,LIN,CHI,FIXED,0.0,MAP,0.016859005550465968
SVD,LIN,CHI,FIXED,0.0,MRR,0.040324122936119595
SVD,LIN,CHI,FIXED,0.0,MRMC,0.6081149152815127
SVD,LIN,CHI,FIXED,0.1,MACE,0.08438641768791273
SVD,LIN,CHI,FIXED,0.1,MAP,0.017688692430672233
SVD,LIN,CHI,FIXED,0.1,MRR,0.04443943526493851
SVD,LIN,CHI,FIXED,0.1,MRMC,0.20432606367752945
SVD,LIN,CHI,FIXED,0.2,MACE,0.08054913937834467
SVD,LIN,CHI,FIXED,0.2,MAP,0.017770208095909668
SVD,LIN,CHI,FIXED,0.2,MRR,0.04471048352568577
SVD,LIN,CHI,FIXED,0.2,MRMC,0.20415062574645407
SVD,LIN,CHI,FIXED,0.3,MACE,0.07858612775492874
SVD,LIN,CHI,FIXED,0.3,MAP,0.0178394964441548
SVD,LIN,CHI,FIXED,0.3,MRR,0.044945168914451904
SVD,LIN,CHI,FIXED,0.3,MRMC,0.20407474729965472
SVD,LIN,CHI,FIXED,0.4,MACE,0.0775270463631808
SVD,LIN,CHI,FIXED,0.4,MAP,0.01785107773275907
SVD,LIN,CHI,FIXED,0.4,MRR,0.04505724336210743
SVD,LIN,CHI,FIXED,0.4,MRMC,0.20403496444557592
SVD,LIN,CHI,FIXED,0.5,MACE,0.07680461198302677
SVD,LIN,CHI,FIXED,0.5,MAP,0.017854858146595032
SVD,LIN,CHI,FIXED,0.5,MRR,0.045182387587125235
SVD,LIN,CHI,FIXED,0.5,MRMC,0.2040100953983012
SVD,LIN,CHI,FIXED,0.6,MACE,0.07625423212558367
SVD,LIN,CHI,FIXED,0.6,MAP,0.0178482819383317
SVD,LIN,CHI,FIXED,0.6,MRR,0.045293596291154294
SVD,LIN,CHI,FIXED,0.6,MRMC,0.20399013292276272
SVD,LIN,CHI,FIXED,0.7,MACE,0.07584272523086767
SVD,LIN,CHI,FIXED,0.7,MAP,0.017864591203729904
SVD,LIN,CHI,FIXED,0.7,MRR,0.0454566381154912
SVD,LIN,CHI,FIXED,0.7,MRMC,0.20397850658946456
SVD,LIN,CHI,FIXED,0.8,MACE,0.07555178929013827
SVD,LIN,CHI,FIXED,0.8,MAP,0.017920855521293032
SVD,LIN,CHI,FIXED,0.8,MRR,0.04570794151875563
SVD,LIN,CHI,FIXED,0.8,MRMC,0.20396932674178772
SVD,LIN,CHI,FIXED,0.9,MACE,0.07537694484749154
SVD,LIN,CHI,FIXED,0.9,MAP,0.017990593793877397
SVD,LIN,CHI,FIXED,0.9,MRR,0.04599339424495607
SVD,LIN,CHI,FIXED,0.9,MRMC,0.2039636091911944
SVD,LIN,CHI,FIXED,1.0,MACE,0.07531144617667727
SVD,LIN,CHI,FIXED,1.0,MAP,0.01803229836962107
SVD,LIN,CHI,FIXED,1.0,MRR,0.04622173248679343
SVD,LIN,CHI,FIXED,1.0,MRMC,0.20396179666511363
SVD,LIN,CHI,FIXED,CGR,MACE,0.07565706965002747
SVD,LIN,CHI,FIXED,CGR,MAP,0.0179008183113696
SVD,LIN,CHI,FIXED,CGR,MRR,0.04575357998106903
SVD,LIN,CHI,FIXED,CGR,MRMC,0.2039723819995409
SVD,LIN,CHI,FIXED,VAR,MACE,0.07532000137441973
SVD,LIN,CHI,FIXED,VAR,MAP,0.01802064050861647
SVD,LIN,CHI,FIXED,VAR,MRR,0.04617304424579557
SVD,LIN,CHI,FIXED,VAR,MRMC,0.20396152122161781
SVD,LOG,KL,FIXED,0.0,MACE,0.05688055474366197
