algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVDpp,LIN,KL,FIXED,0.0,MACE,0.06853547686277375
SVDpp,LIN,KL,FIXED,0.0,MAP,0.029500338525433975
SVDpp,LIN,KL,FIXED,0.0,MRR,0.0673559166493518
SVDpp,LIN,KL,FIXED,0.0,MRMC,0.6074854476747459
SVDpp,LIN,KL,FIXED,0.1,MACE,0.09110686653166036
SVDpp,LIN,KL,FIXED,0.1,MAP,0.02855907352445805
SVDpp,LIN,KL,FIXED,0.1,MRR,0.0703699096242358
SVDpp,LIN,KL,FIXED,0.1,MRMC,0.2487850547029452
SVDpp,LIN,KL,FIXED,0.2,MACE,0.09153913651641996
SVDpp,LIN,KL,FIXED,0.2,MAP,0.026923894347008936
SVDpp,LIN,KL,FIXED,0.2,MRR,0.0673626851904321
SVDpp,LIN,KL,FIXED,0.2,MRMC,0.23863508891489535
SVDpp,LIN,KL,FIXED,0.3,MACE,0.09024532590711706
SVDpp,LIN,KL,FIXED,0.3,MAP,0.026679990264319397
SVDpp,LIN,KL,FIXED,0.3,MRR,0.06722633548824791
SVDpp,LIN,KL,FIXED,0.3,MRMC,0.23620863993808996
SVDpp,LIN,KL,FIXED,0.4,MACE,0.08968905222447232
SVDpp,LIN,KL,FIXED,0.4,MAP,0.02640985021454701
SVDpp,LIN,KL,FIXED,0.4,MRR,0.06703164155223108
SVDpp,LIN,KL,FIXED,0.4,MRMC,0.23486046172146263
SVDpp,LIN,KL,FIXED,0.5,MACE,0.08968428255287166
SVDpp,LIN,KL,FIXED,0.5,MAP,0.026233137183373948
SVDpp,LIN,KL,FIXED,0.5,MRR,0.06675568577126738
SVDpp,LIN,KL,FIXED,0.5,MRMC,0.23414892131549844
SVDpp,LIN,KL,FIXED,0.6,MACE,0.08972916344808868
SVDpp,LIN,KL,FIXED,0.6,MAP,0.0260670314792253
SVDpp,LIN,KL,FIXED,0.6,MRR,0.06660123907588951
SVDpp,LIN,KL,FIXED,0.6,MRMC,0.23380243683649554
SVDpp,LIN,KL,FIXED,0.7,MACE,0.08974262595513474
SVDpp,LIN,KL,FIXED,0.7,MAP,0.025963839266038295
SVDpp,LIN,KL,FIXED,0.7,MRR,0.06644454931747922
SVDpp,LIN,KL,FIXED,0.7,MRMC,0.23363464701207515
SVDpp,LIN,KL,FIXED,0.8,MACE,0.08974913189732563
SVDpp,LIN,KL,FIXED,0.8,MAP,0.02585336939549058
SVDpp,LIN,KL,FIXED,0.8,MRR,0.0661918603964791
SVDpp,LIN,KL,FIXED,0.8,MRMC,0.23354952038130244
SVDpp,LIN,KL,FIXED,0.9,MACE,0.0897467578263638
SVDpp,LIN,KL,FIXED,0.9,MAP,0.025807392998022954
SVDpp,LIN,KL,FIXED,0.9,MRR,0.06617146623127633
SVDpp,LIN,KL,FIXED,0.9,MRMC,0.23351057685915064
SVDpp,LIN,KL,FIXED,1.0,MACE,0.08974569654376918
SVDpp,LIN,KL,FIXED,1.0,MAP,0.025768713933907558
SVDpp,LIN,KL,FIXED,1.0,MRR,0.06614529224356673
SVDpp,LIN,KL,FIXED,1.0,MRMC,0.23349551768341748
SVDpp,LIN,KL,FIXED,CGR,MACE,0.08978175764368776
SVDpp,LIN,KL,FIXED,CGR,MAP,0.02579092862022503
SVDpp,LIN,KL,FIXED,CGR,MRR,0.0661570437294976
SVDpp,LIN,KL,FIXED,CGR,MRMC,0.23359233989860506
SVDpp,LIN,KL,FIXED,VAR,MACE,0.08974453459362408
SVDpp,LIN,KL,FIXED,VAR,MAP,0.025771639753845475
SVDpp,LIN,KL,FIXED,VAR,MRR,0.06613767763485137
SVDpp,LIN,KL,FIXED,VAR,MRMC,0.2334952408432886
SVDpp,LIN,HE,FIXED,0.0,MACE,0.06853547686277375
SVDpp,LIN,HE,FIXED,0.0,MAP,0.029500338525433975
SVDpp,LIN,HE,FIXED,0.0,MRR,0.0673559166493518
SVDpp,LIN,HE,FIXED,0.0,MRMC,0.8619292984776338
SVDpp,LIN,HE,FIXED,0.1,MACE,0.0644130439179315
SVDpp,LIN,HE,FIXED,0.1,MAP,0.02751876351740617
SVDpp,LIN,HE,FIXED,0.1,MRR,0.0631891417647318
SVDpp,LIN,HE,FIXED,0.1,MRMC,0.7800289148921993
SVDpp,LIN,HE,FIXED,0.2,MACE,0.05981706422628865
SVDpp,LIN,HE,FIXED,0.2,MAP,0.02880516951260208
SVDpp,LIN,HE,FIXED,0.2,MRR,0.06636244140489728
SVDpp,LIN,HE,FIXED,0.2,MRMC,0.7279777247696946
SVDpp,LIN,HE,FIXED,0.3,MACE,0.05566949303482328
SVDpp,LIN,HE,FIXED,0.3,MAP,0.030300615209226625
SVDpp,LIN,HE,FIXED,0.3,MRR,0.07006132121134849
SVDpp,LIN,HE,FIXED,0.3,MRMC,0.6534676593698979
SVDpp,LIN,HE,FIXED,0.4,MACE,0.05597820779139439
SVDpp,LIN,HE,FIXED,0.4,MAP,0.031351085898295585
SVDpp,LIN,HE,FIXED,0.4,MRR,0.07289843686053028
SVDpp,LIN,HE,FIXED,0.4,MRMC,0.5792589921690033
SVDpp,LIN,HE,FIXED,0.5,MACE,0.059861341246685726
SVDpp,LIN,HE,FIXED,0.5,MAP,0.03161168161648502
SVDpp,LIN,HE,FIXED,0.5,MRR,0.0746293682668757
SVDpp,LIN,HE,FIXED,0.5,MRMC,0.5246165081244039
SVDpp,LIN,HE,FIXED,0.6,MACE,0.06420221938349444
SVDpp,LIN,HE,FIXED,0.6,MAP,0.031207711867141406
SVDpp,LIN,HE,FIXED,0.6,MRR,0.07548043360376015
SVDpp,LIN,HE,FIXED,0.6,MRMC,0.4863439782837604
SVDpp,LIN,HE,FIXED,0.7,MACE,0.06825066565846885
SVDpp,LIN,HE,FIXED,0.7,MAP,0.030358009092669197
SVDpp,LIN,HE,FIXED,0.7,MRR,0.07499741752611397
SVDpp,LIN,HE,FIXED,0.7,MRMC,0.46351113973444535
SVDpp,LIN,HE,FIXED,0.8,MACE,0.07066896666684065
SVDpp,LIN,HE,FIXED,0.8,MAP,0.029035141517601355
SVDpp,LIN,HE,FIXED,0.8,MRR,0.0724084849958759
SVDpp,LIN,HE,FIXED,0.8,MRMC,0.45293328628401774
SVDpp,LIN,HE,FIXED,0.9,MACE,0.07064983128562184
SVDpp,LIN,HE,FIXED,0.9,MAP,0.027915376413523235
SVDpp,LIN,HE,FIXED,0.9,MRR,0.0700366327609981
SVDpp,LIN,HE,FIXED,0.9,MRMC,0.44856706860932516
SVDpp,LIN,HE,FIXED,1.0,MACE,0.0693706962828034
SVDpp,LIN,HE,FIXED,1.0,MAP,0.027009611820233845
SVDpp,LIN,HE,FIXED,1.0,MRR,0.06923795967051372
SVDpp,LIN,HE,FIXED,1.0,MRMC,0.44660506938198247
SVDpp,LIN,HE,FIXED,CGR,MACE,0.07062522880174953
SVDpp,LIN,HE,FIXED,CGR,MAP,0.027119600120889292
SVDpp,LIN,HE,FIXED,CGR,MRR,0.06824465167198705
SVDpp,LIN,HE,FIXED,CGR,MRMC,0.45242078683185166
SVDpp,LIN,HE,FIXED,VAR,MACE,0.06955851361719453
SVDpp,LIN,HE,FIXED,VAR,MAP,0.02720946824452378
SVDpp,LIN,HE,FIXED,VAR,MRR,0.0693184098808107
SVDpp,LIN,HE,FIXED,VAR,MRMC,0.4468198540215004
SVDpp,LIN,CHI,FIXED,0.0,MACE,0.06853547686277375
SVDpp,LIN,CHI,FIXED,0.0,MAP,0.029500338525433975
SVDpp,LIN,CHI,FIXED,0.0,MRR,0.0673559166493518
SVDpp,LIN,CHI,FIXED,0.0,MRMC,0.6181868832791684
SVDpp,LIN,CHI,FIXED,0.1,MACE,0.08470367341959122
SVDpp,LIN,CHI,FIXED,0.1,MAP,0.026679212570754868
SVDpp,LIN,CHI,FIXED,0.1,MRR,0.06633471793285607
SVDpp,LIN,CHI,FIXED,0.1,MRMC,0.20443162890534738
SVDpp,LIN,CHI,FIXED,0.2,MACE,0.0807314425275058
SVDpp,LIN,CHI,FIXED,0.2,MAP,0.026544080812445303
SVDpp,LIN,CHI,FIXED,0.2,MRR,0.06618964684743393
SVDpp,LIN,CHI,FIXED,0.2,MRMC,0.20424473448672092
SVDpp,LIN,CHI,FIXED,0.3,MACE,0.07870244838096828
SVDpp,LIN,CHI,FIXED,0.3,MAP,0.026423338106728877
SVDpp,LIN,CHI,FIXED,0.3,MRR,0.06613934025613419
SVDpp,LIN,CHI,FIXED,0.3,MRMC,0.20416792268253514
SVDpp,LIN,CHI,FIXED,0.4,MACE,0.07761948390102089
SVDpp,LIN,CHI,FIXED,0.4,MAP,0.026322945787134105
SVDpp,LIN,CHI,FIXED,0.4,MRR,0.06607291410878777
SVDpp,LIN,CHI,FIXED,0.4,MRMC,0.20412573477995935
SVDpp,LIN,CHI,FIXED,0.5,MACE,0.07689532545042693
SVDpp,LIN,CHI,FIXED,0.5,MAP,0.02619004971336016
SVDpp,LIN,CHI,FIXED,0.5,MRR,0.06598783020248955
SVDpp,LIN,CHI,FIXED,0.5,MRMC,0.20409999337888193
SVDpp,LIN,CHI,FIXED,0.6,MACE,0.07634846225912857
SVDpp,LIN,CHI,FIXED,0.6,MAP,0.026082189371186792
SVDpp,LIN,CHI,FIXED,0.6,MRR,0.06594780431675512
SVDpp,LIN,CHI,FIXED,0.6,MRMC,0.20408218486343715
SVDpp,LIN,CHI,FIXED,0.7,MACE,0.07594260599125242
SVDpp,LIN,CHI,FIXED,0.7,MAP,0.025994878142649357
SVDpp,LIN,CHI,FIXED,0.7,MRR,0.06589626305698797
SVDpp,LIN,CHI,FIXED,0.7,MRMC,0.20407169352192125
SVDpp,LIN,CHI,FIXED,0.8,MACE,0.07566167162936596
SVDpp,LIN,CHI,FIXED,0.8,MAP,0.025940957563608546
SVDpp,LIN,CHI,FIXED,0.8,MRR,0.06592117286224289
SVDpp,LIN,CHI,FIXED,0.8,MRMC,0.20406386198829374
SVDpp,LIN,CHI,FIXED,0.9,MACE,0.07549331333900498
SVDpp,LIN,CHI,FIXED,0.9,MAP,0.025888639594076425
SVDpp,LIN,CHI,FIXED,0.9,MRR,0.0660099656929412
SVDpp,LIN,CHI,FIXED,0.9,MRMC,0.20405965377554772
SVDpp,LIN,CHI,FIXED,1.0,MACE,0.07542795909100398
SVDpp,LIN,CHI,FIXED,1.0,MAP,0.025889566333276666
SVDpp,LIN,CHI,FIXED,1.0,MRR,0.06614816493832756
SVDpp,LIN,CHI,FIXED,1.0,MRMC,0.20405267467669402
SVDpp,LIN,CHI,FIXED,CGR,MACE,0.0757683278226059
SVDpp,LIN,CHI,FIXED,CGR,MAP,0.025872243098449217
