algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVDpp,LIN,KL,FIXED,0.0,MACE,0.0669189089716556
SVDpp,LIN,KL,FIXED,0.0,MAP,0.027881370397391997
SVDpp,LIN,KL,FIXED,0.0,MRR,0.0640229315810682
SVDpp,LIN,KL,FIXED,0.0,MRMC,0.6027828233876945
SVDpp,LIN,KL,FIXED,0.1,MACE,0.09068135279877097
SVDpp,LIN,KL,FIXED,0.1,MAP,0.026123987243923497
SVDpp,LIN,KL,FIXED,0.1,MRR,0.06384116805080703
SVDpp,LIN,KL,FIXED,0.1,MRMC,0.2483834729345397
SVDpp,LIN,KL,FIXED,0.2,MACE,0.09117374653785389
SVDpp,LIN,KL,FIXED,0.2,MAP,0.025099906814504167
SVDpp,LIN,KL,FIXED,0.2,MRR,0.06233008797529321
SVDpp,LIN,KL,FIXED,0.2,MRMC,0.23793173844754453
SVDpp,LIN,KL,FIXED,0.3,MACE,0.08992565498061889
SVDpp,LIN,KL,FIXED,0.3,MAP,0.024900204846747567
SVDpp,LIN,KL,FIXED,0.3,MRR,0.062313497835116194
SVDpp,LIN,KL,FIXED,0.3,MRMC,0.2354334701383576
SVDpp,LIN,KL,FIXED,0.4,MACE,0.08933009405206782
SVDpp,LIN,KL,FIXED,0.4,MAP,0.024745255429786565
SVDpp,LIN,KL,FIXED,0.4,MRR,0.062417250978027895
SVDpp,LIN,KL,FIXED,0.4,MRMC,0.23404725448981034
SVDpp,LIN,KL,FIXED,0.5,MACE,0.08926788587705377
SVDpp,LIN,KL,FIXED,0.5,MAP,0.024680331872325333
SVDpp,LIN,KL,FIXED,0.5,MRR,0.06248505936377807
SVDpp,LIN,KL,FIXED,0.5,MRMC,0.23332223118999681
SVDpp,LIN,KL,FIXED,0.6,MACE,0.08931555001583187
SVDpp,LIN,KL,FIXED,0.6,MAP,0.024566478879003633
SVDpp,LIN,KL,FIXED,0.6,MRR,0.06241956618636254
SVDpp,LIN,KL,FIXED,0.6,MRMC,0.23297788007291031
SVDpp,LIN,KL,FIXED,0.7,MACE,0.08934577563814827
SVDpp,LIN,KL,FIXED,0.7,MAP,0.0245200871541485
SVDpp,LIN,KL,FIXED,0.7,MRR,0.0624233226610755
SVDpp,LIN,KL,FIXED,0.7,MRMC,0.23280579717800398
SVDpp,LIN,KL,FIXED,0.8,MACE,0.08936114558759051
SVDpp,LIN,KL,FIXED,0.8,MAP,0.024471293482629466
SVDpp,LIN,KL,FIXED,0.8,MRR,0.0623710435516266
SVDpp,LIN,KL,FIXED,0.8,MRMC,0.23273156476642756
SVDpp,LIN,KL,FIXED,0.9,MACE,0.08935917057680394
SVDpp,LIN,KL,FIXED,0.9,MAP,0.024428516565348366
SVDpp,LIN,KL,FIXED,0.9,MRR,0.062337227080880374
SVDpp,LIN,KL,FIXED,0.9,MRMC,0.23269600247352554
SVDpp,LIN,KL,FIXED,1.0,MACE,0.08936197587197359
SVDpp,LIN,KL,FIXED,1.0,MAP,0.024404757805596967
SVDpp,LIN,KL,FIXED,1.0,MRR,0.0623278285156012
SVDpp,LIN,KL,FIXED,1.0,MRMC,0.23268651280702024
SVDpp,LIN,KL,FIXED,CGR,MACE,0.08939318122507774
SVDpp,LIN,KL,FIXED,CGR,MAP,0.024408700546362867
SVDpp,LIN,KL,FIXED,CGR,MRR,0.06228459380358426
SVDpp,LIN,KL,FIXED,CGR,MRMC,0.23277478959166853
SVDpp,LIN,KL,FIXED,VAR,MACE,0.08935899599069563
SVDpp,LIN,KL,FIXED,VAR,MAP,0.024398994051816534
SVDpp,LIN,KL,FIXED,VAR,MRR,0.06230302692829957
SVDpp,LIN,KL,FIXED,VAR,MRMC,0.23268692623824982
