algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
USER_KNN,LIN,KL,FIXED,0.0,MACE,0.07255428995125159
USER_KNN,LIN,KL,FIXED,0.0,MAP,3.701693473237504e-05
USER_KNN,LIN,KL,FIXED,0.0,MRR,0.00010072631955069478
USER_KNN,LIN,KL,FIXED,0.0,MRMC,0.7257109505262745
USER_KNN,LIN,KL,FIXED,0.1,MACE,0.08692602631317982
USER_KNN,LIN,KL,FIXED,0.1,MAP,9.732827581647497e-05
USER_KNN,LIN,KL,FIXED,0.1,MRR,0.00028141094961057274
USER_KNN,LIN,KL,FIXED,0.1,MRMC,0.21069901224082088
USER_KNN,LIN,KL,FIXED,0.2,MACE,0.08728149628645693
USER_KNN,LIN,KL,FIXED,0.2,MAP,0.00012321597784955578
USER_KNN,LIN,KL,FIXED,0.2,MRR,0.00035988864175843556
USER_KNN,LIN,KL,FIXED,0.2,MRMC,0.21075996835997723
USER_KNN,LIN,KL,FIXED,0.3,MACE,0.08734075032881689
USER_KNN,LIN,KL,FIXED,0.3,MAP,0.00015396168218708876
USER_KNN,LIN,KL,FIXED,0.3,MRR,0.00045981316465499325
USER_KNN,LIN,KL,FIXED,0.3,MRMC,0.21074841997387525
USER_KNN,LIN,KL,FIXED,0.4,MACE,0.08736266551754734
USER_KNN,LIN,KL,FIXED,0.4,MAP,0.0001741158002934084
USER_KNN,LIN,KL,FIXED,0.4,MRR,0.0005183590774006284
USER_KNN,LIN,KL,FIXED,0.4,MRMC,0.21073188684513577
USER_KNN,LIN,KL,FIXED,0.5,MACE,0.08738092992546817
USER_KNN,LIN,KL,FIXED,0.5,MAP,0.00018915662010540033
USER_KNN,LIN,KL,FIXED,0.5,MRR,0.0005630481731235399
USER_KNN,LIN,KL,FIXED,0.5,MRMC,0.21073023623896156
USER_KNN,LIN,KL,FIXED,0.6,MACE,0.08738959509854068
USER_KNN,LIN,KL,FIXED,0.6,MAP,0.00021047211361074905
USER_KNN,LIN,KL,FIXED,0.6,MRR,0.000622012200688817
USER_KNN,LIN,KL,FIXED,0.6,MRMC,0.21072780239509165
USER_KNN,LIN,KL,FIXED,0.7,MACE,0.08739771791947638
USER_KNN,LIN,KL,FIXED,0.7,MAP,0.00022958389606669057
USER_KNN,LIN,KL,FIXED,0.7,MRR,0.000678600352278952
USER_KNN,LIN,KL,FIXED,0.7,MRMC,0.21072849497057977
USER_KNN,LIN,KL,FIXED,0.8,MACE,0.08741110337637528
USER_KNN,LIN,KL,FIXED,0.8,MAP,0.00024171660433312554
USER_KNN,LIN,KL,FIXED,0.8,MRR,0.0007088521892295198
USER_KNN,LIN,KL,FIXED,0.8,MRMC,0.21072974161596686
USER_KNN,LIN,KL,FIXED,0.9,MACE,0.08742190572872084
USER_KNN,LIN,KL,FIXED,0.9,MAP,0.00025080100961447646
USER_KNN,LIN,KL,FIXED,0.9,MRR,0.0007357591076229514
USER_KNN,LIN,KL,FIXED,0.9,MRMC,0.21072917125090673
USER_KNN,LIN,KL,FIXED,1.0,MACE,0.08741702097121024
USER_KNN,LIN,KL,FIXED,1.0,MAP,0.0002576895742430253
USER_KNN,LIN,KL,FIXED,1.0,MRR,0.000753113332137033
USER_KNN,LIN,KL,FIXED,1.0,MRMC,0.21073092826314052
USER_KNN,LIN,KL,FIXED,CGR,MACE,0.08742156914810331
USER_KNN,LIN,KL,FIXED,CGR,MAP,0.0002534892419548806
USER_KNN,LIN,KL,FIXED,CGR,MRR,0.0007403878846262821
USER_KNN,LIN,KL,FIXED,CGR,MRMC,0.21072869474397377
USER_KNN,LIN,KL,FIXED,VAR,MACE,0.08741770359245497
USER_KNN,LIN,KL,FIXED,VAR,MAP,0.0002584898951977988
USER_KNN,LIN,KL,FIXED,VAR,MRR,0.0007551793112458521
USER_KNN,LIN,KL,FIXED,VAR,MRMC,0.21073027501847724
USER_KNN,LIN,HE,FIXED,0.0,MACE,0.07255428995125159
USER_KNN,LIN,HE,FIXED,0.0,MAP,3.701693473237504e-05
USER_KNN,LIN,HE,FIXED,0.0,MRR,0.00010072631955069478
USER_KNN,LIN,HE,FIXED,0.0,MRMC,0.9354824729258363
USER_KNN,LIN,HE,FIXED,0.1,MACE,0.05748080753251633
USER_KNN,LIN,HE,FIXED,0.1,MAP,3.30340221504442e-05
USER_KNN,LIN,HE,FIXED,0.1,MRR,9.08834047965345e-05
USER_KNN,LIN,HE,FIXED,0.1,MRMC,0.3992963591344695
USER_KNN,LIN,HE,FIXED,0.2,MACE,0.05748077256310153
USER_KNN,LIN,HE,FIXED,0.2,MAP,3.30340221504442e-05
USER_KNN,LIN,HE,FIXED,0.2,MRR,9.08834047965345e-05
USER_KNN,LIN,HE,FIXED,0.2,MRMC,0.3992954154047794
USER_KNN,LIN,HE,FIXED,0.3,MACE,0.05748085496304724
USER_KNN,LIN,HE,FIXED,0.3,MAP,3.420621934480522e-05
USER_KNN,LIN,HE,FIXED,0.3,MRR,9.66681463012284e-05
USER_KNN,LIN,HE,FIXED,0.3,MRMC,0.39929369951172444
USER_KNN,LIN,HE,FIXED,0.4,MACE,0.057481136349401864
USER_KNN,LIN,HE,FIXED,0.4,MAP,3.61787374939398e-05
USER_KNN,LIN,HE,FIXED,0.4,MRR,0.00010327927944945003
USER_KNN,LIN,HE,FIXED,0.4,MRMC,0.39928853068681064
USER_KNN,LIN,HE,FIXED,0.5,MACE,0.05748192577089293
USER_KNN,LIN,HE,FIXED,0.5,MAP,3.9635317302909536e-05
USER_KNN,LIN,HE,FIXED,0.5,MRR,0.00011343701006781132
USER_KNN,LIN,HE,FIXED,0.5,MRMC,0.39927478348445694
USER_KNN,LIN,HE,FIXED,0.6,MACE,0.0574868990610451
USER_KNN,LIN,HE,FIXED,0.6,MAP,4.802466818407913e-05
USER_KNN,LIN,HE,FIXED,0.6,MRR,0.00013441653601808302
USER_KNN,LIN,HE,FIXED,0.6,MRMC,0.3992522275821731
USER_KNN,LIN,HE,FIXED,0.7,MACE,0.0575278449184743
USER_KNN,LIN,HE,FIXED,0.7,MAP,7.053351057466489e-05
USER_KNN,LIN,HE,FIXED,0.7,MRR,0.00019638607128690425
USER_KNN,LIN,HE,FIXED,0.7,MRMC,0.3992776105859028
USER_KNN,LIN,HE,FIXED,0.8,MACE,0.057841738410509616
USER_KNN,LIN,HE,FIXED,0.8,MAP,9.552398739477278e-05
USER_KNN,LIN,HE,FIXED,0.8,MRR,0.0002718041467545632
USER_KNN,LIN,HE,FIXED,0.8,MRMC,0.3995465094424606
USER_KNN,LIN,HE,FIXED,0.9,MACE,0.05821122283346208
USER_KNN,LIN,HE,FIXED,0.9,MAP,0.0001214234950227612
USER_KNN,LIN,HE,FIXED,0.9,MRR,0.0003557320885514062
USER_KNN,LIN,HE,FIXED,0.9,MRMC,0.3993293431936201
USER_KNN,LIN,HE,FIXED,1.0,MACE,0.05827000022182092
USER_KNN,LIN,HE,FIXED,1.0,MAP,0.00016868473473615283
USER_KNN,LIN,HE,FIXED,1.0,MRR,0.0005237994890538525
USER_KNN,LIN,HE,FIXED,1.0,MRMC,0.3992467529269241
USER_KNN,LIN,HE,FIXED,CGR,MACE,0.05823919445082361
USER_KNN,LIN,HE,FIXED,CGR,MAP,0.00014700179208930697
USER_KNN,LIN,HE,FIXED,CGR,MRR,0.0004495226210939222
USER_KNN,LIN,HE,FIXED,CGR,MRMC,0.3992678127809401
USER_KNN,LIN,HE,FIXED,VAR,MACE,0.05826541720599595
