algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
USER_KNN,LIN,KL,FIXED,0.0,MACE,0.07255426272382161
USER_KNN,LIN,KL,FIXED,0.0,MAP,3.822717217699368e-05
USER_KNN,LIN,KL,FIXED,0.0,MRR,0.00010485827776826666
USER_KNN,LIN,KL,FIXED,0.0,MRMC,0.7257108666895776
USER_KNN,LIN,KL,FIXED,0.1,MACE,0.08692465600360477
USER_KNN,LIN,KL,FIXED,0.1,MAP,9.428013679798685e-05
USER_KNN,LIN,KL,FIXED,0.1,MRR,0.00027489163775599996
USER_KNN,LIN,KL,FIXED,0.1,MRMC,0.21070160691364437
USER_KNN,LIN,KL,FIXED,0.2,MACE,0.08728334388070032
USER_KNN,LIN,KL,FIXED,0.2,MAP,0.00013447310449363334
USER_KNN,LIN,KL,FIXED,0.2,MRR,0.00040113935796446667
USER_KNN,LIN,KL,FIXED,0.2,MRMC,0.21076290738328063
USER_KNN,LIN,KL,FIXED,0.3,MACE,0.08734156810858955
USER_KNN,LIN,KL,FIXED,0.3,MAP,0.0001622944645926
USER_KNN,LIN,KL,FIXED,0.3,MRR,0.0004888500091295667
USER_KNN,LIN,KL,FIXED,0.3,MRMC,0.21075186729285647
USER_KNN,LIN,KL,FIXED,0.4,MACE,0.08736523916209099
USER_KNN,LIN,KL,FIXED,0.4,MAP,0.00018565790088123332
USER_KNN,LIN,KL,FIXED,0.4,MRR,0.0005560894307918999
USER_KNN,LIN,KL,FIXED,0.4,MRMC,0.21073464129627706
USER_KNN,LIN,KL,FIXED,0.5,MACE,0.08738466747740033
USER_KNN,LIN,KL,FIXED,0.5,MAP,0.0002021578594305
USER_KNN,LIN,KL,FIXED,0.5,MRR,0.0006010031607511999
USER_KNN,LIN,KL,FIXED,0.5,MRMC,0.2107329050010078
USER_KNN,LIN,KL,FIXED,0.6,MACE,0.08739270487553667
USER_KNN,LIN,KL,FIXED,0.6,MAP,0.00022186123336456667
USER_KNN,LIN,KL,FIXED,0.6,MRR,0.0006573060104644333
USER_KNN,LIN,KL,FIXED,0.6,MRMC,0.21073147433613829
USER_KNN,LIN,KL,FIXED,0.7,MACE,0.08740116566890743
USER_KNN,LIN,KL,FIXED,0.7,MAP,0.0002415649352318
USER_KNN,LIN,KL,FIXED,0.7,MRR,0.0007159929344825667
USER_KNN,LIN,KL,FIXED,0.7,MRMC,0.21073162241510246
USER_KNN,LIN,KL,FIXED,0.8,MACE,0.08741484827884365
USER_KNN,LIN,KL,FIXED,0.8,MAP,0.0002528255051745
USER_KNN,LIN,KL,FIXED,0.8,MRR,0.0007444788511949
USER_KNN,LIN,KL,FIXED,0.8,MRMC,0.21073314574603316
USER_KNN,LIN,KL,FIXED,0.9,MACE,0.08742400095774437
USER_KNN,LIN,KL,FIXED,0.9,MAP,0.0002628994488623
USER_KNN,LIN,KL,FIXED,0.9,MRR,0.0007745290092324333
USER_KNN,LIN,KL,FIXED,0.9,MRMC,0.21073377377489508
USER_KNN,LIN,KL,FIXED,1.0,MACE,0.08742083328983896
USER_KNN,LIN,KL,FIXED,1.0,MAP,0.0002694595883992
USER_KNN,LIN,KL,FIXED,1.0,MRR,0.0007921209853106666
USER_KNN,LIN,KL,FIXED,1.0,MRMC,0.21073461419144923
USER_KNN,LIN,KL,FIXED,CGR,MACE,0.0874257171557165
USER_KNN,LIN,KL,FIXED,CGR,MAP,0.000265131854066
USER_KNN,LIN,KL,FIXED,CGR,MRR,0.0007788167357162
USER_KNN,LIN,KL,FIXED,CGR,MRMC,0.21073243273077233
USER_KNN,LIN,KL,FIXED,VAR,MACE,0.08742090779556981
USER_KNN,LIN,KL,FIXED,VAR,MAP,0.0002700649530714
USER_KNN,LIN,KL,FIXED,VAR,MRR,0.0007933163017950334
USER_KNN,LIN,KL,FIXED,VAR,MRMC,0.2107338416768456
USER_KNN,LIN,HE,FIXED,0.0,MACE,0.07255426272382161
USER_KNN,LIN,HE,FIXED,0.0,MAP,3.822717217699368e-05
USER_KNN,LIN,HE,FIXED,0.0,MRR,0.00010485827776826666
USER_KNN,LIN,HE,FIXED,0.0,MRMC,0.9354824006144641
USER_KNN,LIN,HE,FIXED,0.1,MACE,0.05748083436849757
USER_KNN,LIN,HE,FIXED,0.1,MAP,3.30340221504442e-05
USER_KNN,LIN,HE,FIXED,0.1,MRR,9.08834047965345e-05
USER_KNN,LIN,HE,FIXED,0.1,MRMC,0.39929639821345425
USER_KNN,LIN,HE,FIXED,0.2,MACE,0.05748078169690383
USER_KNN,LIN,HE,FIXED,0.2,MAP,3.30340221504442e-05
USER_KNN,LIN,HE,FIXED,0.2,MRR,9.08834047965345e-05
USER_KNN,LIN,HE,FIXED,0.2,MRMC,0.3992960282673021
USER_KNN,LIN,HE,FIXED,0.3,MACE,0.05748089837035563
USER_KNN,LIN,HE,FIXED,0.3,MAP,3.4376088738197025e-05
USER_KNN,LIN,HE,FIXED,0.3,MRR,9.795364441335227e-05
USER_KNN,LIN,HE,FIXED,0.3,MRMC,0.3992942783934173
USER_KNN,LIN,HE,FIXED,0.4,MACE,0.057481140872808735
USER_KNN,LIN,HE,FIXED,0.4,MAP,3.645649690745882e-05
USER_KNN,LIN,HE,FIXED,0.4,MRR,0.0001043122690038
USER_KNN,LIN,HE,FIXED,0.4,MRMC,0.3992880377046007
USER_KNN,LIN,HE,FIXED,0.5,MACE,0.05748203602893583
USER_KNN,LIN,HE,FIXED,0.5,MAP,4.036578848781348e-05
USER_KNN,LIN,HE,FIXED,0.5,MRR,0.00011550298917660001
USER_KNN,LIN,HE,FIXED,0.5,MRMC,0.3992734915235275
USER_KNN,LIN,HE,FIXED,0.6,MACE,0.05748667580481843
USER_KNN,LIN,HE,FIXED,0.6,MAP,4.973992274418692e-05
USER_KNN,LIN,HE,FIXED,0.6,MRR,0.00013992581364153333
USER_KNN,LIN,HE,FIXED,0.6,MRMC,0.39925095487644696
USER_KNN,LIN,HE,FIXED,0.7,MACE,0.05752744377057276
USER_KNN,LIN,HE,FIXED,0.7,MAP,7.060401621091825e-05
USER_KNN,LIN,HE,FIXED,0.7,MRR,0.00020035570257453332
USER_KNN,LIN,HE,FIXED,0.7,MRMC,0.3992784289861892
USER_KNN,LIN,HE,FIXED,0.8,MACE,0.0578412582769647
USER_KNN,LIN,HE,FIXED,0.8,MAP,9.815663505915389e-05
USER_KNN,LIN,HE,FIXED,0.8,MRR,0.0002841475520967
USER_KNN,LIN,HE,FIXED,0.8,MRMC,0.3995511164751386
USER_KNN,LIN,HE,FIXED,0.9,MACE,0.05821196051848677
USER_KNN,LIN,HE,FIXED,0.9,MAP,0.00013448687768766667
USER_KNN,LIN,HE,FIXED,0.9,MRR,0.0004028068982451667
USER_KNN,LIN,HE,FIXED,0.9,MRMC,0.39933377010813675
USER_KNN,LIN,HE,FIXED,1.0,MACE,0.058271085208807395
USER_KNN,LIN,HE,FIXED,1.0,MAP,0.00018517633098896668
