algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
CO_CLUSTERING,LIN,KL,FIXED,0.0,MACE,0.0729578088138583
CO_CLUSTERING,LIN,KL,FIXED,0.0,MAP,0.0022891586336151
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRR,0.0058807980555922
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRMC,0.6923472120431041
CO_CLUSTERING,LIN,KL,FIXED,0.1,MACE,0.0809873412458157
CO_CLUSTERING,LIN,KL,FIXED,0.1,MAP,0.0013121034959776
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRR,0.0035754145993757
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRMC,0.2215826620848694
CO_CLUSTERING,LIN,KL,FIXED,0.2,MACE,0.0824904010696116
CO_CLUSTERING,LIN,KL,FIXED,0.2,MAP,0.0013118073723054
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRR,0.0035739880899911
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRMC,0.2191873801764479
CO_CLUSTERING,LIN,KL,FIXED,0.3,MACE,0.0839319256621571
CO_CLUSTERING,LIN,KL,FIXED,0.3,MAP,0.0013112972722254
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRR,0.0035741487772551
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRMC,0.2184329632117079
CO_CLUSTERING,LIN,KL,FIXED,0.4,MACE,0.0847114188187644
CO_CLUSTERING,LIN,KL,FIXED,0.4,MAP,0.0013126167114229
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRR,0.0035792973283676
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRMC,0.2179065260412025
CO_CLUSTERING,LIN,KL,FIXED,0.5,MACE,0.0851875000869885
CO_CLUSTERING,LIN,KL,FIXED,0.5,MAP,0.0013103487254679
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRR,0.0035718073342651
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRMC,0.2176249539043506
CO_CLUSTERING,LIN,KL,FIXED,0.6,MACE,0.0854038995899357
CO_CLUSTERING,LIN,KL,FIXED,0.6,MAP,0.0013098799449701
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRR,0.0035700168190375
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRMC,0.217486172075186
CO_CLUSTERING,LIN,KL,FIXED,0.7,MACE,0.0855085342769855
