algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
BEST_SCORE,LIN,KL,FIXED,0.0,MACE,0.16525233767743708
BEST_SCORE,LIN,KL,FIXED,0.0,MAP,9.162371300494775e-05
BEST_SCORE,LIN,KL,FIXED,0.0,MRR,0.000268723577059817
BEST_SCORE,LIN,KL,FIXED,0.0,MRMC,0.532270287974505
BEST_SCORE,LIN,KL,FIXED,0.1,MACE,0.16423325955755672
BEST_SCORE,LIN,KL,FIXED,0.1,MAP,9.23283527050531e-05
BEST_SCORE,LIN,KL,FIXED,0.1,MRR,0.0002625579796838953
BEST_SCORE,LIN,KL,FIXED,0.1,MRMC,0.5106460605133383
BEST_SCORE,LIN,KL,FIXED,0.2,MACE,0.1652099555724669
BEST_SCORE,LIN,KL,FIXED,0.2,MAP,9.108181152129532e-05
BEST_SCORE,LIN,KL,FIXED,0.2,MRR,0.00025866568419759896
BEST_SCORE,LIN,KL,FIXED,0.2,MRMC,0.48175444017574265
BEST_SCORE,LIN,KL,FIXED,0.3,MACE,0.16456773384349246
BEST_SCORE,LIN,KL,FIXED,0.3,MAP,8.85413337453798e-05
BEST_SCORE,LIN,KL,FIXED,0.3,MRR,0.00026426085895914984
BEST_SCORE,LIN,KL,FIXED,0.3,MRMC,0.43237504097002033
BEST_SCORE,LIN,KL,FIXED,0.4,MACE,0.1644335388062699
BEST_SCORE,LIN,KL,FIXED,0.4,MAP,0.00010740386743177116
BEST_SCORE,LIN,KL,FIXED,0.4,MRR,0.0003268311866149327
BEST_SCORE,LIN,KL,FIXED,0.4,MRMC,0.3625965007311614
BEST_SCORE,LIN,KL,FIXED,0.5,MACE,0.16468954638819305
BEST_SCORE,LIN,KL,FIXED,0.5,MAP,0.0001184121850323455
BEST_SCORE,LIN,KL,FIXED,0.5,MRR,0.00035195494735083154
BEST_SCORE,LIN,KL,FIXED,0.5,MRMC,0.2818477265175494
BEST_SCORE,LIN,KL,FIXED,0.6,MACE,0.15780569729383126
BEST_SCORE,LIN,KL,FIXED,0.6,MAP,0.00013228813455531282
BEST_SCORE,LIN,KL,FIXED,0.6,MRR,0.0003840118594216955
BEST_SCORE,LIN,KL,FIXED,0.6,MRMC,0.23874605261081894
BEST_SCORE,LIN,KL,FIXED,0.7,MACE,0.1541526346126067
BEST_SCORE,LIN,KL,FIXED,0.7,MAP,0.00014040826824224102
BEST_SCORE,LIN,KL,FIXED,0.7,MRR,0.00041455882927804796
BEST_SCORE,LIN,KL,FIXED,0.7,MRMC,0.2073663434370881
BEST_SCORE,LIN,KL,FIXED,0.8,MACE,0.15268936585950188
BEST_SCORE,LIN,KL,FIXED,0.8,MAP,0.00014195302301336484
BEST_SCORE,LIN,KL,FIXED,0.8,MRR,0.0004183043248268221
BEST_SCORE,LIN,KL,FIXED,0.8,MRMC,0.18493326554363348
BEST_SCORE,LIN,KL,FIXED,0.9,MACE,0.14601213896904167
BEST_SCORE,LIN,KL,FIXED,0.9,MAP,0.00015269038987211295
BEST_SCORE,LIN,KL,FIXED,0.9,MRR,0.0004515188592621449
BEST_SCORE,LIN,KL,FIXED,0.9,MRMC,0.16760486242621397
BEST_SCORE,LIN,KL,FIXED,1.0,MACE,0.10254187807619271
BEST_SCORE,LIN,KL,FIXED,1.0,MAP,0.0001318821278709664
BEST_SCORE,LIN,KL,FIXED,1.0,MRR,0.00040000046975980003
BEST_SCORE,LIN,KL,FIXED,1.0,MRMC,0.15676939802947742
BEST_SCORE,LIN,KL,FIXED,CGR,MACE,0.1653835418714526
BEST_SCORE,LIN,KL,FIXED,CGR,MAP,0.00010753095423482588
BEST_SCORE,LIN,KL,FIXED,CGR,MRR,0.00033330296671768594
BEST_SCORE,LIN,KL,FIXED,CGR,MRMC,0.3275800734483984
BEST_SCORE,LIN,KL,FIXED,VAR,MACE,0.15084983162634363
BEST_SCORE,LIN,KL,FIXED,VAR,MAP,0.00014863074245704172
BEST_SCORE,LIN,KL,FIXED,VAR,MRR,0.0004334414955272995
BEST_SCORE,LIN,KL,FIXED,VAR,MRMC,0.17472290050690373
BEST_SCORE,LIN,HE,FIXED,0.0,MACE,0.16525233767743708
BEST_SCORE,LIN,HE,FIXED,0.0,MAP,9.162371300494775e-05
BEST_SCORE,LIN,HE,FIXED,0.0,MRR,0.000268723577059817
BEST_SCORE,LIN,HE,FIXED,0.0,MRMC,0.955236763534113
BEST_SCORE,LIN,HE,FIXED,0.1,MACE,0.16360419013997668
BEST_SCORE,LIN,HE,FIXED,0.1,MAP,9.338531225521112e-05
BEST_SCORE,LIN,HE,FIXED,0.1,MRR,0.00027312757518547544
BEST_SCORE,LIN,HE,FIXED,0.1,MRMC,0.9438790875307241
BEST_SCORE,LIN,HE,FIXED,0.2,MACE,0.16360130992520247
BEST_SCORE,LIN,HE,FIXED,0.2,MAP,9.338531225521112e-05
BEST_SCORE,LIN,HE,FIXED,0.2,MRR,0.00027312757518547544
BEST_SCORE,LIN,HE,FIXED,0.2,MRMC,0.9438720336105907
BEST_SCORE,LIN,HE,FIXED,0.3,MACE,0.16360130992520247
BEST_SCORE,LIN,HE,FIXED,0.3,MAP,9.338531225521112e-05
BEST_SCORE,LIN,HE,FIXED,0.3,MRR,0.00027312757518547544
