algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
BEST_SCORE,LIN,KL,FIXED,0.0,MACE,0.16525233767743705
BEST_SCORE,LIN,KL,FIXED,0.0,MAP,9.162371300494775e-05
BEST_SCORE,LIN,KL,FIXED,0.0,MRR,0.0002687235770598
BEST_SCORE,LIN,KL,FIXED,0.0,MRMC,0.5322702879745052
BEST_SCORE,LIN,KL,FIXED,0.1,MACE,0.1642332595575567
BEST_SCORE,LIN,KL,FIXED,0.1,MAP,9.232835270505309e-05
BEST_SCORE,LIN,KL,FIXED,0.1,MRR,0.0002625579796838
BEST_SCORE,LIN,KL,FIXED,0.1,MRMC,0.5106460605133383
BEST_SCORE,LIN,KL,FIXED,0.2,MACE,0.1652099555724669
BEST_SCORE,LIN,KL,FIXED,0.2,MAP,9.108181152129532e-05
BEST_SCORE,LIN,KL,FIXED,0.2,MRR,0.0002586656841975
BEST_SCORE,LIN,KL,FIXED,0.2,MRMC,0.4817544401757426
BEST_SCORE,LIN,KL,FIXED,0.3,MACE,0.1645677338434924
BEST_SCORE,LIN,KL,FIXED,0.3,MAP,8.85413337453798e-05
BEST_SCORE,LIN,KL,FIXED,0.3,MRR,0.0002642608589591
BEST_SCORE,LIN,KL,FIXED,0.3,MRMC,0.4323750409700204
BEST_SCORE,LIN,KL,FIXED,0.4,MACE,0.16443357403825487
BEST_SCORE,LIN,KL,FIXED,0.4,MAP,0.0001074038674317
BEST_SCORE,LIN,KL,FIXED,0.4,MRR,0.0003268311866149
BEST_SCORE,LIN,KL,FIXED,0.4,MRMC,0.36259650073116134
BEST_SCORE,LIN,KL,FIXED,0.5,MACE,0.16468933499628297
BEST_SCORE,LIN,KL,FIXED,0.5,MAP,0.0001184121850323
BEST_SCORE,LIN,KL,FIXED,0.5,MRR,0.0003519549473508
BEST_SCORE,LIN,KL,FIXED,0.5,MRMC,0.28184772651754936
BEST_SCORE,LIN,KL,FIXED,0.6,MACE,0.15780606135767625
BEST_SCORE,LIN,KL,FIXED,0.6,MAP,0.0001322881345553
BEST_SCORE,LIN,KL,FIXED,0.6,MRR,0.0003840118594216
BEST_SCORE,LIN,KL,FIXED,0.6,MRMC,0.23874605261081897
BEST_SCORE,LIN,KL,FIXED,0.7,MACE,0.1541527168205717
BEST_SCORE,LIN,KL,FIXED,0.7,MAP,0.0001404082682422
BEST_SCORE,LIN,KL,FIXED,0.7,MRR,0.000414558829278
BEST_SCORE,LIN,KL,FIXED,0.7,MRMC,0.20736634343708812
BEST_SCORE,LIN,KL,FIXED,0.8,MACE,0.15268949504344687
BEST_SCORE,LIN,KL,FIXED,0.8,MAP,0.0001419530230133
BEST_SCORE,LIN,KL,FIXED,0.8,MRR,0.0004183043248268
BEST_SCORE,LIN,KL,FIXED,0.8,MRMC,0.18493326554363346
BEST_SCORE,LIN,KL,FIXED,0.9,MACE,0.1460121389690416
BEST_SCORE,LIN,KL,FIXED,0.9,MAP,0.0001526903898721
BEST_SCORE,LIN,KL,FIXED,0.9,MRR,0.0004515188592621
BEST_SCORE,LIN,KL,FIXED,0.9,MRMC,0.1676048624262139
BEST_SCORE,LIN,KL,FIXED,1.0,MACE,0.10259248457132657
BEST_SCORE,LIN,KL,FIXED,1.0,MAP,0.00013447559343380001
BEST_SCORE,LIN,KL,FIXED,1.0,MRR,0.0004061255223910334
BEST_SCORE,LIN,KL,FIXED,1.0,MRMC,0.15679164756581834
BEST_SCORE,LIN,KL,FIXED,CGR,MACE,0.1653836728169968
BEST_SCORE,LIN,KL,FIXED,CGR,MAP,0.0001075309542348
BEST_SCORE,LIN,KL,FIXED,CGR,MRR,0.0003333029667176
BEST_SCORE,LIN,KL,FIXED,CGR,MRMC,0.3275800991484174
BEST_SCORE,LIN,KL,FIXED,VAR,MACE,0.1508498316263436
BEST_SCORE,LIN,KL,FIXED,VAR,MAP,0.000148630742457
BEST_SCORE,LIN,KL,FIXED,VAR,MRR,0.00043344149552719996
BEST_SCORE,LIN,KL,FIXED,VAR,MRMC,0.17472290050690367
BEST_SCORE,LIN,HE,FIXED,0.0,MACE,0.16525233767743705
BEST_SCORE,LIN,HE,FIXED,0.0,MAP,9.162371300494775e-05
BEST_SCORE,LIN,HE,FIXED,0.0,MRR,0.0002687235770598
BEST_SCORE,LIN,HE,FIXED,0.0,MRMC,0.9552367635341129
BEST_SCORE,LIN,HE,FIXED,0.1,MACE,0.1636041901399766
BEST_SCORE,LIN,HE,FIXED,0.1,MAP,9.338531225521112e-05
BEST_SCORE,LIN,HE,FIXED,0.1,MRR,0.0002731275751854
BEST_SCORE,LIN,HE,FIXED,0.1,MRMC,0.943879087530724
BEST_SCORE,LIN,HE,FIXED,0.2,MACE,0.16360130992520247
BEST_SCORE,LIN,HE,FIXED,0.2,MAP,9.338531225521112e-05
BEST_SCORE,LIN,HE,FIXED,0.2,MRR,0.0002731275751854
BEST_SCORE,LIN,HE,FIXED,0.2,MRMC,0.9438720336105909
BEST_SCORE,LIN,HE,FIXED,0.3,MACE,0.16360130992520247
