algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
CO_CLUSTERING,LIN,KL,FIXED,0.0,MACE,0.10428211138239739
CO_CLUSTERING,LIN,KL,FIXED,0.0,MAP,1.7491422269936397e-05
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRR,5.269698328644963e-05
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRMC,0.5631344480834868
CO_CLUSTERING,LIN,KL,FIXED,0.1,MACE,0.10428211138239739
CO_CLUSTERING,LIN,KL,FIXED,0.1,MAP,1.7491422269936397e-05
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRR,5.269698328644963e-05
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRMC,0.5631344480834868
CO_CLUSTERING,LIN,KL,FIXED,0.2,MACE,0.1042821130030687
CO_CLUSTERING,LIN,KL,FIXED,0.2,MAP,1.7491422269936397e-05
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRR,5.269698328644963e-05
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRMC,0.5631342273230602
CO_CLUSTERING,LIN,KL,FIXED,0.3,MACE,0.10428214978526104
CO_CLUSTERING,LIN,KL,FIXED,0.3,MAP,1.7491422269936397e-05
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRR,5.269698328644963e-05
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRMC,0.5631341408788596
CO_CLUSTERING,LIN,KL,FIXED,0.4,MACE,0.10428214978526104
CO_CLUSTERING,LIN,KL,FIXED,0.4,MAP,1.7491422269936397e-05
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRR,5.269698328644963e-05
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRMC,0.5631341408788596
CO_CLUSTERING,LIN,KL,FIXED,0.5,MACE,0.10428214978526104
CO_CLUSTERING,LIN,KL,FIXED,0.5,MAP,1.7491422269936397e-05
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRR,5.269698328644963e-05
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRMC,0.5631341408788596
CO_CLUSTERING,LIN,KL,FIXED,0.6,MACE,0.10430976510835599
CO_CLUSTERING,LIN,KL,FIXED,0.6,MAP,1.7491422269936397e-05
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRR,5.269698328644963e-05
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRMC,0.5624954534108443
CO_CLUSTERING,LIN,KL,FIXED,0.7,MACE,0.10453054296012092
CO_CLUSTERING,LIN,KL,FIXED,0.7,MAP,1.750610226368859e-05
CO_CLUSTERING,LIN,KL,FIXED,0.7,MRR,5.272634327395401e-05
CO_CLUSTERING,LIN,KL,FIXED,0.7,MRMC,0.5586190473775083
CO_CLUSTERING,LIN,KL,FIXED,0.8,MACE,0.10415576863860086
CO_CLUSTERING,LIN,KL,FIXED,0.8,MAP,1.8019482616622482e-05
CO_CLUSTERING,LIN,KL,FIXED,0.8,MRR,5.5217747927897916e-05
CO_CLUSTERING,LIN,KL,FIXED,0.8,MRMC,0.5400660436210826
CO_CLUSTERING,LIN,KL,FIXED,0.9,MACE,0.1078259174937375
CO_CLUSTERING,LIN,KL,FIXED,0.9,MAP,2.006084060496338e-05
CO_CLUSTERING,LIN,KL,FIXED,0.9,MRR,5.91016548463357e-05
CO_CLUSTERING,LIN,KL,FIXED,0.9,MRMC,0.4616469779414954
CO_CLUSTERING,LIN,KL,FIXED,1.0,MACE,0.10539246507629488
CO_CLUSTERING,LIN,KL,FIXED,1.0,MAP,5.191097447811784e-05
CO_CLUSTERING,LIN,KL,FIXED,1.0,MRR,0.00015248738652993973
CO_CLUSTERING,LIN,KL,FIXED,1.0,MRMC,0.15355926317050858
CO_CLUSTERING,LIN,KL,FIXED,CGR,MACE,0.10464691970278298
CO_CLUSTERING,LIN,KL,FIXED,CGR,MAP,1.7714558174969756e-05
CO_CLUSTERING,LIN,KL,FIXED,CGR,MRR,5.38713827866252e-05
CO_CLUSTERING,LIN,KL,FIXED,CGR,MRMC,0.5610043223814752
CO_CLUSTERING,LIN,KL,FIXED,VAR,MACE,0.10563343628119354
CO_CLUSTERING,LIN,KL,FIXED,VAR,MAP,1.8594938371708514e-05
CO_CLUSTERING,LIN,KL,FIXED,VAR,MRR,5.650958737809104e-05
CO_CLUSTERING,LIN,KL,FIXED,VAR,MRMC,0.505983520804292
CO_CLUSTERING,LIN,HE,FIXED,0.0,MACE,0.10428211138239739
CO_CLUSTERING,LIN,HE,FIXED,0.0,MAP,1.7491422269936397e-05
CO_CLUSTERING,LIN,HE,FIXED,0.0,MRR,5.269698328644963e-05
CO_CLUSTERING,LIN,HE,FIXED,0.0,MRMC,0.8888303055746823
CO_CLUSTERING,LIN,HE,FIXED,0.1,MACE,0.10428211138239739
CO_CLUSTERING,LIN,HE,FIXED,0.1,MAP,1.7491422269936397e-05
CO_CLUSTERING,LIN,HE,FIXED,0.1,MRR,5.269698328644963e-05
CO_CLUSTERING,LIN,HE,FIXED,0.1,MRMC,0.8888303055746823
CO_CLUSTERING,LIN,HE,FIXED,0.2,MACE,0.10428211138239739
CO_CLUSTERING,LIN,HE,FIXED,0.2,MAP,1.7491422269936397e-05
CO_CLUSTERING,LIN,HE,FIXED,0.2,MRR,5.269698328644963e-05
CO_CLUSTERING,LIN,HE,FIXED,0.2,MRMC,0.8888303055746823
