algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
ITEM_KNN,LIN,KL,FIXED,0.0,MACE,0.08415890724475308
ITEM_KNN,LIN,KL,FIXED,0.0,MAP,0.004519893320904832
ITEM_KNN,LIN,KL,FIXED,0.0,MRR,0.011485568391742093
ITEM_KNN,LIN,KL,FIXED,0.0,MRMC,0.5898291280208358
ITEM_KNN,LIN,KL,FIXED,0.1,MACE,0.08342967258916335
ITEM_KNN,LIN,KL,FIXED,0.1,MAP,0.004393731357456505
ITEM_KNN,LIN,KL,FIXED,0.1,MRR,0.011333399770790772
ITEM_KNN,LIN,KL,FIXED,0.1,MRMC,0.2978820640297909
ITEM_KNN,LIN,KL,FIXED,0.2,MACE,0.08495212226908076
ITEM_KNN,LIN,KL,FIXED,0.2,MAP,0.0041759616192821635
ITEM_KNN,LIN,KL,FIXED,0.2,MRR,0.010910930522022253
ITEM_KNN,LIN,KL,FIXED,0.2,MRMC,0.2827397993374704
ITEM_KNN,LIN,KL,FIXED,0.3,MACE,0.08643987210789444
ITEM_KNN,LIN,KL,FIXED,0.3,MAP,0.003925884150857991
ITEM_KNN,LIN,KL,FIXED,0.3,MRR,0.010347927595922013
ITEM_KNN,LIN,KL,FIXED,0.3,MRMC,0.26849329980281017
ITEM_KNN,LIN,KL,FIXED,0.4,MACE,0.08804908780867624
ITEM_KNN,LIN,KL,FIXED,0.4,MAP,0.00373039277120198
ITEM_KNN,LIN,KL,FIXED,0.4,MRR,0.009904285601878903
ITEM_KNN,LIN,KL,FIXED,0.4,MRMC,0.2549377289119611
ITEM_KNN,LIN,KL,FIXED,0.5,MACE,0.08952378271730209
ITEM_KNN,LIN,KL,FIXED,0.5,MAP,0.003577408781454822
ITEM_KNN,LIN,KL,FIXED,0.5,MRR,0.009576758164131723
ITEM_KNN,LIN,KL,FIXED,0.5,MRMC,0.24267654291319685
ITEM_KNN,LIN,KL,FIXED,0.6,MACE,0.09111035482132099
ITEM_KNN,LIN,KL,FIXED,0.6,MAP,0.0033504615306150015
ITEM_KNN,LIN,KL,FIXED,0.6,MRR,0.008966347246779752
ITEM_KNN,LIN,KL,FIXED,0.6,MRMC,0.23074801955805652
ITEM_KNN,LIN,KL,FIXED,0.7,MACE,0.09268180105907348
ITEM_KNN,LIN,KL,FIXED,0.7,MAP,0.003147364236481781
ITEM_KNN,LIN,KL,FIXED,0.7,MRR,0.008468905172776814
ITEM_KNN,LIN,KL,FIXED,0.7,MRMC,0.21952381746575214
ITEM_KNN,LIN,KL,FIXED,0.8,MACE,0.09404298090778734
ITEM_KNN,LIN,KL,FIXED,0.8,MAP,0.0029681001219194455
ITEM_KNN,LIN,KL,FIXED,0.8,MRR,0.008055839508577562
ITEM_KNN,LIN,KL,FIXED,0.8,MRMC,0.21001497249931556
ITEM_KNN,LIN,KL,FIXED,0.9,MACE,0.09525817103719442
