algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
ITEM_KNN,LIN,KL,FIXED,0.0,MACE,0.08198925633500444
ITEM_KNN,LIN,KL,FIXED,0.0,MAP,0.004490278880175366
ITEM_KNN,LIN,KL,FIXED,0.0,MRR,0.011415976832788768
ITEM_KNN,LIN,KL,FIXED,0.0,MRMC,0.5920946412056091
ITEM_KNN,LIN,KL,FIXED,0.1,MACE,0.0834267489450956
ITEM_KNN,LIN,KL,FIXED,0.1,MAP,0.004381238682773367
ITEM_KNN,LIN,KL,FIXED,0.1,MRR,0.011290002913069965
ITEM_KNN,LIN,KL,FIXED,0.1,MRMC,0.29839235558787575
ITEM_KNN,LIN,KL,FIXED,0.2,MACE,0.0849704324256399
ITEM_KNN,LIN,KL,FIXED,0.2,MAP,0.0041771421703987
ITEM_KNN,LIN,KL,FIXED,0.2,MRR,0.010899018755663301
ITEM_KNN,LIN,KL,FIXED,0.2,MRMC,0.28334995333554786
ITEM_KNN,LIN,KL,FIXED,0.3,MACE,0.08647372414999897
ITEM_KNN,LIN,KL,FIXED,0.3,MAP,0.003923806582218334
ITEM_KNN,LIN,KL,FIXED,0.3,MRR,0.010316748687286966
ITEM_KNN,LIN,KL,FIXED,0.3,MRMC,0.2691148501288166
ITEM_KNN,LIN,KL,FIXED,0.4,MACE,0.08809948131471669
ITEM_KNN,LIN,KL,FIXED,0.4,MAP,0.0037196569422472997
ITEM_KNN,LIN,KL,FIXED,0.4,MRR,0.009844470918764567
ITEM_KNN,LIN,KL,FIXED,0.4,MRMC,0.2555178621049878
ITEM_KNN,LIN,KL,FIXED,0.5,MACE,0.0895818602957842
ITEM_KNN,LIN,KL,FIXED,0.5,MAP,0.0035744722234664996
ITEM_KNN,LIN,KL,FIXED,0.5,MRR,0.009525109751827533
ITEM_KNN,LIN,KL,FIXED,0.5,MRMC,0.2432451623342923
ITEM_KNN,LIN,KL,FIXED,0.6,MACE,0.09116809814221738
ITEM_KNN,LIN,KL,FIXED,0.6,MAP,0.003350895359382733
ITEM_KNN,LIN,KL,FIXED,0.6,MRR,0.008947439414826867
ITEM_KNN,LIN,KL,FIXED,0.6,MRMC,0.2313401091862822
ITEM_KNN,LIN,KL,FIXED,0.7,MACE,0.09273962741001453
ITEM_KNN,LIN,KL,FIXED,0.7,MAP,0.0031545637248462
ITEM_KNN,LIN,KL,FIXED,0.7,MRR,0.008460910867607732
ITEM_KNN,LIN,KL,FIXED,0.7,MRMC,0.2201537384582397
ITEM_KNN,LIN,KL,FIXED,0.8,MACE,0.0941114658972001
