algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
NMF,LIN,KL,FIXED,0.0,MACE,0.08799787219949759
NMF,LIN,KL,FIXED,0.0,MAP,2.0359893049115228e-05
NMF,LIN,KL,FIXED,0.0,MRR,6.223897922537614e-05
NMF,LIN,KL,FIXED,0.0,MRMC,0.6569424382382266
NMF,LIN,KL,FIXED,0.1,MACE,0.08891716121804019
NMF,LIN,KL,FIXED,0.1,MAP,5.679605697045529e-05
NMF,LIN,KL,FIXED,0.1,MRR,0.00016659695766776337
NMF,LIN,KL,FIXED,0.1,MRMC,0.2027843263548174
NMF,LIN,KL,FIXED,0.2,MACE,0.08891716121804019
NMF,LIN,KL,FIXED,0.2,MAP,5.679605697045529e-05
NMF,LIN,KL,FIXED,0.2,MRR,0.00016659695766776337
NMF,LIN,KL,FIXED,0.2,MRMC,0.2027843263548174
NMF,LIN,KL,FIXED,0.3,MACE,0.08891716121804019
NMF,LIN,KL,FIXED,0.3,MAP,5.679605697045529e-05
NMF,LIN,KL,FIXED,0.3,MRR,0.00016659695766776337
NMF,LIN,KL,FIXED,0.3,MRMC,0.2027843263548174
NMF,LIN,KL,FIXED,0.4,MACE,0.08891716121804019
NMF,LIN,KL,FIXED,0.4,MAP,5.679605697045529e-05
NMF,LIN,KL,FIXED,0.4,MRR,0.00016659695766776337
NMF,LIN,KL,FIXED,0.4,MRMC,0.2027843263548174
NMF,LIN,KL,FIXED,0.5,MACE,0.08891724239253365
NMF,LIN,KL,FIXED,0.5,MAP,5.679605697045529e-05
NMF,LIN,KL,FIXED,0.5,MRR,0.00016659695766776337
NMF,LIN,KL,FIXED,0.5,MRMC,0.20278402759958283
NMF,LIN,KL,FIXED,0.6,MACE,0.08891704607991319
NMF,LIN,KL,FIXED,0.6,MAP,5.679605697045529e-05
NMF,LIN,KL,FIXED,0.6,MRR,0.00016659695766776337
NMF,LIN,KL,FIXED,0.6,MRMC,0.20278394612464581
NMF,LIN,KL,FIXED,0.7,MACE,0.0889175725866971
NMF,LIN,KL,FIXED,0.7,MAP,5.679605697045529e-05
NMF,LIN,KL,FIXED,0.7,MRR,0.00016659695766776337
NMF,LIN,KL,FIXED,0.7,MRMC,0.20278207704147222
NMF,LIN,KL,FIXED,0.8,MACE,0.088917760795961
NMF,LIN,KL,FIXED,0.8,MAP,5.679605697045529e-05
NMF,LIN,KL,FIXED,0.8,MRR,0.00016659695766776337
NMF,LIN,KL,FIXED,0.8,MRMC,0.20278077940829434
NMF,LIN,KL,FIXED,0.9,MACE,0.08891796239337921
NMF,LIN,KL,FIXED,0.9,MAP,5.679605697045529e-05
NMF,LIN,KL,FIXED,0.9,MRR,0.00016659695766776337
NMF,LIN,KL,FIXED,0.9,MRMC,0.20277830187951695
NMF,LIN,KL,FIXED,1.0,MACE,0.09046923655811692
NMF,LIN,KL,FIXED,1.0,MAP,0.00023474610237777315
NMF,LIN,KL,FIXED,1.0,MRR,0.0006161109492117514
NMF,LIN,KL,FIXED,1.0,MRMC,0.16573880543395836
NMF,LIN,KL,FIXED,CGR,MACE,0.08892594124009541
NMF,LIN,KL,FIXED,CGR,MAP,5.679605697045529e-05
NMF,LIN,KL,FIXED,CGR,MRR,0.00016659695766776337
NMF,LIN,KL,FIXED,CGR,MRMC,0.20276934442915215
NMF,LIN,KL,FIXED,VAR,MACE,0.08891790010322971
NMF,LIN,KL,FIXED,VAR,MAP,5.679605697045529e-05
NMF,LIN,KL,FIXED,VAR,MRR,0.00016659695766776337
NMF,LIN,KL,FIXED,VAR,MRMC,0.20277972066500097
NMF,LIN,HE,FIXED,0.0,MACE,0.08799787219949759
NMF,LIN,HE,FIXED,0.0,MAP,2.0359893049115228e-05
NMF,LIN,HE,FIXED,0.0,MRR,6.223897922537614e-05
NMF,LIN,HE,FIXED,0.0,MRMC,0.9368303872885366
