algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
NMF,LIN,KL,FIXED,0.0,MACE,0.08348137895640506
NMF,LIN,KL,FIXED,0.0,MAP,0.00012449473558643842
NMF,LIN,KL,FIXED,0.0,MRR,0.0003174793315474254
NMF,LIN,KL,FIXED,0.0,MRMC,0.6215447471626453
NMF,LIN,KL,FIXED,0.1,MACE,0.08111059087562046
NMF,LIN,KL,FIXED,0.1,MAP,0.00011824441367511841
NMF,LIN,KL,FIXED,0.1,MRR,0.0003489616267199666
NMF,LIN,KL,FIXED,0.1,MRMC,0.26232817228063726
NMF,LIN,KL,FIXED,0.2,MACE,0.0811107989322359
NMF,LIN,KL,FIXED,0.2,MAP,0.00011824441367511841
NMF,LIN,KL,FIXED,0.2,MRR,0.0003489616267199666
NMF,LIN,KL,FIXED,0.2,MRMC,0.26232786900666016
NMF,LIN,KL,FIXED,0.3,MACE,0.0811110684334332
NMF,LIN,KL,FIXED,0.3,MAP,0.00011824441367511841
NMF,LIN,KL,FIXED,0.3,MRR,0.0003489616267199666
NMF,LIN,KL,FIXED,0.3,MRMC,0.2623261787877025
NMF,LIN,KL,FIXED,0.4,MACE,0.08111083594930817
NMF,LIN,KL,FIXED,0.4,MAP,0.00011824441367511841
NMF,LIN,KL,FIXED,0.4,MRR,0.0003489616267199666
NMF,LIN,KL,FIXED,0.4,MRMC,0.2623251849148394
NMF,LIN,KL,FIXED,0.5,MACE,0.08111125112301946
NMF,LIN,KL,FIXED,0.5,MAP,0.00011824441367511841
NMF,LIN,KL,FIXED,0.5,MRR,0.0003489616267199666
NMF,LIN,KL,FIXED,0.5,MRMC,0.2623232362437267
NMF,LIN,KL,FIXED,0.6,MACE,0.08111143353074983
NMF,LIN,KL,FIXED,0.6,MAP,0.00011824441367511841
NMF,LIN,KL,FIXED,0.6,MRR,0.0003489616267199666
NMF,LIN,KL,FIXED,0.6,MRMC,0.2623207642924115
NMF,LIN,KL,FIXED,0.7,MACE,0.08111192459415688
NMF,LIN,KL,FIXED,0.7,MAP,0.00011824441367511841
NMF,LIN,KL,FIXED,0.7,MRR,0.0003489616267199666
NMF,LIN,KL,FIXED,0.7,MRMC,0.2623168431916265
NMF,LIN,KL,FIXED,0.8,MACE,0.08111283069034723
NMF,LIN,KL,FIXED,0.8,MAP,0.00011824441367511841
NMF,LIN,KL,FIXED,0.8,MRR,0.0003489616267199666
NMF,LIN,KL,FIXED,0.8,MRMC,0.26230604546280123
NMF,LIN,KL,FIXED,0.9,MACE,0.08111532130983119
NMF,LIN,KL,FIXED,0.9,MAP,0.00011824441367511841
NMF,LIN,KL,FIXED,0.9,MRR,0.0003489616267199666
NMF,LIN,KL,FIXED,0.9,MRMC,0.26227535079363234
NMF,LIN,KL,FIXED,1.0,MACE,0.09464379218296204
NMF,LIN,KL,FIXED,1.0,MAP,0.0001772709908391
NMF,LIN,KL,FIXED,1.0,MRR,0.0004971023370046334
NMF,LIN,KL,FIXED,1.0,MRMC,0.17960262442136884
NMF,LIN,KL,FIXED,CGR,MACE,0.08112458863721507
NMF,LIN,KL,FIXED,CGR,MAP,0.00011892402748111843
NMF,LIN,KL,FIXED,CGR,MRR,0.0003507232259702333
NMF,LIN,KL,FIXED,CGR,MRMC,0.2622925202178659
NMF,LIN,KL,FIXED,VAR,MACE,0.08111463968836134
NMF,LIN,KL,FIXED,VAR,MAP,0.00011824441367511841
NMF,LIN,KL,FIXED,VAR,MRR,0.0003489616267199666
NMF,LIN,KL,FIXED,VAR,MRMC,0.2622904714461732
NMF,LIN,HE,FIXED,0.0,MACE,0.08348137895640506
NMF,LIN,HE,FIXED,0.0,MAP,0.00012449473558643842
NMF,LIN,HE,FIXED,0.0,MRR,0.0003174793315474254
NMF,LIN,HE,FIXED,0.0,MRMC,0.9040041006845411
NMF,LIN,HE,FIXED,0.1,MACE,0.060038137919128466
NMF,LIN,HE,FIXED,0.1,MAP,0.0001311198866715206
NMF,LIN,HE,FIXED,0.1,MRR,0.0003832582864090333
NMF,LIN,HE,FIXED,0.1,MRMC,0.48933114519176746
NMF,LIN,HE,FIXED,0.2,MACE,0.060038137919128466
NMF,LIN,HE,FIXED,0.2,MAP,0.0001311198866715206
NMF,LIN,HE,FIXED,0.2,MRR,0.0003832582864090333
NMF,LIN,HE,FIXED,0.2,MRMC,0.48933114519176746
NMF,LIN,HE,FIXED,0.3,MACE,0.060038137919128466
NMF,LIN,HE,FIXED,0.3,MAP,0.0001311198866715206
NMF,LIN,HE,FIXED,0.3,MRR,0.0003832582864090333
NMF,LIN,HE,FIXED,0.3,MRMC,0.48933114519176746
NMF,LIN,HE,FIXED,0.4,MACE,0.060038137919128466
NMF,LIN,HE,FIXED,0.4,MAP,0.0001311198866715206
NMF,LIN,HE,FIXED,0.4,MRR,0.0003832582864090333
NMF,LIN,HE,FIXED,0.4,MRMC,0.48933114519176746
NMF,LIN,HE,FIXED,0.5,MACE,0.060038201219261504
NMF,LIN,HE,FIXED,0.5,MAP,0.0001311198866715206
NMF,LIN,HE,FIXED,0.5,MRR,0.0003832582864090333
NMF,LIN,HE,FIXED,0.5,MRMC,0.48933103558045765
NMF,LIN,HE,FIXED,0.6,MACE,0.060038231730160534
NMF,LIN,HE,FIXED,0.6,MAP,0.0001311198866715206
NMF,LIN,HE,FIXED,0.6,MRR,0.0003832582864090333
NMF,LIN,HE,FIXED,0.6,MRMC,0.4893308578028419
NMF,LIN,HE,FIXED,0.7,MACE,0.0600382428869558
NMF,LIN,HE,FIXED,0.7,MAP,0.0001311198866715206
NMF,LIN,HE,FIXED,0.7,MRR,0.0003832582864090333
NMF,LIN,HE,FIXED,0.7,MRMC,0.48933056022856786
NMF,LIN,HE,FIXED,0.8,MACE,0.06003830646894474
NMF,LIN,HE,FIXED,0.8,MAP,0.0001311198866715206
NMF,LIN,HE,FIXED,0.8,MRR,0.0003832582864090333
NMF,LIN,HE,FIXED,0.8,MRMC,0.4893302173795793
NMF,LIN,HE,FIXED,0.9,MACE,0.0600386077024165
NMF,LIN,HE,FIXED,0.9,MAP,0.0001311198866715206
NMF,LIN,HE,FIXED,0.9,MRR,0.0003832582864090333
NMF,LIN,HE,FIXED,0.9,MRMC,0.48932849291320973
NMF,LIN,HE,FIXED,1.0,MACE,0.06451722355516563
NMF,LIN,HE,FIXED,1.0,MAP,0.00019244702857069997
NMF,LIN,HE,FIXED,1.0,MRR,0.0005426914071257334
NMF,LIN,HE,FIXED,1.0,MRMC,0.35882281359009327
NMF,LIN,HE,FIXED,CGR,MACE,0.06004965588920241
NMF,LIN,HE,FIXED,CGR,MAP,0.0001317995004775206
NMF,LIN,HE,FIXED,CGR,MRR,0.0003850198856593
NMF,LIN,HE,FIXED,CGR,MRMC,0.4892995284158208
NMF,LIN,HE,FIXED,VAR,MACE,0.06003834743199926
NMF,LIN,HE,FIXED,VAR,MAP,0.0001311198866715206
NMF,LIN,HE,FIXED,VAR,MRR,0.0003832582864090333
NMF,LIN,HE,FIXED,VAR,MRMC,0.48932971966633815
NMF,LIN,CHI,FIXED,0.0,MACE,0.08348137895640506
NMF,LIN,CHI,FIXED,0.0,MAP,0.00012449473558643842
NMF,LIN,CHI,FIXED,0.0,MRR,0.0003174793315474254
NMF,LIN,CHI,FIXED,0.0,MRMC,0.6218597881132856
NMF,LIN,CHI,FIXED,0.1,MACE,0.06192146243272151
NMF,LIN,CHI,FIXED,0.1,MAP,0.00013070786818023686
NMF,LIN,CHI,FIXED,0.1,MRR,0.0003812380396498
NMF,LIN,CHI,FIXED,0.1,MRMC,0.2541841698917866
NMF,LIN,CHI,FIXED,0.2,MACE,0.0619233850186553
NMF,LIN,CHI,FIXED,0.2,MAP,0.00013070786818023686
NMF,LIN,CHI,FIXED,0.2,MRR,0.0003812380396498
NMF,LIN,CHI,FIXED,0.2,MRMC,0.254170110860257
NMF,LIN,CHI,FIXED,0.3,MACE,0.06192611831605197
NMF,LIN,CHI,FIXED,0.3,MAP,0.00013070786818023686
NMF,LIN,CHI,FIXED,0.3,MRR,0.0003812380396498
NMF,LIN,CHI,FIXED,0.3,MRMC,0.25414714633911656
NMF,LIN,CHI,FIXED,0.4,MACE,0.061929346810741935
NMF,LIN,CHI,FIXED,0.4,MAP,0.00013070786818023686
NMF,LIN,CHI,FIXED,0.4,MRR,0.0003812380396498
NMF,LIN,CHI,FIXED,0.4,MRMC,0.2541210501368161
NMF,LIN,CHI,FIXED,0.5,MACE,0.06193691797641567
NMF,LIN,CHI,FIXED,0.5,MAP,0.00013078224681523684
NMF,LIN,CHI,FIXED,0.5,MRR,0.0003816295061498667
NMF,LIN,CHI,FIXED,0.5,MRMC,0.2540754015972397
NMF,LIN,CHI,FIXED,0.6,MACE,0.061956284059053464
NMF,LIN,CHI,FIXED,0.6,MAP,0.00013070786818023686
NMF,LIN,CHI,FIXED,0.6,MRR,0.0003812380396498
NMF,LIN,CHI,FIXED,0.6,MRMC,0.2539616494358425
NMF,LIN,CHI,FIXED,0.7,MACE,0.062446742556362296
NMF,LIN,CHI,FIXED,0.7,MAP,0.00013114337466153684
NMF,LIN,CHI,FIXED,0.7,MRR,0.0003844019278270666
NMF,LIN,CHI,FIXED,0.7,MRMC,0.2517328962039935
NMF,LIN,CHI,FIXED,0.8,MACE,0.06301778670321397
NMF,LIN,CHI,FIXED,0.8,MAP,0.00013782500877023685
NMF,LIN,CHI,FIXED,0.8,MRR,0.0004016460271546333
NMF,LIN,CHI,FIXED,0.8,MRMC,0.2446014790002983
NMF,LIN,CHI,FIXED,0.9,MACE,0.06481773521753983
NMF,LIN,CHI,FIXED,0.9,MAP,0.00014217364234802676
NMF,LIN,CHI,FIXED,0.9,MRR,0.0004140694961529
NMF,LIN,CHI,FIXED,0.9,MRMC,0.23594554958127775
NMF,LIN,CHI,FIXED,1.0,MACE,0.06521202512275402
NMF,LIN,CHI,FIXED,1.0,MAP,0.00019021678799606664
NMF,LIN,CHI,FIXED,1.0,MRR,0.0005367690782177
NMF,LIN,CHI,FIXED,1.0,MRMC,0.16693098896968395
NMF,LIN,CHI,FIXED,CGR,MACE,0.062098145059477396
NMF,LIN,CHI,FIXED,CGR,MAP,0.00013146815204710351
NMF,LIN,CHI,FIXED,CGR,MRR,0.0003834050863465667
NMF,LIN,CHI,FIXED,CGR,MRMC,0.25351054346379226
NMF,LIN,CHI,FIXED,VAR,MACE,0.06401661237417773
NMF,LIN,CHI,FIXED,VAR,MAP,0.00013892824525307018
NMF,LIN,CHI,FIXED,VAR,MRR,0.0004068525316054
NMF,LIN,CHI,FIXED,VAR,MRMC,0.23877002540614903
NMF,LOG,KL,FIXED,0.0,MACE,0.11148467072774014
NMF,LOG,KL,FIXED,0.0,MAP,4.746027999138103e-05
NMF,LOG,KL,FIXED,0.0,MRR,0.00014427358050186665
NMF,LOG,KL,FIXED,0.0,MRMC,0.5599448200184295
NMF,LOG,KL,FIXED,0.1,MACE,0.1114846508099246
NMF,LOG,KL,FIXED,0.1,MAP,4.746027999138103e-05
