algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
POPULARITY,LIN,KL,FIXED,0.0,MACE,0.07293625455813804
POPULARITY,LIN,KL,FIXED,0.0,MAP,0.049896029573392675
POPULARITY,LIN,KL,FIXED,0.0,MRR,0.10887590170813052
POPULARITY,LIN,KL,FIXED,0.0,MRMC,0.6629734546690157
POPULARITY,LIN,KL,FIXED,0.1,MACE,0.07293625582648951
POPULARITY,LIN,KL,FIXED,0.1,MAP,0.049896135269347684
POPULARITY,LIN,KL,FIXED,0.1,MRR,0.10887590170813052
POPULARITY,LIN,KL,FIXED,0.1,MRMC,0.6629734530125962
POPULARITY,LIN,KL,FIXED,0.2,MACE,0.0729362205945045
POPULARITY,LIN,KL,FIXED,0.2,MAP,0.0498962409653027
POPULARITY,LIN,KL,FIXED,0.2,MRR,0.10887590170813052
POPULARITY,LIN,KL,FIXED,0.2,MRMC,0.6629733147399319
POPULARITY,LIN,KL,FIXED,0.3,MACE,0.0729362205945045
POPULARITY,LIN,KL,FIXED,0.3,MAP,0.0498962409653027
POPULARITY,LIN,KL,FIXED,0.3,MRR,0.10887590170813052
POPULARITY,LIN,KL,FIXED,0.3,MRMC,0.6629733147399319
POPULARITY,LIN,KL,FIXED,0.4,MACE,0.0729362205945045
POPULARITY,LIN,KL,FIXED,0.4,MAP,0.0498962409653027
POPULARITY,LIN,KL,FIXED,0.4,MRR,0.10887590170813052
POPULARITY,LIN,KL,FIXED,0.4,MRMC,0.6629733147399319
POPULARITY,LIN,KL,FIXED,0.5,MACE,0.07293626879186
POPULARITY,LIN,KL,FIXED,0.5,MAP,0.0498962409653027
POPULARITY,LIN,KL,FIXED,0.5,MRR,0.10887590170813052
POPULARITY,LIN,KL,FIXED,0.5,MRMC,0.6629730300882289
POPULARITY,LIN,KL,FIXED,0.6,MACE,0.07293627358340996
POPULARITY,LIN,KL,FIXED,0.6,MAP,0.04989606480537768
POPULARITY,LIN,KL,FIXED,0.6,MRR,0.10887590170813052
POPULARITY,LIN,KL,FIXED,0.6,MRMC,0.6629729348387228
POPULARITY,LIN,KL,FIXED,0.7,MACE,0.0729363101542104
POPULARITY,LIN,KL,FIXED,0.7,MAP,0.04989593268543391
POPULARITY,LIN,KL,FIXED,0.7,MRR,0.10887590170813052
POPULARITY,LIN,KL,FIXED,0.7,MRMC,0.6629725513236342
POPULARITY,LIN,KL,FIXED,0.8,MACE,0.07293533598982499
POPULARITY,LIN,KL,FIXED,0.8,MAP,0.049893620376703744
POPULARITY,LIN,KL,FIXED,0.8,MRR,0.10887869090694345
POPULARITY,LIN,KL,FIXED,0.8,MRMC,0.662907165548953
POPULARITY,LIN,KL,FIXED,0.9,MACE,0.07293881986943025
POPULARITY,LIN,KL,FIXED,0.9,MAP,0.0498885813639912
POPULARITY,LIN,KL,FIXED,0.9,MRR,0.10887255886383897
POPULARITY,LIN,KL,FIXED,0.9,MRMC,0.6626890481630807
POPULARITY,LIN,KL,FIXED,1.0,MACE,0.10157300053200295
POPULARITY,LIN,KL,FIXED,1.0,MAP,0.02607392039551091
POPULARITY,LIN,KL,FIXED,1.0,MRR,0.06196774327224275
POPULARITY,LIN,KL,FIXED,1.0,MRMC,0.1952688168036311
POPULARITY,LIN,KL,FIXED,CGR,MACE,0.07298615418221278
POPULARITY,LIN,KL,FIXED,CGR,MAP,0.049868368690307995
POPULARITY,LIN,KL,FIXED,CGR,MRR,0.10883038114464694
POPULARITY,LIN,KL,FIXED,CGR,MRMC,0.6628110191003806
POPULARITY,LIN,KL,FIXED,VAR,MACE,0.07292729710780635
POPULARITY,LIN,KL,FIXED,VAR,MAP,0.04989111848633996
POPULARITY,LIN,KL,FIXED,VAR,MRR,0.10887784366158973
POPULARITY,LIN,KL,FIXED,VAR,MRMC,0.6626835857586865
POPULARITY,LIN,HE,FIXED,0.0,MACE,0.07293625455813804
POPULARITY,LIN,HE,FIXED,0.0,MAP,0.049896029573392675
POPULARITY,LIN,HE,FIXED,0.0,MRR,0.10887590170813052
POPULARITY,LIN,HE,FIXED,0.0,MRMC,0.9088068007523367
POPULARITY,LIN,HE,FIXED,0.1,MACE,0.07293625582648951
POPULARITY,LIN,HE,FIXED,0.1,MAP,0.049896135269347684
POPULARITY,LIN,HE,FIXED,0.1,MRR,0.10887590170813052
POPULARITY,LIN,HE,FIXED,0.1,MRMC,0.9088067996327949
POPULARITY,LIN,HE,FIXED,0.2,MACE,0.07293625582648951
POPULARITY,LIN,HE,FIXED,0.2,MAP,0.049896135269347684
POPULARITY,LIN,HE,FIXED,0.2,MRR,0.10887590170813052
POPULARITY,LIN,HE,FIXED,0.2,MRMC,0.9088067996327949
POPULARITY,LIN,HE,FIXED,0.3,MACE,0.07293625582648951
POPULARITY,LIN,HE,FIXED,0.3,MAP,0.049896135269347684
POPULARITY,LIN,HE,FIXED,0.3,MRR,0.10887590170813052
POPULARITY,LIN,HE,FIXED,0.3,MRMC,0.9088067996327949
POPULARITY,LIN,HE,FIXED,0.4,MACE,0.07293625582648951
POPULARITY,LIN,HE,FIXED,0.4,MAP,0.049896135269347684
