algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
POPULARITY,LIN,KL,FIXED,0.0,MACE,0.072936254558138
POPULARITY,LIN,KL,FIXED,0.0,MAP,0.0498960295733926
POPULARITY,LIN,KL,FIXED,0.0,MRR,0.1088759017081305
POPULARITY,LIN,KL,FIXED,0.0,MRMC,0.6629734546690156
POPULARITY,LIN,KL,FIXED,0.1,MACE,0.0729362558264895
POPULARITY,LIN,KL,FIXED,0.1,MAP,0.0498961352693476
POPULARITY,LIN,KL,FIXED,0.1,MRR,0.1088759017081305
POPULARITY,LIN,KL,FIXED,0.1,MRMC,0.6629734530125962
POPULARITY,LIN,KL,FIXED,0.2,MACE,0.0729362205945045
POPULARITY,LIN,KL,FIXED,0.2,MAP,0.0498962409653027
POPULARITY,LIN,KL,FIXED,0.2,MRR,0.1088759017081305
POPULARITY,LIN,KL,FIXED,0.2,MRMC,0.6629733147399319
POPULARITY,LIN,KL,FIXED,0.3,MACE,0.0729362205945045
POPULARITY,LIN,KL,FIXED,0.3,MAP,0.0498962409653027
POPULARITY,LIN,KL,FIXED,0.3,MRR,0.1088759017081305
POPULARITY,LIN,KL,FIXED,0.3,MRMC,0.6629733147399319
POPULARITY,LIN,KL,FIXED,0.4,MACE,0.0729362205945045
POPULARITY,LIN,KL,FIXED,0.4,MAP,0.0498962409653027
POPULARITY,LIN,KL,FIXED,0.4,MRR,0.1088759017081305
POPULARITY,LIN,KL,FIXED,0.4,MRMC,0.6629733147399319
POPULARITY,LIN,KL,FIXED,0.5,MACE,0.07293626879186
POPULARITY,LIN,KL,FIXED,0.5,MAP,0.0498962409653027
POPULARITY,LIN,KL,FIXED,0.5,MRR,0.1088759017081305
POPULARITY,LIN,KL,FIXED,0.5,MRMC,0.6629730300882288
POPULARITY,LIN,KL,FIXED,0.6,MACE,0.0729362735834099
POPULARITY,LIN,KL,FIXED,0.6,MAP,0.049896064805377595
POPULARITY,LIN,KL,FIXED,0.6,MRR,0.1088759017081305
POPULARITY,LIN,KL,FIXED,0.6,MRMC,0.6629729348387228
POPULARITY,LIN,KL,FIXED,0.7,MACE,0.0729363101542104
POPULARITY,LIN,KL,FIXED,0.7,MAP,0.0498959326854339
POPULARITY,LIN,KL,FIXED,0.7,MRR,0.1088759017081305
POPULARITY,LIN,KL,FIXED,0.7,MRMC,0.6629725513236341
POPULARITY,LIN,KL,FIXED,0.8,MACE,0.07293533598982498
POPULARITY,LIN,KL,FIXED,0.8,MAP,0.0498936203767037
POPULARITY,LIN,KL,FIXED,0.8,MRR,0.1088786909069434
POPULARITY,LIN,KL,FIXED,0.8,MRMC,0.662907165548953
POPULARITY,LIN,KL,FIXED,0.9,MACE,0.0729388198694302
