algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SLOPE,LIN,KL,FIXED,0.0,MACE,0.1128462492381083
SLOPE,LIN,KL,FIXED,0.0,MAP,7.540903076305936e-05
SLOPE,LIN,KL,FIXED,0.0,MRR,0.00021581687957690745
SLOPE,LIN,KL,FIXED,0.0,MRMC,0.5704700394007169
SLOPE,LIN,KL,FIXED,0.1,MACE,0.11279972124453463
SLOPE,LIN,KL,FIXED,0.1,MAP,7.554115070682912e-05
SLOPE,LIN,KL,FIXED,0.1,MRR,0.0002159636795144294
SLOPE,LIN,KL,FIXED,0.1,MRMC,0.5687847466637024
SLOPE,LIN,KL,FIXED,0.2,MACE,0.11285759154150504
SLOPE,LIN,KL,FIXED,0.2,MAP,7.540903076305937e-05
SLOPE,LIN,KL,FIXED,0.2,MRR,0.00021581687957690745
SLOPE,LIN,KL,FIXED,0.2,MRMC,0.5667899216505543
SLOPE,LIN,KL,FIXED,0.3,MACE,0.11293181786473032
SLOPE,LIN,KL,FIXED,0.3,MAP,7.444015117541451e-05
SLOPE,LIN,KL,FIXED,0.3,MRR,0.0002132751435158132
SLOPE,LIN,KL,FIXED,0.3,MRMC,0.5640753978764644
SLOPE,LIN,KL,FIXED,0.4,MACE,0.11302656843989248
SLOPE,LIN,KL,FIXED,0.4,MAP,7.448544944184986e-05
SLOPE,LIN,KL,FIXED,0.4,MRR,0.00021240692674246911
SLOPE,LIN,KL,FIXED,0.4,MRMC,0.5604288838167222
SLOPE,LIN,KL,FIXED,0.5,MACE,0.11318933964690503
SLOPE,LIN,KL,FIXED,0.5,MAP,7.569340321345902e-05
SLOPE,LIN,KL,FIXED,0.5,MRR,0.00021548972543043
SLOPE,LIN,KL,FIXED,0.5,MRMC,0.5553326451264171
SLOPE,LIN,KL,FIXED,0.6,MACE,0.1134307857084976
SLOPE,LIN,KL,FIXED,0.6,MAP,7.519176685552689e-05
SLOPE,LIN,KL,FIXED,0.6,MRR,0.00021558199967687238
SLOPE,LIN,KL,FIXED,0.6,MRMC,0.5472849751257144
SLOPE,LIN,KL,FIXED,0.7,MACE,0.11376220037839152
SLOPE,LIN,KL,FIXED,0.7,MAP,7.493927096298914e-05
SLOPE,LIN,KL,FIXED,0.7,MRR,0.00021704999905209182
SLOPE,LIN,KL,FIXED,0.7,MRMC,0.5335104235015159
SLOPE,LIN,KL,FIXED,0.8,MACE,0.11451051456314101
SLOPE,LIN,KL,FIXED,0.8,MAP,7.449299915292243e-05
SLOPE,LIN,KL,FIXED,0.8,MRR,0.000219231026695275
SLOPE,LIN,KL,FIXED,0.8,MRMC,0.5052087210166449
SLOPE,LIN,KL,FIXED,0.9,MACE,0.11701621115233254
SLOPE,LIN,KL,FIXED,0.9,MAP,7.836893693189472e-05
SLOPE,LIN,KL,FIXED,0.9,MRR,0.0002291043710646083
SLOPE,LIN,KL,FIXED,0.9,MRMC,0.41739676729718966
SLOPE,LIN,KL,FIXED,1.0,MACE,0.10079677817589922
SLOPE,LIN,KL,FIXED,1.0,MAP,8.829638756391459e-05
SLOPE,LIN,KL,FIXED,1.0,MRR,0.00026074604902648156
SLOPE,LIN,KL,FIXED,1.0,MRMC,0.1670385780282011
SLOPE,LIN,KL,FIXED,CGR,MACE,0.11379667550989489
SLOPE,LIN,KL,FIXED,CGR,MAP,7.54350353234204e-05
SLOPE,LIN,KL,FIXED,CGR,MRR,0.00021645441073414565
SLOPE,LIN,KL,FIXED,CGR,MRMC,0.5538416491554697
SLOPE,LIN,KL,FIXED,VAR,MACE,0.11540188054243161
SLOPE,LIN,KL,FIXED,VAR,MAP,7.851909229656004e-05
SLOPE,LIN,KL,FIXED,VAR,MRR,0.00023063947898269485
SLOPE,LIN,KL,FIXED,VAR,MRMC,0.46708324021717995
SLOPE,LIN,HE,FIXED,0.0,MACE,0.1128462492381083
SLOPE,LIN,HE,FIXED,0.0,MAP,7.540903076305936e-05
SLOPE,LIN,HE,FIXED,0.0,MRR,0.00021581687957690745
SLOPE,LIN,HE,FIXED,0.0,MRMC,0.9119768622276215
SLOPE,LIN,HE,FIXED,0.1,MACE,0.1125972116702427
SLOPE,LIN,HE,FIXED,0.1,MAP,7.540903076305936e-05
SLOPE,LIN,HE,FIXED,0.1,MRR,0.00021581687957690745
SLOPE,LIN,HE,FIXED,0.1,MRMC,0.9108993393531778
SLOPE,LIN,HE,FIXED,0.2,MACE,0.11259585707088324
SLOPE,LIN,HE,FIXED,0.2,MAP,7.540903076305936e-05
SLOPE,LIN,HE,FIXED,0.2,MRR,0.00021581687957690745
SLOPE,LIN,HE,FIXED,0.2,MRMC,0.9108923684642402
SLOPE,LIN,HE,FIXED,0.3,MACE,0.11259153868648114
SLOPE,LIN,HE,FIXED,0.3,MAP,7.540903076305936e-05
SLOPE,LIN,HE,FIXED,0.3,MRR,0.00021581687957690745
SLOPE,LIN,HE,FIXED,0.3,MRMC,0.9108705321945582
