algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SLOPE,LIN,KL,FIXED,0.0,MACE,0.1128462879698038
SLOPE,LIN,KL,FIXED,0.0,MAP,7.54794947330699e-05
SLOPE,LIN,KL,FIXED,0.0,MRR,0.00021652151927696668
SLOPE,LIN,KL,FIXED,0.0,MRMC,0.5704333338348291
SLOPE,LIN,KL,FIXED,0.1,MACE,0.11279785742555183
SLOPE,LIN,KL,FIXED,0.1,MAP,7.554115070682912e-05
SLOPE,LIN,KL,FIXED,0.1,MRR,0.00021596367951439997
SLOPE,LIN,KL,FIXED,0.1,MRMC,0.5687847490425827
SLOPE,LIN,KL,FIXED,0.2,MACE,0.11285573981883706
SLOPE,LIN,KL,FIXED,0.2,MAP,7.540903076305937e-05
SLOPE,LIN,KL,FIXED,0.2,MRR,0.0002158168795769
SLOPE,LIN,KL,FIXED,0.2,MRMC,0.5667899240294346
SLOPE,LIN,KL,FIXED,0.3,MACE,0.11292976743366694
SLOPE,LIN,KL,FIXED,0.3,MAP,7.444015117541452e-05
SLOPE,LIN,KL,FIXED,0.3,MRR,0.0002132751435158
SLOPE,LIN,KL,FIXED,0.3,MRMC,0.5640754632231936
SLOPE,LIN,KL,FIXED,0.4,MACE,0.1130244965877822
SLOPE,LIN,KL,FIXED,0.4,MAP,7.448544944184986e-05
SLOPE,LIN,KL,FIXED,0.4,MRR,0.0002124069267424
SLOPE,LIN,KL,FIXED,0.4,MRMC,0.5604288867770862
SLOPE,LIN,KL,FIXED,0.5,MACE,0.11318755239876964
SLOPE,LIN,KL,FIXED,0.5,MAP,7.569340321345902e-05
SLOPE,LIN,KL,FIXED,0.5,MRR,0.0002154897254304
SLOPE,LIN,KL,FIXED,0.5,MRMC,0.5553326480867812
SLOPE,LIN,KL,FIXED,0.6,MACE,0.11342853342164812
SLOPE,LIN,KL,FIXED,0.6,MAP,7.519176685552689e-05
SLOPE,LIN,KL,FIXED,0.6,MRR,0.00021558199967680003
SLOPE,LIN,KL,FIXED,0.6,MRMC,0.5472849811374767
SLOPE,LIN,KL,FIXED,0.7,MACE,0.11376017618341298
SLOPE,LIN,KL,FIXED,0.7,MAP,7.493927096298914e-05
SLOPE,LIN,KL,FIXED,0.7,MRR,0.00021704999905200004
SLOPE,LIN,KL,FIXED,0.7,MRMC,0.5335104427762677
SLOPE,LIN,KL,FIXED,0.8,MACE,0.11450788047901402
SLOPE,LIN,KL,FIXED,0.8,MAP,7.449299915292242e-05
SLOPE,LIN,KL,FIXED,0.8,MRR,0.00021923102669520002
SLOPE,LIN,KL,FIXED,0.8,MRMC,0.5052084625740353
SLOPE,LIN,KL,FIXED,0.9,MACE,0.117016990014081
SLOPE,LIN,KL,FIXED,0.9,MAP,7.870643697873091e-05
SLOPE,LIN,KL,FIXED,0.9,MRR,0.0002301109992076
SLOPE,LIN,KL,FIXED,0.9,MRMC,0.4173887250710256
SLOPE,LIN,KL,FIXED,1.0,MACE,0.10075180013129782
SLOPE,LIN,KL,FIXED,1.0,MAP,8.84508770219734e-05
SLOPE,LIN,KL,FIXED,1.0,MRR,0.00026084251755676666
SLOPE,LIN,KL,FIXED,1.0,MRMC,0.1670270864090759
SLOPE,LIN,KL,FIXED,CGR,MACE,0.1137950074163328
SLOPE,LIN,KL,FIXED,CGR,MAP,7.54350353234204e-05
SLOPE,LIN,KL,FIXED,CGR,MRR,0.0002164544107341
SLOPE,LIN,KL,FIXED,CGR,MRMC,0.5538416774064744
SLOPE,LIN,KL,FIXED,VAR,MACE,0.11540025623048293
SLOPE,LIN,KL,FIXED,VAR,MAP,7.851909229656003e-05
SLOPE,LIN,KL,FIXED,VAR,MRR,0.00023063947898259996
SLOPE,LIN,KL,FIXED,VAR,MRMC,0.4670817385370086
SLOPE,LIN,HE,FIXED,0.0,MACE,0.1128462879698038
SLOPE,LIN,HE,FIXED,0.0,MAP,7.54794947330699e-05
SLOPE,LIN,HE,FIXED,0.0,MRR,0.00021652151927696668
SLOPE,LIN,HE,FIXED,0.0,MRMC,0.9119449149946034
SLOPE,LIN,HE,FIXED,0.1,MACE,0.1125973878301677
SLOPE,LIN,HE,FIXED,0.1,MAP,7.540903076305937e-05
SLOPE,LIN,HE,FIXED,0.1,MRR,0.0002158168795769
SLOPE,LIN,HE,FIXED,0.1,MRMC,0.9108993936467953
SLOPE,LIN,HE,FIXED,0.2,MACE,0.1125960332308082
SLOPE,LIN,HE,FIXED,0.2,MAP,7.540903076305937e-05
SLOPE,LIN,HE,FIXED,0.2,MRR,0.0002158168795769
SLOPE,LIN,HE,FIXED,0.2,MRMC,0.9108924227578578
SLOPE,LIN,HE,FIXED,0.3,MACE,0.11259171484640611
SLOPE,LIN,HE,FIXED,0.3,MAP,7.540903076305937e-05
SLOPE,LIN,HE,FIXED,0.3,MRR,0.0002158168795769
SLOPE,LIN,HE,FIXED,0.3,MRMC,0.9108705864881758
SLOPE,LIN,HE,FIXED,0.4,MACE,0.11258305785444252
SLOPE,LIN,HE,FIXED,0.4,MAP,7.540903076305937e-05
SLOPE,LIN,HE,FIXED,0.4,MRR,0.0002158168795769
SLOPE,LIN,HE,FIXED,0.4,MRMC,0.9108271799921902
SLOPE,LIN,HE,FIXED,0.5,MACE,0.1125648783615717
SLOPE,LIN,HE,FIXED,0.5,MAP,7.540903076305937e-05
SLOPE,LIN,HE,FIXED,0.5,MRR,0.0002158168795769
SLOPE,LIN,HE,FIXED,0.5,MRMC,0.9107421607353229
SLOPE,LIN,HE,FIXED,0.6,MACE,0.11253574566734659
SLOPE,LIN,HE,FIXED,0.6,MAP,7.540903076305937e-05
SLOPE,LIN,HE,FIXED,0.6,MRR,0.0002158168795769
SLOPE,LIN,HE,FIXED,0.6,MRMC,0.9105863708386255
SLOPE,LIN,HE,FIXED,0.7,MACE,0.11246796595180968
SLOPE,LIN,HE,FIXED,0.7,MAP,7.554115070682912e-05
SLOPE,LIN,HE,FIXED,0.7,MRR,0.00021596367951439997
SLOPE,LIN,HE,FIXED,0.7,MRMC,0.9102359837601544
SLOPE,LIN,HE,FIXED,0.8,MACE,0.11227681157582098
SLOPE,LIN,HE,FIXED,0.8,MAP,7.554115070682912e-05
SLOPE,LIN,HE,FIXED,0.8,MRR,0.00021596367951439997
SLOPE,LIN,HE,FIXED,0.8,MRMC,0.9092675966529389
SLOPE,LIN,HE,FIXED,0.9,MACE,0.11160091377676302
SLOPE,LIN,HE,FIXED,0.9,MAP,7.540903076305937e-05
SLOPE,LIN,HE,FIXED,0.9,MRR,0.0002158168795769
SLOPE,LIN,HE,FIXED,0.9,MRMC,0.9058587515598714
SLOPE,LIN,HE,FIXED,1.0,MACE,0.06758568500961243
SLOPE,LIN,HE,FIXED,1.0,MAP,0.0001020925058827
SLOPE,LIN,HE,FIXED,1.0,MRR,0.00030398771824183333
SLOPE,LIN,HE,FIXED,1.0,MRMC,0.3370816591222053
SLOPE,LIN,HE,FIXED,CGR,MACE,0.11261117055921377
SLOPE,LIN,HE,FIXED,CGR,MAP,7.540903076305937e-05
SLOPE,LIN,HE,FIXED,CGR,MRR,0.0002158168795769
SLOPE,LIN,HE,FIXED,CGR,MRMC,0.9106537341933977
SLOPE,LIN,HE,FIXED,VAR,MACE,0.11190877612304884
SLOPE,LIN,HE,FIXED,VAR,MAP,7.540903076305937e-05
SLOPE,LIN,HE,FIXED,VAR,MRR,0.0002158168795769
SLOPE,LIN,HE,FIXED,VAR,MRMC,0.9074126853483692
SLOPE,LIN,CHI,FIXED,0.0,MACE,0.1128462879698038
SLOPE,LIN,CHI,FIXED,0.0,MAP,7.54794947330699e-05
SLOPE,LIN,CHI,FIXED,0.0,MRR,0.00021652151927696668
SLOPE,LIN,CHI,FIXED,0.0,MRMC,0.5688491589897682
SLOPE,LIN,CHI,FIXED,0.1,MACE,0.11343034540263693
SLOPE,LIN,CHI,FIXED,0.1,MAP,7.56233586718414e-05
SLOPE,LIN,CHI,FIXED,0.1,MRR,0.0002175323417039
SLOPE,LIN,CHI,FIXED,0.1,MRMC,0.5412386768112569
SLOPE,LIN,CHI,FIXED,0.2,MACE,0.11477184346663936
SLOPE,LIN,CHI,FIXED,0.2,MAP,7.686402785809832e-05
SLOPE,LIN,CHI,FIXED,0.2,MRR,0.0002265794121392
SLOPE,LIN,CHI,FIXED,0.2,MRMC,0.5030710827377738
SLOPE,LIN,CHI,FIXED,0.3,MACE,0.11688314995085135
SLOPE,LIN,CHI,FIXED,0.3,MAP,7.80747778189936e-05
SLOPE,LIN,CHI,FIXED,0.3,MRR,0.00022941474807533336
SLOPE,LIN,CHI,FIXED,0.3,MRMC,0.45089387628304967
SLOPE,LIN,CHI,FIXED,0.4,MACE,0.11972806669179877
SLOPE,LIN,CHI,FIXED,0.4,MAP,7.868043241836987e-05
SLOPE,LIN,CHI,FIXED,0.4,MRR,0.00023229202685073335
SLOPE,LIN,CHI,FIXED,0.4,MRMC,0.38403961490305405
SLOPE,LIN,CHI,FIXED,0.5,MACE,0.12256343866522446
SLOPE,LIN,CHI,FIXED,0.5,MAP,8.125530332250482e-05
SLOPE,LIN,CHI,FIXED,0.5,MRR,0.00023800883584623332
SLOPE,LIN,CHI,FIXED,0.5,MRMC,0.31347065181658956
SLOPE,LIN,CHI,FIXED,0.6,MACE,0.12541347491893706
SLOPE,LIN,CHI,FIXED,0.6,MAP,8.296824887918946e-05
SLOPE,LIN,CHI,FIXED,0.6,MRR,0.00023996756644120002
