algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVD,LIN,KL,FIXED,0.0,MACE,0.11107304950446213
SVD,LIN,KL,FIXED,0.0,MAP,0.0001236827222177763
SVD,LIN,KL,FIXED,0.0,MRR,0.0004250990647921238
SVD,LIN,KL,FIXED,0.0,MRMC,0.6082943663174918
SVD,LIN,KL,FIXED,0.1,MACE,0.10462997692304983
SVD,LIN,KL,FIXED,0.1,MAP,0.00021841188304390257
SVD,LIN,KL,FIXED,0.1,MRR,0.0006260597906918103
SVD,LIN,KL,FIXED,0.1,MRMC,0.15858218843209562
SVD,LIN,KL,FIXED,0.2,MACE,0.10462986629461692
SVD,LIN,KL,FIXED,0.2,MAP,0.00021841188304390257
SVD,LIN,KL,FIXED,0.2,MRR,0.0006260597906918103
SVD,LIN,KL,FIXED,0.2,MRMC,0.1585817554807303
SVD,LIN,KL,FIXED,0.3,MACE,0.10463017887278786
SVD,LIN,KL,FIXED,0.3,MAP,0.00021841188304390257
SVD,LIN,KL,FIXED,0.3,MRR,0.0006260597906918103
SVD,LIN,KL,FIXED,0.3,MRMC,0.15858198579068258
SVD,LIN,KL,FIXED,0.4,MACE,0.10462883160168128
SVD,LIN,KL,FIXED,0.4,MAP,0.00021841188304390257
SVD,LIN,KL,FIXED,0.4,MRR,0.0006260597906918103
SVD,LIN,KL,FIXED,0.4,MRMC,0.15858262422347985
SVD,LIN,KL,FIXED,0.5,MACE,0.10462992139744144
SVD,LIN,KL,FIXED,0.5,MAP,0.00021841188304390257
SVD,LIN,KL,FIXED,0.5,MRR,0.0006260597906918103
SVD,LIN,KL,FIXED,0.5,MRMC,0.158582145113246
SVD,LIN,KL,FIXED,0.6,MACE,0.10463027054641287
SVD,LIN,KL,FIXED,0.6,MAP,0.00021841188304390257
SVD,LIN,KL,FIXED,0.6,MRR,0.0006260597906918103
SVD,LIN,KL,FIXED,0.6,MRMC,0.15858251468564885
SVD,LIN,KL,FIXED,0.7,MACE,0.10462914749165882
SVD,LIN,KL,FIXED,0.7,MAP,0.00021841188304390257
SVD,LIN,KL,FIXED,0.7,MRR,0.0006260597906918103
SVD,LIN,KL,FIXED,0.7,MRMC,0.15858156203991952
