algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVD,LIN,KL,FIXED,0.0,MACE,0.09952298926951174
SVD,LIN,KL,FIXED,0.0,MAP,9.187537004064107e-05
SVD,LIN,KL,FIXED,0.0,MRR,0.00027326458846046667
SVD,LIN,KL,FIXED,0.0,MRMC,0.5823167696499146
SVD,LIN,KL,FIXED,0.1,MACE,0.09990377390930581
SVD,LIN,KL,FIXED,0.1,MAP,0.00021309045521343334
SVD,LIN,KL,FIXED,0.1,MRR,0.0006023914464793
SVD,LIN,KL,FIXED,0.1,MRMC,0.16234726259047189
SVD,LIN,KL,FIXED,0.2,MACE,0.09990356597013027
SVD,LIN,KL,FIXED,0.2,MAP,0.00021309045521343334
SVD,LIN,KL,FIXED,0.2,MRR,0.0006023914464793
SVD,LIN,KL,FIXED,0.2,MRMC,0.16234697746683538
SVD,LIN,KL,FIXED,0.3,MACE,0.09990363558853264
SVD,LIN,KL,FIXED,0.3,MAP,0.00021309045521343334
SVD,LIN,KL,FIXED,0.3,MRR,0.0006023914464793
SVD,LIN,KL,FIXED,0.3,MRMC,0.16234731218386086
SVD,LIN,KL,FIXED,0.4,MACE,0.09990349816030313
SVD,LIN,KL,FIXED,0.4,MAP,0.00021309045521343334
SVD,LIN,KL,FIXED,0.4,MRR,0.0006023914464793
SVD,LIN,KL,FIXED,0.4,MRMC,0.16234734141966614
SVD,LIN,KL,FIXED,0.5,MACE,0.09990400467880757
SVD,LIN,KL,FIXED,0.5,MAP,0.00021309045521343334
SVD,LIN,KL,FIXED,0.5,MRR,0.0006023914464793
SVD,LIN,KL,FIXED,0.5,MRMC,0.16234708454193136
SVD,LIN,KL,FIXED,0.6,MACE,0.09990397217142939
SVD,LIN,KL,FIXED,0.6,MAP,0.00021309045521343334
SVD,LIN,KL,FIXED,0.6,MRR,0.0006023914464793
SVD,LIN,KL,FIXED,0.6,MRMC,0.16234728032071946
SVD,LIN,KL,FIXED,0.7,MACE,0.09990282483009373
SVD,LIN,KL,FIXED,0.7,MAP,0.00021309045521343334
SVD,LIN,KL,FIXED,0.7,MRR,0.0006023914464793
SVD,LIN,KL,FIXED,0.7,MRMC,0.1623471924431503
SVD,LIN,KL,FIXED,0.8,MACE,0.09990358252916325
SVD,LIN,KL,FIXED,0.8,MAP,0.00021309045521343334
SVD,LIN,KL,FIXED,0.8,MRR,0.0006023914464793
SVD,LIN,KL,FIXED,0.8,MRMC,0.16234725826016924
SVD,LIN,KL,FIXED,0.9,MACE,0.09990373282881126
SVD,LIN,KL,FIXED,0.9,MAP,0.00021309045521343334
SVD,LIN,KL,FIXED,0.9,MRR,0.0006023914464793
SVD,LIN,KL,FIXED,0.9,MRMC,0.1623475877624489
SVD,LIN,KL,FIXED,1.0,MACE,0.09986944538983598
SVD,LIN,KL,FIXED,1.0,MAP,0.0002167466125145
SVD,LIN,KL,FIXED,1.0,MRR,0.0006130994533505
SVD,LIN,KL,FIXED,1.0,MRMC,0.1623646447698965
SVD,LIN,KL,FIXED,CGR,MACE,0.09990325874722102
SVD,LIN,KL,FIXED,CGR,MAP,0.00021309045521343334
SVD,LIN,KL,FIXED,CGR,MRR,0.0006023914464793
SVD,LIN,KL,FIXED,CGR,MRMC,0.162347243305513
SVD,LIN,KL,FIXED,VAR,MACE,0.09990322036784537
SVD,LIN,KL,FIXED,VAR,MAP,0.00021309045521343334
SVD,LIN,KL,FIXED,VAR,MRR,0.0006023914464793
SVD,LIN,KL,FIXED,VAR,MRMC,0.16234701304360125
SVD,LIN,HE,FIXED,0.0,MACE,0.09952298926951174
SVD,LIN,HE,FIXED,0.0,MAP,9.187537004064107e-05
SVD,LIN,HE,FIXED,0.0,MRR,0.00027326458846046667
SVD,LIN,HE,FIXED,0.0,MRMC,0.9004196314342462
SVD,LIN,HE,FIXED,0.1,MACE,0.06582532646544503
SVD,LIN,HE,FIXED,0.1,MAP,0.0002362303196508
SVD,LIN,HE,FIXED,0.1,MRR,0.0006643773705742668
SVD,LIN,HE,FIXED,0.1,MRMC,0.32371355719689066
SVD,LIN,HE,FIXED,0.2,MACE,0.06582532646544503
SVD,LIN,HE,FIXED,0.2,MAP,0.0002362303196508
SVD,LIN,HE,FIXED,0.2,MRR,0.0006643773705742668
SVD,LIN,HE,FIXED,0.2,MRMC,0.32371355719689066
SVD,LIN,HE,FIXED,0.3,MACE,0.06582532646544503
SVD,LIN,HE,FIXED,0.3,MAP,0.0002362303196508
SVD,LIN,HE,FIXED,0.3,MRR,0.0006643773705742668
SVD,LIN,HE,FIXED,0.3,MRMC,0.32371355719689066
SVD,LIN,HE,FIXED,0.4,MACE,0.06582532646544503
SVD,LIN,HE,FIXED,0.4,MAP,0.0002362303196508
SVD,LIN,HE,FIXED,0.4,MRR,0.0006643773705742668
SVD,LIN,HE,FIXED,0.4,MRMC,0.32371355719689066
SVD,LIN,HE,FIXED,0.5,MACE,0.06582532646544503
SVD,LIN,HE,FIXED,0.5,MAP,0.0002362303196508
SVD,LIN,HE,FIXED,0.5,MRR,0.0006643773705742668
SVD,LIN,HE,FIXED,0.5,MRMC,0.32371355719689066
SVD,LIN,HE,FIXED,0.6,MACE,0.06582532646544503
SVD,LIN,HE,FIXED,0.6,MAP,0.0002362303196508
SVD,LIN,HE,FIXED,0.6,MRR,0.0006643773705742668
SVD,LIN,HE,FIXED,0.6,MRMC,0.32371355719689066
SVD,LIN,HE,FIXED,0.7,MACE,0.06582531178545127
SVD,LIN,HE,FIXED,0.7,MAP,0.0002362303196508
SVD,LIN,HE,FIXED,0.7,MRR,0.0006643773705742668
SVD,LIN,HE,FIXED,0.7,MRMC,0.32371335271848495
SVD,LIN,HE,FIXED,0.8,MACE,0.06582532686474084
SVD,LIN,HE,FIXED,0.8,MAP,0.0002362303196508
SVD,LIN,HE,FIXED,0.8,MRR,0.0006643773705742668
SVD,LIN,HE,FIXED,0.8,MRMC,0.32371355824440834
SVD,LIN,HE,FIXED,0.9,MACE,0.06582543018840886
SVD,LIN,HE,FIXED,0.9,MAP,0.0002362303196508
SVD,LIN,HE,FIXED,0.9,MRR,0.0006643773705742668
SVD,LIN,HE,FIXED,0.9,MRMC,0.32371354207711617
SVD,LIN,HE,FIXED,1.0,MACE,0.06582300963359904
SVD,LIN,HE,FIXED,1.0,MAP,0.0002358080950686
SVD,LIN,HE,FIXED,1.0,MRR,0.0006638782507867001
SVD,LIN,HE,FIXED,1.0,MRMC,0.323723266198954
SVD,LIN,HE,FIXED,CGR,MACE,0.06582542041740506
SVD,LIN,HE,FIXED,CGR,MAP,0.0002362303196508
SVD,LIN,HE,FIXED,CGR,MRR,0.0006643773705742668
SVD,LIN,HE,FIXED,CGR,MRMC,0.32371345447925776
SVD,LIN,HE,FIXED,VAR,MACE,0.06582542236690819
SVD,LIN,HE,FIXED,VAR,MAP,0.0002362303196508
SVD,LIN,HE,FIXED,VAR,MRR,0.0006643773705742668
SVD,LIN,HE,FIXED,VAR,MRMC,0.3237134527298675
SVD,LIN,CHI,FIXED,0.0,MACE,0.09952298926951174
SVD,LIN,CHI,FIXED,0.0,MAP,9.187537004064107e-05
SVD,LIN,CHI,FIXED,0.0,MRR,0.00027326458846046667
SVD,LIN,CHI,FIXED,0.0,MRMC,0.5805100478955351
SVD,LIN,CHI,FIXED,0.1,MACE,0.06674452575986577
SVD,LIN,CHI,FIXED,0.1,MAP,0.00023537007201689998
