algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVDpp,LIN,KL,FIXED,0.0,MACE,0.14660342638100576
SVDpp,LIN,KL,FIXED,0.0,MAP,2.7311079804975867e-05
SVDpp,LIN,KL,FIXED,0.0,MRR,8.751792846665533e-05
SVDpp,LIN,KL,FIXED,0.0,MRMC,0.6059744521937962
SVDpp,LIN,KL,FIXED,0.1,MACE,0.09616770333259347
SVDpp,LIN,KL,FIXED,0.1,MAP,0.00021194597493865021
SVDpp,LIN,KL,FIXED,0.1,MRR,0.000670288514725208
SVDpp,LIN,KL,FIXED,0.1,MRMC,0.174027325610496
SVDpp,LIN,KL,FIXED,0.2,MACE,0.09616720409536593
SVDpp,LIN,KL,FIXED,0.2,MAP,0.00021194597493865021
SVDpp,LIN,KL,FIXED,0.2,MRR,0.000670288514725208
SVDpp,LIN,KL,FIXED,0.2,MRMC,0.17402711199204943
SVDpp,LIN,KL,FIXED,0.3,MACE,0.09616745621545064
SVDpp,LIN,KL,FIXED,0.3,MAP,0.00021194597493865021
SVDpp,LIN,KL,FIXED,0.3,MRR,0.000670288514725208
SVDpp,LIN,KL,FIXED,0.3,MRMC,0.17402737436722976
SVDpp,LIN,KL,FIXED,0.4,MACE,0.09616774025571376
SVDpp,LIN,KL,FIXED,0.4,MAP,0.00021194597493865021
SVDpp,LIN,KL,FIXED,0.4,MRR,0.000670288514725208
SVDpp,LIN,KL,FIXED,0.4,MRMC,0.17402720705117708
SVDpp,LIN,KL,FIXED,0.5,MACE,0.09616732670267376
SVDpp,LIN,KL,FIXED,0.5,MAP,0.00021194597493865021
SVDpp,LIN,KL,FIXED,0.5,MRR,0.000670288514725208
SVDpp,LIN,KL,FIXED,0.5,MRMC,0.17402731269907773
SVDpp,LIN,KL,FIXED,0.6,MACE,0.0961682545017669
SVDpp,LIN,KL,FIXED,0.6,MAP,0.00021194597493865021
SVDpp,LIN,KL,FIXED,0.6,MRR,0.000670288514725208
SVDpp,LIN,KL,FIXED,0.6,MRMC,0.17402706355104308
SVDpp,LIN,KL,FIXED,0.7,MACE,0.09616811068480409
SVDpp,LIN,KL,FIXED,0.7,MAP,0.00021194597493865021
SVDpp,LIN,KL,FIXED,0.7,MRR,0.000670288514725208
SVDpp,LIN,KL,FIXED,0.7,MRMC,0.17402700095639506
SVDpp,LIN,KL,FIXED,0.8,MACE,0.09616873513650633
SVDpp,LIN,KL,FIXED,0.8,MAP,0.00021194597493865021
SVDpp,LIN,KL,FIXED,0.8,MRR,0.000670288514725208
SVDpp,LIN,KL,FIXED,0.8,MRMC,0.17402764598025847
SVDpp,LIN,KL,FIXED,0.9,MACE,0.09616901114387685
SVDpp,LIN,KL,FIXED,0.9,MAP,0.00021194597493865021
SVDpp,LIN,KL,FIXED,0.9,MRR,0.000670288514725208
SVDpp,LIN,KL,FIXED,0.9,MRMC,0.17402760335259018
SVDpp,LIN,KL,FIXED,1.0,MACE,0.09616090926706901
SVDpp,LIN,KL,FIXED,1.0,MAP,0.00021356790453407127
SVDpp,LIN,KL,FIXED,1.0,MRR,0.0006729896335756119
SVDpp,LIN,KL,FIXED,1.0,MRMC,0.17402816956561262
SVDpp,LIN,KL,FIXED,CGR,MACE,0.0961675409131426
SVDpp,LIN,KL,FIXED,CGR,MAP,0.00021194597493865021
SVDpp,LIN,KL,FIXED,CGR,MRR,0.000670288514725208
SVDpp,LIN,KL,FIXED,CGR,MRMC,0.17402715530178395
SVDpp,LIN,KL,FIXED,VAR,MACE,0.09616889220069548
SVDpp,LIN,KL,FIXED,VAR,MAP,0.00021194597493865021
SVDpp,LIN,KL,FIXED,VAR,MRR,0.000670288514725208
SVDpp,LIN,KL,FIXED,VAR,MRMC,0.17402695614235555
SVDpp,LIN,HE,FIXED,0.0,MACE,0.14660342638100576
SVDpp,LIN,HE,FIXED,0.0,MAP,2.7311079804975867e-05
SVDpp,LIN,HE,FIXED,0.0,MRR,8.751792846665533e-05
SVDpp,LIN,HE,FIXED,0.0,MRMC,0.9899501901604968
SVDpp,LIN,HE,FIXED,0.1,MACE,0.06797750839402042
SVDpp,LIN,HE,FIXED,0.1,MAP,0.0002477941002531167
SVDpp,LIN,HE,FIXED,0.1,MRR,0.000762109778503221
SVDpp,LIN,HE,FIXED,0.1,MRMC,0.3457455364300775
