algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVDpp,LIN,KL,FIXED,0.0,MACE,0.12519847377389753
SVDpp,LIN,KL,FIXED,0.0,MAP,0.0001482087974937253
SVDpp,LIN,KL,FIXED,0.0,MRR,0.0003853847883611517
SVDpp,LIN,KL,FIXED,0.0,MRMC,0.5723994275059304
SVDpp,LIN,KL,FIXED,0.1,MACE,0.10269480908374519
SVDpp,LIN,KL,FIXED,0.1,MAP,0.0003307412379031333
SVDpp,LIN,KL,FIXED,0.1,MRR,0.0009315378778231667
SVDpp,LIN,KL,FIXED,0.1,MRMC,0.1669228541084513
SVDpp,LIN,KL,FIXED,0.2,MACE,0.10269492142680141
SVDpp,LIN,KL,FIXED,0.2,MAP,0.0003307412379031333
SVDpp,LIN,KL,FIXED,0.2,MRR,0.0009315378778231667
SVDpp,LIN,KL,FIXED,0.2,MRMC,0.1669227426975578
SVDpp,LIN,KL,FIXED,0.3,MACE,0.10269466585398217
SVDpp,LIN,KL,FIXED,0.3,MAP,0.0003307412379031333
SVDpp,LIN,KL,FIXED,0.3,MRR,0.0009315378778231667
SVDpp,LIN,KL,FIXED,0.3,MRMC,0.16692292443172219
SVDpp,LIN,KL,FIXED,0.4,MACE,0.10269500283617478
SVDpp,LIN,KL,FIXED,0.4,MAP,0.0003307412379031333
SVDpp,LIN,KL,FIXED,0.4,MRR,0.0009315378778231667
SVDpp,LIN,KL,FIXED,0.4,MRMC,0.1669227017463271
SVDpp,LIN,KL,FIXED,0.5,MACE,0.10269469411003414
SVDpp,LIN,KL,FIXED,0.5,MAP,0.0003306932832568667
SVDpp,LIN,KL,FIXED,0.5,MRR,0.0009312149179606
SVDpp,LIN,KL,FIXED,0.5,MRMC,0.1669227747083677
SVDpp,LIN,KL,FIXED,0.6,MACE,0.10269470514938946
SVDpp,LIN,KL,FIXED,0.6,MAP,0.0003308117018731333
SVDpp,LIN,KL,FIXED,0.6,MRR,0.0009316553177731667
SVDpp,LIN,KL,FIXED,0.6,MRMC,0.1669226519644754
SVDpp,LIN,KL,FIXED,0.7,MACE,0.10269395881850707
SVDpp,LIN,KL,FIXED,0.7,MAP,0.0003307412379031333
SVDpp,LIN,KL,FIXED,0.7,MRR,0.0009315378778231667
SVDpp,LIN,KL,FIXED,0.7,MRMC,0.16692272375800718
SVDpp,LIN,KL,FIXED,0.8,MACE,0.1026929280010898
SVDpp,LIN,KL,FIXED,0.8,MAP,0.0003307412379031333
SVDpp,LIN,KL,FIXED,0.8,MRR,0.0009315378778231667
SVDpp,LIN,KL,FIXED,0.8,MRMC,0.16692367827382223
SVDpp,LIN,KL,FIXED,0.9,MACE,0.10269032616597314
SVDpp,LIN,KL,FIXED,0.9,MAP,0.0003308586778531667
SVDpp,LIN,KL,FIXED,0.9,MRR,0.0009318314776982
SVDpp,LIN,KL,FIXED,0.9,MRMC,0.1669237043477104
SVDpp,LIN,KL,FIXED,1.0,MACE,0.1025585339971039
SVDpp,LIN,KL,FIXED,1.0,MAP,0.00033435615141223335
SVDpp,LIN,KL,FIXED,1.0,MRR,0.0009409848033263667
SVDpp,LIN,KL,FIXED,1.0,MRMC,0.16694330142430147
SVDpp,LIN,KL,FIXED,CGR,MACE,0.10269362319861793
SVDpp,LIN,KL,FIXED,CGR,MAP,0.0003308117018731333
SVDpp,LIN,KL,FIXED,CGR,MRR,0.0009316553177731667
SVDpp,LIN,KL,FIXED,CGR,MRMC,0.16692320292164176
SVDpp,LIN,KL,FIXED,VAR,MACE,0.10269377389756178
SVDpp,LIN,KL,FIXED,VAR,MAP,0.0003306825179281334
SVDpp,LIN,KL,FIXED,VAR,MRR,0.0009314539921445666
SVDpp,LIN,KL,FIXED,VAR,MRMC,0.16692327103171237
SVDpp,LIN,HE,FIXED,0.0,MACE,0.12519847377389753
SVDpp,LIN,HE,FIXED,0.0,MAP,0.0001482087974937253
SVDpp,LIN,HE,FIXED,0.0,MRR,0.0003853847883611517
SVDpp,LIN,HE,FIXED,0.0,MRMC,0.9370616358124734
SVDpp,LIN,HE,FIXED,0.1,MACE,0.0698689987657061
SVDpp,LIN,HE,FIXED,0.1,MAP,0.0002754545639093667
SVDpp,LIN,HE,FIXED,0.1,MRR,0.0007899779990234
SVDpp,LIN,HE,FIXED,0.1,MRMC,0.3401120151812296
SVDpp,LIN,HE,FIXED,0.2,MACE,0.0698689987657061
SVDpp,LIN,HE,FIXED,0.2,MAP,0.0002754545639093667
SVDpp,LIN,HE,FIXED,0.2,MRR,0.0007899779990234
SVDpp,LIN,HE,FIXED,0.2,MRMC,0.3401120151812296
SVDpp,LIN,HE,FIXED,0.3,MACE,0.0698689987657061
SVDpp,LIN,HE,FIXED,0.3,MAP,0.0002754545639093667
SVDpp,LIN,HE,FIXED,0.3,MRR,0.0007899779990234
SVDpp,LIN,HE,FIXED,0.3,MRMC,0.3401120151812296
SVDpp,LIN,HE,FIXED,0.4,MACE,0.0698689987657061
SVDpp,LIN,HE,FIXED,0.4,MAP,0.0002754545639093667
SVDpp,LIN,HE,FIXED,0.4,MRR,0.0007899779990234
SVDpp,LIN,HE,FIXED,0.4,MRMC,0.3401120151812296
SVDpp,LIN,HE,FIXED,0.5,MACE,0.0698689987657061
SVDpp,LIN,HE,FIXED,0.5,MAP,0.0002754545639093667
SVDpp,LIN,HE,FIXED,0.5,MRR,0.0007899779990234
SVDpp,LIN,HE,FIXED,0.5,MRMC,0.3401120151812296
SVDpp,LIN,HE,FIXED,0.6,MACE,0.0698689987657061
SVDpp,LIN,HE,FIXED,0.6,MAP,0.0002754545639093667
SVDpp,LIN,HE,FIXED,0.6,MRR,0.0007899779990234
SVDpp,LIN,HE,FIXED,0.6,MRMC,0.3401120151812296
SVDpp,LIN,HE,FIXED,0.7,MACE,0.0698689987657061
SVDpp,LIN,HE,FIXED,0.7,MAP,0.0002754545639093667
SVDpp,LIN,HE,FIXED,0.7,MRR,0.0007899779990234
SVDpp,LIN,HE,FIXED,0.7,MRMC,0.3401120151812296
SVDpp,LIN,HE,FIXED,0.8,MACE,0.0698689987657061
SVDpp,LIN,HE,FIXED,0.8,MAP,0.0002754545639093667
SVDpp,LIN,HE,FIXED,0.8,MRR,0.0007899779990234
SVDpp,LIN,HE,FIXED,0.8,MRMC,0.3401120151812296
SVDpp,LIN,HE,FIXED,0.9,MACE,0.0698688305212337
SVDpp,LIN,HE,FIXED,0.9,MAP,0.0002754545639093667
SVDpp,LIN,HE,FIXED,0.9,MRR,0.0007899779990234
SVDpp,LIN,HE,FIXED,0.9,MRMC,0.34011221054140517
SVDpp,LIN,HE,FIXED,1.0,MACE,0.06984957170824622
SVDpp,LIN,HE,FIXED,1.0,MAP,0.0002757951397644
SVDpp,LIN,HE,FIXED,1.0,MRR,0.0007908392253235334
SVDpp,LIN,HE,FIXED,1.0,MRMC,0.340105305275685
SVDpp,LIN,HE,FIXED,CGR,MACE,0.06986898406222433
SVDpp,LIN,HE,FIXED,CGR,MAP,0.0002754545639093667
SVDpp,LIN,HE,FIXED,CGR,MRR,0.0007899779990234
SVDpp,LIN,HE,FIXED,CGR,MRMC,0.34011204122941036
SVDpp,LIN,HE,FIXED,VAR,MACE,0.06986889974034023
SVDpp,LIN,HE,FIXED,VAR,MAP,0.0002754545639093667
SVDpp,LIN,HE,FIXED,VAR,MRR,0.0007899779990234
SVDpp,LIN,HE,FIXED,VAR,MRMC,0.3401119986513382
SVDpp,LIN,CHI,FIXED,0.0,MACE,0.12519847377389753
SVDpp,LIN,CHI,FIXED,0.0,MAP,0.0001482087974937253
SVDpp,LIN,CHI,FIXED,0.0,MRR,0.0003853847883611517
SVDpp,LIN,CHI,FIXED,0.0,MRMC,0.5770350736478186
SVDpp,LIN,CHI,FIXED,0.1,MACE,0.07118723340837743
SVDpp,LIN,CHI,FIXED,0.1,MAP,0.00027599450806050003
SVDpp,LIN,CHI,FIXED,0.1,MRR,0.0007908532062699667
SVDpp,LIN,CHI,FIXED,0.1,MRMC,0.14987944874074557
SVDpp,LIN,CHI,FIXED,0.2,MACE,0.07118722795916374
SVDpp,LIN,CHI,FIXED,0.2,MAP,0.00027599450806050003
SVDpp,LIN,CHI,FIXED,0.2,MRR,0.0007908532062699667
SVDpp,LIN,CHI,FIXED,0.2,MRMC,0.14987988373327488
SVDpp,LIN,CHI,FIXED,0.3,MACE,0.07118718676122926
SVDpp,LIN,CHI,FIXED,0.3,MAP,0.000276082588023
SVDpp,LIN,CHI,FIXED,0.3,MRR,0.0007910293661949667
SVDpp,LIN,CHI,FIXED,0.3,MRMC,0.14987898682414394
SVDpp,LIN,CHI,FIXED,0.4,MACE,0.07118596331880596
SVDpp,LIN,CHI,FIXED,0.4,MAP,0.0002755262861645333
SVDpp,LIN,CHI,FIXED,0.4,MRR,0.0007900311266198667
SVDpp,LIN,CHI,FIXED,0.4,MRMC,0.14987882046099724
SVDpp,LIN,CHI,FIXED,0.5,MACE,0.07118450544275443
SVDpp,LIN,CHI,FIXED,0.5,MAP,0.00027594417665333337
SVDpp,LIN,CHI,FIXED,0.5,MRR,0.0007907902920110333
SVDpp,LIN,CHI,FIXED,0.5,MRMC,0.14988083965456064
SVDpp,LIN,CHI,FIXED,0.6,MACE,0.0711863615576765
SVDpp,LIN,CHI,FIXED,0.6,MAP,0.0002754959475107667
SVDpp,LIN,CHI,FIXED,0.6,MRR,0.0007897668867323333
SVDpp,LIN,CHI,FIXED,0.6,MRMC,0.14987638613036966
SVDpp,LIN,CHI,FIXED,0.7,MACE,0.0711827648887432
