algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
USER_KNN,LIN,KL,FIXED,0.0,MACE,0.11163911483160871
USER_KNN,LIN,KL,FIXED,0.0,MAP,8.94695287789114e-05
USER_KNN,LIN,KL,FIXED,0.0,MRR,0.0002685138628633571
USER_KNN,LIN,KL,FIXED,0.0,MRMC,0.5675983236901039
USER_KNN,LIN,KL,FIXED,0.1,MACE,0.11159209802947509
USER_KNN,LIN,KL,FIXED,0.1,MAP,8.956348073892546e-05
USER_KNN,LIN,KL,FIXED,0.1,MRR,0.0002687487427633922
USER_KNN,LIN,KL,FIXED,0.1,MRMC,0.566186451594579
USER_KNN,LIN,KL,FIXED,0.2,MACE,0.11164850316911704
USER_KNN,LIN,KL,FIXED,0.2,MAP,8.94607207826601e-05
USER_KNN,LIN,KL,FIXED,0.2,MRR,0.00026813218302580006
USER_KNN,LIN,KL,FIXED,0.2,MRMC,0.5643254793951542
USER_KNN,LIN,KL,FIXED,0.3,MACE,0.11174941060412284
USER_KNN,LIN,KL,FIXED,0.3,MAP,9.009825193989828e-05
USER_KNN,LIN,KL,FIXED,0.3,MRR,0.00027292205527294474
USER_KNN,LIN,KL,FIXED,0.3,MRMC,0.5619283807105295
USER_KNN,LIN,KL,FIXED,0.4,MACE,0.11183291343853606
USER_KNN,LIN,KL,FIXED,0.4,MAP,9.042540608637575e-05
USER_KNN,LIN,KL,FIXED,0.4,MRR,0.00027336245508551054
USER_KNN,LIN,KL,FIXED,0.4,MRMC,0.558516182776932
USER_KNN,LIN,KL,FIXED,0.5,MACE,0.11192961720448293
USER_KNN,LIN,KL,FIXED,0.5,MAP,9.122819203042435e-05
USER_KNN,LIN,KL,FIXED,0.5,MRR,0.0002749940315339688
USER_KNN,LIN,KL,FIXED,0.5,MRMC,0.5538067601757912
USER_KNN,LIN,KL,FIXED,0.6,MACE,0.11223311123089985
USER_KNN,LIN,KL,FIXED,0.6,MAP,9.168620783549281e-05
USER_KNN,LIN,KL,FIXED,0.6,MRR,0.0002775609332986382
USER_KNN,LIN,KL,FIXED,0.6,MRMC,0.5465254805021375
USER_KNN,LIN,KL,FIXED,0.7,MACE,0.11247221344945796
USER_KNN,LIN,KL,FIXED,0.7,MAP,9.299272727943815e-05
USER_KNN,LIN,KL,FIXED,0.7,MRR,0.00028310997093696785
USER_KNN,LIN,KL,FIXED,0.7,MRMC,0.5341206785239291
USER_KNN,LIN,KL,FIXED,0.8,MACE,0.1131444593123421
USER_KNN,LIN,KL,FIXED,0.8,MAP,9.155912103243808e-05
USER_KNN,LIN,KL,FIXED,0.8,MRR,0.0002790457098095745
USER_KNN,LIN,KL,FIXED,0.8,MRMC,0.5087611656694354
USER_KNN,LIN,KL,FIXED,0.9,MACE,0.11561639464051043
USER_KNN,LIN,KL,FIXED,0.9,MAP,9.522953889887968e-05
USER_KNN,LIN,KL,FIXED,0.9,MRR,0.00028830668872524464
USER_KNN,LIN,KL,FIXED,0.9,MRMC,0.4280776478375326
USER_KNN,LIN,KL,FIXED,1.0,MACE,0.10060417787924592
USER_KNN,LIN,KL,FIXED,1.0,MAP,0.00012762451025443702
USER_KNN,LIN,KL,FIXED,1.0,MRR,0.0003921445759604113
USER_KNN,LIN,KL,FIXED,1.0,MRMC,0.16671495489410554
USER_KNN,LIN,KL,FIXED,CGR,MACE,0.11256014860851275
USER_KNN,LIN,KL,FIXED,CGR,MAP,9.044889407637924e-05
USER_KNN,LIN,KL,FIXED,CGR,MRR,0.0002744026374999518
USER_KNN,LIN,KL,FIXED,CGR,MRMC,0.552574743482128
USER_KNN,LIN,KL,FIXED,VAR,MACE,0.1139800333294578
USER_KNN,LIN,KL,FIXED,VAR,MAP,9.40761108183501e-05
USER_KNN,LIN,KL,FIXED,VAR,MRR,0.0002858991697498848
USER_KNN,LIN,KL,FIXED,VAR,MRMC,0.47396013370422424
USER_KNN,LIN,HE,FIXED,0.0,MACE,0.11163911483160871
USER_KNN,LIN,HE,FIXED,0.0,MAP,8.94695287789114e-05
USER_KNN,LIN,HE,FIXED,0.0,MRR,0.0002685138628633571
USER_KNN,LIN,HE,FIXED,0.0,MRMC,0.908726798865189
USER_KNN,LIN,HE,FIXED,0.1,MACE,0.1114266362966956
USER_KNN,LIN,HE,FIXED,0.1,MAP,8.94695287789114e-05
USER_KNN,LIN,HE,FIXED,0.1,MRR,0.0002685138628633571
USER_KNN,LIN,HE,FIXED,0.1,MRMC,0.9078989534179985
USER_KNN,LIN,HE,FIXED,0.2,MACE,0.11141842653954968
USER_KNN,LIN,HE,FIXED,0.2,MAP,8.94695287789114e-05
