algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
USER_KNN,LIN,KL,FIXED,0.0,MACE,0.11167485514369362
USER_KNN,LIN,KL,FIXED,0.0,MAP,9.08111403983977e-05
USER_KNN,LIN,KL,FIXED,0.0,MRR,0.0002717434614888
USER_KNN,LIN,KL,FIXED,0.0,MRMC,0.5675699163658975
USER_KNN,LIN,KL,FIXED,0.1,MACE,0.11163886902979331
USER_KNN,LIN,KL,FIXED,0.1,MAP,9.074654842588804e-05
USER_KNN,LIN,KL,FIXED,0.1,MRR,0.0002716847415137667
USER_KNN,LIN,KL,FIXED,0.1,MRMC,0.5661769385760868
USER_KNN,LIN,KL,FIXED,0.2,MACE,0.11169541808035
USER_KNN,LIN,KL,FIXED,0.2,MAP,9.064378846962267e-05
USER_KNN,LIN,KL,FIXED,0.2,MRR,0.00027106818177623335
USER_KNN,LIN,KL,FIXED,0.2,MRMC,0.5643166271553236
USER_KNN,LIN,KL,FIXED,0.3,MACE,0.11179608307232299
USER_KNN,LIN,KL,FIXED,0.3,MAP,9.128131962686085e-05
USER_KNN,LIN,KL,FIXED,0.3,MRR,0.0002758580540233333
USER_KNN,LIN,KL,FIXED,0.3,MRMC,0.561920462947861
USER_KNN,LIN,KL,FIXED,0.4,MACE,0.11187955682860456
USER_KNN,LIN,KL,FIXED,0.4,MAP,9.160847377333833e-05
USER_KNN,LIN,KL,FIXED,0.4,MRR,0.00027629845383593337
USER_KNN,LIN,KL,FIXED,0.4,MRMC,0.5585080580909376
USER_KNN,LIN,KL,FIXED,0.5,MACE,0.1119761208879869
USER_KNN,LIN,KL,FIXED,0.5,MAP,9.241125971738691e-05
USER_KNN,LIN,KL,FIXED,0.5,MRR,0.0002779300302843333
USER_KNN,LIN,KL,FIXED,0.5,MRMC,0.5537996545363505
USER_KNN,LIN,KL,FIXED,0.6,MACE,0.11227911541880842
USER_KNN,LIN,KL,FIXED,0.6,MAP,9.286927552245538e-05
USER_KNN,LIN,KL,FIXED,0.6,MRR,0.00028049693204903336
USER_KNN,LIN,KL,FIXED,0.6,MRMC,0.5465208812361199
USER_KNN,LIN,KL,FIXED,0.7,MACE,0.11251897204811744
USER_KNN,LIN,KL,FIXED,0.7,MAP,9.417579496640072e-05
USER_KNN,LIN,KL,FIXED,0.7,MRR,0.0002860459696873333
USER_KNN,LIN,KL,FIXED,0.7,MRMC,0.5341173350838208
USER_KNN,LIN,KL,FIXED,0.8,MACE,0.11319050991251893
USER_KNN,LIN,KL,FIXED,0.8,MAP,9.274218871940068e-05
USER_KNN,LIN,KL,FIXED,0.8,MRR,0.0002819817085599333
USER_KNN,LIN,KL,FIXED,0.8,MRMC,0.5087613017191023
USER_KNN,LIN,KL,FIXED,0.9,MACE,0.11565931497277154
USER_KNN,LIN,KL,FIXED,0.9,MAP,9.623644666081594e-05
USER_KNN,LIN,KL,FIXED,0.9,MRR,0.0002906554877255333
USER_KNN,LIN,KL,FIXED,0.9,MRMC,0.42810208007397205
USER_KNN,LIN,KL,FIXED,1.0,MACE,0.1006391161939121
USER_KNN,LIN,KL,FIXED,1.0,MAP,0.00012431899508979997
USER_KNN,LIN,KL,FIXED,1.0,MRR,0.00038266689237503334
USER_KNN,LIN,KL,FIXED,1.0,MRMC,0.1666781103208973
USER_KNN,LIN,KL,FIXED,CGR,MACE,0.1126059364955214
USER_KNN,LIN,KL,FIXED,CGR,MAP,9.163196176334184e-05
USER_KNN,LIN,KL,FIXED,CGR,MRR,0.0002773386362503333
USER_KNN,LIN,KL,FIXED,CGR,MRMC,0.5525709849526304
USER_KNN,LIN,KL,FIXED,VAR,MACE,0.11402410436183717
USER_KNN,LIN,KL,FIXED,VAR,MAP,9.525917850531268e-05
USER_KNN,LIN,KL,FIXED,VAR,MRR,0.0002888351685002666
USER_KNN,LIN,KL,FIXED,VAR,MRMC,0.4739703433706368
USER_KNN,LIN,HE,FIXED,0.0,MACE,0.11167485514369362
USER_KNN,LIN,HE,FIXED,0.0,MAP,9.08111403983977e-05
USER_KNN,LIN,HE,FIXED,0.0,MRR,0.0002717434614888
USER_KNN,LIN,HE,FIXED,0.0,MRMC,0.908764957817477
USER_KNN,LIN,HE,FIXED,0.1,MACE,0.11147582740555183
USER_KNN,LIN,HE,FIXED,0.1,MAP,9.065259646587398e-05
USER_KNN,LIN,HE,FIXED,0.1,MRR,0.0002714498616137333
USER_KNN,LIN,HE,FIXED,0.1,MRMC,0.9079732304338091
USER_KNN,LIN,HE,FIXED,0.2,MACE,0.11146763087214427
USER_KNN,LIN,HE,FIXED,0.2,MAP,9.065259646587398e-05
USER_KNN,LIN,HE,FIXED,0.2,MRR,0.0002714498616137333
USER_KNN,LIN,HE,FIXED,0.2,MRMC,0.9079334038941459
USER_KNN,LIN,HE,FIXED,0.3,MACE,0.1114572896033935
USER_KNN,LIN,HE,FIXED,0.3,MAP,9.065259646587398e-05
USER_KNN,LIN,HE,FIXED,0.3,MRR,0.0002714498616137333
USER_KNN,LIN,HE,FIXED,0.3,MRMC,0.9078778130154487
USER_KNN,LIN,HE,FIXED,0.4,MACE,0.11144256171762972
USER_KNN,LIN,HE,FIXED,0.4,MAP,9.065259646587398e-05
USER_KNN,LIN,HE,FIXED,0.4,MRR,0.0002714498616137333
USER_KNN,LIN,HE,FIXED,0.4,MRMC,0.9078033766975863
USER_KNN,LIN,HE,FIXED,0.5,MACE,0.11142065470423333
USER_KNN,LIN,HE,FIXED,0.5,MAP,9.082875639090033e-05
USER_KNN,LIN,HE,FIXED,0.5,MRR,0.0002717015186495333
USER_KNN,LIN,HE,FIXED,0.5,MRMC,0.9076995008640029
USER_KNN,LIN,HE,FIXED,0.6,MACE,0.11139078007137997
USER_KNN,LIN,HE,FIXED,0.6,MAP,9.082875639090033e-05
USER_KNN,LIN,HE,FIXED,0.6,MRR,0.0002717015186495333
USER_KNN,LIN,HE,FIXED,0.6,MRMC,0.9075451035517831
USER_KNN,LIN,HE,FIXED,0.7,MACE,0.11133300318614577
USER_KNN,LIN,HE,FIXED,0.7,MAP,9.082875639090033e-05
USER_KNN,LIN,HE,FIXED,0.7,MRR,0.0002717015186495333
USER_KNN,LIN,HE,FIXED,0.7,MRMC,0.9072406399489981
USER_KNN,LIN,HE,FIXED,0.8,MACE,0.11116947653491073
USER_KNN,LIN,HE,FIXED,0.8,MAP,9.024155664081255e-05
USER_KNN,LIN,HE,FIXED,0.8,MRR,0.00027058583912433333
USER_KNN,LIN,HE,FIXED,0.8,MRMC,0.9063923339654124
USER_KNN,LIN,HE,FIXED,0.9,MACE,0.11052705910400361
USER_KNN,LIN,HE,FIXED,0.9,MAP,9.041939427941056e-05
USER_KNN,LIN,HE,FIXED,0.9,MRR,0.00027086685614756666
USER_KNN,LIN,HE,FIXED,0.9,MRMC,0.9032701260971111
USER_KNN,LIN,HE,FIXED,1.0,MACE,0.067618491460354
USER_KNN,LIN,HE,FIXED,1.0,MAP,0.00013379570000889997
USER_KNN,LIN,HE,FIXED,1.0,MRR,0.0004107797794577666
USER_KNN,LIN,HE,FIXED,1.0,MRMC,0.33657903189212807
USER_KNN,LIN,HE,FIXED,CGR,MACE,0.11147214268014403
USER_KNN,LIN,HE,FIXED,CGR,MAP,9.065259646587398e-05
USER_KNN,LIN,HE,FIXED,CGR,MRR,0.0002714498616137333
USER_KNN,LIN,HE,FIXED,CGR,MRMC,0.9076361301706211
USER_KNN,LIN,HE,FIXED,VAR,MACE,0.11080386466689914
USER_KNN,LIN,HE,FIXED,VAR,MAP,9.11471025411265e-05
USER_KNN,LIN,HE,FIXED,VAR,MRR,0.00027176023862453334
USER_KNN,LIN,HE,FIXED,VAR,MRMC,0.9046477366955868
USER_KNN,LIN,CHI,FIXED,0.0,MACE,0.11167485514369362
USER_KNN,LIN,CHI,FIXED,0.0,MAP,9.08111403983977e-05
USER_KNN,LIN,CHI,FIXED,0.0,MRR,0.0002717434614888
USER_KNN,LIN,CHI,FIXED,0.0,MRMC,0.5661370852416835
USER_KNN,LIN,CHI,FIXED,0.1,MACE,0.112272932228928
USER_KNN,LIN,CHI,FIXED,0.1,MAP,9.286927552245538e-05
USER_KNN,LIN,CHI,FIXED,0.1,MRR,0.0002822585312993333
USER_KNN,LIN,CHI,FIXED,0.1,MRMC,0.5406655588158502
USER_KNN,LIN,CHI,FIXED,0.2,MACE,0.11338225317939299
USER_KNN,LIN,CHI,FIXED,0.2,MAP,9.34317289973609e-05
USER_KNN,LIN,CHI,FIXED,0.2,MRR,0.0002840956276602667
USER_KNN,LIN,CHI,FIXED,0.2,MRMC,0.5067586627462594
USER_KNN,LIN,CHI,FIXED,0.3,MACE,0.11533498470344646
USER_KNN,LIN,CHI,FIXED,0.3,MAP,9.755932381208514e-05
USER_KNN,LIN,CHI,FIXED,0.3,MRR,0.0002959277026245667
USER_KNN,LIN,CHI,FIXED,0.3,MRMC,0.4595821555210715
USER_KNN,LIN,CHI,FIXED,0.4,MACE,0.11821625751762477
USER_KNN,LIN,CHI,FIXED,0.4,MAP,9.932260077588928e-05
USER_KNN,LIN,CHI,FIXED,0.4,MRR,0.00029941734685363334
USER_KNN,LIN,CHI,FIXED,0.4,MRMC,0.3963880936717768
USER_KNN,LIN,CHI,FIXED,0.5,MACE,0.12097212844642206
USER_KNN,LIN,CHI,FIXED,0.5,MAP,0.00011079802179669999
USER_KNN,LIN,CHI,FIXED,0.5,MRR,0.00032950294547779996
USER_KNN,LIN,CHI,FIXED,0.5,MRMC,0.32657513888414047
USER_KNN,LIN,CHI,FIXED,0.6,MACE,0.12403312478347002
USER_KNN,LIN,CHI,FIXED,0.6,MAP,0.000122745439569
USER_KNN,LIN,CHI,FIXED,0.6,MRR,0.0003579318019499
USER_KNN,LIN,CHI,FIXED,0.6,MRMC,0.262994256023178
USER_KNN,LIN,CHI,FIXED,0.7,MACE,0.12631172334905852
USER_KNN,LIN,CHI,FIXED,0.7,MAP,0.00012552792752766668
USER_KNN,LIN,CHI,FIXED,0.7,MRR,0.0003698225968891667
USER_KNN,LIN,CHI,FIXED,0.7,MRMC,0.21244677200547912
USER_KNN,LIN,CHI,FIXED,0.8,MACE,0.1284563654214508
USER_KNN,LIN,CHI,FIXED,0.8,MAP,0.0001287604621519
USER_KNN,LIN,CHI,FIXED,0.8,MRR,0.0003813946262498
USER_KNN,LIN,CHI,FIXED,0.8,MRMC,0.17866374542867525
USER_KNN,LIN,CHI,FIXED,0.9,MACE,0.12893388633456992
USER_KNN,LIN,CHI,FIXED,0.9,MAP,0.00012240570257076666
USER_KNN,LIN,CHI,FIXED,0.9,MRR,0.0003693905856444666
USER_KNN,LIN,CHI,FIXED,0.9,MRMC,0.15634835991924692
USER_KNN,LIN,CHI,FIXED,1.0,MACE,0.06869400548914323
USER_KNN,LIN,CHI,FIXED,1.0,MAP,0.00013674442142056666
USER_KNN,LIN,CHI,FIXED,1.0,MRR,0.0004189460502679333
USER_KNN,LIN,CHI,FIXED,1.0,MRMC,0.14999260400164607
USER_KNN,LIN,CHI,FIXED,CGR,MACE,0.12441258209346102
USER_KNN,LIN,CHI,FIXED,CGR,MAP,0.00010820735242313334
USER_KNN,LIN,CHI,FIXED,CGR,MRR,0.00032028810368533333
USER_KNN,LIN,CHI,FIXED,CGR,MRMC,0.34671420704891664
USER_KNN,LIN,CHI,FIXED,VAR,MACE,0.12860093991889593
USER_KNN,LIN,CHI,FIXED,VAR,MAP,0.00012265945674843335
USER_KNN,LIN,CHI,FIXED,VAR,MRR,0.00036546473588670007
USER_KNN,LIN,CHI,FIXED,VAR,MRMC,0.1648789369725275
USER_KNN,LOG,KL,FIXED,0.0,MACE,0.1148642264524092
USER_KNN,LOG,KL,FIXED,0.0,MAP,9.294659015621697e-05
USER_KNN,LOG,KL,FIXED,0.0,MRR,0.0002819076095438667
USER_KNN,LOG,KL,FIXED,0.0,MRMC,0.5745022614274791
USER_KNN,LOG,KL,FIXED,0.1,MACE,0.1148634935801451
USER_KNN,LOG,KL,FIXED,0.1,MAP,9.294659015621697e-05
USER_KNN,LOG,KL,FIXED,0.1,MRR,0.0002819076095438667
USER_KNN,LOG,KL,FIXED,0.1,MRMC,0.574477656049508
USER_KNN,LOG,KL,FIXED,0.2,MACE,0.11486335737329106
USER_KNN,LOG,KL,FIXED,0.2,MAP,9.294659015621697e-05
USER_KNN,LOG,KL,FIXED,0.2,MRR,0.0002819076095438667
USER_KNN,LOG,KL,FIXED,0.2,MRMC,0.5744492679544653
USER_KNN,LOG,KL,FIXED,0.3,MACE,0.11486301170054218
USER_KNN,LOG,KL,FIXED,0.3,MAP,9.294659015621697e-05
USER_KNN,LOG,KL,FIXED,0.3,MRR,0.0002819076095438667
USER_KNN,LOG,KL,FIXED,0.3,MRMC,0.5744102097870768
USER_KNN,LOG,KL,FIXED,0.4,MACE,0.11486328373844241
USER_KNN,LOG,KL,FIXED,0.4,MAP,9.294659015621697e-05
USER_KNN,LOG,KL,FIXED,0.4,MRR,0.0002819076095438667
USER_KNN,LOG,KL,FIXED,0.4,MRMC,0.5743572309127251
USER_KNN,LOG,KL,FIXED,0.5,MACE,0.11486355298127181
USER_KNN,LOG,KL,FIXED,0.5,MAP,9.294659015621697e-05
USER_KNN,LOG,KL,FIXED,0.5,MRR,0.0002819076095438667
USER_KNN,LOG,KL,FIXED,0.5,MRMC,0.5742832563120192
USER_KNN,LOG,KL,FIXED,0.6,MACE,0.11486084547368813
USER_KNN,LOG,KL,FIXED,0.6,MAP,9.294659015621697e-05
