algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
CO_CLUSTERING,LIN,KL,FIXED,0.0,MACE,0.104379830510664
CO_CLUSTERING,LIN,KL,FIXED,0.0,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRMC,0.5626531800191696
CO_CLUSTERING,LIN,KL,FIXED,0.1,MACE,0.104379830510664
CO_CLUSTERING,LIN,KL,FIXED,0.1,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRMC,0.5626531800191696
CO_CLUSTERING,LIN,KL,FIXED,0.2,MACE,0.1043798310508878
CO_CLUSTERING,LIN,KL,FIXED,0.2,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRMC,0.5626531064323608
CO_CLUSTERING,LIN,KL,FIXED,0.3,MACE,0.1043798433116186
CO_CLUSTERING,LIN,KL,FIXED,0.3,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRMC,0.5626530776176273
CO_CLUSTERING,LIN,KL,FIXED,0.4,MACE,0.1043798433116186
CO_CLUSTERING,LIN,KL,FIXED,0.4,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRMC,0.5626530776176273
CO_CLUSTERING,LIN,KL,FIXED,0.5,MACE,0.1043797451787964
CO_CLUSTERING,LIN,KL,FIXED,0.5,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRMC,0.5626309590687631
CO_CLUSTERING,LIN,KL,FIXED,0.6,MACE,0.1043896183788823
CO_CLUSTERING,LIN,KL,FIXED,0.6,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRMC,0.5623571508681473
CO_CLUSTERING,LIN,KL,FIXED,0.7,MACE,0.1044154360486623
CO_CLUSTERING,LIN,KL,FIXED,0.7,MAP,1.8058769076092645e-05
CO_CLUSTERING,LIN,KL,FIXED,0.7,MRR,5.426005309739759e-05
CO_CLUSTERING,LIN,KL,FIXED,0.7,MRMC,0.5584366314076229
CO_CLUSTERING,LIN,KL,FIXED,0.8,MACE,0.1040622244066052
CO_CLUSTERING,LIN,KL,FIXED,0.8,MAP,1.875711735030419e-05
CO_CLUSTERING,LIN,KL,FIXED,0.8,MRR,5.820967046405949e-05
CO_CLUSTERING,LIN,KL,FIXED,0.8,MRMC,0.5400450624481237
CO_CLUSTERING,LIN,KL,FIXED,0.9,MACE,0.1081642186778845
CO_CLUSTERING,LIN,KL,FIXED,0.9,MAP,2.0310260689286385e-05
CO_CLUSTERING,LIN,KL,FIXED,0.9,MRR,5.961894986427018e-05
CO_CLUSTERING,LIN,KL,FIXED,0.9,MRMC,0.4613889494736445
CO_CLUSTERING,LIN,KL,FIXED,1.0,MACE,0.1050676750060774
CO_CLUSTERING,LIN,KL,FIXED,1.0,MAP,4.755171538103754e-05
CO_CLUSTERING,LIN,KL,FIXED,1.0,MRR,0.0001415458978532
CO_CLUSTERING,LIN,KL,FIXED,1.0,MRMC,0.1571185876310752
CO_CLUSTERING,LIN,KL,FIXED,CGR,MACE,0.104721432978782
CO_CLUSTERING,LIN,KL,FIXED,CGR,MAP,1.8188931687362103e-05
CO_CLUSTERING,LIN,KL,FIXED,CGR,MRR,5.532679931005707e-05
CO_CLUSTERING,LIN,KL,FIXED,CGR,MRMC,0.5606159052966755
CO_CLUSTERING,LIN,KL,FIXED,VAR,MACE,0.10567702519909
CO_CLUSTERING,LIN,KL,FIXED,VAR,MAP,1.922701695983873e-05
CO_CLUSTERING,LIN,KL,FIXED,VAR,MRR,5.93658947338752e-05
CO_CLUSTERING,LIN,KL,FIXED,VAR,MRMC,0.5060368933527202
CO_CLUSTERING,LIN,HE,FIXED,0.0,MACE,0.104379830510664
CO_CLUSTERING,LIN,HE,FIXED,0.0,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,HE,FIXED,0.0,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,HE,FIXED,0.0,MRMC,0.8884718252609831
CO_CLUSTERING,LIN,HE,FIXED,0.1,MACE,0.104379830510664
CO_CLUSTERING,LIN,HE,FIXED,0.1,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,HE,FIXED,0.1,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,HE,FIXED,0.1,MRMC,0.8884718252609831
CO_CLUSTERING,LIN,HE,FIXED,0.2,MACE,0.104379830510664
CO_CLUSTERING,LIN,HE,FIXED,0.2,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,HE,FIXED,0.2,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,HE,FIXED,0.2,MRMC,0.8884718252609831
CO_CLUSTERING,LIN,HE,FIXED,0.3,MACE,0.104379830510664
CO_CLUSTERING,LIN,HE,FIXED,0.3,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,HE,FIXED,0.3,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,HE,FIXED,0.3,MRMC,0.8884718252609831
CO_CLUSTERING,LIN,HE,FIXED,0.4,MACE,0.104379830510664
CO_CLUSTERING,LIN,HE,FIXED,0.4,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,HE,FIXED,0.4,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,HE,FIXED,0.4,MRMC,0.8884718252609831
CO_CLUSTERING,LIN,HE,FIXED,0.5,MACE,0.104379830510664
CO_CLUSTERING,LIN,HE,FIXED,0.5,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,HE,FIXED,0.5,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,HE,FIXED,0.5,MRMC,0.8884718252609831
CO_CLUSTERING,LIN,HE,FIXED,0.6,MACE,0.104379830510664
CO_CLUSTERING,LIN,HE,FIXED,0.6,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,HE,FIXED,0.6,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,HE,FIXED,0.6,MRMC,0.8884718252609831
CO_CLUSTERING,LIN,HE,FIXED,0.7,MACE,0.1043794354426722
CO_CLUSTERING,LIN,HE,FIXED,0.7,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,HE,FIXED,0.7,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,HE,FIXED,0.7,MRMC,0.8884699415662739
CO_CLUSTERING,LIN,HE,FIXED,0.8,MACE,0.1043699580387058
CO_CLUSTERING,LIN,HE,FIXED,0.8,MAP,1.7921755801072162e-05
CO_CLUSTERING,LIN,HE,FIXED,0.8,MRR,5.410346649737418e-05
CO_CLUSTERING,LIN,HE,FIXED,0.8,MRMC,0.8884457017551378
CO_CLUSTERING,LIN,HE,FIXED,0.9,MACE,0.1043509507820912
