algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
BEST_SCORE,LIN,KL,FIXED,0.0,MACE,0.12913526690171337
BEST_SCORE,LIN,KL,FIXED,0.0,MAP,0.0005204973682427755
BEST_SCORE,LIN,KL,FIXED,0.0,MRR,0.001479130032665011
BEST_SCORE,LIN,KL,FIXED,0.0,MRMC,0.5413325891302048
BEST_SCORE,LIN,KL,FIXED,0.1,MACE,0.1303888006432857
BEST_SCORE,LIN,KL,FIXED,0.1,MAP,0.0005354455136418394
BEST_SCORE,LIN,KL,FIXED,0.1,MRR,0.0014972445339860444
BEST_SCORE,LIN,KL,FIXED,0.1,MRMC,0.5106719729051198
BEST_SCORE,LIN,KL,FIXED,0.2,MACE,0.13132585884827117
BEST_SCORE,LIN,KL,FIXED,0.2,MAP,0.0005551873746343964
BEST_SCORE,LIN,KL,FIXED,0.2,MRR,0.0016101288044134583
BEST_SCORE,LIN,KL,FIXED,0.2,MRMC,0.4818913933892477
BEST_SCORE,LIN,KL,FIXED,0.3,MACE,0.13163432795200097
BEST_SCORE,LIN,KL,FIXED,0.3,MAP,0.0006022040782664275
BEST_SCORE,LIN,KL,FIXED,0.3,MRR,0.001791641998544949
BEST_SCORE,LIN,KL,FIXED,0.3,MRMC,0.4386669195437366
BEST_SCORE,LIN,KL,FIXED,0.4,MACE,0.13133459392589844
BEST_SCORE,LIN,KL,FIXED,0.4,MAP,0.0006206793968901967
BEST_SCORE,LIN,KL,FIXED,0.4,MRR,0.0018300800867139706
BEST_SCORE,LIN,KL,FIXED,0.4,MRMC,0.3953723799912534
BEST_SCORE,LIN,KL,FIXED,0.5,MACE,0.12861211480175666
BEST_SCORE,LIN,KL,FIXED,0.5,MAP,0.0007187996123791261
BEST_SCORE,LIN,KL,FIXED,0.5,MRR,0.0021077621374522466
BEST_SCORE,LIN,KL,FIXED,0.5,MRMC,0.35236628188512625
BEST_SCORE,LIN,KL,FIXED,0.6,MACE,0.12570866208944145
BEST_SCORE,LIN,KL,FIXED,0.6,MAP,0.0008600338137357992
BEST_SCORE,LIN,KL,FIXED,0.6,MRR,0.00241688683885752
BEST_SCORE,LIN,KL,FIXED,0.6,MRMC,0.29571027276689826
BEST_SCORE,LIN,KL,FIXED,0.7,MACE,0.12381892125935548
BEST_SCORE,LIN,KL,FIXED,0.7,MAP,0.0009470717834978366
BEST_SCORE,LIN,KL,FIXED,0.7,MRR,0.0026772643863013134
BEST_SCORE,LIN,KL,FIXED,0.7,MRMC,0.25229953357330315
BEST_SCORE,LIN,KL,FIXED,0.8,MACE,0.13007844621760375
BEST_SCORE,LIN,KL,FIXED,0.8,MAP,0.0010929303372242695
BEST_SCORE,LIN,KL,FIXED,0.8,MRR,0.0029961090640251895
BEST_SCORE,LIN,KL,FIXED,0.8,MRMC,0.1957785115057052
BEST_SCORE,LIN,KL,FIXED,0.9,MACE,0.1287155093709408
BEST_SCORE,LIN,KL,FIXED,0.9,MAP,0.0013139714350514128
BEST_SCORE,LIN,KL,FIXED,0.9,MRR,0.003573490384587063
BEST_SCORE,LIN,KL,FIXED,0.9,MRMC,0.17425439784083968
BEST_SCORE,LIN,KL,FIXED,1.0,MACE,0.10022245190820808
BEST_SCORE,LIN,KL,FIXED,1.0,MAP,0.0018998061895631015
BEST_SCORE,LIN,KL,FIXED,1.0,MRR,0.005249818118624947
BEST_SCORE,LIN,KL,FIXED,1.0,MRMC,0.16621416521655852
BEST_SCORE,LIN,KL,FIXED,CGR,MACE,0.13122947485618855
BEST_SCORE,LIN,KL,FIXED,CGR,MAP,0.0006402298038037509
BEST_SCORE,LIN,KL,FIXED,CGR,MRR,0.00186763454067221
BEST_SCORE,LIN,KL,FIXED,CGR,MRMC,0.3733723406159977
BEST_SCORE,LIN,KL,FIXED,VAR,MACE,0.12927510979155069
BEST_SCORE,LIN,KL,FIXED,VAR,MAP,0.0012791562471465977
BEST_SCORE,LIN,KL,FIXED,VAR,MRR,0.003503904190487972
BEST_SCORE,LIN,KL,FIXED,VAR,MRMC,0.18017161972792037
BEST_SCORE,LIN,HE,FIXED,0.0,MACE,0.12913526690171337
BEST_SCORE,LIN,HE,FIXED,0.0,MAP,0.0005204973682427755
BEST_SCORE,LIN,HE,FIXED,0.0,MRR,0.001479130032665011
