algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
CO_CLUSTERING,LIN,KL,FIXED,0.0,MACE,0.12961483886930167
CO_CLUSTERING,LIN,KL,FIXED,0.0,MAP,0.0007485928125193295
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRR,0.002169101078917371
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRMC,0.5507555200563283
CO_CLUSTERING,LIN,KL,FIXED,0.1,MACE,0.09802339951753572
CO_CLUSTERING,LIN,KL,FIXED,0.1,MAP,0.0016826751731186692
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRR,0.004957629739592999
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRMC,0.1825711643479248
CO_CLUSTERING,LIN,KL,FIXED,0.2,MACE,0.0980388631162244
CO_CLUSTERING,LIN,KL,FIXED,0.2,MAP,0.0016826751731186692
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRR,0.004957629739592999
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRMC,0.18257618841778805
CO_CLUSTERING,LIN,KL,FIXED,0.3,MACE,0.09802599863920332
CO_CLUSTERING,LIN,KL,FIXED,0.3,MAP,0.001640695184488096
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRR,0.004856011805353055
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRMC,0.18256113180473466
CO_CLUSTERING,LIN,KL,FIXED,0.4,MACE,0.09804894538256945
CO_CLUSTERING,LIN,KL,FIXED,0.4,MAP,0.0016437879042258336
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRR,0.004860429976406967
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRMC,0.18256918067112846
CO_CLUSTERING,LIN,KL,FIXED,0.5,MACE,0.09803756664811036
CO_CLUSTERING,LIN,KL,FIXED,0.5,MAP,0.001640695184488096
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRR,0.004856011805353055
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRMC,0.182562533589288
CO_CLUSTERING,LIN,KL,FIXED,0.6,MACE,0.0980360413187357
CO_CLUSTERING,LIN,KL,FIXED,0.6,MAP,0.0016360561048814899
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRR,0.0048467336461398445
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRMC,0.1825548188663988
CO_CLUSTERING,LIN,KL,FIXED,0.7,MACE,0.0980707144182594
CO_CLUSTERING,LIN,KL,FIXED,0.7,MAP,0.00169349969220075
CO_CLUSTERING,LIN,KL,FIXED,0.7,MRR,0.005036715001457997
CO_CLUSTERING,LIN,KL,FIXED,0.7,MRMC,0.18256105545907322
CO_CLUSTERING,LIN,KL,FIXED,0.8,MACE,0.09804894538256945
CO_CLUSTERING,LIN,KL,FIXED,0.8,MAP,0.0016391488246192275
CO_CLUSTERING,LIN,KL,FIXED,0.8,MRR,0.004851151817193754
CO_CLUSTERING,LIN,KL,FIXED,0.8,MRMC,0.18256918067112846
CO_CLUSTERING,LIN,KL,FIXED,0.9,MACE,0.09803710768850125
CO_CLUSTERING,LIN,KL,FIXED,0.9,MAP,0.0016360561048814899
CO_CLUSTERING,LIN,KL,FIXED,0.9,MRR,0.0048467336461398445
CO_CLUSTERING,LIN,KL,FIXED,0.9,MRMC,0.18257179346873953
CO_CLUSTERING,LIN,KL,FIXED,1.0,MACE,0.09803880373600546
CO_CLUSTERING,LIN,KL,FIXED,1.0,MAP,0.0016360561048814899
CO_CLUSTERING,LIN,KL,FIXED,1.0,MRR,0.0048467336461398445
CO_CLUSTERING,LIN,KL,FIXED,1.0,MRMC,0.182562533589288
CO_CLUSTERING,LIN,KL,FIXED,CGR,MACE,0.09802270056287499
CO_CLUSTERING,LIN,KL,FIXED,CGR,MAP,0.0016437879042258336
CO_CLUSTERING,LIN,KL,FIXED,CGR,MRR,0.004860429976406967
CO_CLUSTERING,LIN,KL,FIXED,CGR,MRMC,0.18257016247539495
CO_CLUSTERING,LIN,KL,FIXED,VAR,MACE,0.09804238634254964
CO_CLUSTERING,LIN,KL,FIXED,VAR,MAP,0.0016391488246192275
CO_CLUSTERING,LIN,KL,FIXED,VAR,MRR,0.004851151817193754
CO_CLUSTERING,LIN,KL,FIXED,VAR,MRMC,0.18256597610381212
CO_CLUSTERING,LIN,HE,FIXED,0.0,MACE,0.12961483886930167
CO_CLUSTERING,LIN,HE,FIXED,0.0,MAP,0.0007485928125193295
CO_CLUSTERING,LIN,HE,FIXED,0.0,MRR,0.002169101078917371
CO_CLUSTERING,LIN,HE,FIXED,0.0,MRMC,0.9244360890849556
CO_CLUSTERING,LIN,HE,FIXED,0.1,MACE,0.06261473495391846
CO_CLUSTERING,LIN,HE,FIXED,0.1,MAP,0.0017913400901895984
CO_CLUSTERING,LIN,HE,FIXED,0.1,MRR,0.0053819214331368714
CO_CLUSTERING,LIN,HE,FIXED,0.1,MRMC,0.36148688880287105
CO_CLUSTERING,LIN,HE,FIXED,0.2,MACE,0.06261829776705634
CO_CLUSTERING,LIN,HE,FIXED,0.2,MAP,0.0017913400901895984
CO_CLUSTERING,LIN,HE,FIXED,0.2,MRR,0.0053819214331368714
CO_CLUSTERING,LIN,HE,FIXED,0.2,MRMC,0.3614879925735881
CO_CLUSTERING,LIN,HE,FIXED,0.3,MACE,0.06261108183336425
CO_CLUSTERING,LIN,HE,FIXED,0.3,MAP,0.0017913400901895984
CO_CLUSTERING,LIN,HE,FIXED,0.3,MRR,0.0053819214331368714
CO_CLUSTERING,LIN,HE,FIXED,0.3,MRMC,0.3614899925371141
CO_CLUSTERING,LIN,HE,FIXED,0.4,MACE,0.06262333024061359
CO_CLUSTERING,LIN,HE,FIXED,0.4,MAP,0.0017369892226080758
CO_CLUSTERING,LIN,HE,FIXED,0.4,MRR,0.005196358248872629
CO_CLUSTERING,LIN,HE,FIXED,0.4,MRMC,0.361479321547734
CO_CLUSTERING,LIN,HE,FIXED,0.5,MACE,0.0626229516917177
CO_CLUSTERING,LIN,HE,FIXED,0.5,MAP,0.0017369892226080758
CO_CLUSTERING,LIN,HE,FIXED,0.5,MRR,0.005196358248872629
CO_CLUSTERING,LIN,HE,FIXED,0.5,MRMC,0.36149284757868694
CO_CLUSTERING,LIN,HE,FIXED,0.6,MACE,0.06260626832436444
CO_CLUSTERING,LIN,HE,FIXED,0.6,MAP,0.0017369892226080758
CO_CLUSTERING,LIN,HE,FIXED,0.6,MRR,0.005196358248872629
CO_CLUSTERING,LIN,HE,FIXED,0.6,MRMC,0.3614833638957493
CO_CLUSTERING,LIN,HE,FIXED,0.7,MACE,0.06260809302900971
CO_CLUSTERING,LIN,HE,FIXED,0.7,MAP,0.0017369892226080758
CO_CLUSTERING,LIN,HE,FIXED,0.7,MRR,0.005196358248872629
CO_CLUSTERING,LIN,HE,FIXED,0.7,MRMC,0.3614754707291989
CO_CLUSTERING,LIN,HE,FIXED,0.8,MACE,0.06260014473928373
CO_CLUSTERING,LIN,HE,FIXED,0.8,MAP,0.0017369892226080758
CO_CLUSTERING,LIN,HE,FIXED,0.8,MRR,0.005196358248872629
CO_CLUSTERING,LIN,HE,FIXED,0.8,MRMC,0.36147228839553164
