algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
CO_CLUSTERING,LIN,KL,FIXED,0.0,MACE,0.12869049133007568
CO_CLUSTERING,LIN,KL,FIXED,0.0,MAP,0.0005849413021430094
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRR,0.0017161894551020547
CO_CLUSTERING,LIN,KL,FIXED,0.0,MRMC,0.5491870485377589
CO_CLUSTERING,LIN,KL,FIXED,0.1,MACE,0.0981132459124554
CO_CLUSTERING,LIN,KL,FIXED,0.1,MAP,0.001572606259468386
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRR,0.004599684248042015
CO_CLUSTERING,LIN,KL,FIXED,0.1,MRMC,0.18070514666107906
CO_CLUSTERING,LIN,KL,FIXED,0.2,MACE,0.09810491495020722
CO_CLUSTERING,LIN,KL,FIXED,0.2,MAP,0.001574358800653104
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRR,0.004603366057253607
CO_CLUSTERING,LIN,KL,FIXED,0.2,MRMC,0.18070633854720838
CO_CLUSTERING,LIN,KL,FIXED,0.3,MACE,0.09810131007608092
CO_CLUSTERING,LIN,KL,FIXED,0.3,MAP,0.0015633109184788531
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRR,0.00457354340263971
CO_CLUSTERING,LIN,KL,FIXED,0.3,MRMC,0.18069586746995026
CO_CLUSTERING,LIN,KL,FIXED,0.4,MACE,0.09811139564132698
CO_CLUSTERING,LIN,KL,FIXED,0.4,MAP,0.0015655200040058086
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRR,0.004579066116457098
CO_CLUSTERING,LIN,KL,FIXED,0.4,MRMC,0.18070251344189295
CO_CLUSTERING,LIN,KL,FIXED,0.5,MACE,0.0981004709181254
CO_CLUSTERING,LIN,KL,FIXED,0.5,MAP,0.0015709396271652721
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRR,0.0045890070013283974
CO_CLUSTERING,LIN,KL,FIXED,0.5,MRMC,0.18069994484627952
CO_CLUSTERING,LIN,KL,FIXED,0.6,MACE,0.09810339910517311
CO_CLUSTERING,LIN,KL,FIXED,0.6,MAP,0.0015670221821641383
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRR,0.004576047032903593
CO_CLUSTERING,LIN,KL,FIXED,0.6,MRMC,0.18069347126209867
CO_CLUSTERING,LIN,KL,FIXED,0.7,MACE,0.09812662914166718
CO_CLUSTERING,LIN,KL,FIXED,0.7,MAP,0.001586788588551439
CO_CLUSTERING,LIN,KL,FIXED,0.7,MRR,0.004645559590818451
CO_CLUSTERING,LIN,KL,FIXED,0.7,MRMC,0.18069995608441855
CO_CLUSTERING,LIN,KL,FIXED,0.8,MACE,0.09811229376713883
CO_CLUSTERING,LIN,KL,FIXED,0.8,MAP,0.0015629869192682333
CO_CLUSTERING,LIN,KL,FIXED,0.8,MRR,0.004570303410533509
CO_CLUSTERING,LIN,KL,FIXED,0.8,MRMC,0.1807023003244429
CO_CLUSTERING,LIN,KL,FIXED,0.9,MACE,0.09810814993505289
CO_CLUSTERING,LIN,KL,FIXED,0.9,MAP,0.0015666540012429788
CO_CLUSTERING,LIN,KL,FIXED,0.9,MRR,0.004576562486193216
CO_CLUSTERING,LIN,KL,FIXED,0.9,MRMC,0.18070749752097828
CO_CLUSTERING,LIN,KL,FIXED,1.0,MACE,0.0981012135832251
CO_CLUSTERING,LIN,KL,FIXED,1.0,MAP,0.0015666540012429788
CO_CLUSTERING,LIN,KL,FIXED,1.0,MRR,0.004576562486193216
CO_CLUSTERING,LIN,KL,FIXED,1.0,MRMC,0.18069947118187168
CO_CLUSTERING,LIN,KL,FIXED,CGR,MACE,0.09809202531906558
CO_CLUSTERING,LIN,KL,FIXED,CGR,MAP,0.0015685685420330066
CO_CLUSTERING,LIN,KL,FIXED,CGR,MRR,0.004579139752641331
CO_CLUSTERING,LIN,KL,FIXED,CGR,MRMC,0.18070707433234565
CO_CLUSTERING,LIN,KL,FIXED,VAR,MACE,0.09812374384033319
CO_CLUSTERING,LIN,KL,FIXED,VAR,MAP,0.0015689219957173196
CO_CLUSTERING,LIN,KL,FIXED,VAR,MRR,0.0045800970230363445
CO_CLUSTERING,LIN,KL,FIXED,VAR,MRMC,0.18070538093323693
CO_CLUSTERING,LIN,HE,FIXED,0.0,MACE,0.12869049133007568
CO_CLUSTERING,LIN,HE,FIXED,0.0,MAP,0.0005849413021430094
CO_CLUSTERING,LIN,HE,FIXED,0.0,MRR,0.0017161894551020547
CO_CLUSTERING,LIN,HE,FIXED,0.0,MRMC,0.9221669395899513
CO_CLUSTERING,LIN,HE,FIXED,0.1,MACE,0.06295902888600236
CO_CLUSTERING,LIN,HE,FIXED,0.1,MAP,0.001601204098884559
CO_CLUSTERING,LIN,HE,FIXED,0.1,MRR,0.004787530154017443
CO_CLUSTERING,LIN,HE,FIXED,0.1,MRMC,0.3571427477047418
CO_CLUSTERING,LIN,HE,FIXED,0.2,MACE,0.06296207542112535
CO_CLUSTERING,LIN,HE,FIXED,0.2,MAP,0.001601204098884559
CO_CLUSTERING,LIN,HE,FIXED,0.2,MRR,0.004787530154017443
CO_CLUSTERING,LIN,HE,FIXED,0.2,MRMC,0.3571450839369461
CO_CLUSTERING,LIN,HE,FIXED,0.3,MACE,0.06295917073874764
CO_CLUSTERING,LIN,HE,FIXED,0.3,MAP,0.001601204098884559
CO_CLUSTERING,LIN,HE,FIXED,0.3,MRR,0.004787530154017443
CO_CLUSTERING,LIN,HE,FIXED,0.3,MRMC,0.3571423569180681
CO_CLUSTERING,LIN,HE,FIXED,0.4,MACE,0.06296277808704975
CO_CLUSTERING,LIN,HE,FIXED,0.4,MAP,0.0015850016838140793
CO_CLUSTERING,LIN,HE,FIXED,0.4,MRR,0.00472825302571081
CO_CLUSTERING,LIN,HE,FIXED,0.4,MRMC,0.35713792460714694
CO_CLUSTERING,LIN,HE,FIXED,0.5,MACE,0.06296483742603244
CO_CLUSTERING,LIN,HE,FIXED,0.5,MAP,0.0015830871430240515
CO_CLUSTERING,LIN,HE,FIXED,0.5,MRR,0.004725675759262696
CO_CLUSTERING,LIN,HE,FIXED,0.5,MRMC,0.3571390488913555
CO_CLUSTERING,LIN,HE,FIXED,0.6,MACE,0.06295156842126966
CO_CLUSTERING,LIN,HE,FIXED,0.6,MAP,0.0015830871430240515
CO_CLUSTERING,LIN,HE,FIXED,0.6,MRR,0.004725675759262696
CO_CLUSTERING,LIN,HE,FIXED,0.6,MRMC,0.3571387468795604
CO_CLUSTERING,LIN,HE,FIXED,0.7,MACE,0.0629489474443826
CO_CLUSTERING,LIN,HE,FIXED,0.7,MAP,0.0015830871430240515
CO_CLUSTERING,LIN,HE,FIXED,0.7,MRR,0.004725675759262696
CO_CLUSTERING,LIN,HE,FIXED,0.7,MRMC,0.35713048993580393
CO_CLUSTERING,LIN,HE,FIXED,0.8,MACE,0.06295637327065422
CO_CLUSTERING,LIN,HE,FIXED,0.8,MAP,0.0015830871430240515
CO_CLUSTERING,LIN,HE,FIXED,0.8,MRR,0.004725675759262696
CO_CLUSTERING,LIN,HE,FIXED,0.8,MRMC,0.3571376065509704
CO_CLUSTERING,LIN,HE,FIXED,0.9,MACE,0.06294481433372508
CO_CLUSTERING,LIN,HE,FIXED,0.9,MAP,0.0015863074988144573
CO_CLUSTERING,LIN,HE,FIXED,0.9,MRR,0.004735125736239115
CO_CLUSTERING,LIN,HE,FIXED,0.9,MRMC,0.3571339352785801
CO_CLUSTERING,LIN,HE,FIXED,1.0,MACE,0.06295599059813199
CO_CLUSTERING,LIN,HE,FIXED,1.0,MAP,0.0015873384053937034
CO_CLUSTERING,LIN,HE,FIXED,1.0,MRR,0.004736598459923752
CO_CLUSTERING,LIN,HE,FIXED,1.0,MRMC,0.3571246908347505
CO_CLUSTERING,LIN,HE,FIXED,CGR,MACE,0.06296604234964226
CO_CLUSTERING,LIN,HE,FIXED,CGR,MAP,0.001601204098884559
CO_CLUSTERING,LIN,HE,FIXED,CGR,MRR,0.004787530154017443
CO_CLUSTERING,LIN,HE,FIXED,CGR,MRMC,0.35714548796613377
CO_CLUSTERING,LIN,HE,FIXED,VAR,MACE,0.06295525370610915
CO_CLUSTERING,LIN,HE,FIXED,VAR,MAP,0.0015850016838140793
CO_CLUSTERING,LIN,HE,FIXED,VAR,MRR,0.00472825302571081
CO_CLUSTERING,LIN,HE,FIXED,VAR,MRMC,0.35713006189161556
CO_CLUSTERING,LIN,CHI,FIXED,0.0,MACE,0.12869049133007568
CO_CLUSTERING,LIN,CHI,FIXED,0.0,MAP,0.0005849413021430094
CO_CLUSTERING,LIN,CHI,FIXED,0.0,MRR,0.0017161894551020547
CO_CLUSTERING,LIN,CHI,FIXED,0.0,MRMC,0.5359864909296358
CO_CLUSTERING,LIN,CHI,FIXED,0.1,MACE,0.06444867528504566
CO_CLUSTERING,LIN,CHI,FIXED,0.1,MAP,0.0015629132830840013
CO_CLUSTERING,LIN,CHI,FIXED,0.1,MRR,0.004677664967143534
CO_CLUSTERING,LIN,CHI,FIXED,0.1,MRMC,0.16365965251202338
CO_CLUSTERING,LIN,CHI,FIXED,0.2,MACE,0.06444867528504566
CO_CLUSTERING,LIN,CHI,FIXED,0.2,MAP,0.0015629132830840013
CO_CLUSTERING,LIN,CHI,FIXED,0.2,MRR,0.004677664967143534
CO_CLUSTERING,LIN,CHI,FIXED,0.2,MRMC,0.16365965251202338
CO_CLUSTERING,LIN,CHI,FIXED,0.3,MACE,0.06445014082183874
CO_CLUSTERING,LIN,CHI,FIXED,0.3,MAP,0.0015650511869661993
CO_CLUSTERING,LIN,CHI,FIXED,0.3,MRR,0.0046834085895136185
CO_CLUSTERING,LIN,CHI,FIXED,0.3,MRMC,0.16367423668945566
CO_CLUSTERING,LIN,CHI,FIXED,0.4,MACE,0.06444867528504566
CO_CLUSTERING,LIN,CHI,FIXED,0.4,MAP,0.0015629132830840013
CO_CLUSTERING,LIN,CHI,FIXED,0.4,MRR,0.004677664967143534
CO_CLUSTERING,LIN,CHI,FIXED,0.4,MRMC,0.16365965251202338
CO_CLUSTERING,LIN,CHI,FIXED,0.5,MACE,0.06444661264716191
CO_CLUSTERING,LIN,CHI,FIXED,0.5,MAP,0.0015598205633462637
CO_CLUSTERING,LIN,CHI,FIXED,0.5,MRR,0.00467103771056267
CO_CLUSTERING,LIN,CHI,FIXED,0.5,MRMC,0.16366827889646426
CO_CLUSTERING,LIN,CHI,FIXED,0.6,MACE,0.06445014082183874
CO_CLUSTERING,LIN,CHI,FIXED,0.6,MAP,0.0015650511869661993
CO_CLUSTERING,LIN,CHI,FIXED,0.6,MRR,0.0046834085895136185
CO_CLUSTERING,LIN,CHI,FIXED,0.6,MRMC,0.16367423668945566
CO_CLUSTERING,LIN,CHI,FIXED,0.7,MACE,0.06445388301272138
CO_CLUSTERING,LIN,CHI,FIXED,0.7,MAP,0.0015650511869661993
CO_CLUSTERING,LIN,CHI,FIXED,0.7,MRR,0.0046834085895136185
CO_CLUSTERING,LIN,CHI,FIXED,0.7,MRMC,0.1636724207400828
CO_CLUSTERING,LIN,CHI,FIXED,0.8,MACE,0.06444853796828931
CO_CLUSTERING,LIN,CHI,FIXED,0.8,MAP,0.0015629132830840013
CO_CLUSTERING,LIN,CHI,FIXED,0.8,MRR,0.004677664967143534
CO_CLUSTERING,LIN,CHI,FIXED,0.8,MRMC,0.16365964006415443
CO_CLUSTERING,LIN,CHI,FIXED,0.9,MACE,0.0644376388115709
CO_CLUSTERING,LIN,CHI,FIXED,0.9,MAP,0.0015598205633462637
CO_CLUSTERING,LIN,CHI,FIXED,0.9,MRR,0.00467103771056267
CO_CLUSTERING,LIN,CHI,FIXED,0.9,MRMC,0.16368529291235837
CO_CLUSTERING,LIN,CHI,FIXED,1.0,MACE,0.06444607245211438
CO_CLUSTERING,LIN,CHI,FIXED,1.0,MAP,0.0015598205633462637
CO_CLUSTERING,LIN,CHI,FIXED,1.0,MRR,0.00467103771056267
CO_CLUSTERING,LIN,CHI,FIXED,1.0,MRMC,0.1636682338672458
CO_CLUSTERING,LIN,CHI,FIXED,CGR,MACE,0.06444297024803612
CO_CLUSTERING,LIN,CHI,FIXED,CGR,MAP,0.0015727829863105426
CO_CLUSTERING,LIN,CHI,FIXED,CGR,MRR,0.004703437631624679
CO_CLUSTERING,LIN,CHI,FIXED,CGR,MRMC,0.1636787448301579
CO_CLUSTERING,LIN,CHI,FIXED,VAR,MACE,0.06445045957815303
CO_CLUSTERING,LIN,CHI,FIXED,VAR,MAP,0.0015598205633462637
