algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
ITEM_KNN,LIN,KL,FIXED,0.0,MACE,0.06619077627265417
ITEM_KNN,LIN,KL,FIXED,0.0,MAP,0.000556851552398036
ITEM_KNN,LIN,KL,FIXED,0.0,MRR,0.0016197751445478298
ITEM_KNN,LIN,KL,FIXED,0.0,MRMC,0.6651982475772421
ITEM_KNN,LIN,KL,FIXED,0.1,MACE,0.08313683305498855
ITEM_KNN,LIN,KL,FIXED,0.1,MAP,0.0014802124845732195
ITEM_KNN,LIN,KL,FIXED,0.1,MRR,0.003910449563631972
ITEM_KNN,LIN,KL,FIXED,0.1,MRMC,0.1849472773380657
ITEM_KNN,LIN,KL,FIXED,0.2,MACE,0.08313890888847653
ITEM_KNN,LIN,KL,FIXED,0.2,MAP,0.0014894906437864317
ITEM_KNN,LIN,KL,FIXED,0.2,MRR,0.003941376761009347
ITEM_KNN,LIN,KL,FIXED,0.2,MRMC,0.1849570451108892
ITEM_KNN,LIN,KL,FIXED,0.3,MACE,0.08311933073544875
ITEM_KNN,LIN,KL,FIXED,0.3,MAP,0.0014894906437864317
ITEM_KNN,LIN,KL,FIXED,0.3,MRR,0.003941376761009347
ITEM_KNN,LIN,KL,FIXED,0.3,MRMC,0.1849628205296906
ITEM_KNN,LIN,KL,FIXED,0.4,MACE,0.08312301849446403
ITEM_KNN,LIN,KL,FIXED,0.4,MAP,0.001485779380101147
ITEM_KNN,LIN,KL,FIXED,0.4,MRR,0.003935191321533871
ITEM_KNN,LIN,KL,FIXED,0.4,MRMC,0.1849757339373963
ITEM_KNN,LIN,KL,FIXED,0.5,MACE,0.08311889651759757
ITEM_KNN,LIN,KL,FIXED,0.5,MAP,0.0014907498225367958
ITEM_KNN,LIN,KL,FIXED,0.5,MRR,0.003941082216272418
ITEM_KNN,LIN,KL,FIXED,0.5,MRMC,0.18497813598618199
ITEM_KNN,LIN,KL,FIXED,0.6,MACE,0.08311840044535165
ITEM_KNN,LIN,KL,FIXED,0.6,MAP,0.0014907498225367958
ITEM_KNN,LIN,KL,FIXED,0.6,MRR,0.003941082216272418
ITEM_KNN,LIN,KL,FIXED,0.6,MRMC,0.18496536047131149
ITEM_KNN,LIN,KL,FIXED,0.7,MACE,0.08314768479000433
ITEM_KNN,LIN,KL,FIXED,0.7,MAP,0.0014888941906941535
