algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
ITEM_KNN,LIN,KL,FIXED,0.0,MACE,0.06517294571245953
ITEM_KNN,LIN,KL,FIXED,0.0,MAP,0.0006818538842105368
ITEM_KNN,LIN,KL,FIXED,0.0,MRR,0.0020091878321605544
ITEM_KNN,LIN,KL,FIXED,0.0,MRMC,0.6664624104458398
ITEM_KNN,LIN,KL,FIXED,0.1,MACE,0.08301580792148615
ITEM_KNN,LIN,KL,FIXED,0.1,MAP,0.0016378111006056819
ITEM_KNN,LIN,KL,FIXED,0.1,MRR,0.004479632722349368
ITEM_KNN,LIN,KL,FIXED,0.1,MRMC,0.1853498394580344
ITEM_KNN,LIN,KL,FIXED,0.2,MACE,0.08301249293828994
ITEM_KNN,LIN,KL,FIXED,0.2,MAP,0.0016400201861326376
ITEM_KNN,LIN,KL,FIXED,0.2,MRR,0.004488837245378348
ITEM_KNN,LIN,KL,FIXED,0.2,MRMC,0.18537359867977996
ITEM_KNN,LIN,KL,FIXED,0.3,MACE,0.0829879367435723
ITEM_KNN,LIN,KL,FIXED,0.3,MAP,0.0016436283591599978
ITEM_KNN,LIN,KL,FIXED,0.3,MRR,0.004497084498012314
ITEM_KNN,LIN,KL,FIXED,0.3,MRMC,0.18538427994746887
ITEM_KNN,LIN,KL,FIXED,0.4,MACE,0.08298806622543865
ITEM_KNN,LIN,KL,FIXED,0.4,MAP,0.0016403294581064114
ITEM_KNN,LIN,KL,FIXED,0.4,MRR,0.0044898681519575925
ITEM_KNN,LIN,KL,FIXED,0.4,MRMC,0.1853889935824415
ITEM_KNN,LIN,KL,FIXED,0.5,MACE,0.08298974660316281
ITEM_KNN,LIN,KL,FIXED,0.5,MAP,0.0016440480854101192
ITEM_KNN,LIN,KL,FIXED,0.5,MRR,0.004496986316433337
ITEM_KNN,LIN,KL,FIXED,0.5,MRMC,0.18541013059349098
ITEM_KNN,LIN,KL,FIXED,0.6,MACE,0.08298128038597143
ITEM_KNN,LIN,KL,FIXED,0.6,MAP,0.0016430171788308732
ITEM_KNN,LIN,KL,FIXED,0.6,MRR,0.0044955135927487
ITEM_KNN,LIN,KL,FIXED,0.6,MRMC,0.1853891603886102
ITEM_KNN,LIN,KL,FIXED,0.7,MACE,0.08299713985278655
ITEM_KNN,LIN,KL,FIXED,0.7,MAP,0.001642398634883326
ITEM_KNN,LIN,KL,FIXED,0.7,MRR,0.0044893281532732265
ITEM_KNN,LIN,KL,FIXED,0.7,MRMC,0.18538647857066567
ITEM_KNN,LIN,KL,FIXED,0.8,MACE,0.08299219438774459
ITEM_KNN,LIN,KL,FIXED,0.8,MAP,0.0016419862722516273
ITEM_KNN,LIN,KL,FIXED,0.8,MRR,0.004491831783537108
ITEM_KNN,LIN,KL,FIXED,0.8,MRMC,0.18538893632493078
ITEM_KNN,LIN,KL,FIXED,0.9,MACE,0.08298040782664275
