algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
NMF,LIN,KL,FIXED,0.0,MACE,0.03142336735325045
NMF,LIN,KL,FIXED,0.0,MAP,0.0016637506737710857
NMF,LIN,KL,FIXED,0.0,MRR,0.00545342216802599
NMF,LIN,KL,FIXED,0.0,MRMC,0.6903956932044635
NMF,LIN,KL,FIXED,0.1,MACE,0.09655501577287068
NMF,LIN,KL,FIXED,0.1,MAP,0.0014255155269258073
NMF,LIN,KL,FIXED,0.1,MRR,0.0038371815603212896
NMF,LIN,KL,FIXED,0.1,MRMC,0.1936253310939955
NMF,LIN,KL,FIXED,0.2,MACE,0.09655529040638337
NMF,LIN,KL,FIXED,0.2,MAP,0.0014255155269258073
NMF,LIN,KL,FIXED,0.2,MRR,0.0038371815603212896
NMF,LIN,KL,FIXED,0.2,MRMC,0.19363138131047167
NMF,LIN,KL,FIXED,0.3,MACE,0.09655610441021836
NMF,LIN,KL,FIXED,0.3,MAP,0.0014301546065324134
NMF,LIN,KL,FIXED,0.3,MRR,0.0038464597195345014
NMF,LIN,KL,FIXED,0.3,MRMC,0.19362964178592443
NMF,LIN,KL,FIXED,0.4,MACE,0.09655529040638337
NMF,LIN,KL,FIXED,0.4,MAP,0.0014255155269258073
NMF,LIN,KL,FIXED,0.4,MRR,0.0038371815603212896
NMF,LIN,KL,FIXED,0.4,MRMC,0.19363138131047167
NMF,LIN,KL,FIXED,0.5,MACE,0.09654356033896208
NMF,LIN,KL,FIXED,0.5,MAP,0.0014255155269258073
NMF,LIN,KL,FIXED,0.5,MRR,0.0038371815603212896
NMF,LIN,KL,FIXED,0.5,MRMC,0.19366146020639236
NMF,LIN,KL,FIXED,0.6,MACE,0.09655610441021836
NMF,LIN,KL,FIXED,0.6,MAP,0.0014301546065324134
NMF,LIN,KL,FIXED,0.6,MRR,0.0038464597195345014
NMF,LIN,KL,FIXED,0.6,MRMC,0.19362964178592443
NMF,LIN,KL,FIXED,0.7,MACE,0.09654228613843015
NMF,LIN,KL,FIXED,0.7,MAP,0.0014301546065324134
NMF,LIN,KL,FIXED,0.7,MRR,0.0038464597195345014
NMF,LIN,KL,FIXED,0.7,MRMC,0.1936213956063513
NMF,LIN,KL,FIXED,0.8,MACE,0.09655529040638337
NMF,LIN,KL,FIXED,0.8,MAP,0.0014255155269258073
NMF,LIN,KL,FIXED,0.8,MRR,0.0038371815603212896
NMF,LIN,KL,FIXED,0.8,MRMC,0.19363138131047167
NMF,LIN,KL,FIXED,0.9,MACE,0.09654790746582544
NMF,LIN,KL,FIXED,0.9,MAP,0.0014255155269258073
NMF,LIN,KL,FIXED,0.9,MRR,0.0038371815603212896
NMF,LIN,KL,FIXED,0.9,MRMC,0.19364146125532833
NMF,LIN,KL,FIXED,1.0,MACE,0.09654356033896208
NMF,LIN,KL,FIXED,1.0,MAP,0.0014255155269258073
NMF,LIN,KL,FIXED,1.0,MRR,0.0038371815603212896
NMF,LIN,KL,FIXED,1.0,MRMC,0.19366146020639236
NMF,LIN,KL,FIXED,CGR,MACE,0.09654043298076329
NMF,LIN,KL,FIXED,CGR,MAP,0.0014255155269258073
NMF,LIN,KL,FIXED,CGR,MRR,0.0038371815603212896
NMF,LIN,KL,FIXED,CGR,MRMC,0.1936412266598633
NMF,LIN,KL,FIXED,VAR,MACE,0.09655280014845055
NMF,LIN,KL,FIXED,VAR,MAP,0.0014255155269258073
NMF,LIN,KL,FIXED,VAR,MRR,0.0038371815603212896
NMF,LIN,KL,FIXED,VAR,MRMC,0.19362049968084694
NMF,LIN,HE,FIXED,0.0,MACE,0.03142336735325045
NMF,LIN,HE,FIXED,0.0,MAP,0.0016637506737710857
NMF,LIN,HE,FIXED,0.0,MRR,0.00545342216802599
NMF,LIN,HE,FIXED,0.0,MRMC,0.8638690002596484
NMF,LIN,HE,FIXED,0.1,MACE,0.06138295787715717
NMF,LIN,HE,FIXED,0.1,MAP,0.001337601286571411
NMF,LIN,HE,FIXED,0.1,MRR,0.0037735598971449778
NMF,LIN,HE,FIXED,0.1,MRMC,0.3788318372037293
NMF,LIN,HE,FIXED,0.2,MACE,0.061386954908146225
NMF,LIN,HE,FIXED,0.2,MAP,0.001337601286571411
NMF,LIN,HE,FIXED,0.2,MRR,0.0037735598971449778
NMF,LIN,HE,FIXED,0.2,MRMC,0.37883350542984223
NMF,LIN,HE,FIXED,0.3,MACE,0.06138334508566834
NMF,LIN,HE,FIXED,0.3,MAP,0.001337601286571411
NMF,LIN,HE,FIXED,0.3,MRR,0.0037735598971449778
NMF,LIN,HE,FIXED,0.3,MRMC,0.378836087332071
NMF,LIN,HE,FIXED,0.4,MACE,0.06138053565905858
NMF,LIN,HE,FIXED,0.4,MAP,0.001337601286571411
NMF,LIN,HE,FIXED,0.4,MRR,0.0037735598971449778
NMF,LIN,HE,FIXED,0.4,MRMC,0.37883577492283244
NMF,LIN,HE,FIXED,0.5,MACE,0.06137584091049669
NMF,LIN,HE,FIXED,0.5,MAP,0.0013919521541529336
NMF,LIN,HE,FIXED,0.5,MRR,0.00395912308140922
NMF,LIN,HE,FIXED,0.5,MRMC,0.37884708483599094
NMF,LIN,HE,FIXED,0.6,MACE,0.06135451598936105
NMF,LIN,HE,FIXED,0.6,MAP,0.0013919521541529336
NMF,LIN,HE,FIXED,0.6,MRR,0.00395912308140922
NMF,LIN,HE,FIXED,0.6,MRMC,0.37885465635952276
NMF,LIN,HE,FIXED,0.7,MACE,0.06135615760499783
NMF,LIN,HE,FIXED,0.7,MAP,0.0013919521541529336
NMF,LIN,HE,FIXED,0.7,MRR,0.00395912308140922
NMF,LIN,HE,FIXED,0.7,MRMC,0.37886612622720445
NMF,LIN,HE,FIXED,0.8,MACE,0.06135910187418817
NMF,LIN,HE,FIXED,0.8,MAP,0.001337601286571411
NMF,LIN,HE,FIXED,0.8,MRR,0.0037735598971449778
NMF,LIN,HE,FIXED,0.8,MRMC,0.37886731069214796
NMF,LIN,HE,FIXED,0.9,MACE,0.06136558174058267
NMF,LIN,HE,FIXED,0.9,MAP,0.0013919521541529336
NMF,LIN,HE,FIXED,0.9,MRR,0.00395912308140922
NMF,LIN,HE,FIXED,0.9,MRMC,0.37886398445895114
NMF,LIN,HE,FIXED,1.0,MACE,0.06136043545493907
NMF,LIN,HE,FIXED,1.0,MAP,0.0013919521541529336
NMF,LIN,HE,FIXED,1.0,MRR,0.00395912308140922
NMF,LIN,HE,FIXED,1.0,MRMC,0.37886886208433945
NMF,LIN,HE,FIXED,CGR,MACE,0.06136807570977918
NMF,LIN,HE,FIXED,CGR,MAP,0.001337601286571411
NMF,LIN,HE,FIXED,CGR,MRR,0.0037735598971449778
NMF,LIN,HE,FIXED,CGR,MRMC,0.37884230977334205
NMF,LIN,HE,FIXED,VAR,MACE,0.061360525762355414
NMF,LIN,HE,FIXED,VAR,MAP,0.001337601286571411
NMF,LIN,HE,FIXED,VAR,MRR,0.0037735598971449778
NMF,LIN,HE,FIXED,VAR,MRMC,0.3788485877255532
NMF,LIN,CHI,FIXED,0.0,MACE,0.03142336735325045
NMF,LIN,CHI,FIXED,0.0,MAP,0.0016637506737710857
NMF,LIN,CHI,FIXED,0.0,MRR,0.00545342216802599
NMF,LIN,CHI,FIXED,0.0,MRMC,0.7014237722599103
NMF,LIN,CHI,FIXED,0.1,MACE,0.061569671553163854
NMF,LIN,CHI,FIXED,0.1,MAP,0.0013721955659235304
NMF,LIN,CHI,FIXED,0.1,MRR,0.003932172237980366
NMF,LIN,CHI,FIXED,0.1,MRMC,0.1804143748204321
NMF,LIN,CHI,FIXED,0.2,MACE,0.061569671553163854
NMF,LIN,CHI,FIXED,0.2,MAP,0.0013721955659235304
NMF,LIN,CHI,FIXED,0.2,MRR,0.003932172237980366
NMF,LIN,CHI,FIXED,0.2,MRMC,0.1804143748204321
NMF,LIN,CHI,FIXED,0.3,MACE,0.061549080225149995
NMF,LIN,CHI,FIXED,0.3,MAP,0.0013721955659235304
NMF,LIN,CHI,FIXED,0.3,MRR,0.003932172237980366
NMF,LIN,CHI,FIXED,0.3,MRMC,0.18041929053198658
NMF,LIN,CHI,FIXED,0.4,MACE,0.061569671553163854
NMF,LIN,CHI,FIXED,0.4,MAP,0.0013721955659235304
NMF,LIN,CHI,FIXED,0.4,MRR,0.003932172237980366
