algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
NMF,LIN,KL,FIXED,0.0,MACE,0.031285673697449536
NMF,LIN,KL,FIXED,0.0,MAP,0.0018559975690241044
NMF,LIN,KL,FIXED,0.0,MRR,0.006151714103096548
NMF,LIN,KL,FIXED,0.0,MRMC,0.6902734297972194
NMF,LIN,KL,FIXED,0.1,MACE,0.0971617640873384
NMF,LIN,KL,FIXED,0.1,MAP,0.0013695618450675047
NMF,LIN,KL,FIXED,0.1,MRR,0.003769804451749154
NMF,LIN,KL,FIXED,0.1,MRMC,0.19369679958011543
NMF,LIN,KL,FIXED,0.2,MACE,0.09716884600317517
NMF,LIN,KL,FIXED,0.2,MAP,0.00137260301947628
NMF,LIN,KL,FIXED,0.2,MRR,0.0037741980774083205
NMF,LIN,KL,FIXED,0.2,MRMC,0.1937084299790072
NMF,LIN,KL,FIXED,0.3,MACE,0.09717283354982371
NMF,LIN,KL,FIXED,0.3,MAP,0.0013741493793451482
NMF,LIN,KL,FIXED,0.3,MRR,0.003777290797146058
NMF,LIN,KL,FIXED,0.3,MRMC,0.1937107610925879
NMF,LIN,KL,FIXED,0.4,MACE,0.09717017546029978
NMF,LIN,KL,FIXED,0.4,MAP,0.001373118472765903
NMF,LIN,KL,FIXED,0.4,MRR,0.003775818073461421
NMF,LIN,KL,FIXED,0.4,MRMC,0.19370953138667027
NMF,LIN,KL,FIXED,0.5,MACE,0.09715473206738005
NMF,LIN,KL,FIXED,0.5,MAP,0.0013740021069766847
NMF,LIN,KL,FIXED,0.5,MRR,0.003776922616224898
NMF,LIN,KL,FIXED,0.5,MRMC,0.1937402956105171
NMF,LIN,KL,FIXED,0.6,MACE,0.09717283354982371
NMF,LIN,KL,FIXED,0.6,MAP,0.0013734866536870619
NMF,LIN,KL,FIXED,0.6,MRR,0.0037748608030664065
NMF,LIN,KL,FIXED,0.6,MRMC,0.1937107610925879
NMF,LIN,KL,FIXED,0.7,MACE,0.09716778334467331
NMF,LIN,KL,FIXED,0.7,MAP,0.0013734866536870619
NMF,LIN,KL,FIXED,0.7,MRR,0.0037748608030664065
NMF,LIN,KL,FIXED,0.7,MRMC,0.19370640562920713
NMF,LIN,KL,FIXED,0.8,MACE,0.09717017546029978
NMF,LIN,KL,FIXED,0.8,MAP,0.00137260301947628
NMF,LIN,KL,FIXED,0.8,MRR,0.0037737562603029295
NMF,LIN,KL,FIXED,0.8,MRMC,0.19370953138667027
NMF,LIN,KL,FIXED,0.9,MACE,0.09716190841425949
NMF,LIN,KL,FIXED,0.9,MAP,0.0013677577585538246
NMF,LIN,KL,FIXED,0.9,MRR,0.0037634471945104716
NMF,LIN,KL,FIXED,0.9,MRMC,0.19372050526337806
NMF,LIN,KL,FIXED,1.0,MACE,0.09715473206738005
NMF,LIN,KL,FIXED,1.0,MAP,0.0013734866536870619
NMF,LIN,KL,FIXED,1.0,MRR,0.003774860803066407
NMF,LIN,KL,FIXED,1.0,MRMC,0.1937402956105171
NMF,LIN,KL,FIXED,CGR,MACE,0.09716252572111915
NMF,LIN,KL,FIXED,CGR,MAP,0.0013734866536870619
NMF,LIN,KL,FIXED,CGR,MRR,0.003774860803066407
NMF,LIN,KL,FIXED,CGR,MRMC,0.19371813959491688
NMF,LIN,KL,FIXED,VAR,MACE,0.09716901012350264
NMF,LIN,KL,FIXED,VAR,MAP,0.0013907445207315312
NMF,LIN,KL,FIXED,VAR,MRR,0.0038343097491362475
NMF,LIN,KL,FIXED,VAR,MRMC,0.19370949976365745
NMF,LIN,HE,FIXED,0.0,MACE,0.031285673697449536
NMF,LIN,HE,FIXED,0.0,MAP,0.0018559975690241044
NMF,LIN,HE,FIXED,0.0,MRR,0.006151714103096548
NMF,LIN,HE,FIXED,0.0,MRMC,0.8631837817385527
NMF,LIN,HE,FIXED,0.1,MACE,0.061709639801241216
NMF,LIN,HE,FIXED,0.1,MAP,0.0013535901567076182
NMF,LIN,HE,FIXED,0.1,MRR,0.0038352424741365174
NMF,LIN,HE,FIXED,0.1,MRMC,0.37940031150945885
NMF,LIN,HE,FIXED,0.2,MACE,0.061709780416898626
NMF,LIN,HE,FIXED,0.2,MAP,0.0013535901567076182
NMF,LIN,HE,FIXED,0.2,MRR,0.0038352424741365174
NMF,LIN,HE,FIXED,0.2,MRMC,0.3794020362478592
NMF,LIN,HE,FIXED,0.3,MACE,0.06170360446176368
NMF,LIN,HE,FIXED,0.3,MAP,0.0013535901567076182
NMF,LIN,HE,FIXED,0.3,MRR,0.0038352424741365174
NMF,LIN,HE,FIXED,0.3,MRMC,0.3794023261951141
NMF,LIN,HE,FIXED,0.4,MACE,0.061707385827096346
NMF,LIN,HE,FIXED,0.4,MAP,0.0013535901567076182
NMF,LIN,HE,FIXED,0.4,MRR,0.0038352424741365174
NMF,LIN,HE,FIXED,0.4,MRMC,0.3794055286501341
NMF,LIN,HE,FIXED,0.5,MACE,0.06170507288509516
NMF,LIN,HE,FIXED,0.5,MAP,0.0013717071125681258
NMF,LIN,HE,FIXED,0.5,MRR,0.003897096868891265
NMF,LIN,HE,FIXED,0.5,MRMC,0.37940514637649786
NMF,LIN,HE,FIXED,0.6,MACE,0.06168500896888724
NMF,LIN,HE,FIXED,0.6,MAP,0.0013717071125681258
NMF,LIN,HE,FIXED,0.6,MRR,0.003897096868891265
NMF,LIN,HE,FIXED,0.6,MRMC,0.37940486740961776
NMF,LIN,HE,FIXED,0.7,MACE,0.06169169707841075
NMF,LIN,HE,FIXED,0.7,MAP,0.0013717071125681258
NMF,LIN,HE,FIXED,0.7,MRR,0.003897096868891265
NMF,LIN,HE,FIXED,0.7,MRMC,0.3794122510480183
NMF,LIN,HE,FIXED,0.8,MACE,0.06169261705944207
NMF,LIN,HE,FIXED,0.8,MAP,0.0013535901567076182
NMF,LIN,HE,FIXED,0.8,MRR,0.0038352424741365174
NMF,LIN,HE,FIXED,0.8,MRMC,0.3794126419903833
NMF,LIN,HE,FIXED,0.9,MACE,0.06169316385229171
NMF,LIN,HE,FIXED,0.9,MAP,0.0013696452994096343
NMF,LIN,HE,FIXED,0.9,MRR,0.0038919423359950363
NMF,LIN,HE,FIXED,0.9,MRMC,0.37940625745905615
NMF,LIN,HE,FIXED,1.0,MACE,0.06169390940392982
NMF,LIN,HE,FIXED,1.0,MAP,0.0013717071125681258
NMF,LIN,HE,FIXED,1.0,MRR,0.003897096868891265
NMF,LIN,HE,FIXED,1.0,MRMC,0.3794108311301738
NMF,LIN,HE,FIXED,CGR,MACE,0.0617027306653471
NMF,LIN,HE,FIXED,CGR,MAP,0.0013535901567076182
NMF,LIN,HE,FIXED,CGR,MRR,0.0038352424741365174
NMF,LIN,HE,FIXED,CGR,MRMC,0.3794048955848406
NMF,LIN,HE,FIXED,VAR,MACE,0.061695996371208844
NMF,LIN,HE,FIXED,VAR,MAP,0.0013535901567076182
NMF,LIN,HE,FIXED,VAR,MRR,0.0038352424741365174
NMF,LIN,HE,FIXED,VAR,MRMC,0.37940333967096046
NMF,LIN,CHI,FIXED,0.0,MACE,0.031285673697449536
NMF,LIN,CHI,FIXED,0.0,MAP,0.0018559975690241044
NMF,LIN,CHI,FIXED,0.0,MRR,0.006151714103096548
NMF,LIN,CHI,FIXED,0.0,MRMC,0.7013559480508089
NMF,LIN,CHI,FIXED,0.1,MACE,0.06186045236180698
NMF,LIN,CHI,FIXED,0.1,MAP,0.0013688083014488657
NMF,LIN,CHI,FIXED,0.1,MRR,0.0038910341563895105
NMF,LIN,CHI,FIXED,0.1,MRMC,0.18044178331964447
NMF,LIN,CHI,FIXED,0.2,MACE,0.06186045236180698
NMF,LIN,CHI,FIXED,0.2,MAP,0.0013688083014488657
NMF,LIN,CHI,FIXED,0.2,MRR,0.0038910341563895105
NMF,LIN,CHI,FIXED,0.2,MRMC,0.18044178331964447
