algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
POPULARITY,LIN,KL,FIXED,0.0,MACE,0.053279049916496575
POPULARITY,LIN,KL,FIXED,0.0,MAP,0.046935210466941775
POPULARITY,LIN,KL,FIXED,0.0,MRR,0.10267358257708974
POPULARITY,LIN,KL,FIXED,0.0,MRMC,0.6963065588647496
POPULARITY,LIN,KL,FIXED,0.1,MACE,0.05328064204861755
POPULARITY,LIN,KL,FIXED,0.1,MAP,0.04693727228010027
POPULARITY,LIN,KL,FIXED,0.1,MRR,0.10267358257708974
POPULARITY,LIN,KL,FIXED,0.1,MRMC,0.696290200158345
POPULARITY,LIN,KL,FIXED,0.2,MACE,0.05329207026659244
POPULARITY,LIN,KL,FIXED,0.2,MAP,0.046933642016217636
POPULARITY,LIN,KL,FIXED,0.2,MRR,0.10267358257708974
POPULARITY,LIN,KL,FIXED,0.2,MRMC,0.6962324957827497
POPULARITY,LIN,KL,FIXED,0.3,MACE,0.05329936289973403
POPULARITY,LIN,KL,FIXED,0.3,MAP,0.04694809679918234
POPULARITY,LIN,KL,FIXED,0.3,MRR,0.10268882526722571
POPULARITY,LIN,KL,FIXED,0.3,MRMC,0.6961225217101612
POPULARITY,LIN,KL,FIXED,0.4,MACE,0.05330120739778561
POPULARITY,LIN,KL,FIXED,0.4,MAP,0.04694842816201139
POPULARITY,LIN,KL,FIXED,0.4,MRR,0.10268882526722571
POPULARITY,LIN,KL,FIXED,0.4,MRMC,0.6960872036688928
POPULARITY,LIN,KL,FIXED,0.5,MACE,0.05330316323374776
POPULARITY,LIN,KL,FIXED,0.5,MAP,0.04695054152049884
POPULARITY,LIN,KL,FIXED,0.5,MRR,0.10268882526722571
POPULARITY,LIN,KL,FIXED,0.5,MRMC,0.696077074125
POPULARITY,LIN,KL,FIXED,0.6,MACE,0.053892433970433605
POPULARITY,LIN,KL,FIXED,0.6,MAP,0.04710360905666157
POPULARITY,LIN,KL,FIXED,0.6,MRR,0.10343107800428268
POPULARITY,LIN,KL,FIXED,0.6,MRMC,0.6938996652986877
POPULARITY,LIN,KL,FIXED,0.7,MACE,0.05491014659491557
POPULARITY,LIN,KL,FIXED,0.7,MAP,0.04709209235744771
POPULARITY,LIN,KL,FIXED,0.7,MRR,0.10353681956483961
POPULARITY,LIN,KL,FIXED,0.7,MRMC,0.6843716381951738
POPULARITY,LIN,KL,FIXED,0.8,MACE,0.05810590462052328
POPULARITY,LIN,KL,FIXED,0.8,MAP,0.04740050278786593
POPULARITY,LIN,KL,FIXED,0.8,MRR,0.10455933161908298
POPULARITY,LIN,KL,FIXED,0.8,MRMC,0.6453897867748809
POPULARITY,LIN,KL,FIXED,0.9,MACE,0.06328299251561824
POPULARITY,LIN,KL,FIXED,0.9,MAP,0.047060288889477976
POPULARITY,LIN,KL,FIXED,0.9,MRR,0.10412068086961387
POPULARITY,LIN,KL,FIXED,0.9,MRMC,0.5727168472824578
POPULARITY,LIN,KL,FIXED,1.0,MACE,0.09516036494092905
POPULARITY,LIN,KL,FIXED,1.0,MAP,0.030107530919833755
POPULARITY,LIN,KL,FIXED,1.0,MRR,0.07327772328700145
POPULARITY,LIN,KL,FIXED,1.0,MRMC,0.18951298171772546
POPULARITY,LIN,KL,FIXED,CGR,MACE,0.053743604874126306
POPULARITY,LIN,KL,FIXED,CGR,MAP,0.04718368104339527
POPULARITY,LIN,KL,FIXED,CGR,MRR,0.10379476711820375
POPULARITY,LIN,KL,FIXED,CGR,MRMC,0.693713211309356
POPULARITY,LIN,KL,FIXED,VAR,MACE,0.058852103667965616
POPULARITY,LIN,KL,FIXED,VAR,MAP,0.047402822327669236
POPULARITY,LIN,KL,FIXED,VAR,MRR,0.10468333495332939
POPULARITY,LIN,KL,FIXED,VAR,MRMC,0.6138207668395
POPULARITY,LIN,HE,FIXED,0.0,MACE,0.053279049916496575
POPULARITY,LIN,HE,FIXED,0.0,MAP,0.046935210466941775
POPULARITY,LIN,HE,FIXED,0.0,MRR,0.10267358257708974
POPULARITY,LIN,HE,FIXED,0.0,MRMC,0.9042661190393844
POPULARITY,LIN,HE,FIXED,0.1,MACE,0.052613757654481355
POPULARITY,LIN,HE,FIXED,0.1,MAP,0.04696188149287055
POPULARITY,LIN,HE,FIXED,0.1,MRR,0.1027338906119756
POPULARITY,LIN,HE,FIXED,0.1,MRMC,0.9026368097502674
POPULARITY,LIN,HE,FIXED,0.2,MACE,0.052613757654481355
POPULARITY,LIN,HE,FIXED,0.2,MAP,0.04696188149287055
POPULARITY,LIN,HE,FIXED,0.2,MRR,0.1027338906119756
POPULARITY,LIN,HE,FIXED,0.2,MRMC,0.9026368097502674
POPULARITY,LIN,HE,FIXED,0.3,MACE,0.052613757654481355
POPULARITY,LIN,HE,FIXED,0.3,MAP,0.04696188149287055
POPULARITY,LIN,HE,FIXED,0.3,MRR,0.1027338906119756
POPULARITY,LIN,HE,FIXED,0.3,MRMC,0.9026368097502674
POPULARITY,LIN,HE,FIXED,0.4,MACE,0.052613757654481355
POPULARITY,LIN,HE,FIXED,0.4,MAP,0.04696188149287055
POPULARITY,LIN,HE,FIXED,0.4,MRR,0.1027338906119756
POPULARITY,LIN,HE,FIXED,0.4,MRMC,0.9026368097502674
POPULARITY,LIN,HE,FIXED,0.5,MACE,0.052613757654481355
POPULARITY,LIN,HE,FIXED,0.5,MAP,0.04696188149287055
POPULARITY,LIN,HE,FIXED,0.5,MRR,0.1027338906119756
POPULARITY,LIN,HE,FIXED,0.5,MRMC,0.9026368097502674
POPULARITY,LIN,HE,FIXED,0.6,MACE,0.052613757654481355
POPULARITY,LIN,HE,FIXED,0.6,MAP,0.04696188149287055
POPULARITY,LIN,HE,FIXED,0.6,MRR,0.1027338906119756
POPULARITY,LIN,HE,FIXED,0.6,MRMC,0.9026368097502674
POPULARITY,LIN,HE,FIXED,0.7,MACE,0.052613757654481355
POPULARITY,LIN,HE,FIXED,0.7,MAP,0.04696188149287055
POPULARITY,LIN,HE,FIXED,0.7,MRR,0.1027338906119756
POPULARITY,LIN,HE,FIXED,0.7,MRMC,0.9026368097502674
POPULARITY,LIN,HE,FIXED,0.8,MACE,0.052613757654481355
POPULARITY,LIN,HE,FIXED,0.8,MAP,0.04696188149287055
POPULARITY,LIN,HE,FIXED,0.8,MRR,0.1027338906119756
POPULARITY,LIN,HE,FIXED,0.8,MRMC,0.9026368097502674
POPULARITY,LIN,HE,FIXED,0.9,MACE,0.05262385352879323
POPULARITY,LIN,HE,FIXED,0.9,MAP,0.04696010686083056
POPULARITY,LIN,HE,FIXED,0.9,MRR,0.1027338906119756
POPULARITY,LIN,HE,FIXED,0.9,MRMC,0.90260225744487
POPULARITY,LIN,HE,FIXED,1.0,MACE,0.06896913713119318
POPULARITY,LIN,HE,FIXED,1.0,MAP,0.03295921733572504
POPULARITY,LIN,HE,FIXED,1.0,MRR,0.07721851095853693
POPULARITY,LIN,HE,FIXED,1.0,MRMC,0.3804498278862437
POPULARITY,LIN,HE,FIXED,CGR,MACE,0.052627110781221016
POPULARITY,LIN,HE,FIXED,CGR,MAP,0.04696188149287055
POPULARITY,LIN,HE,FIXED,CGR,MRR,0.1027338906119756
POPULARITY,LIN,HE,FIXED,CGR,MRMC,0.9025923230660814
POPULARITY,LIN,HE,FIXED,VAR,MACE,0.05260513267767675
POPULARITY,LIN,HE,FIXED,VAR,MAP,0.04696420103267385
POPULARITY,LIN,HE,FIXED,VAR,MRR,0.1027338906119756
POPULARITY,LIN,HE,FIXED,VAR,MRMC,0.9023932981951066
POPULARITY,LIN,CHI,FIXED,0.0,MACE,0.053279049916496575
POPULARITY,LIN,CHI,FIXED,0.0,MAP,0.046935210466941775
POPULARITY,LIN,CHI,FIXED,0.0,MRR,0.10267358257708974
POPULARITY,LIN,CHI,FIXED,0.0,MRMC,0.693637053755985
POPULARITY,LIN,CHI,FIXED,0.1,MACE,0.053521712129646806
POPULARITY,LIN,CHI,FIXED,0.1,MAP,0.047011880461963966
POPULARITY,LIN,CHI,FIXED,0.1,MRR,0.10295325280480225
POPULARITY,LIN,CHI,FIXED,0.1,MRMC,0.688450421946179
POPULARITY,LIN,CHI,FIXED,0.2,MACE,0.0572656262757469
POPULARITY,LIN,CHI,FIXED,0.2,MAP,0.04741862465280539
POPULARITY,LIN,CHI,FIXED,0.2,MRR,0.10468024223359165
POPULARITY,LIN,CHI,FIXED,0.2,MRMC,0.6414212849669128
POPULARITY,LIN,CHI,FIXED,0.3,MACE,0.05946602214387332
POPULARITY,LIN,CHI,FIXED,0.3,MAP,0.04729900267152076
POPULARITY,LIN,CHI,FIXED,0.3,MRR,0.10450174812301366
POPULARITY,LIN,CHI,FIXED,0.3,MRMC,0.5946333831371493
POPULARITY,LIN,CHI,FIXED,0.4,MACE,0.0649708975072679
POPULARITY,LIN,CHI,FIXED,0.4,MAP,0.046774344858868895
POPULARITY,LIN,CHI,FIXED,0.4,MRR,0.10367798013001205
POPULARITY,LIN,CHI,FIXED,0.4,MRMC,0.5274133664739797
