algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
POPULARITY,LIN,KL,FIXED,0.0,MACE,0.052186782952928806
POPULARITY,LIN,KL,FIXED,0.0,MAP,0.04613131197098538
POPULARITY,LIN,KL,FIXED,0.0,MRR,0.10126691054970884
POPULARITY,LIN,KL,FIXED,0.0,MRMC,0.7026568380445047
POPULARITY,LIN,KL,FIXED,0.1,MACE,0.051881546772231495
POPULARITY,LIN,KL,FIXED,0.1,MAP,0.046139662314277276
POPULARITY,LIN,KL,FIXED,0.1,MRR,0.1012711323576048
POPULARITY,LIN,KL,FIXED,0.1,MRMC,0.7026476807629045
POPULARITY,LIN,KL,FIXED,0.2,MACE,0.05202049401043277
POPULARITY,LIN,KL,FIXED,0.2,MAP,0.04614037658526432
POPULARITY,LIN,KL,FIXED,0.2,MRR,0.10128814231616239
POPULARITY,LIN,KL,FIXED,0.2,MRMC,0.7016752153535085
POPULARITY,LIN,KL,FIXED,0.3,MACE,0.05212610214222387
POPULARITY,LIN,KL,FIXED,0.3,MAP,0.046201069982847676
POPULARITY,LIN,KL,FIXED,0.3,MRR,0.10138119390763667
POPULARITY,LIN,KL,FIXED,0.3,MRMC,0.6985703735259244
POPULARITY,LIN,KL,FIXED,0.4,MACE,0.052355457000886584
POPULARITY,LIN,KL,FIXED,0.4,MAP,0.046207198967915246
POPULARITY,LIN,KL,FIXED,0.4,MRR,0.10140183658461632
POPULARITY,LIN,KL,FIXED,0.4,MRMC,0.697192873792715
POPULARITY,LIN,KL,FIXED,0.5,MACE,0.05235709284344653
POPULARITY,LIN,KL,FIXED,0.5,MAP,0.04622266256660393
POPULARITY,LIN,KL,FIXED,0.5,MRR,0.10142967106225598
POPULARITY,LIN,KL,FIXED,0.5,MRMC,0.6969906968719822
POPULARITY,LIN,KL,FIXED,0.6,MACE,0.05254208119420219
POPULARITY,LIN,KL,FIXED,0.6,MAP,0.04628872649655726
POPULARITY,LIN,KL,FIXED,0.6,MRR,0.10170484948273034
POPULARITY,LIN,KL,FIXED,0.6,MRMC,0.694939978402121
POPULARITY,LIN,KL,FIXED,0.7,MACE,0.05270055875136596
POPULARITY,LIN,KL,FIXED,0.7,MAP,0.04640799011507863
POPULARITY,LIN,KL,FIXED,0.7,MRR,0.10188044723672855
POPULARITY,LIN,KL,FIXED,0.7,MRMC,0.6833442005828715
POPULARITY,LIN,KL,FIXED,0.8,MACE,0.05480160450299993
POPULARITY,LIN,KL,FIXED,0.8,MAP,0.046453367186341764
POPULARITY,LIN,KL,FIXED,0.8,MRR,0.10220697462300728
POPULARITY,LIN,KL,FIXED,0.8,MRMC,0.6508010814197486
POPULARITY,LIN,KL,FIXED,0.9,MACE,0.06034449227850972
POPULARITY,LIN,KL,FIXED,0.9,MAP,0.046694633689437916
POPULARITY,LIN,KL,FIXED,0.9,MRR,0.10364351839579154
POPULARITY,LIN,KL,FIXED,0.9,MRMC,0.5777829675111456
POPULARITY,LIN,KL,FIXED,1.0,MACE,0.09567011772953134
POPULARITY,LIN,KL,FIXED,1.0,MAP,0.029070586173480958
POPULARITY,LIN,KL,FIXED,1.0,MRR,0.07033981135391416
POPULARITY,LIN,KL,FIXED,1.0,MRMC,0.18850394708152754
POPULARITY,LIN,KL,FIXED,CGR,MACE,0.05259743427970557
POPULARITY,LIN,KL,FIXED,CGR,MAP,0.04629440384636154
POPULARITY,LIN,KL,FIXED,CGR,MRR,0.10177973748209414
POPULARITY,LIN,KL,FIXED,CGR,MRMC,0.6949691967971262
POPULARITY,LIN,KL,FIXED,VAR,MACE,0.05613657780251954
POPULARITY,LIN,KL,FIXED,VAR,MAP,0.04654566032511847
POPULARITY,LIN,KL,FIXED,VAR,MRR,0.10253166110468022
POPULARITY,LIN,KL,FIXED,VAR,MRMC,0.6211447013641938
POPULARITY,LIN,HE,FIXED,0.0,MACE,0.052186782952928806
POPULARITY,LIN,HE,FIXED,0.0,MAP,0.04613131197098538
POPULARITY,LIN,HE,FIXED,0.0,MRR,0.10126691054970884
POPULARITY,LIN,HE,FIXED,0.0,MRMC,0.9049524387413443
POPULARITY,LIN,HE,FIXED,0.1,MACE,0.05160520360404941
POPULARITY,LIN,HE,FIXED,0.1,MAP,0.04614925710908268
POPULARITY,LIN,HE,FIXED,0.1,MRR,0.10129233957866357
POPULARITY,LIN,HE,FIXED,0.1,MRMC,0.9036319961057687
POPULARITY,LIN,HE,FIXED,0.2,MACE,0.05160520360404941
POPULARITY,LIN,HE,FIXED,0.2,MAP,0.04614925710908268
POPULARITY,LIN,HE,FIXED,0.2,MRR,0.10129233957866357
POPULARITY,LIN,HE,FIXED,0.2,MRMC,0.9036319961057687
