algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVD,LIN,KL,FIXED,0.0,MACE,0.07984422094389806
SVD,LIN,KL,FIXED,0.0,MAP,0.0008775444983461314
SVD,LIN,KL,FIXED,0.0,MRR,0.002379995110557367
SVD,LIN,KL,FIXED,0.0,MRMC,0.648102309666699
SVD,LIN,KL,FIXED,0.1,MACE,0.09980551370074843
SVD,LIN,KL,FIXED,0.1,MAP,0.0025040868082248677
SVD,LIN,KL,FIXED,0.1,MRR,0.007243370534333607
SVD,LIN,KL,FIXED,0.1,MRMC,0.15417716026981948
SVD,LIN,KL,FIXED,0.2,MACE,0.09984320529473618
SVD,LIN,KL,FIXED,0.2,MAP,0.0025040868082248677
SVD,LIN,KL,FIXED,0.2,MRR,0.007243370534333607
SVD,LIN,KL,FIXED,0.2,MRMC,0.1542210211374331
SVD,LIN,KL,FIXED,0.3,MACE,0.09982047504175172
SVD,LIN,KL,FIXED,0.3,MAP,0.002507798071910152
SVD,LIN,KL,FIXED,0.3,MRR,0.007249555973809082
SVD,LIN,KL,FIXED,0.3,MRMC,0.15421371922958732
SVD,LIN,KL,FIXED,0.4,MACE,0.09983766808931775
SVD,LIN,KL,FIXED,0.4,MAP,0.0025435926210652503
SVD,LIN,KL,FIXED,0.4,MRR,0.007342337565941203
SVD,LIN,KL,FIXED,0.4,MRMC,0.15423865764738492
SVD,LIN,KL,FIXED,0.5,MACE,0.09984076699449496
SVD,LIN,KL,FIXED,0.5,MAP,0.0025435926210652503
SVD,LIN,KL,FIXED,0.5,MRR,0.007342337565941203
SVD,LIN,KL,FIXED,0.5,MRMC,0.1542543663211625
SVD,LIN,KL,FIXED,0.6,MACE,0.09982548524772684
SVD,LIN,KL,FIXED,0.6,MAP,0.002507798071910152
SVD,LIN,KL,FIXED,0.6,MRR,0.007249555973809082
SVD,LIN,KL,FIXED,0.6,MRMC,0.15421417549649913
SVD,LIN,KL,FIXED,0.7,MACE,0.09984591822849014
SVD,LIN,KL,FIXED,0.7,MAP,0.002507798071910152
SVD,LIN,KL,FIXED,0.7,MRR,0.007249555973809082
SVD,LIN,KL,FIXED,0.7,MRMC,0.15422043857154463
SVD,LIN,KL,FIXED,0.8,MACE,0.09983766808931775
SVD,LIN,KL,FIXED,0.8,MAP,0.0025435926210652503
SVD,LIN,KL,FIXED,0.8,MRR,0.007342337565941203
SVD,LIN,KL,FIXED,0.8,MRMC,0.15423865764738492
SVD,LIN,KL,FIXED,0.9,MACE,0.09983461743056846
SVD,LIN,KL,FIXED,0.9,MAP,0.002539881357379966
SVD,LIN,KL,FIXED,0.9,MRR,0.007336152126465727
SVD,LIN,KL,FIXED,0.9,MRMC,0.1542470437390418
SVD,LIN,KL,FIXED,1.0,MACE,0.09984076699449496
SVD,LIN,KL,FIXED,1.0,MAP,0.0025435926210652503
SVD,LIN,KL,FIXED,1.0,MRR,0.007342337565941203
SVD,LIN,KL,FIXED,1.0,MRMC,0.1542543663211625
SVD,LIN,KL,FIXED,CGR,MACE,0.09982856930784934
SVD,LIN,KL,FIXED,CGR,MAP,0.0025435926210652503
SVD,LIN,KL,FIXED,CGR,MRR,0.007342337565941203
SVD,LIN,KL,FIXED,CGR,MRMC,0.15421772962634162
SVD,LIN,KL,FIXED,VAR,MACE,0.09983418321271725
SVD,LIN,KL,FIXED,VAR,MAP,0.0025435926210652503
SVD,LIN,KL,FIXED,VAR,MRR,0.007342337565941203
SVD,LIN,KL,FIXED,VAR,MRMC,0.15423154060625488
SVD,LIN,HE,FIXED,0.0,MACE,0.07984422094389806
SVD,LIN,HE,FIXED,0.0,MAP,0.0008775444983461314
SVD,LIN,HE,FIXED,0.0,MRR,0.002379995110557367
SVD,LIN,HE,FIXED,0.0,MRMC,0.9223282851288347
SVD,LIN,HE,FIXED,0.1,MACE,0.06731231397290778
SVD,LIN,HE,FIXED,0.1,MAP,0.0027951485536380693
SVD,LIN,HE,FIXED,0.1,MRR,0.00796419514177911
SVD,LIN,HE,FIXED,0.1,MRMC,0.31333960009853473
SVD,LIN,HE,FIXED,0.2,MACE,0.06733164223418074
