algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVD,LIN,KL,FIXED,0.0,MACE,0.07973320261437909
SVD,LIN,KL,FIXED,0.0,MAP,0.0008407313153091593
SVD,LIN,KL,FIXED,0.0,MRR,0.0022499781545986777
SVD,LIN,KL,FIXED,0.0,MRMC,0.648617268136805
SVD,LIN,KL,FIXED,0.1,MACE,0.1000625277829323
SVD,LIN,KL,FIXED,0.1,MAP,0.0024570259228822978
SVD,LIN,KL,FIXED,0.1,MRR,0.007019393807295087
SVD,LIN,KL,FIXED,0.1,MRMC,0.15445917745710203
SVD,LIN,KL,FIXED,0.2,MACE,0.10006952310261642
SVD,LIN,KL,FIXED,0.2,MAP,0.002470503799136199
SVD,LIN,KL,FIXED,0.2,MRR,0.007053413724410199
SVD,LIN,KL,FIXED,0.2,MRMC,0.15449016951132846
SVD,LIN,KL,FIXED,0.3,MACE,0.10005367930558133
SVD,LIN,KL,FIXED,0.3,MAP,0.0024545959288026463
SVD,LIN,KL,FIXED,0.3,MRR,0.007014754727688481
SVD,LIN,KL,FIXED,0.3,MRMC,0.15449407259883527
SVD,LIN,KL,FIXED,0.4,MACE,0.1000602861796664
SVD,LIN,KL,FIXED,0.4,MAP,0.0024808889556523625
SVD,LIN,KL,FIXED,0.4,MRR,0.0070812482020498335
SVD,LIN,KL,FIXED,0.4,MRMC,0.1545062803390395
SVD,LIN,KL,FIXED,0.5,MACE,0.10006498216531617
SVD,LIN,KL,FIXED,0.5,MAP,0.0024788271424938707
SVD,LIN,KL,FIXED,0.5,MRR,0.007076093669153605
SVD,LIN,KL,FIXED,0.5,MRMC,0.15452950260611786
SVD,LIN,KL,FIXED,0.6,MACE,0.10004625100513391
SVD,LIN,KL,FIXED,0.6,MAP,0.002465599629266357
SVD,LIN,KL,FIXED,0.6,MRR,0.00704465101848661
SVD,LIN,KL,FIXED,0.6,MRMC,0.1544986073786615
SVD,LIN,KL,FIXED,0.7,MACE,0.10007499350528855
SVD,LIN,KL,FIXED,0.7,MAP,0.0024655996292663575
SVD,LIN,KL,FIXED,0.7,MRR,0.00704465101848661
SVD,LIN,KL,FIXED,0.7,MRMC,0.15450245736809406
SVD,LIN,KL,FIXED,0.8,MACE,0.1000560986371415
SVD,LIN,KL,FIXED,0.8,MAP,0.002483466222100477
SVD,LIN,KL,FIXED,0.8,MRR,0.007085371828366817
SVD,LIN,KL,FIXED,0.8,MRMC,0.15450972866220122
SVD,LIN,KL,FIXED,0.9,MACE,0.1000625822147997
SVD,LIN,KL,FIXED,0.9,MAP,0.0024850125819693455
SVD,LIN,KL,FIXED,0.9,MRR,0.007088464548104555
SVD,LIN,KL,FIXED,0.9,MRMC,0.15451444868036146
SVD,LIN,KL,FIXED,1.0,MACE,0.10006390631121008
SVD,LIN,KL,FIXED,1.0,MAP,0.0024822291342053823
SVD,LIN,KL,FIXED,1.0,MRR,0.0070833100152083266
SVD,LIN,KL,FIXED,1.0,MRMC,0.15453064537280972
SVD,LIN,KL,FIXED,CGR,MACE,0.10004813880126183
SVD,LIN,KL,FIXED,CGR,MAP,0.0024791364144676445
SVD,LIN,KL,FIXED,CGR,MRR,0.007077124575732852
SVD,LIN,KL,FIXED,CGR,MRMC,0.15450489723144095
SVD,LIN,KL,FIXED,VAR,MACE,0.1000455277210779
SVD,LIN,KL,FIXED,VAR,MAP,0.002481919862231608
SVD,LIN,KL,FIXED,VAR,MRR,0.007082279108629079
SVD,LIN,KL,FIXED,VAR,MRMC,0.15451462364386434
SVD,LIN,HE,FIXED,0.0,MACE,0.07973320261437909
SVD,LIN,HE,FIXED,0.0,MAP,0.0008407313153091593
SVD,LIN,HE,FIXED,0.0,MRR,0.0022499781545986777
SVD,LIN,HE,FIXED,0.0,MRMC,0.9222743778952104
SVD,LIN,HE,FIXED,0.1,MACE,0.06738826539658976
SVD,LIN,HE,FIXED,0.1,MAP,0.00261502708338856
SVD,LIN,HE,FIXED,0.1,MRR,0.007391771990955513
SVD,LIN,HE,FIXED,0.1,MRMC,0.3138663248554521
SVD,LIN,HE,FIXED,0.2,MACE,0.0674042654790623
SVD,LIN,HE,FIXED,0.2,MAP,0.00261502708338856
SVD,LIN,HE,FIXED,0.2,MRR,0.007391771990955513
SVD,LIN,HE,FIXED,0.2,MRMC,0.31387441630034313
SVD,LIN,HE,FIXED,0.3,MACE,0.06739117791385744
SVD,LIN,HE,FIXED,0.3,MAP,0.00261502708338856
SVD,LIN,HE,FIXED,0.3,MRR,0.007391771990955513
SVD,LIN,HE,FIXED,0.3,MRMC,0.31387448655730116
SVD,LIN,HE,FIXED,0.4,MACE,0.06739964413104883
SVD,LIN,HE,FIXED,0.4,MAP,0.00261502708338856
SVD,LIN,HE,FIXED,0.4,MRR,0.007391771990955513
SVD,LIN,HE,FIXED,0.4,MRMC,0.31388338829659856
SVD,LIN,HE,FIXED,0.5,MACE,0.06741299602070061
SVD,LIN,HE,FIXED,0.5,MAP,0.002616573443257429
SVD,LIN,HE,FIXED,0.5,MRR,0.007394864710693251
SVD,LIN,HE,FIXED,0.5,MRMC,0.31390059907192935
SVD,LIN,HE,FIXED,0.6,MACE,0.06740417228510752
SVD,LIN,HE,FIXED,0.6,MAP,0.0026315976793801995
SVD,LIN,HE,FIXED,0.6,MRR,0.007425791908070624
SVD,LIN,HE,FIXED,0.6,MRMC,0.3138975791600613
SVD,LIN,HE,FIXED,0.7,MACE,0.06742312364693512
SVD,LIN,HE,FIXED,0.7,MAP,0.0026300513195113306
SVD,LIN,HE,FIXED,0.7,MRR,0.007422699188332886
SVD,LIN,HE,FIXED,0.7,MRMC,0.3139083951755766
SVD,LIN,HE,FIXED,0.8,MACE,0.06742833797241295
SVD,LIN,HE,FIXED,0.8,MAP,0.0026150270833885606
SVD,LIN,HE,FIXED,0.8,MRR,0.007391771990955513
SVD,LIN,HE,FIXED,0.8,MRMC,0.31392312330493527
